,Midnight Queen,Balboa Shannon,Diesel Don,Lady Pebbles,Sahara Jewel,Its Inevitable Nz,Dothedealdylan,Mac Stubborn,Miss Maravu,Uptotrix
15-12-2022 13:41:49.103177,"(31.0, 60.0, 52.0)","(8.0, 9.4, 9.185714285714287)","(3.5, 4.2, 4.066666666666666)","(13.0, 18.0, 16.727272727272727)","(26.0, 75.0, 68.5)","(13.0, 99999, 99990)","(19.0, 60.0, 30.666666666666668)","(8.0, 10.5, 10.292307692307693)","(6.0, 8.0, 7.654545454545454)","(3.5, 3.85, 3.8454545454545457)"
15-12-2022 13:41:50.303246,"(31.0, 60.0, 53.14285714285714)","(8.0, 9.4, 9.185714285714287)","(3.5, 4.2, 4.066666666666666)","(13.0, 18.0, 16.6)","(26.0, 75.0, 68.83333333333334)","(13.0, 99999, 99990)","(19.0, 55.0, 34.0)","(8.0, 10.5, 10.292307692307693)","(6.0, 8.0, 7.654545454545454)","(3.5, 3.85, 3.8454545454545457)"
15-12-2022 13:41:51.565254,"(31.0, 60.0, 55.55555555555556)","(8.0, 9.4, 9.296551724137931)","(3.5, 4.2, 4.105882352941177)","(13.0, 18.0, 16.6)","(26.0, 75.0, 55.90909090909091)","(13.0, 99999, 99990)","(20.0, 55.0, 32.5)","(8.0, 10.5, 12.571428571428571)","(6.0, 8.0, 7.592857142857143)","(3.5, 3.85, 3.775)"
15-12-2022 13:41:52.804201,"(31.0, 130.0, 116.66666666666667)","(8.0, 9.6, 9.496774193548386)","(3.5, 4.2, 4.105882352941177)","(13.0, 18.0, 16.727272727272727)","(26.0, 75.0, 54.0)","(13.0, 99999, 99990)","(20.0, 50.0, 41.333333333333336)","(8.0, 20.0, 11.85)","(6.0, 8.0, 7.728571428571429)","(3.5, 3.8, 3.5833333333333335)"
15-12-2022 13:41:54.022169,"(31.0, 80.0, 77.0)","(8.0, 9.6, 9.496774193548386)","(3.5, 4.2, 4.054545454545455)","(13.0, 18.0, 16.727272727272727)","(26.0, 75.0, 54.0)","(13.0, 99999, 99990)","(20.0, 48.0, 41.333333333333336)","(8.0, 15.0, 11.85)","(6.0, 8.0, 7.728571428571429)","(3.5, 3.8, 3.761111111111111)"
15-12-2022 13:41:55.249565,"(31.0, 80.0, 67.5)","(8.0, 9.6, 9.496774193548386)","(3.5, 4.2, 4.054545454545455)","(13.0, 17.5, 17.071428571428573)","(26.0, 75.0, 57.0)","(13.0, 99999, 99990)","(20.0, 48.0, 35.75)","(8.0, 14.5, 10.75)","(6.0, 9.4, 8.35)","(3.5, 3.5, 3.609090909090909)"
15-12-2022 13:41:56.478183,"(31.0, 80.0, 75.0)","(8.0, 9.6, 9.12)","(3.5, 4.2, 4.1125)","(13.0, 17.5, 17.071428571428573)","(26.0, 75.0, 66.0)","(13.0, 99999, 99990)","(20.0, 48.0, 33.333333333333336)","(8.0, 14.5, 12.15)","(6.0, 9.4, 8.5)","(3.5, 3.65, 3.5625)"
15-12-2022 13:41:57.719779,"(31.0, 55.0, 51.5)","(8.0, 9.6, 9.560655737704918)","(3.5, 4.2, 4.1)","(13.0, 17.5, 17.071428571428573)","(26.0, 75.0, 66.0)","(13.0, 99999, 99990)","(20.0, 46.0, 35.5)","(8.0, 14.5, 12.75)","(6.0, 9.0, 8.149999999999999)","(3.5, 3.65, 3.575)"
15-12-2022 13:41:58.934915,"(31.0, 55.0, 51.5)","(8.0, 9.6, 9.561904761904762)","(3.6, 4.2, 4.090909090909091)","(13.0, 17.5, 16.9375)","(26.0, 75.0, 62.5)","(13.0, 99999, 99990)","(20.0, 44.0, 35.5)","(8.0, 14.0, 12.75)","(6.5, 8.2, 8.094117647058823)","(3.3, 3.6, 3.575)"
15-12-2022 13:42:00.143179,"(31.0, 55.0, 51.5)","(8.0, 9.6, 9.561904761904762)","(3.6, 4.2, 4.090909090909091)","(13.0, 17.5, 17.25)","(26.0, 75.0, 62.5)","(13.0, 99999, 99990)","(20.0, 44.0, 35.5)","(8.0, 14.0, 12.5)","(6.5, 8.2, 8.494736842105263)","(3.3, 3.6, 3.566666666666667)"
15-12-2022 13:42:01.422039,"(31.0, 65.0, 50.833333333333336)","(8.0, 9.6, 9.580327868852459)","(3.6, 4.2, 4.138461538461539)","(13.0, 17.5, 16.6)","(26.0, 75.0, 66.66666666666667)","(13.0, 99999, 99990)","(19.0, 44.0, 35.5)","(8.0, 13.0, 12.722222222222221)","(6.5, 8.6, 8.25)","(3.3, 3.8, 3.5725000000000002)"
15-12-2022 13:42:02.699562,"(31.0, 65.0, 50.833333333333336)","(8.0, 9.6, 9.59)","(3.6, 4.2, 4.066666666666666)","(13.0, 18.0, 16.352941176470587)","(26.0, 75.0, 62.5)","(13.0, 99999, 99990)","(19.0, 44.0, 35.5)","(8.0, 13.0, 12.583333333333334)","(6.5, 8.4, 8.25)","(3.3, 3.8, 3.54375)"
15-12-2022 13:42:04.055945,"(31.0, 65.0, 56.5)","(8.0, 9.6, 9.591666666666667)","(3.6, 4.2, 4.141176470588236)","(13.0, 18.0, 16.6)","(26.0, 75.0, 62.5)","(13.0, 99999, 99990)","(19.0, 44.0, 35.5)","(8.5, 13.0, 12.5)","(6.5, 8.4, 8.307692307692308)","(3.3, 3.7, 3.54)"
15-12-2022 13:42:05.317545,"(31.0, 65.0, 56.5)","(8.0, 9.6, 9.591666666666667)","(3.6, 4.2, 4.377173913043478)","(13.0, 18.0, 16.6)","(26.0, 75.0, 62.5)","(13.0, 99999, 99990)","(19.0, 44.0, 35.5)","(8.5, 13.0, 12.5)","(6.5, 8.8, 8.333333333333334)","(3.3, 3.75, 3.55)"
15-12-2022 13:42:06.562482,"(31.0, 60.0, 54.0)","(8.0, 9.8, 9.533333333333333)","(3.6, 4.4, 4.377173913043478)","(13.0, 18.0, 16.352941176470587)","(26.0, 75.0, 62.5)","(13.0, 99999, 99990)","(19.0, 44.0, 37.666666666666664)","(8.5, 13.5, 12.375)","(6.5, 8.8, 8.333333333333334)","(3.3, 3.75, 3.5)"
15-12-2022 13:42:07.807617,"(31.0, 60.0, 54.0)","(8.0, 9.8, 9.575)","(3.6, 4.4, 4.300000000000001)","(13.0, 18.0, 16.352941176470587)","(26.0, 75.0, 62.5)","(13.0, 99999, 99990)","(19.0, 44.0, 38.333333333333336)","(8.5, 13.0, 11.333333333333334)","(6.5, 8.8, 8.4)","(3.3, 3.7, 3.5)"
15-12-2022 13:42:09.067862,"(31.0, 60.0, 54.0)","(8.0, 9.8, 9.575)","(3.6, 4.4, 4.258823529411765)","(13.0, 18.0, 16.352941176470587)","(26.0, 75.0, 62.5)","(13.0, 99999, 99990)","(19.0, 44.0, 38.333333333333336)","(8.5, 11.5, 11.333333333333334)","(6.5, 8.8, 8.4)","(3.3, 3.7, 3.5)"
15-12-2022 13:42:10.327467,"(31.0, 55.0, 50.333333333333336)","(8.0, 9.8, 9.575)","(3.6, 4.4, 4.325)","(13.0, 19.5, 18.166666666666668)","(26.0, 95.0, 72.5)","(13.0, 99999, 99990)","(19.0, 44.0, 38.333333333333336)","(8.5, 11.5, 11.333333333333334)","(6.5, 8.8, 8.4)","(3.3, 3.7, 3.6)"
15-12-2022 13:42:11.473985,"(31.0, 55.0, 50.333333333333336)","(8.0, 9.8, 9.575)","(3.6, 4.4, 4.325)","(13.0, 19.5, 18.166666666666668)","(26.0, 95.0, 72.5)","(13.0, 99999, 99990)","(19.0, 44.0, 38.333333333333336)","(8.5, 11.5, 11.333333333333334)","(6.5, 8.8, 8.4)","(3.3, 3.7, 3.6)"
15-12-2022 13:42:12.629724,"(31.0, 55.0, 50.333333333333336)","(8.0, 9.8, 9.575)","(3.6, 4.4, 4.258823529411765)","(13.0, 19.5, 18.666666666666668)","(26.0, 95.0, 72.5)","(13.0, 99999, 99990)","(19.0, 42.0, 34.5)","(8.5, 11.5, 11.333333333333334)","(6.5, 8.8, 8.4)","(3.3, 3.9, 3.875)"
15-12-2022 13:42:13.829914,"(31.0, 55.0, 50.333333333333336)","(8.0, 9.8, 9.575)","(3.6, 4.4, 4.34)","(13.0, 25.0, 18.666666666666668)","(26.0, 95.0, 74.0)","(13.0, 99999, 99990)","(19.0, 42.0, 34.5)","(8.5, 11.5, 11.333333333333334)","(6.5, 8.8, 8.274999999999999)","(3.3, 4.0, 3.875)"
15-12-2022 13:42:14.988645,"(31.0, 50.0, 48.666666666666664)","(8.0, 9.8, 9.575)","(3.6, 4.4, 4.34)","(13.0, 25.0, 18.666666666666668)","(26.0, 80.0, 74.0)","(13.0, 99999, 99990)","(19.0, 42.0, 34.5)","(8.5, 11.5, 11.333333333333334)","(6.5, 8.8, 8.274999999999999)","(3.3, 4.0, 3.875)"
15-12-2022 13:42:16.109716,"(31.0, 50.0, 48.666666666666664)","(8.0, 9.8, 9.575)","(3.6, 4.4, 4.34)","(13.0, 25.0, 18.666666666666668)","(26.0, 80.0, 74.0)","(13.0, 99999, 99990)","(19.0, 42.0, 34.5)","(8.5, 11.5, 11.333333333333334)","(6.5, 8.8, 8.274999999999999)","(3.3, 4.0, 3.875)"
15-12-2022 13:42:17.272754,"(31.0, 80.0, 64.0)","(8.0, 9.8, 9.575)","(3.6, 4.4, 4.372727272727273)","(13.0, 25.0, 18.666666666666668)","(26.0, 80.0, 74.0)","(13.0, 99999, 99990)","(19.0, 42.0, 31.666666666666668)","(8.5, 11.5, 11.333333333333334)","(6.5, 8.8, 8.274999999999999)","(3.3, 4.0, 3.875)"
15-12-2022 13:42:18.453964,"(31.0, 80.0, 64.0)","(8.0, 9.8, 9.575)","(3.6, 4.4, 4.478048780487805)","(13.0, 25.0, 20.5)","(26.0, 80.0, 68.66666666666667)","(13.0, 99999, 99990)","(19.0, 34.0, 31.666666666666668)","(8.5, 11.5, 11.333333333333334)","(6.5, 8.8, 8.274999999999999)","(3.3, 4.0, 3.875)"
15-12-2022 13:42:19.716031,"(31.0, 75.0, 53.4)","(8.0, 9.8, 9.575)","(3.7, 4.5, 4.488)","(13.0, 25.0, 20.5)","(26.0, 80.0, 68.66666666666667)","(13.0, 99999, 99990)","(19.0, 34.0, 31.666666666666668)","(8.5, 11.5, 11.333333333333334)","(6.5, 8.8, 8.274999999999999)","(3.2, 4.0, 3.855)"
15-12-2022 13:42:20.964913,"(31.0, 70.0, 55.333333333333336)","(8.0, 9.8, 9.575)","(3.7, 4.5, 4.488)","(13.0, 25.0, 20.5)","(26.0, 80.0, 68.66666666666667)","(13.0, 99999, 99990)","(19.0, 34.0, 31.666666666666668)","(8.5, 11.5, 11.333333333333334)","(6.5, 8.8, 8.274999999999999)","(3.2, 4.1, 3.855)"
15-12-2022 13:42:22.220549,"(31.0, 70.0, 55.333333333333336)","(8.0, 9.8, 9.622222222222224)","(3.7, 4.5, 4.541935483870968)","(13.0, 25.0, 22.4)","(26.0, 80.0, 68.66666666666667)","(13.0, 99999, 99990)","(19.0, 34.0, 31.666666666666668)","(8.5, 11.5, 11.333333333333334)","(6.5, 8.8, 8.274999999999999)","(3.2, 4.1, 3.855)"
15-12-2022 13:42:23.510336,"(31.0, 65.0, 53.666666666666664)","(8.0, 9.8, 9.622222222222224)","(3.7, 4.6, 4.529411764705882)","(13.0, 24.0, 22.4)","(26.0, 80.0, 68.66666666666667)","(13.0, 99999, 99990)","(19.0, 34.0, 31.666666666666668)","(8.5, 11.5, 11.333333333333334)","(6.5, 8.8, 8.274999999999999)","(3.2, 4.1, 3.855)"
15-12-2022 13:42:24.761174,"(31.0, 60.0, 52.0)","(8.0, 9.8, 9.622222222222224)","(3.7, 4.6, 4.319791666666666)","(13.0, 24.0, 20.5)","(26.0, 80.0, 68.66666666666667)","(13.0, 99999, 99990)","(19.0, 34.0, 31.666666666666668)","(8.5, 11.5, 11.333333333333334)","(6.5, 8.8, 8.274999999999999)","(3.2, 4.1, 3.9)"
15-12-2022 13:42:26.090602,"(31.0, 60.0, 52.0)","(8.0, 9.8, 9.622222222222224)","(3.7, 4.4, 4.302388059701492)","(13.0, 25.0, 20.5)","(26.0, 80.0, 68.66666666666667)","(13.0, 99999, 99990)","(19.0, 34.0, 31.666666666666668)","(8.5, 11.5, 11.333333333333334)","(6.5, 8.8, 8.274999999999999)","(3.2, 4.1, 3.9)"
15-12-2022 13:42:27.388118,"(31.0, 60.0, 52.0)","(8.0, 9.8, 9.622222222222224)","(3.7, 4.4, 4.302388059701492)","(13.0, 25.0, 20.5)","(26.0, 80.0, 68.66666666666667)","(13.0, 99999, 99990)","(19.0, 34.0, 31.666666666666668)","(8.5, 11.5, 11.333333333333334)","(6.5, 8.8, 8.274999999999999)","(3.2, 4.1, 3.9)"
15-12-2022 13:42:28.631177,"(31.0, 50.0, 48.22222222222222)","(8.0, 9.8, 9.622222222222224)","(3.7, 4.4, 4.302332361516035)","(13.0, 25.0, 20.5)","(26.0, 80.0, 68.66666666666667)","(13.0, 99999, 99990)","(19.0, 34.0, 32.8)","(8.5, 11.5, 11.333333333333334)","(6.5, 8.8, 8.274999999999999)","(3.2, 4.1, 3.9)"
15-12-2022 13:42:29.852516,"(31.0, 50.0, 48.22222222222222)","(8.0, 9.8, 9.622222222222224)","(3.7, 4.4, 4.3022662889518415)","(13.0, 25.0, 20.5)","(26.0, 80.0, 68.66666666666667)","(13.0, 99999, 99990)","(19.0, 34.0, 31.666666666666668)","(8.5, 11.5, 11.4375)","(6.5, 8.8, 8.274999999999999)","(3.2, 4.1, 3.9)"
15-12-2022 13:42:31.094313,"(31.0, 50.0, 48.22222222222222)","(8.0, 9.8, 9.622222222222224)","(3.7, 4.4, 4.302298850574712)","(13.0, 25.0, 20.5)","(26.0, 80.0, 68.66666666666667)","(13.0, 99999, 99990)","(19.0, 34.0, 31.666666666666668)","(8.5, 11.5, 11.4375)","(6.5, 8.8, 8.274999999999999)","(3.2, 4.1, 3.9)"
15-12-2022 13:42:32.348269,"(31.0, 50.0, 48.22222222222222)","(8.0, 9.8, 9.377777777777778)","(3.7, 4.4, 4.3076923076923075)","(13.0, 25.0, 20.5)","(26.0, 80.0, 68.66666666666667)","(13.0, 99999, 99990)","(19.0, 34.0, 31.666666666666668)","(8.5, 11.5, 11.421052631578947)","(6.5, 8.8, 8.24)","(3.2, 4.1, 3.9)"
15-12-2022 13:42:33.532312,"(31.0, 50.0, 48.22222222222222)","(8.0, 9.8, 9.377777777777778)","(3.7, 4.4, 4.0027027027027025)","(13.0, 25.0, 18.666666666666668)","(26.0, 80.0, 68.66666666666667)","(13.0, 99999, 99990)","(19.0, 34.0, 31.666666666666668)","(8.5, 11.5, 10.833333333333334)","(6.5, 8.8, 8.233333333333333)","(3.2, 4.1, 3.9)"
15-12-2022 13:42:34.780526,"(31.0, 50.0, 48.285714285714285)","(8.0, 9.8, 9.636363636363637)","(3.7, 4.1, 4.0027027027027025)","(13.0, 25.0, 18.666666666666668)","(26.0, 80.0, 74.0)","(13.0, 99999, 99990)","(19.0, 34.0, 31.666666666666668)","(8.5, 11.5, 10.833333333333334)","(6.5, 8.8, 8.233333333333333)","(3.2, 4.1, 3.9)"
15-12-2022 13:42:36.031642,"(31.0, 50.0, 48.285714285714285)","(8.0, 9.8, 9.672727272727272)","(3.7, 4.1, 4.0027027027027025)","(13.0, 25.0, 18.666666666666668)","(26.0, 80.0, 74.0)","(13.0, 99999, 99990)","(19.0, 34.0, 31.666666666666668)","(8.5, 11.5, 10.833333333333334)","(6.5, 8.8, 8.233333333333333)","(3.2, 4.1, 3.9)"
15-12-2022 13:42:37.229444,"(31.0, 50.0, 48.666666666666664)","(8.0, 9.8, 10.423076923076923)","(3.7, 4.1, 4.0027027027027025)","(13.0, 25.0, 18.2)","(26.0, 80.0, 71.5)","(13.0, 99999, 99990)","(19.0, 34.0, 31.666666666666668)","(8.5, 11.5, 10.833333333333334)","(6.5, 8.8, 7.98)","(3.2, 4.1, 3.85)"
15-12-2022 13:42:38.455526,"(31.0, 46.0, 45.7037037037037)","(8.0, 11.0, 11.43421052631579)","(3.7, 4.1, 4.0027027027027025)","(13.0, 25.0, 19.0)","(26.0, 80.0, 57.0)","(13.0, 99999, 99990)","(19.0, 34.0, 31.666666666666668)","(8.5, 11.5, 10.833333333333334)","(6.5, 8.0, 8.146153846153846)","(3.2, 3.95, 3.732142857142857)"
15-12-2022 13:42:39.632920,"(31.0, 46.0, 45.7037037037037)","(8.0, 11.5, 10.95)","(3.7, 4.1, 4.0027027027027025)","(13.0, 25.0, 19.0)","(26.0, 80.0, 58.0)","(13.0, 99999, 99990)","(19.0, 34.0, 31.666666666666668)","(8.5, 11.5, 10.833333333333334)","(6.5, 8.8, 8.146153846153846)","(3.2, 3.75, 3.732142857142857)"
15-12-2022 13:42:40.874675,"(31.0, 48.0, 47.55555555555556)","(8.0, 12.5, 11.25)","(3.7, 4.1, 4.0027027027027025)","(13.0, 25.0, 20.333333333333332)","(26.0, 80.0, 49.0)","(13.0, 99999, 99990)","(19.0, 34.0, 31.666666666666668)","(8.5, 11.5, 8.9)","(6.5, 8.8, 7.723076923076923)","(3.2, 3.75, 3.7142857142857144)"
15-12-2022 13:42:42.056357,"(31.0, 46.0, 45.7037037037037)","(8.0, 12.0, 11.25)","(3.6, 4.1, 3.879850746268657)","(13.0, 24.0, 20.0)","(31.0, 75.0, 54.5)","(13.0, 99999, 99990)","(19.0, 34.0, 26.57142857142857)","(8.5, 9.4, 10.17142857142857)","(6.5, 8.4, 7.492307692307692)","(3.2, 3.75, 3.825)"
15-12-2022 13:42:43.292827,"(31.0, 46.0, 45.7037037037037)","(8.0, 11.5, 11.25)","(3.6, 4.1, 3.879850746268657)","(13.0, 24.0, 19.0)","(31.0, 75.0, 61.33333333333333)","(13.0, 99999, 99990)","(19.0, 34.0, 26.57142857142857)","(8.5, 10.5, 9.55)","(6.5, 8.0, 8.12)","(3.2, 3.95, 3.9125)"
15-12-2022 13:42:44.618286,"(31.0, 46.0, 71.33333333333333)","(8.0, 13.0, 20.706976744186047)","(3.6, 4.1, 4.5424999999999995)","(13.0, 24.0, 15.625)","(31.0, 75.0, 57.25)","(13.0, 99999, 99990)","(19.0, 34.0, 48.416666666666664)","(8.5, 10.5, 12.850000000000001)","(6.5, 8.2, 9.80625)","(3.2, 3.95, 4.3925)"
15-12-2022 13:42:45.850571,"(31.0, 85.0, 64.66666666666666)","(8.0, 21.0, 20.706976744186047)","(3.6, 5.6, 3.8646153846153846)","(13.0, 25.0, 17.75)","(31.0, 95.0, 33.75)","(13.0, 99999, 99990)","(19.0, 55.0, 32.58333333333333)","(8.5, 15.0, 11.44)","(6.5, 10.5, 9.80625)","(3.2, 5.3, 4.572727272727272)"
15-12-2022 13:42:47.053944,"(31.0, 80.0, 61.333333333333336)","(8.0, 21.0, 20.706976744186047)","(3.6, 4.0, 3.3028571428571425)","(13.0, 23.0, 17.75)","(31.0, 48.0, 33.75)","(13.0, 99999, 99990)","(19.0, 36.0, 32.58333333333333)","(8.5, 12.0, 11.44)","(6.5, 10.5, 9.80625)","(3.2, 5.2, 4.572727272727272)"
15-12-2022 13:42:48.279408,"(31.0, 80.0, 61.333333333333336)","(8.0, 21.0, 20.706976744186047)","(3.6, 4.0, 3.3028571428571425)","(13.0, 23.0, 17.75)","(31.0, 60.0, 39.75)","(13.0, 99999, 99990)","(19.0, 38.0, 34.25)","(8.5, 12.0, 11.44)","(6.5, 10.5, 9.80625)","(3.2, 5.2, 4.572727272727272)"
15-12-2022 13:42:49.472411,"(31.0, 80.0, 61.333333333333336)","(8.0, 23.0, 18.2)","(3.6, 4.0, 3.249230769230769)","(13.0, 23.0, 17.75)","(31.0, 60.0, 39.75)","(13.0, 99999, 99990)","(19.0, 38.0, 30.666666666666664)","(8.5, 15.0, 10.8)","(6.5, 10.5, 8.4)","(3.2, 5.2, 4.685714285714286)"
15-12-2022 13:42:50.747299,"(31.0, 80.0, 61.333333333333336)","(8.0, 23.0, 18.266666666666666)","(3.6, 4.0, 3.51125)","(13.0, 23.0, 17.75)","(31.0, 60.0, 39.75)","(13.0, 99999, 99990)","(19.0, 38.0, 30.666666666666664)","(8.5, 15.0, 10.65)","(6.5, 10.5, 8.4)","(3.2, 5.2, 4.685714285714286)"
15-12-2022 13:42:52.065546,"(31.0, 80.0, 61.333333333333336)","(8.0, 23.0, 18.266666666666666)","(3.6, 3.95, 3.51125)","(13.0, 23.0, 17.75)","(31.0, 60.0, 39.75)","(13.0, 99999, 99990)","(19.0, 38.0, 30.666666666666664)","(8.5, 12.0, 10.65)","(6.5, 10.5, 8.4)","(3.2, 5.2, 4.48)"
15-12-2022 13:42:53.411353,"(31.0, 80.0, 61.333333333333336)","(8.0, 23.0, 18.333333333333336)","(3.6, 3.95, 3.8708333333333336)","(13.0, 23.0, 17.75)","(31.0, 60.0, 39.75)","(13.0, 99999, 99990)","(19.0, 38.0, 34.25)","(8.5, 12.0, 12.850000000000001)","(6.5, 10.5, 8.4)","(3.2, 5.2, 4.48)"
