,Dixie Kade,Invictus Stella,Castle Sween,Clan Mcmillan,Celtic Bouy,Urana Vieri,Mt View Dodger
07-01-2023 10:27:04.646512,"(3.7, 5.3, 3.7142857142857144)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:05.753834,"(3.7, 5.3, 3.7142857142857144)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:06.854095,"(3.7, 5.3, 3.7142857142857144)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:08.047002,"(3.7, 5.3, 3.7142857142857144)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:09.178163,"(3.7, 5.3, 3.7142857142857144)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:10.358569,"(3.7, 5.3, 3.7142857142857144)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:11.502985,"(3.7, 5.3, 3.7142857142857144)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:12.657585,"(3.7, 5.3, 3.7142857142857144)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:13.819969,"(3.7, 5.3, 3.7142857142857144)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:14.870692,"(3.7, 5.3, 3.7142857142857144)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:15.952641,"(3.7, 5.3, 3.7142857142857144)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:17.001124,"(3.7, 5.3, 3.7142857142857144)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:18.079060,"(3.7, 5.2, 3.7)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:19.202222,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:20.389182,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:21.481160,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:22.607644,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:23.597647,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:24.696990,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:25.819642,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:27.013470,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:28.275221,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:29.496903,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:30.827787,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:32.050343,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:33.209042,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:34.290858,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:35.356456,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:36.469225,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:37.634988,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:38.844835,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:39.969928,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:41.143075,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:42.183955,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9571999999999998)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:43.361878,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 2.000769230769231)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:44.487314,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 2.000769230769231)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:45.597307,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 2.000769230769231)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:46.732749,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 2.000769230769231)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:47.849517,"(3.7, 5.2, 3.566666666666667)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 2.000769230769231)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:48.913592,"(3.7, 5.1, 3.685714285714286)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 2.000769230769231)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:49.974455,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 2.000769230769231)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:50.965728,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 2.000769230769231)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:52.100376,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 2.000769230769231)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:53.229851,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 2.000769230769231)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:54.290536,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 2.000769230769231)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:55.385427,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 2.000769230769231)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:56.455205,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 2.000769230769231)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:57.523258,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 2.000769230769231)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:58.644508,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:27:59.779107,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:01.079831,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:02.358990,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:03.518831,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:04.759421,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:05.905142,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:06.963787,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:08.084277,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:09.141943,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:10.208004,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:11.344545,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:12.362593,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:13.420524,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:14.493139,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:15.547832,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:16.633320,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:17.721715,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:18.823338,"(3.7, 5.1, 3.56)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:19.909804,"(3.7, 5.0, 3.5533333333333337)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:20.888065,"(3.7, 5.0, 3.5533333333333337)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:21.966130,"(3.7, 5.0, 3.5533333333333337)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:23.052686,"(3.7, 5.0, 3.5533333333333337)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:24.143445,"(3.7, 5.0, 3.5533333333333337)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:25.248346,"(3.7, 5.0, 3.5533333333333337)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:26.328884,"(3.7, 5.0, 3.5533333333333337)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:27.439581,"(3.7, 5.0, 3.5533333333333337)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:28.485262,"(3.7, 5.0, 3.5533333333333337)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:29.482365,"(3.7, 5.0, 3.5533333333333337)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:30.544898,"(3.7, 5.0, 3.5533333333333337)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:31.620809,"(3.7, 5.0, 3.5533333333333337)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:32.634950,"(3.7, 5.0, 3.5533333333333337)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:33.740047,"(3.7, 5.0, 3.5533333333333337)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
07-01-2023 10:28:34.948620,"(3.7, 5.0, 3.5533333333333337)","(8.0, 21.0, 10.5)","(7.5, 19.5, 9.916666666666666)","(7.0, 16.5, 8.528571428571428)","(1.7, 2.5, 1.9553846153846153)","(41.0, 290.0, 108.57142857142857)","(31.0, 220.0, 100.0)"
