,Go Albino,Hes Iconic,Chi Lin,Im No Princess,Uncle Albert
11-01-2023 11:55:33.296303,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.488888888888887)"
11-01-2023 11:55:34.099223,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.488888888888887)"
11-01-2023 11:55:34.908501,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.488888888888887)"
11-01-2023 11:55:35.760456,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.488888888888887)"
11-01-2023 11:55:36.564042,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.488888888888887)"
11-01-2023 11:55:37.394720,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.488888888888887)"
11-01-2023 11:55:38.281967,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.488888888888887)"
11-01-2023 11:55:39.187855,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.488888888888887)"
11-01-2023 11:55:40.063929,"(1.3, 1.38, 1.3795644283121595)","(14.0, 34.0, 31.25)","(7.5, 17.0, 15.666666666666666)","(5.0, 13.0, 11.25)","(10.0, 23.0, 21.488888888888887)"
11-01-2023 11:55:40.929617,"(1.3, 1.38, 1.3771084337349397)","(14.0, 34.0, 31.25)","(7.5, 30.0, 24.3)","(5.0, 18.5, 14.25)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:55:41.723915,"(1.3, 1.38, 1.3771084337349397)","(14.0, 34.0, 31.25)","(7.5, 30.0, 24.3)","(5.0, 18.5, 14.25)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:55:42.510766,"(1.3, 1.38, 1.3771084337349397)","(14.0, 34.0, 31.25)","(7.5, 30.0, 24.3)","(5.0, 18.5, 14.25)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:55:43.324069,"(1.3, 1.38, 1.3771084337349397)","(14.0, 34.0, 31.25)","(7.5, 30.0, 24.3)","(5.0, 18.5, 14.25)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:55:44.155600,"(1.3, 1.38, 1.3771084337349397)","(14.0, 34.0, 31.25)","(7.5, 30.0, 24.3)","(5.0, 18.5, 14.25)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:55:44.950718,"(1.3, 1.38, 1.3771084337349397)","(14.0, 34.0, 31.25)","(7.5, 30.0, 24.3)","(5.0, 18.5, 14.25)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:55:45.747008,"(1.3, 1.38, 1.3771084337349397)","(14.0, 34.0, 31.25)","(7.5, 30.0, 24.3)","(5.0, 18.5, 14.25)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:55:46.562599,"(1.3, 1.38, 1.3771084337349397)","(14.0, 34.0, 31.25)","(7.5, 30.0, 24.3)","(5.0, 18.5, 14.25)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:55:47.447216,"(1.3, 1.38, 1.3771084337349397)","(14.0, 34.0, 31.25)","(7.5, 30.0, 24.3)","(5.0, 18.5, 14.25)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:55:48.376501,"(1.3, 1.38, 1.3756626506024094)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.3)","(5.0, 20.0, 18.0)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:55:49.251275,"(1.3, 1.38, 1.3756626506024094)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.3)","(5.0, 20.0, 18.0)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:55:50.104573,"(1.3, 1.38, 1.3756626506024094)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.3)","(5.0, 20.0, 18.0)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:55:50.910022,"(1.3, 1.38, 1.3610526315789473)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.3)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:55:51.709301,"(1.3, 1.38, 1.3610526315789473)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.3)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:55:52.551190,"(1.3, 1.38, 1.3610526315789473)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.3)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:55:53.366927,"(1.3, 1.38, 1.3610526315789473)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.3)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:55:54.173879,"(1.3, 1.38, 1.3610526315789473)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.3)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:55:54.975041,"(1.3, 1.38, 1.3610526315789473)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.3)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:55:55.804290,"(1.3, 1.38, 1.3610526315789473)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.3)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:55:56.705112,"(1.3, 1.38, 1.3610526315789473)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.3)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:55:57.927116,"(1.3, 1.38, 1.3610526315789473)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.3)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:55:58.759679,"(1.3, 1.38, 1.3610526315789473)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.3)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:55:59.645468,"(1.3, 1.38, 1.3610526315789473)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.3)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:00.542540,"(1.3, 1.38, 1.3610526315789473)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.3)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:01.385474,"(1.3, 1.38, 1.3610526315789473)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.3)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:02.299235,"(1.3, 1.38, 1.3610526315789473)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.3)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:03.192913,"(1.3, 1.38, 1.3610526315789473)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.3)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:04.074891,"(1.3, 1.38, 1.3610526315789473)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.3)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:04.862558,"(1.3, 1.38, 1.3610526315789473)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.3)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:05.724569,"(1.3, 1.38, 1.3610526315789473)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.3)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:06.675947,"(1.3, 1.38, 1.3610526315789473)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.3)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:07.581071,"(1.3, 1.38, 1.3610526315789473)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.3)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:08.595097,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 21.909090909090914)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:09.473125,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 21.909090909090914)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:10.314640,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 21.909090909090914)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:11.131245,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 21.909090909090914)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:11.981799,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 21.909090909090914)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:12.827669,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 21.909090909090914)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:13.605302,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 21.909090909090914)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:14.387388,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 21.909090909090914)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:15.202267,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 21.909090909090914)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:16.065109,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 21.909090909090914)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:16.907140,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 28.884615384615387)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:17.737711,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 28.884615384615387)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:18.572514,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 28.884615384615387)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:19.488764,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.5)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:20.365499,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.5)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:21.405047,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.5)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:22.285292,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.5)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:23.114860,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.5)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:23.980939,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.5)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:24.824332,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.09090909090909)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:25.611630,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.09090909090909)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:26.478623,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.09090909090909)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:27.403624,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.09090909090909)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:28.305501,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.09090909090909)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:29.134744,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.09090909090909)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:30.062321,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.09090909090909)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:30.916438,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.09090909090909)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:31.751138,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.09090909090909)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:32.593001,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.09090909090909)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:33.448051,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.09090909090909)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:34.288083,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.09090909090909)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:35.100745,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 29.741935483870968)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:35.925189,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.09090909090909)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:36.815336,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.09090909090909)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:37.655156,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.09090909090909)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:38.528522,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.09090909090909)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:39.455986,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.09090909090909)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:40.294728,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.09090909090909)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:41.136871,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.09090909090909)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:42.030809,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.09090909090909)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:42.862891,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.09090909090909)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:43.714762,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.09090909090909)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:44.519088,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.09090909090909)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:45.349498,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 29.84375)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:46.242520,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.450000000000003)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:47.118935,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.450000000000003)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:48.023653,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.450000000000003)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:48.871342,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.450000000000003)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:49.741264,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.450000000000003)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:50.606145,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.450000000000003)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:51.431591,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.0)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:52.277172,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.0)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:53.255683,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.0)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:54.372444,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.0)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:55.236495,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.0)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:56.207291,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.450000000000003)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:57.113438,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.450000000000003)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:58.618105,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.450000000000003)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:56:59.490264,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.450000000000003)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:57:00.293402,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.450000000000003)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:57:01.247431,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 27.450000000000003)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:57:02.211014,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.0)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:57:03.123634,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.0)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:57:04.009189,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.0)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:57:05.095199,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.0)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:57:06.227489,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.0)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
11-01-2023 11:57:07.161958,"(1.3, 1.38, 1.3476470588235294)","(14.0, 34.0, 31.25)","(7.5, 34.0, 22.0)","(5.0, 20.0, 11.833333333333332)","(10.0, 32.0, 29.488888888888887)"
