,Daves Deal,Romeo,Know Ratio,Homebush Cricket,Tatis,Six Pack Nugget,Homebush Lennon,Rowdys Monster
12-01-2023 17:14:19.894789,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 5.727272727272727)","(13.0, 27.0, 22.166666666666664)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 29.0, 18.333333333333332)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.725)"
12-01-2023 17:14:20.992798,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 5.727272727272727)","(13.0, 27.0, 22.166666666666664)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 29.0, 18.333333333333332)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.725)"
12-01-2023 17:14:22.088498,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 5.727272727272727)","(13.0, 27.0, 22.166666666666664)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 29.0, 18.333333333333332)","(21.0, 180.0, 99.75)","(3.9, 7.6, 7.064285714285715)"
12-01-2023 17:14:23.171627,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 4.822222222222223)","(13.0, 27.0, 22.166666666666664)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 29.0, 18.333333333333332)","(21.0, 180.0, 99.75)","(3.9, 7.6, 7.064285714285715)"
12-01-2023 17:14:24.271251,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 6.6)","(13.0, 27.0, 22.166666666666664)","(9.0, 17.5, 15.64)","(5.0, 17.5, 14.7)","(13.0, 29.0, 18.333333333333332)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.725)"
12-01-2023 17:14:25.289268,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 5.727272727272727)","(13.0, 27.0, 22.166666666666664)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.45)","(13.0, 29.0, 18.333333333333332)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.725)"
12-01-2023 17:14:26.343418,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 5.727272727272727)","(13.0, 27.0, 22.166666666666664)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 29.0, 18.333333333333332)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.725)"
12-01-2023 17:14:27.411770,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 5.727272727272727)","(13.0, 27.0, 22.166666666666664)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 29.0, 18.333333333333332)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.725)"
12-01-2023 17:14:28.443447,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 5.727272727272727)","(13.0, 27.0, 22.166666666666664)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 29.0, 18.333333333333332)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.725)"
12-01-2023 17:14:29.509464,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 5.727272727272727)","(13.0, 27.0, 22.166666666666664)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 29.0, 18.333333333333332)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.725)"
12-01-2023 17:14:30.585775,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 5.727272727272727)","(13.0, 27.0, 22.166666666666664)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 29.0, 18.333333333333332)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.725)"
12-01-2023 17:14:31.666279,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 5.727272727272727)","(13.0, 27.0, 22.166666666666664)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 29.0, 18.333333333333332)","(21.0, 180.0, 99.75)","(3.9, 7.6, 7.064285714285715)"
12-01-2023 17:14:32.747394,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 5.727272727272727)","(13.0, 27.0, 22.166666666666664)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 29.0, 18.333333333333332)","(21.0, 180.0, 99.75)","(3.9, 7.6, 7.064285714285715)"
12-01-2023 17:14:33.878013,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 5.16)","(13.0, 27.0, 22.166666666666664)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 29.0, 18.333333333333332)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.725)"
12-01-2023 17:14:35.248543,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 5.727272727272727)","(13.0, 27.0, 22.166666666666664)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 29.0, 18.333333333333332)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.725)"
12-01-2023 17:14:36.333079,"(2.9, 3.85, 3.7311111111111113)","(4.8, 8.2, 5.727272727272727)","(13.0, 27.0, 22.166666666666664)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 29.0, 18.333333333333332)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.725)"
12-01-2023 17:14:37.414782,"(2.9, 3.85, 3.1876190476190476)","(4.8, 8.2, 5.727272727272727)","(13.0, 27.0, 22.166666666666664)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 29.0, 18.333333333333332)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.725)"
12-01-2023 17:14:38.516311,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.727272727272727)","(13.0, 27.0, 22.166666666666664)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 29.0, 18.333333333333332)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.725)"
12-01-2023 17:14:39.658608,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.727272727272727)","(13.0, 27.0, 22.166666666666664)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 29.0, 17.75)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.725)"
12-01-2023 17:14:40.679616,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.727272727272727)","(13.0, 27.0, 22.166666666666664)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 32.0, 17.75)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.725)"
12-01-2023 17:14:41.802672,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.727272727272727)","(13.0, 26.0, 21.5)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 32.0, 19.333333333333332)","(21.0, 180.0, 99.75)","(3.9, 7.6, 7.3533333333333335)"
12-01-2023 17:14:42.978947,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.727272727272727)","(13.0, 27.0, 22.166666666666664)","(9.0, 17.5, 15.64)","(5.0, 17.5, 11.25)","(13.0, 32.0, 17.75)","(21.0, 180.0, 99.75)","(3.9, 7.6, 5.5807692307692305)"
12-01-2023 17:14:44.075906,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.92)","(13.0, 26.0, 21.5)","(9.0, 18.0, 16.04)","(5.0, 17.5, 10.0)","(13.0, 32.0, 17.75)","(21.0, 180.0, 99.75)","(3.9, 7.6, 4.928571428571429)"
12-01-2023 17:14:45.390064,"(2.9, 3.8, 3.5218181818181815)","(4.8, 8.2, 5.92)","(13.0, 26.0, 22.166666666666664)","(9.0, 18.0, 16.04)","(5.0, 17.5, 10.0)","(14.0, 32.0, 17.75)","(21.0, 180.0, 99.75)","(3.9, 7.6, 4.88)"
12-01-2023 17:14:46.567960,"(2.9, 3.8, 3.5218181818181815)","(4.8, 8.2, 6.22)","(13.0, 27.0, 22.166666666666664)","(9.0, 18.0, 16.04)","(5.0, 17.5, 10.0)","(14.0, 32.0, 17.75)","(21.0, 180.0, 99.75)","(3.9, 7.6, 4.88)"
12-01-2023 17:14:47.680821,"(2.9, 3.8, 3.5218181818181815)","(4.8, 8.2, 6.22)","(13.0, 26.0, 21.5)","(9.0, 18.0, 16.04)","(5.0, 17.5, 10.0)","(14.0, 32.0, 17.75)","(21.0, 180.0, 99.75)","(3.9, 7.6, 4.88)"
12-01-2023 17:14:48.785567,"(2.9, 3.8, 3.5218181818181815)","(4.8, 8.2, 6.22)","(13.0, 26.0, 21.5)","(9.0, 18.0, 16.04)","(5.0, 17.5, 10.0)","(14.0, 32.0, 17.75)","(21.0, 180.0, 99.75)","(3.9, 7.6, 4.88)"
12-01-2023 17:14:50.032727,"(2.9, 3.8, 3.5218181818181815)","(4.8, 8.2, 6.22)","(13.0, 26.0, 21.5)","(9.0, 18.0, 16.04)","(5.0, 17.5, 10.0)","(14.0, 32.0, 17.75)","(21.0, 180.0, 99.75)","(3.9, 7.6, 4.88)"
12-01-2023 17:14:51.116158,"(2.9, 3.8, 3.5218181818181815)","(4.8, 8.2, 6.22)","(13.0, 26.0, 21.5)","(9.0, 18.0, 15.64)","(5.0, 17.5, 10.0)","(14.0, 32.0, 17.75)","(21.0, 180.0, 99.75)","(3.9, 7.6, 4.88)"
12-01-2023 17:14:52.264991,"(2.9, 3.8, 3.5218181818181815)","(4.8, 8.2, 6.22)","(13.0, 26.0, 21.5)","(9.0, 17.5, 15.64)","(5.0, 17.5, 10.0)","(14.0, 32.0, 17.75)","(21.0, 180.0, 99.75)","(3.9, 7.6, 4.88)"
12-01-2023 17:14:53.342410,"(2.9, 3.8, 3.5218181818181815)","(4.8, 8.2, 6.22)","(13.0, 26.0, 21.5)","(9.0, 17.5, 15.64)","(5.0, 17.5, 10.0)","(14.0, 32.0, 29.75)","(21.0, 180.0, 99.75)","(3.9, 7.6, 5.725)"
12-01-2023 17:14:54.509018,"(2.9, 3.8, 3.5218181818181815)","(4.8, 8.2, 6.22)","(13.0, 26.0, 21.5)","(9.0, 17.5, 15.64)","(5.0, 17.5, 10.0)","(14.0, 32.0, 17.75)","(21.0, 180.0, 99.75)","(3.9, 7.6, 4.64)"
12-01-2023 17:14:55.633151,"(2.9, 3.8, 3.5218181818181815)","(4.8, 8.2, 6.22)","(13.0, 26.0, 21.5)","(9.0, 17.5, 15.64)","(5.0, 17.5, 10.0)","(14.0, 32.0, 17.75)","(21.0, 180.0, 99.75)","(3.9, 7.6, 4.64)"
12-01-2023 17:14:56.706530,"(2.9, 3.8, 3.5218181818181815)","(4.8, 8.2, 6.22)","(13.0, 26.0, 21.5)","(9.0, 17.5, 15.64)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.125)","(21.0, 180.0, 99.75)","(3.9, 7.6, 4.64)"
12-01-2023 17:14:57.668793,"(2.9, 3.8, 3.5218181818181815)","(4.8, 8.2, 6.22)","(13.0, 26.0, 21.5)","(9.0, 17.5, 15.64)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.125)","(21.0, 180.0, 99.75)","(3.9, 7.6, 4.64)"
12-01-2023 17:14:59.042172,"(2.9, 3.8, 3.5218181818181815)","(4.8, 8.2, 6.22)","(13.0, 26.0, 21.5)","(9.0, 17.5, 15.64)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.125)","(21.0, 180.0, 99.75)","(3.9, 7.6, 6.461538461538462)"
12-01-2023 17:15:00.116858,"(2.9, 3.85, 3.636)","(4.8, 8.2, 6.22)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.125)","(21.0, 180.0, 99.75)","(3.9, 7.6, 5.41)"
12-01-2023 17:15:01.312938,"(2.9, 3.85, 3.636)","(4.8, 8.2, 6.22)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.125)","(21.0, 180.0, 99.75)","(3.9, 7.6, 5.41)"
12-01-2023 17:15:02.404533,"(2.9, 3.85, 3.636)","(4.8, 8.2, 6.22)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.733333333333333)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.125)","(21.0, 180.0, 99.75)","(3.9, 7.6, 5.8966666666666665)"
12-01-2023 17:15:03.683833,"(2.9, 3.85, 3.636)","(4.8, 8.2, 6.22)","(13.0, 26.0, 21.5)","(9.0, 18.0, 11.733333333333333)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.125)","(21.0, 180.0, 99.75)","(3.9, 7.6, 5.8966666666666665)"
12-01-2023 17:15:04.877665,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 6.22)","(13.0, 26.0, 21.5)","(9.0, 18.0, 11.733333333333333)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.125)","(21.0, 180.0, 99.75)","(3.9, 7.6, 4.40625)"
12-01-2023 17:15:05.904620,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 18.0, 11.733333333333333)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.125)","(21.0, 180.0, 99.75)","(3.9, 7.6, 5.245454545454545)"
12-01-2023 17:15:07.079269,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 18.0, 11.733333333333333)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.125)","(21.0, 180.0, 99.75)","(3.9, 7.6, 5.245454545454545)"
12-01-2023 17:15:08.253395,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.92)","(13.0, 26.0, 21.5)","(9.0, 18.0, 11.733333333333333)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.125)","(21.0, 180.0, 99.75)","(3.9, 7.6, 5.245454545454545)"
12-01-2023 17:15:09.344975,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 6.22)","(13.0, 26.0, 21.5)","(9.0, 18.0, 11.733333333333333)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.125)","(21.0, 180.0, 99.75)","(3.9, 7.6, 5.245454545454545)"
12-01-2023 17:15:10.356733,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 6.22)","(13.0, 26.0, 21.5)","(9.0, 18.0, 11.733333333333333)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.125)","(21.0, 180.0, 99.75)","(3.9, 7.6, 5.245454545454545)"
12-01-2023 17:15:11.369640,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 6.22)","(13.0, 26.0, 21.5)","(9.0, 18.0, 11.733333333333333)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.125)","(21.0, 180.0, 99.75)","(3.9, 7.6, 5.245454545454545)"
12-01-2023 17:15:12.550704,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 6.22)","(13.0, 26.0, 21.5)","(9.0, 18.0, 11.733333333333333)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.125)","(21.0, 180.0, 99.75)","(3.9, 7.6, 5.245454545454545)"
12-01-2023 17:15:13.561651,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 6.22)","(13.0, 26.0, 21.5)","(9.0, 18.0, 11.733333333333333)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.125)","(21.0, 180.0, 99.75)","(3.9, 7.6, 5.277777777777778)"
12-01-2023 17:15:14.601545,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 6.22)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.125)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:15.735979,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.92)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.125)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:16.842574,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.125)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:17.883579,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.125)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:18.914937,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.125)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:20.023618,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 22.75)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:21.077386,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.5)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:22.077214,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.5)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:23.184336,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.5)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:24.244640,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.5)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:25.359378,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.5)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:26.467483,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.5)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:27.554963,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.5)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:28.648259,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.5)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:29.696233,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.5)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:30.784894,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.5)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:31.887678,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.5)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:32.906008,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.5)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:33.985858,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.5)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:35.033907,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.5)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:36.057351,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.5)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:37.060197,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.5)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:38.018062,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.5)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:39.064878,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.5)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:40.082403,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.5)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:41.165846,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.5)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
12-01-2023 17:15:42.172700,"(2.9, 3.85, 3.169090909090909)","(4.8, 8.2, 5.9799999999999995)","(13.0, 26.0, 21.5)","(9.0, 17.5, 11.566666666666666)","(5.0, 17.5, 10.0)","(14.0, 32.0, 18.5)","(21.0, 180.0, 99.75)","(3.9, 7.0, 5.277777777777778)"
