,Emperorofthedark,Odie,Savage Nation,Rescue Five,Awesome Miner,Artie My Boy
08-12-2022 12:31:25.615262,"(6.5, 7.6, 7.557142857142857)","(3.3, 3.95, 3.8815789473684212)","(9.0, 11.0, 10.7)","(7.0, 9.2, 9.089655172413792)","(2.45, 2.68, 2.677241379310345)","(17.0, 30.0, 29.18181818181818)"
08-12-2022 12:31:26.462460,"(6.5, 7.6, 7.557142857142857)","(3.3, 3.95, 3.8815789473684212)","(9.0, 11.0, 10.7)","(7.0, 9.2, 9.089655172413792)","(2.45, 2.68, 2.677241379310345)","(17.0, 30.0, 29.18181818181818)"
08-12-2022 12:31:27.405326,"(6.5, 7.6, 7.557142857142857)","(3.3, 3.95, 3.8815789473684212)","(9.0, 11.0, 10.7)","(7.0, 9.2, 9.089655172413792)","(2.45, 2.68, 2.677241379310345)","(17.0, 30.0, 29.18181818181818)"
08-12-2022 12:31:28.287491,"(6.5, 7.6, 7.557142857142857)","(3.3, 3.95, 3.8815789473684212)","(9.0, 11.0, 10.7)","(7.0, 9.2, 9.089655172413792)","(2.45, 2.68, 2.677241379310345)","(17.0, 30.0, 29.18181818181818)"
08-12-2022 12:31:29.167739,"(6.5, 7.6, 7.557142857142857)","(3.3, 3.95, 3.8815789473684212)","(9.0, 11.0, 10.7)","(7.0, 9.2, 9.11111111111111)","(2.45, 2.68, 2.677241379310345)","(17.0, 30.0, 29.18181818181818)"
08-12-2022 12:31:30.071904,"(6.5, 7.6, 7.557142857142857)","(3.3, 3.95, 3.8815789473684212)","(9.0, 11.0, 10.7)","(7.0, 9.2, 9.11111111111111)","(2.45, 2.68, 2.677241379310345)","(17.0, 30.0, 29.18181818181818)"
08-12-2022 12:31:30.977045,"(6.5, 7.6, 7.557142857142857)","(3.3, 3.95, 3.8815789473684212)","(9.0, 11.0, 10.7)","(7.0, 9.2, 9.11111111111111)","(2.45, 2.68, 2.677241379310345)","(17.0, 30.0, 29.18181818181818)"
08-12-2022 12:31:31.837268,"(6.5, 7.6, 7.557142857142857)","(3.3, 3.95, 3.8815789473684212)","(9.0, 11.0, 10.7)","(7.0, 9.2, 9.11111111111111)","(2.45, 2.68, 2.677241379310345)","(17.0, 30.0, 29.4375)"
08-12-2022 12:31:32.718575,"(6.5, 7.6, 7.557142857142857)","(3.3, 3.95, 3.8815789473684212)","(9.0, 11.0, 10.7)","(7.0, 9.2, 9.11111111111111)","(2.45, 2.68, 2.677241379310345)","(17.0, 30.0, 29.4375)"
08-12-2022 12:31:33.575377,"(6.5, 7.6, 7.55)","(3.3, 3.95, 3.8518181818181816)","(9.0, 11.0, 10.7)","(7.0, 9.2, 9.11111111111111)","(2.45, 2.72, 2.7129411764705886)","(17.0, 30.0, 29.4375)"
08-12-2022 12:31:34.437296,"(6.5, 7.6, 7.55)","(3.3, 3.95, 3.8518181818181816)","(9.0, 11.0, 10.7)","(7.0, 9.2, 9.11111111111111)","(2.45, 2.72, 2.7129411764705886)","(17.0, 30.0, 29.4375)"
08-12-2022 12:31:35.471329,"(6.5, 7.6, 7.55)","(3.3, 3.95, 3.8244186046511626)","(9.0, 11.0, 10.7)","(7.0, 9.2, 9.11111111111111)","(2.45, 2.72, 2.7133333333333334)","(17.0, 30.0, 29.59090909090909)"
08-12-2022 12:31:36.323560,"(6.5, 7.0, 6.987878787878788)","(3.3, 3.9, 3.8595238095238096)","(9.0, 11.0, 10.555555555555555)","(7.0, 9.2, 9.11578947368421)","(2.45, 2.72, 2.7133333333333334)","(17.0, 30.0, 29.59090909090909)"
08-12-2022 12:31:37.217531,"(6.5, 7.6, 7.4799999999999995)","(3.3, 3.9, 3.853846153846154)","(9.0, 11.0, 10.466666666666667)","(7.0, 9.2, 9.11111111111111)","(2.45, 2.76, 2.721985815602837)","(17.0, 30.0, 29.4375)"
08-12-2022 12:31:38.148614,"(6.5, 7.6, 7.52)","(3.3, 3.9, 3.888888888888889)","(9.0, 11.0, 10.6)","(7.0, 9.2, 9.123809523809523)","(2.45, 2.76, 2.697674418604651)","(17.0, 30.0, 29.5)"
08-12-2022 12:31:39.001025,"(6.5, 7.6, 7.56)","(3.3, 3.9, 3.888888888888889)","(9.0, 11.0, 10.6)","(7.0, 9.2, 9.123809523809523)","(2.45, 2.76, 2.7094339622641512)","(17.0, 30.0, 29.5)"
08-12-2022 12:31:39.906552,"(6.5, 7.6, 7.56)","(3.3, 3.9, 3.888888888888889)","(9.0, 11.0, 10.6)","(7.0, 9.2, 9.123809523809523)","(2.45, 2.76, 2.7094339622641512)","(17.0, 30.0, 29.5)"
08-12-2022 12:31:40.890342,"(6.5, 7.6, 7.56)","(3.3, 3.9, 3.888888888888889)","(9.0, 11.0, 10.6)","(7.0, 9.2, 9.11111111111111)","(2.45, 2.76, 2.7094339622641512)","(17.0, 30.0, 29.5)"
08-12-2022 12:31:41.910910,"(6.5, 7.6, 7.56)","(3.3, 3.9, 3.888888888888889)","(9.0, 11.0, 10.6)","(7.0, 9.2, 9.11111111111111)","(2.45, 2.76, 2.70975)","(17.0, 30.0, 29.5)"
08-12-2022 12:31:42.844046,"(6.5, 7.6, 7.56)","(3.3, 3.9, 3.888888888888889)","(9.0, 11.0, 10.6)","(7.0, 9.2, 9.11111111111111)","(2.45, 2.76, 2.70975)","(17.0, 30.0, 29.5)"
08-12-2022 12:31:43.831642,"(6.5, 7.4, 7.342857142857143)","(3.3, 3.9, 3.888888888888889)","(9.0, 11.0, 10.6)","(7.0, 9.2, 9.076923076923077)","(2.45, 2.76, 2.7094339622641512)","(17.0, 30.0, 29.5)"
08-12-2022 12:31:44.735927,"(6.5, 7.4, 7.342857142857143)","(3.3, 3.95, 3.876923076923077)","(9.0, 11.0, 10.6)","(7.0, 9.2, 9.076923076923077)","(2.45, 2.76, 2.7094339622641512)","(17.0, 30.0, 29.5)"
08-12-2022 12:31:45.628644,"(6.5, 7.4, 7.318181818181818)","(3.3, 3.95, 3.876923076923077)","(9.0, 11.0, 10.285714285714286)","(7.0, 9.2, 9.076923076923077)","(2.45, 2.76, 2.7164835164835166)","(17.0, 30.0, 29.59090909090909)"
08-12-2022 12:31:46.507679,"(6.5, 7.4, 7.2615384615384615)","(3.3, 3.95, 3.876923076923077)","(9.0, 11.0, 10.285714285714286)","(7.0, 9.2, 9.076923076923077)","(2.45, 2.76, 2.7164835164835166)","(17.0, 30.0, 29.59090909090909)"
08-12-2022 12:31:47.369120,"(6.5, 7.4, 7.2615384615384615)","(3.3, 3.95, 3.876923076923077)","(9.0, 11.0, 10.4)","(7.0, 9.2, 9.076923076923077)","(2.45, 2.76, 2.7169565217391307)","(17.0, 30.0, 29.59090909090909)"
08-12-2022 12:31:48.257175,"(6.5, 7.4, 7.16)","(3.3, 3.95, 3.8937500000000003)","(9.0, 11.0, 10.052631578947368)","(7.0, 9.2, 9.11578947368421)","(2.45, 2.76, 2.7164835164835166)","(17.0, 30.0, 29.59090909090909)"
08-12-2022 12:31:49.110203,"(6.5, 7.4, 7.16)","(3.3, 3.95, 3.8937500000000003)","(9.0, 11.0, 10.08695652173913)","(7.0, 9.2, 9.11578947368421)","(2.45, 2.76, 2.7164835164835166)","(17.0, 30.0, 29.59090909090909)"
08-12-2022 12:31:50.093981,"(6.5, 7.4, 7.16)","(3.3, 3.95, 3.8937500000000003)","(9.0, 11.0, 10.222222222222221)","(7.0, 9.2, 9.11578947368421)","(2.45, 2.76, 2.6656060606060605)","(17.0, 30.0, 29.59090909090909)"
08-12-2022 12:31:50.999006,"(6.5, 7.4, 7.114285714285715)","(3.3, 4.0, 3.9205882352941175)","(9.0, 10.5, 10.38888888888889)","(7.0, 9.2, 9.123809523809523)","(2.45, 2.68, 2.6656060606060605)","(17.0, 30.0, 29.59090909090909)"
08-12-2022 12:31:51.875268,"(6.5, 7.4, 7.191304347826087)","(3.3, 4.0, 3.905813953488372)","(9.0, 10.5, 10.371428571428572)","(7.0, 9.4, 9.152380952380952)","(2.45, 2.74, 2.71)","(17.0, 30.0, 29.59090909090909)"
08-12-2022 12:31:52.771156,"(6.5, 7.4, 7.191304347826087)","(3.3, 4.0, 3.905813953488372)","(9.0, 10.5, 10.371428571428572)","(7.0, 9.4, 9.152380952380952)","(2.45, 2.74, 2.71)","(17.0, 30.0, 29.59090909090909)"
08-12-2022 12:31:53.614676,"(6.5, 7.4, 7.191304347826087)","(3.3, 4.0, 3.935714285714286)","(9.0, 10.5, 10.371428571428572)","(7.0, 9.4, 9.152380952380952)","(2.45, 2.74, 2.71)","(17.0, 30.0, 29.59090909090909)"
08-12-2022 12:31:54.482707,"(6.5, 7.4, 6.688888888888888)","(3.3, 4.0, 3.958)","(9.0, 11.0, 10.181818181818182)","(7.0, 9.4, 9.355555555555556)","(2.45, 2.74, 2.6851428571428575)","(17.0, 34.0, 30.4)"
08-12-2022 12:31:55.357344,"(6.5, 7.4, 6.684210526315789)","(3.3, 4.0, 3.932258064516129)","(9.0, 11.0, 10.200000000000001)","(7.0, 9.4, 9.355555555555556)","(2.45, 2.74, 2.6894736842105265)","(17.0, 34.0, 33.21739130434783)"
08-12-2022 12:31:56.284267,"(6.5, 7.4, 6.684210526315789)","(3.3, 4.0, 3.932258064516129)","(9.0, 11.0, 10.200000000000001)","(7.0, 9.4, 9.355555555555556)","(2.45, 2.74, 2.71)","(17.0, 34.0, 33.14285714285714)"
08-12-2022 12:31:57.198426,"(6.5, 7.4, 6.672727272727273)","(3.3, 4.0, 3.932258064516129)","(9.0, 11.0, 10.337931034482759)","(7.0, 9.6, 9.568421052631578)","(2.45, 2.74, 2.71)","(17.0, 34.0, 32.714285714285715)"
08-12-2022 12:31:58.164303,"(6.5, 7.4, 6.672727272727273)","(3.3, 4.0, 3.948780487804878)","(9.0, 11.0, 10.337931034482759)","(7.0, 9.6, 9.568421052631578)","(2.45, 2.74, 2.697777777777778)","(17.0, 34.0, 33.5)"
08-12-2022 12:31:59.232341,"(6.5, 7.4, 6.630769230769231)","(3.3, 4.0, 3.948780487804878)","(9.0, 11.0, 10.418181818181818)","(7.0, 9.6, 9.568421052631578)","(2.45, 2.74, 2.697777777777778)","(17.0, 34.0, 33.5)"
08-12-2022 12:32:00.227090,"(6.5, 7.2, 6.933333333333334)","(3.3, 4.0, 3.948780487804878)","(9.0, 11.0, 10.418181818181818)","(7.0, 9.6, 9.576923076923077)","(2.45, 2.74, 2.697777777777778)","(17.0, 36.0, 34.769230769230774)"
08-12-2022 12:32:01.078865,"(6.5, 7.2, 6.933333333333334)","(3.3, 4.0, 3.948780487804878)","(9.0, 11.0, 10.418181818181818)","(7.0, 9.6, 9.58)","(2.45, 2.74, 2.697777777777778)","(17.0, 36.0, 34.769230769230774)"
08-12-2022 12:32:01.954243,"(6.0, 7.2, 6.933333333333334)","(3.3, 4.0, 3.960377358490566)","(9.0, 11.0, 10.418181818181818)","(7.0, 9.6, 9.579310344827586)","(2.45, 2.74, 2.697777777777778)","(17.0, 36.0, 34.769230769230774)"
08-12-2022 12:32:02.830320,"(6.0, 7.2, 6.933333333333334)","(3.3, 4.0, 3.960377358490566)","(9.0, 11.0, 10.418181818181818)","(7.0, 9.6, 9.579310344827586)","(2.45, 2.74, 2.697777777777778)","(17.0, 36.0, 34.769230769230774)"
08-12-2022 12:32:03.783864,"(6.0, 7.2, 6.769230769230769)","(3.3, 4.0, 3.960377358490566)","(9.0, 11.0, 10.418181818181818)","(7.0, 9.6, 9.579310344827586)","(2.45, 2.74, 2.697777777777778)","(17.0, 36.0, 34.769230769230774)"
08-12-2022 12:32:04.674198,"(6.0, 7.2, 6.769230769230769)","(3.3, 4.0, 3.960377358490566)","(9.0, 11.0, 10.466666666666667)","(7.0, 9.6, 9.579310344827586)","(2.45, 2.74, 2.697777777777778)","(17.0, 36.0, 34.857142857142854)"
08-12-2022 12:32:05.584694,"(6.0, 7.2, 6.945454545454545)","(3.3, 4.0, 3.9363636363636365)","(9.0, 11.0, 10.163636363636364)","(7.0, 9.6, 9.549999999999999)","(2.45, 2.74, 2.7074285714285717)","(17.0, 36.0, 35.23809523809524)"
08-12-2022 12:32:06.499751,"(6.0, 7.2, 6.800000000000001)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 10.08)","(7.0, 9.8, 9.694117647058825)","(2.45, 2.74, 2.7074285714285717)","(17.0, 36.0, 34.0)"
08-12-2022 12:32:07.428701,"(6.0, 7.2, 6.800000000000001)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 9.938461538461539)","(7.0, 9.8, 9.694117647058825)","(2.45, 2.74, 2.7074285714285717)","(17.0, 36.0, 34.0)"
08-12-2022 12:32:08.292756,"(6.0, 7.0, 6.95)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 9.938461538461539)","(7.0, 9.8, 9.694117647058825)","(2.45, 2.74, 2.7074285714285717)","(17.0, 36.0, 34.0)"
08-12-2022 12:32:09.142234,"(6.0, 7.0, 6.95)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 10.109677419354838)","(7.0, 9.8, 9.694117647058825)","(2.45, 2.74, 2.7074285714285717)","(17.0, 36.0, 34.0)"
08-12-2022 12:32:10.032106,"(6.0, 7.0, 6.95)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 9.961290322580645)","(7.0, 9.8, 9.694117647058825)","(2.45, 2.74, 2.7074285714285717)","(17.0, 36.0, 34.0)"
08-12-2022 12:32:10.897432,"(6.0, 7.0, 6.95)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 9.961290322580645)","(7.0, 9.8, 9.694117647058825)","(2.45, 2.74, 2.7074285714285717)","(17.0, 36.0, 34.0)"
08-12-2022 12:32:11.785760,"(6.0, 7.0, 6.95)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 10.105555555555556)","(7.0, 9.8, 9.694117647058825)","(2.45, 2.74, 2.7074285714285717)","(17.0, 36.0, 34.0)"
08-12-2022 12:32:12.743235,"(6.0, 7.0, 6.95)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 10.105555555555556)","(7.0, 9.8, 9.694117647058825)","(2.45, 2.74, 2.7074285714285717)","(17.0, 36.0, 34.0)"
08-12-2022 12:32:13.630375,"(6.0, 7.0, 6.95)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 10.105555555555556)","(7.0, 9.8, 9.694117647058825)","(2.45, 2.74, 2.7074285714285717)","(17.0, 36.0, 36.857142857142854)"
08-12-2022 12:32:14.559735,"(6.0, 7.0, 6.95)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 10.105555555555556)","(7.0, 9.8, 9.694117647058825)","(2.45, 2.74, 2.7074285714285717)","(17.0, 40.0, 36.857142857142854)"
08-12-2022 12:32:15.459646,"(6.0, 7.0, 6.95)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 10.105555555555556)","(7.0, 9.8, 9.694117647058825)","(2.45, 2.74, 2.7074285714285717)","(17.0, 40.0, 36.857142857142854)"
08-12-2022 12:32:16.320213,"(6.0, 7.0, 6.95)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 10.328)","(7.0, 9.8, 9.714285714285715)","(2.45, 2.74, 2.728)","(17.0, 40.0, 38.53333333333333)"
08-12-2022 12:32:17.190136,"(6.0, 7.0, 6.714285714285714)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 10.066666666666666)","(7.0, 9.8, 9.714285714285715)","(2.45, 2.74, 2.728)","(17.0, 40.0, 38.53333333333333)"
08-12-2022 12:32:18.056281,"(6.0, 7.0, 6.6000000000000005)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 10.066666666666666)","(7.0, 9.8, 9.725000000000001)","(2.45, 2.74, 2.702857142857143)","(17.0, 40.0, 38.625)"
08-12-2022 12:32:18.961971,"(6.0, 7.0, 6.6000000000000005)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 10.066666666666666)","(7.0, 9.8, 9.725000000000001)","(2.45, 2.74, 2.702857142857143)","(17.0, 40.0, 36.0)"
08-12-2022 12:32:19.835861,"(6.0, 6.8, 6.571428571428571)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 9.971428571428572)","(7.0, 9.8, 9.725000000000001)","(2.45, 2.74, 2.702857142857143)","(17.0, 40.0, 36.0)"
08-12-2022 12:32:20.789998,"(6.0, 6.8, 6.56)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 9.971428571428572)","(7.0, 9.8, 9.725000000000001)","(2.45, 2.74, 2.702857142857143)","(17.0, 40.0, 36.0)"
08-12-2022 12:32:21.676705,"(6.0, 6.8, 6.56)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 9.971428571428572)","(7.0, 9.8, 9.725000000000001)","(2.45, 2.74, 2.702857142857143)","(17.0, 40.0, 36.0)"
08-12-2022 12:32:22.631425,"(6.0, 6.8, 6.56)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 9.971428571428572)","(7.0, 9.8, 9.725000000000001)","(2.45, 2.74, 2.702857142857143)","(17.0, 40.0, 36.0)"
08-12-2022 12:32:23.590741,"(6.0, 6.8, 6.56)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 9.971428571428572)","(7.0, 9.8, 9.725000000000001)","(2.45, 2.74, 2.702857142857143)","(17.0, 40.0, 36.0)"
08-12-2022 12:32:24.569618,"(6.0, 6.8, 6.56)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 10.242105263157896)","(7.0, 9.8, 9.725000000000001)","(2.45, 2.74, 2.702857142857143)","(17.0, 40.0, 36.0)"
08-12-2022 12:32:25.468770,"(6.0, 6.8, 6.243478260869566)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 10.03076923076923)","(7.0, 9.8, 9.725000000000001)","(2.45, 2.74, 2.7131034482758625)","(17.0, 40.0, 38.62068965517241)"
08-12-2022 12:32:26.347025,"(6.0, 6.8, 6.243478260869566)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 10.03076923076923)","(7.0, 9.8, 9.725000000000001)","(2.45, 2.74, 2.728)","(17.0, 40.0, 38.62068965517241)"
08-12-2022 12:32:27.239075,"(6.0, 6.8, 6.266666666666667)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 10.03076923076923)","(7.0, 9.8, 9.725000000000001)","(2.45, 2.74, 2.728)","(17.0, 40.0, 34.666666666666664)"
08-12-2022 12:32:28.130126,"(6.0, 6.8, 6.266666666666667)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 10.03076923076923)","(7.0, 9.8, 9.725000000000001)","(2.45, 2.74, 2.728)","(17.0, 40.0, 37.09090909090909)"
08-12-2022 12:32:29.005411,"(6.0, 6.8, 6.266666666666667)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 10.03076923076923)","(7.0, 9.8, 9.725000000000001)","(2.45, 2.74, 2.728)","(17.0, 40.0, 37.09090909090909)"
08-12-2022 12:32:29.909619,"(6.0, 6.8, 6.266666666666667)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 10.03076923076923)","(7.0, 9.8, 9.725000000000001)","(2.45, 2.74, 2.6984615384615385)","(17.0, 40.0, 37.09090909090909)"
08-12-2022 12:32:30.789833,"(6.0, 6.8, 6.266666666666667)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 10.03076923076923)","(7.0, 9.8, 9.725000000000001)","(2.45, 2.74, 2.6984615384615385)","(17.0, 40.0, 37.09090909090909)"
08-12-2022 12:32:31.744816,"(6.0, 6.8, 6.266666666666667)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 10.03076923076923)","(7.0, 9.8, 9.725000000000001)","(2.45, 2.74, 2.6984615384615385)","(17.0, 40.0, 37.09090909090909)"
08-12-2022 12:32:32.726895,"(6.0, 6.8, 6.266666666666667)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 10.03076923076923)","(7.0, 9.8, 9.725000000000001)","(2.45, 2.74, 2.6984615384615385)","(17.0, 40.0, 37.09090909090909)"
08-12-2022 12:32:33.710714,"(6.0, 6.8, 6.373333333333333)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 10.03076923076923)","(7.0, 9.8, 9.6875)","(2.45, 2.74, 2.6984615384615385)","(17.0, 40.0, 36.44444444444444)"
08-12-2022 12:32:34.619961,"(6.0, 6.8, 6.373333333333333)","(3.3, 4.0, 3.9045454545454548)","(9.0, 11.0, 10.16)","(7.0, 9.8, 9.661538461538463)","(2.45, 2.74, 2.6984615384615385)","(17.0, 40.0, 36.44444444444444)"
08-12-2022 12:32:35.544684,"(6.0, 6.8, 6.243478260869566)","(3.3, 4.0, 3.8833333333333333)","(9.0, 11.0, 10.137500000000001)","(7.0, 9.8, 9.661538461538463)","(2.45, 2.74, 2.7082352941176473)","(18.0, 40.0, 38.769230769230774)"
08-12-2022 12:32:36.507173,"(6.0, 6.8, 6.358620689655172)","(3.3, 4.0, 3.8833333333333333)","(9.0, 11.0, 10.137500000000001)","(7.0, 9.8, 9.661538461538463)","(2.45, 2.74, 2.7082352941176473)","(18.0, 40.0, 36.0)"
08-12-2022 12:32:37.434401,"(6.0, 6.6, 6.339130434782609)","(3.3, 4.0, 3.8833333333333333)","(9.0, 11.0, 10.08)","(7.0, 9.8, 9.661538461538463)","(2.45, 2.74, 2.7082352941176473)","(18.0, 40.0, 36.0)"
08-12-2022 12:32:38.327432,"(6.0, 6.6, 6.339130434782609)","(3.3, 4.0, 3.8833333333333333)","(9.0, 11.0, 10.08)","(7.0, 9.8, 9.661538461538463)","(2.45, 2.74, 2.7082352941176473)","(18.0, 40.0, 36.0)"
08-12-2022 12:32:39.300123,"(6.0, 6.6, 6.314285714285714)","(3.3, 4.0, 3.919230769230769)","(9.0, 11.0, 10.148148148148149)","(7.0, 9.8, 9.6875)","(2.45, 2.74, 2.7142857142857144)","(18.0, 40.0, 39.0)"
08-12-2022 12:32:40.230498,"(6.0, 6.6, 6.269565217391304)","(3.3, 4.0, 3.919230769230769)","(9.0, 11.0, 10.148148148148149)","(7.0, 9.8, 9.6875)","(2.45, 2.74, 2.7232558139534886)","(18.0, 40.0, 39.0)"
08-12-2022 12:32:41.122743,"(6.0, 6.6, 6.269565217391304)","(3.3, 4.0, 3.919230769230769)","(9.0, 11.0, 10.148148148148149)","(7.0, 9.8, 9.71)","(2.45, 2.74, 2.7232558139534886)","(18.0, 40.0, 39.0)"
08-12-2022 12:32:42.056855,"(6.0, 6.6, 6.269565217391304)","(3.3, 4.0, 3.919230769230769)","(9.0, 11.0, 10.148148148148149)","(7.0, 9.8, 9.71)","(2.45, 2.74, 2.7232558139534886)","(18.0, 40.0, 39.0)"
08-12-2022 12:32:43.023854,"(6.0, 6.6, 6.276190476190476)","(3.3, 4.0, 3.919230769230769)","(9.0, 11.0, 10.08)","(7.0, 9.8, 9.71)","(2.45, 2.74, 2.7232558139534886)","(18.0, 40.0, 38.8)"
08-12-2022 12:32:43.999956,"(6.0, 6.6, 6.276190476190476)","(3.3, 4.0, 3.919230769230769)","(9.0, 11.0, 10.08)","(7.0, 9.8, 9.700000000000001)","(2.45, 2.74, 2.7232558139534886)","(18.0, 40.0, 38.8)"
08-12-2022 12:32:44.976812,"(6.0, 6.6, 6.276190476190476)","(3.3, 4.0, 3.919230769230769)","(9.0, 11.0, 10.08)","(7.0, 9.8, 9.671428571428573)","(2.45, 2.74, 2.7344827586206897)","(19.0, 40.0, 39.4)"
08-12-2022 12:32:45.851633,"(6.0, 6.6, 6.276190476190476)","(3.3, 4.0, 3.895)","(9.0, 11.0, 10.4)","(7.0, 9.8, 9.671428571428573)","(2.45, 2.74, 2.7344827586206897)","(19.0, 40.0, 39.4)"
08-12-2022 12:32:46.798234,"(6.0, 6.6, 6.276190476190476)","(3.3, 4.0, 3.9475000000000002)","(9.0, 11.0, 10.4)","(7.0, 9.8, 9.671428571428573)","(2.45, 2.74, 2.716393442622951)","(19.0, 40.0, 39.42857142857143)"
