,Our Georgie,Jayville Bolt,Akina Aria,Akina Adonis,On The Cusp,Spolly John,Skys Delight,Rio Blazer
09-01-2023 14:13:30.379726,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.3310344827586205)","(5.0, 10.5, 9.930769230769231)"
09-01-2023 14:13:31.555261,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.5, 9.930769230769231)"
09-01-2023 14:13:32.763856,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.5, 9.930769230769231)"
09-01-2023 14:13:33.984930,"(3.6, 5.1, 4.073684210526316)","(7.0, 14.0, 11.8)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.5, 9.930769230769231)"
09-01-2023 14:13:35.220079,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.5, 9.930769230769231)"
09-01-2023 14:13:36.668106,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.5, 9.930769230769231)"
09-01-2023 14:13:38.010977,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 35.57142857142857)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.5, 9.930769230769231)"
09-01-2023 14:13:39.285642,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 35.57142857142857)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.5, 9.930769230769231)"
09-01-2023 14:13:40.322882,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 46.0, 31.0)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.5, 9.930769230769231)"
09-01-2023 14:13:41.374861,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 46.0, 31.0)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.5, 9.930769230769231)"
09-01-2023 14:13:42.567291,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 46.0, 31.0)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.5, 9.930769230769231)"
09-01-2023 14:13:43.725942,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 46.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.5, 10.246666666666666)"
09-01-2023 14:13:44.903077,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 11.5, 10.246666666666666)"
09-01-2023 14:13:46.127785,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 11.5, 10.246666666666666)"
09-01-2023 14:13:47.367845,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 11.5, 10.246666666666666)"
09-01-2023 14:13:48.528816,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 11.5, 10.246666666666666)"
09-01-2023 14:13:49.614599,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 11.5, 10.246666666666666)"
09-01-2023 14:13:50.654914,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 11.5, 10.246666666666666)"
09-01-2023 14:13:51.751541,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 11.5, 10.246666666666666)"
09-01-2023 14:13:52.908545,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 11.5, 10.246666666666666)"
09-01-2023 14:13:54.034715,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 11.5, 10.776923076923076)"
09-01-2023 14:13:55.204902,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 11.5, 10.776923076923076)"
09-01-2023 14:13:56.371230,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 11.5, 10.776923076923076)"
09-01-2023 14:13:57.557665,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 11.5, 10.776923076923076)"
09-01-2023 14:13:58.674879,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 11.5, 10.776923076923076)"
09-01-2023 14:13:59.815439,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 11.5, 10.776923076923076)"
09-01-2023 14:14:00.858402,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 11.5, 10.776923076923076)"
09-01-2023 14:14:01.970327,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 11.5, 10.776923076923076)"
09-01-2023 14:14:02.976982,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 11.5, 10.776923076923076)"
09-01-2023 14:14:04.055239,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 11.5, 9.930769230769231)"
09-01-2023 14:14:05.102517,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.5, 9.930769230769231)"
09-01-2023 14:14:06.147293,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.5, 9.930769230769231)"
09-01-2023 14:14:07.225954,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 28.666666666666664)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.5, 9.930769230769231)"
09-01-2023 14:14:08.352216,"(3.6, 5.1, 4.725)","(7.0, 13.0, 11.133333333333333)","(20.0, 48.0, 31.0)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.5, 9.507692307692308)"
09-01-2023 14:14:09.391785,"(3.6, 5.1, 4.1625)","(7.0, 13.0, 11.133333333333333)","(20.0, 46.0, 31.0)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.0, 9.507692307692308)"
09-01-2023 14:14:10.487347,"(3.6, 5.1, 4.1625)","(7.0, 13.0, 11.133333333333333)","(20.0, 46.0, 31.0)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.0, 9.507692307692308)"
09-01-2023 14:14:11.576266,"(3.6, 5.1, 4.1625)","(7.0, 13.0, 11.133333333333333)","(20.0, 46.0, 31.0)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.0, 9.507692307692308)"
09-01-2023 14:14:12.677914,"(3.6, 5.1, 4.1625)","(7.0, 13.0, 11.133333333333333)","(20.0, 46.0, 31.0)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.0, 9.507692307692308)"
09-01-2023 14:14:13.699704,"(3.6, 5.1, 4.1625)","(7.0, 13.0, 11.133333333333333)","(20.0, 46.0, 31.0)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.0, 9.507692307692308)"
09-01-2023 14:14:14.729153,"(3.6, 5.1, 4.1625)","(7.0, 13.0, 11.133333333333333)","(20.0, 46.0, 31.0)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.0, 9.507692307692308)"
09-01-2023 14:14:15.809912,"(3.6, 5.1, 4.1625)","(7.0, 13.0, 11.133333333333333)","(20.0, 46.0, 31.0)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.0, 9.507692307692308)"
09-01-2023 14:14:16.941865,"(3.6, 5.1, 4.1625)","(7.0, 13.0, 11.133333333333333)","(20.0, 46.0, 31.0)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.0, 9.507692307692308)"
09-01-2023 14:14:18.047840,"(3.6, 5.1, 4.1625)","(7.0, 13.0, 11.133333333333333)","(20.0, 46.0, 31.0)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.0, 9.507692307692308)"
09-01-2023 14:14:19.156161,"(3.6, 5.1, 4.1625)","(7.0, 13.0, 11.133333333333333)","(20.0, 46.0, 31.0)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.0, 9.507692307692308)"
09-01-2023 14:14:20.292494,"(3.6, 5.1, 4.1625)","(7.0, 13.0, 11.133333333333333)","(20.0, 46.0, 31.0)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 10.0, 10.246666666666666)"
09-01-2023 14:14:21.447543,"(3.6, 5.1, 4.1625)","(7.0, 13.0, 11.133333333333333)","(20.0, 46.0, 31.0)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 11.5, 10.246666666666666)"
09-01-2023 14:14:22.585533,"(3.6, 5.1, 4.1625)","(7.0, 13.0, 11.133333333333333)","(20.0, 46.0, 31.0)","(26.0, 75.0, 37.90909090909091)","(12.0, 26.0, 18.77777777777778)","(5.0, 7.6, 6.7)","(3.0, 4.9, 3.4266666666666667)","(5.0, 11.5, 10.246666666666666)"
