,Prince Of Belair,Hooked On Xena,Yosemite Sam,Rowdy Roddy,Night Shift,Bimini Twist,Spring Lilli,Bailey
07-01-2023 19:57:02.486081,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 134.1818181818182)","(4.4, 9.0, 7.963636363636364)"
07-01-2023 19:57:03.854661,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 134.1818181818182)","(4.4, 9.0, 7.963636363636364)"
07-01-2023 19:57:05.306044,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 134.1818181818182)","(4.4, 9.0, 7.963636363636364)"
07-01-2023 19:57:06.764733,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 134.1818181818182)","(4.4, 9.0, 7.963636363636364)"
07-01-2023 19:57:08.068785,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 134.1818181818182)","(4.4, 9.0, 7.963636363636364)"
07-01-2023 19:57:09.291739,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 134.1818181818182)","(4.4, 9.0, 7.963636363636364)"
07-01-2023 19:57:10.474209,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 134.1818181818182)","(4.4, 9.0, 7.963636363636364)"
07-01-2023 19:57:11.776055,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 134.1818181818182)","(4.4, 9.0, 7.963636363636364)"
07-01-2023 19:57:13.112348,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 134.1818181818182)","(4.4, 9.0, 8.30625)"
07-01-2023 19:57:14.352650,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 134.1818181818182)","(4.4, 9.0, 8.41578947368421)"
07-01-2023 19:57:15.553635,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 134.1818181818182)","(4.4, 9.0, 8.41578947368421)"
07-01-2023 19:57:16.839332,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 173.23076923076923)","(4.4, 9.0, 8.41578947368421)"
07-01-2023 19:57:18.102306,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 173.23076923076923)","(4.4, 9.0, 8.41578947368421)"
07-01-2023 19:57:19.334607,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 173.23076923076923)","(4.4, 9.0, 8.41578947368421)"
07-01-2023 19:57:20.582842,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 173.23076923076923)","(4.4, 9.0, 8.41578947368421)"
07-01-2023 19:57:21.904205,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 173.23076923076923)","(4.4, 9.0, 8.41578947368421)"
07-01-2023 19:57:23.249824,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 173.23076923076923)","(4.4, 9.0, 8.41578947368421)"
07-01-2023 19:57:24.566270,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 173.23076923076923)","(4.4, 9.0, 8.41578947368421)"
07-01-2023 19:57:25.822333,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 173.23076923076923)","(4.4, 9.0, 8.41578947368421)"
07-01-2023 19:57:27.215183,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 173.23076923076923)","(4.4, 9.0, 7.65)"
07-01-2023 19:57:28.681047,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 173.23076923076923)","(4.4, 9.0, 8.25)"
07-01-2023 19:57:29.912546,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 173.23076923076923)","(4.4, 9.0, 8.3625)"
07-01-2023 19:57:31.118891,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 173.23076923076923)","(4.4, 9.0, 7.02)"
07-01-2023 19:57:32.372846,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 173.23076923076923)","(4.4, 9.0, 7.02)"
07-01-2023 19:57:33.600104,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 173.23076923076923)","(4.4, 9.0, 7.02)"
07-01-2023 19:57:34.784506,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 173.23076923076923)","(4.4, 9.0, 7.02)"
07-01-2023 19:57:35.961787,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 173.23076923076923)","(4.4, 9.0, 7.02)"
07-01-2023 19:57:37.217462,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 173.23076923076923)","(4.4, 9.0, 7.02)"
07-01-2023 19:57:38.442095,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 173.23076923076923)","(4.4, 9.0, 6.9)"
07-01-2023 19:57:39.657432,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 173.23076923076923)","(4.4, 9.0, 6.9)"
07-01-2023 19:57:40.734490,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 173.23076923076923)","(4.4, 9.0, 6.9)"
07-01-2023 19:57:41.853939,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 173.23076923076923)","(4.4, 9.0, 6.9)"
07-01-2023 19:57:43.037062,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 18.75)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 173.23076923076923)","(4.4, 9.0, 6.9)"
07-01-2023 19:57:44.205104,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 212.0)","(4.4, 9.0, 6.9)"
07-01-2023 19:57:45.424958,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 212.0)","(4.4, 9.0, 6.9)"
07-01-2023 19:57:46.511192,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.3625)"
07-01-2023 19:57:47.755549,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.1)"
07-01-2023 19:57:48.993428,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.1)"
07-01-2023 19:57:50.186713,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.1)"
07-01-2023 19:57:51.273793,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.1)"
07-01-2023 19:57:52.431248,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.1)"
07-01-2023 19:57:53.639660,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.1)"
07-01-2023 19:57:54.901124,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.1)"
07-01-2023 19:57:55.990510,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.1)"
07-01-2023 19:57:57.119271,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.1)"
07-01-2023 19:57:58.229889,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.1)"
07-01-2023 19:57:59.428007,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.1)"
07-01-2023 19:58:00.569825,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.1)"
07-01-2023 19:58:01.683213,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.1)"
07-01-2023 19:58:02.917277,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.1)"
07-01-2023 19:58:04.132436,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.1)"
07-01-2023 19:58:05.302459,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.4)"
07-01-2023 19:58:06.416912,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.4)"
07-01-2023 19:58:07.587741,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.4)"
07-01-2023 19:58:08.732707,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.4)"
07-01-2023 19:58:09.800170,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.4)"
07-01-2023 19:58:10.796852,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.4)"
07-01-2023 19:58:11.935359,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.4)"
07-01-2023 19:58:13.144314,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.4)"
07-01-2023 19:58:14.331828,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.4)"
07-01-2023 19:58:15.491921,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.4)"
07-01-2023 19:58:16.664807,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.0)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 15.214285714285715)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 209.0)","(4.4, 9.0, 8.4)"
07-01-2023 19:58:17.837928,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.45)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 17.833333333333332)","(3.4, 5.4, 3.691666666666667)","(51.0, 380.0, 180.5)","(4.4, 9.0, 7.5)"
07-01-2023 19:58:19.074964,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.45)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 17.833333333333332)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 180.5)","(4.4, 9.0, 7.5)"
07-01-2023 19:58:20.183409,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.45)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 17.833333333333332)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 180.5)","(4.4, 9.0, 8.45)"
07-01-2023 19:58:21.260667,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.45)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 17.833333333333332)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 180.5)","(4.4, 9.0, 8.45)"
07-01-2023 19:58:22.434744,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.45)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 17.833333333333332)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 180.5)","(4.4, 9.0, 8.45)"
07-01-2023 19:58:23.614656,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.45)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 17.833333333333332)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 180.5)","(4.4, 9.0, 8.45)"
07-01-2023 19:58:24.775096,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.45)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 17.833333333333332)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 180.5)","(4.4, 9.0, 8.45)"
07-01-2023 19:58:25.904348,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.45)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 17.833333333333332)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 180.5)","(4.4, 9.0, 8.45)"
07-01-2023 19:58:27.067975,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.45)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 17.833333333333332)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 180.5)","(4.4, 9.0, 8.45)"
07-01-2023 19:58:28.257218,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.45)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 17.833333333333332)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 180.5)","(4.4, 9.0, 8.45)"
07-01-2023 19:58:29.423255,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.45)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 17.833333333333332)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 180.5)","(4.4, 9.0, 8.45)"
07-01-2023 19:58:30.525077,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.45)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 17.833333333333332)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 180.5)","(4.4, 9.0, 8.45)"
07-01-2023 19:58:31.663924,"(8.5, 99999, 99990)","(11.0, 22.0, 14.333333333333334)","(4.0, 7.2, 6.45)","(4.8, 7.2, 5.466666666666667)","(10.0, 27.0, 17.833333333333332)","(3.4, 5.4, 4.033333333333333)","(51.0, 380.0, 180.5)","(4.4, 9.0, 8.45)"
