,Destini Phantom,Leichhardt Roar,Drama Kids,My Joy,Fernando Belle,Prince Jewels,Role Model,Connors Comet
10-01-2023 17:39:17.627682,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:18.746855,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:19.954172,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:21.198314,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:22.423163,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:23.671463,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:24.929957,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:26.150837,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:27.266055,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:28.330826,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:29.391434,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:30.461431,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:31.513405,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:32.650518,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:33.786686,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:34.965759,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:36.094493,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:37.175797,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:38.262363,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:39.325807,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:40.343822,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:41.405810,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
10-01-2023 17:39:42.514063,"(5.0, 11.5, 5.65)","(2.45, 4.0, 2.6125)","(5.5, 14.0, 6.53)","(4.0, 7.0, 5.9642857142857135)","(11.0, 24.0, 23.775862068965516)","(11.0, 24.0, 23.775862068965516)","(11.0, 28.0, 26.365384615384613)","(41.0, 330.0, 187.0)"
