,Quatum,Super Fast,Favs Flyer,Winds Of War,Dynamic Artist,Victory For Us,Whits End,Line Of Kings,Sirianni,Nanna Knuckey,Explosive Girl,Right Bower,Tiny Tiara
07-01-2023 16:42:04.926918,"(2.6, 3.3, 3.2377777777777776)","(3.6, 5.5, 5.168421052631579)","(61.0, 130.0, 89.0)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.32)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 122.0)","(51.0, 190.0, 106.66666666666666)","(21.0, 42.0, 35.388888888888886)","(31.0, 130.0, 115.0)"
07-01-2023 16:42:06.351560,"(2.6, 3.3, 3.2377777777777776)","(3.6, 5.5, 5.168421052631579)","(61.0, 130.0, 89.0)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.44)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 122.0)","(51.0, 190.0, 106.66666666666666)","(21.0, 42.0, 35.388888888888886)","(31.0, 130.0, 115.0)"
07-01-2023 16:42:07.974942,"(2.6, 3.3, 3.2377777777777776)","(3.6, 5.5, 5.168421052631579)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.44)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 122.0)","(51.0, 190.0, 106.66666666666666)","(21.0, 42.0, 35.388888888888886)","(31.0, 130.0, 115.0)"
07-01-2023 16:42:09.722647,"(2.6, 3.3, 3.2377777777777776)","(3.6, 5.5, 5.205263157894737)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.44)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 122.0)","(51.0, 190.0, 106.66666666666666)","(21.0, 42.0, 32.84615384615385)","(31.0, 130.0, 115.0)"
07-01-2023 16:42:11.266708,"(2.6, 3.3, 3.2377777777777776)","(3.6, 5.5, 5.205263157894737)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.44)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 122.0)","(51.0, 190.0, 106.66666666666666)","(21.0, 42.0, 32.84615384615385)","(31.0, 130.0, 115.0)"
07-01-2023 16:42:12.816790,"(2.6, 3.3, 3.2377777777777776)","(3.6, 5.5, 5.188888888888889)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.44)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 122.0)","(51.0, 190.0, 106.66666666666666)","(21.0, 42.0, 32.84615384615385)","(31.0, 130.0, 115.0)"
07-01-2023 16:42:14.414582,"(2.6, 3.3, 3.2377777777777776)","(3.6, 5.5, 5.205263157894737)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.44)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 122.0)","(51.0, 190.0, 106.66666666666666)","(21.0, 42.0, 32.84615384615385)","(31.0, 130.0, 115.0)"
07-01-2023 16:42:15.914487,"(2.6, 3.3, 3.2377777777777776)","(3.6, 5.5, 5.205263157894737)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.44)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 122.0)","(51.0, 190.0, 106.66666666666666)","(21.0, 42.0, 32.84615384615385)","(31.0, 130.0, 115.0)"
07-01-2023 16:42:17.560785,"(2.6, 3.3, 3.2377777777777776)","(3.6, 5.5, 5.205263157894737)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.44)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 122.0)","(51.0, 190.0, 106.66666666666666)","(21.0, 42.0, 32.84615384615385)","(31.0, 130.0, 115.0)"
07-01-2023 16:42:19.079566,"(2.6, 3.3, 3.2377777777777776)","(3.6, 5.5, 5.205263157894737)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.44)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 122.0)","(51.0, 190.0, 106.66666666666666)","(21.0, 42.0, 32.84615384615385)","(31.0, 130.0, 115.0)"
07-01-2023 16:42:20.555968,"(2.6, 3.3, 3.2377777777777776)","(3.6, 5.5, 5.0181818181818185)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.44)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 131.5)","(51.0, 190.0, 127.5)","(21.0, 42.0, 32.84615384615385)","(31.0, 130.0, 86.0)"
07-01-2023 16:42:22.020047,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.0181818181818185)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.44)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 131.5)","(51.0, 190.0, 127.5)","(21.0, 42.0, 32.84615384615385)","(31.0, 130.0, 86.0)"
07-01-2023 16:42:23.890403,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.228571428571429)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.44)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 131.5)","(51.0, 190.0, 127.5)","(21.0, 42.0, 32.84615384615385)","(31.0, 130.0, 86.0)"
07-01-2023 16:42:25.744111,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.228571428571429)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.44)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 131.5)","(51.0, 190.0, 127.5)","(21.0, 42.0, 32.84615384615385)","(31.0, 130.0, 86.0)"
07-01-2023 16:42:27.200754,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.228571428571429)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.44)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 131.5)","(51.0, 190.0, 106.66666666666666)","(21.0, 42.0, 32.84615384615385)","(31.0, 130.0, 86.0)"
07-01-2023 16:42:28.628728,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.228571428571429)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 9.8, 9.44)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 131.5)","(51.0, 190.0, 106.66666666666666)","(21.0, 42.0, 32.84615384615385)","(31.0, 130.0, 86.0)"
07-01-2023 16:42:30.195603,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.228571428571429)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 16.75)","(6.5, 9.8, 9.44)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 141.33333333333334)","(51.0, 190.0, 106.66666666666666)","(21.0, 42.0, 32.84615384615385)","(31.0, 130.0, 86.0)"
07-01-2023 16:42:31.692298,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.152941176470589)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 16.75)","(6.5, 9.8, 9.44)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 141.33333333333334)","(51.0, 190.0, 106.66666666666666)","(21.0, 42.0, 32.84615384615385)","(31.0, 130.0, 86.0)"
07-01-2023 16:42:33.402145,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.152941176470589)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 16.75)","(6.5, 9.8, 9.52)","(41.0, 160.0, 122.0)","(26.0, 44.0, 32.0)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 141.33333333333334)","(51.0, 190.0, 106.66666666666666)","(21.0, 42.0, 36.33333333333333)","(31.0, 130.0, 86.0)"
07-01-2023 16:42:34.947607,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.152941176470589)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 160.0, 122.0)","(26.0, 44.0, 33.5)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 141.33333333333334)","(51.0, 190.0, 106.66666666666666)","(21.0, 42.0, 51.25)","(31.0, 130.0, 86.0)"
07-01-2023 16:42:36.536140,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.152941176470589)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 160.0, 122.0)","(26.0, 44.0, 33.5)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 141.33333333333334)","(51.0, 190.0, 127.5)","(21.0, 55.0, 45.0)","(31.0, 130.0, 100.66666666666666)"
07-01-2023 16:42:37.969915,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.152941176470589)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 160.0, 122.0)","(26.0, 44.0, 33.5)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 141.33333333333334)","(51.0, 190.0, 127.5)","(21.0, 55.0, 45.0)","(31.0, 130.0, 100.66666666666666)"
07-01-2023 16:42:39.534836,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.166666666666667)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 160.0, 122.0)","(26.0, 44.0, 33.5)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 141.33333333333334)","(51.0, 190.0, 127.5)","(21.0, 55.0, 45.0)","(31.0, 130.0, 100.66666666666666)"
07-01-2023 16:42:41.028296,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.166666666666667)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 160.0, 122.0)","(26.0, 44.0, 33.5)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 141.33333333333334)","(51.0, 190.0, 127.5)","(21.0, 55.0, 45.0)","(31.0, 130.0, 100.66666666666666)"
07-01-2023 16:42:42.558105,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.166666666666667)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 160.0, 122.0)","(26.0, 44.0, 33.5)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 103.0)","(51.0, 190.0, 127.5)","(21.0, 55.0, 45.0)","(31.0, 130.0, 100.66666666666666)"
07-01-2023 16:42:44.145116,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.166666666666667)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 160.0, 122.0)","(26.0, 44.0, 33.5)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 103.0)","(51.0, 190.0, 127.5)","(21.0, 55.0, 45.0)","(31.0, 130.0, 100.66666666666666)"
07-01-2023 16:42:45.722697,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.166666666666667)","(61.0, 130.0, 102.66666666666666)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 160.0, 122.0)","(26.0, 44.0, 33.5)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 103.0)","(51.0, 190.0, 127.5)","(21.0, 55.0, 45.0)","(31.0, 130.0, 100.66666666666666)"
07-01-2023 16:42:47.205877,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.166666666666667)","(61.0, 130.0, 116.33333333333333)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 160.0, 122.0)","(26.0, 44.0, 33.5)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 103.0)","(51.0, 190.0, 127.5)","(21.0, 55.0, 45.0)","(31.0, 130.0, 100.66666666666666)"
07-01-2023 16:42:48.707971,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.166666666666667)","(61.0, 130.0, 116.33333333333333)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 160.0, 122.0)","(26.0, 44.0, 33.5)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 103.0)","(51.0, 190.0, 127.5)","(21.0, 55.0, 45.0)","(31.0, 130.0, 100.66666666666666)"
07-01-2023 16:42:50.260060,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.166666666666667)","(61.0, 130.0, 116.33333333333333)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 160.0, 122.0)","(26.0, 44.0, 33.5)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 103.0)","(51.0, 190.0, 127.5)","(21.0, 55.0, 45.0)","(31.0, 130.0, 100.66666666666666)"
07-01-2023 16:42:51.908272,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.166666666666667)","(61.0, 130.0, 116.33333333333333)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 160.0, 122.0)","(26.0, 44.0, 33.5)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 103.0)","(51.0, 190.0, 127.5)","(21.0, 55.0, 45.0)","(31.0, 130.0, 100.66666666666666)"
07-01-2023 16:42:53.442235,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.166666666666667)","(61.0, 130.0, 116.33333333333333)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 160.0, 122.0)","(26.0, 44.0, 33.5)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 103.0)","(51.0, 190.0, 127.5)","(21.0, 55.0, 45.0)","(31.0, 130.0, 100.66666666666666)"
07-01-2023 16:42:54.986088,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.166666666666667)","(61.0, 130.0, 116.33333333333333)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 160.0, 122.0)","(26.0, 44.0, 33.5)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 103.0)","(51.0, 190.0, 127.5)","(21.0, 55.0, 45.0)","(31.0, 130.0, 100.66666666666666)"
07-01-2023 16:42:56.450170,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.166666666666667)","(61.0, 130.0, 116.33333333333333)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 160.0, 122.0)","(26.0, 44.0, 33.5)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 103.0)","(51.0, 190.0, 127.5)","(21.0, 55.0, 45.0)","(31.0, 130.0, 100.66666666666666)"
07-01-2023 16:42:57.908414,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.166666666666667)","(61.0, 130.0, 116.33333333333333)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 160.0, 122.0)","(26.0, 44.0, 33.5)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 103.0)","(51.0, 190.0, 127.5)","(21.0, 55.0, 45.0)","(31.0, 130.0, 100.66666666666666)"
07-01-2023 16:42:59.337796,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.166666666666667)","(61.0, 130.0, 116.33333333333333)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 160.0, 122.0)","(26.0, 44.0, 33.5)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 103.0)","(51.0, 190.0, 127.5)","(21.0, 55.0, 45.0)","(31.0, 130.0, 100.66666666666666)"
07-01-2023 16:43:00.832073,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.166666666666667)","(61.0, 130.0, 116.33333333333333)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 160.0, 98.0)","(26.0, 44.0, 33.5)","(8.5, 13.0, 10.916666666666666)","(41.0, 160.0, 80.66666666666666)","(51.0, 190.0, 127.5)","(21.0, 55.0, 45.0)","(31.0, 130.0, 100.66666666666666)"
07-01-2023 16:43:02.368988,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.166666666666667)","(61.0, 130.0, 118.28571428571428)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 150.0, 98.0)","(26.0, 44.0, 33.5)","(8.5, 13.0, 10.916666666666666)","(41.0, 150.0, 80.66666666666666)","(51.0, 190.0, 127.5)","(21.0, 55.0, 45.0)","(31.0, 130.0, 115.66666666666667)"
07-01-2023 16:43:03.915840,"(2.6, 3.2, 2.936)","(3.6, 5.4, 5.166666666666667)","(61.0, 130.0, 118.28571428571428)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 150.0, 98.0)","(26.0, 44.0, 33.5)","(8.5, 13.0, 10.916666666666666)","(41.0, 150.0, 80.66666666666666)","(51.0, 190.0, 155.71428571428572)","(21.0, 55.0, 45.0)","(31.0, 130.0, 115.66666666666667)"
07-01-2023 16:43:05.435631,"(2.6, 3.2, 3.02)","(3.6, 5.4, 5.166666666666667)","(61.0, 130.0, 118.28571428571428)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 150.0, 98.0)","(26.0, 44.0, 33.5)","(8.5, 13.0, 10.916666666666666)","(41.0, 150.0, 80.66666666666666)","(51.0, 190.0, 155.71428571428572)","(21.0, 55.0, 45.0)","(31.0, 130.0, 115.66666666666667)"
07-01-2023 16:43:07.142067,"(2.6, 3.2, 3.02)","(3.6, 5.4, 5.166666666666667)","(61.0, 130.0, 118.28571428571428)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 150.0, 98.0)","(26.0, 44.0, 33.5)","(8.5, 13.0, 10.916666666666666)","(41.0, 150.0, 80.66666666666666)","(51.0, 190.0, 155.71428571428572)","(21.0, 55.0, 45.0)","(31.0, 130.0, 115.66666666666667)"
07-01-2023 16:43:08.625984,"(2.6, 3.2, 3.02)","(3.6, 5.4, 5.166666666666667)","(61.0, 130.0, 118.28571428571428)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 150.0, 98.0)","(26.0, 44.0, 33.5)","(8.5, 13.0, 10.916666666666666)","(41.0, 150.0, 80.66666666666666)","(51.0, 190.0, 155.71428571428572)","(21.0, 55.0, 45.0)","(31.0, 130.0, 115.66666666666667)"
07-01-2023 16:43:10.179759,"(2.6, 3.2, 3.02)","(3.6, 5.4, 4.945454545454546)","(61.0, 130.0, 118.28571428571428)","(10.0, 17.0, 12.875)","(14.0, 22.0, 16.75)","(6.5, 10.0, 9.52)","(41.0, 150.0, 98.0)","(26.0, 44.0, 47.5)","(8.5, 13.0, 10.916666666666666)","(41.0, 150.0, 80.66666666666666)","(51.0, 190.0, 155.71428571428572)","(21.0, 55.0, 45.0)","(31.0, 130.0, 115.66666666666667)"
07-01-2023 16:43:11.767540,"(2.6, 3.25, 3.02)","(3.6, 5.4, 4.218181818181818)","(61.0, 130.0, 118.28571428571428)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 150.0, 98.0)","(26.0, 65.0, 47.5)","(8.5, 13.0, 11.333333333333334)","(41.0, 150.0, 80.66666666666666)","(51.0, 190.0, 155.71428571428572)","(21.0, 55.0, 45.0)","(31.0, 130.0, 115.66666666666667)"
07-01-2023 16:43:13.411289,"(2.6, 3.2, 3.1616666666666666)","(3.6, 5.4, 4.733333333333333)","(61.0, 130.0, 118.28571428571428)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 150.0, 98.0)","(26.0, 65.0, 47.5)","(8.5, 13.0, 11.333333333333334)","(41.0, 150.0, 80.66666666666666)","(51.0, 190.0, 155.71428571428572)","(21.0, 55.0, 45.0)","(31.0, 130.0, 115.66666666666667)"
07-01-2023 16:43:15.099474,"(2.6, 3.25, 3.02)","(3.6, 5.4, 4.666666666666667)","(61.0, 130.0, 118.28571428571428)","(10.0, 17.0, 12.875)","(14.0, 22.0, 15.875)","(6.5, 10.0, 9.52)","(41.0, 150.0, 98.0)","(26.0, 65.0, 47.5)","(8.5, 13.0, 11.333333333333334)","(41.0, 150.0, 80.66666666666666)","(51.0, 190.0, 155.71428571428572)","(21.0, 55.0, 45.0)","(31.0, 130.0, 115.66666666666667)"
