,Ill Be Gone,Rudibatootie,Drake Passage,Regal Duke,Tactfull,Fournaise,Belluna,Jahbath,White Heath,Parisian Veil,Socialite Miss,Bostock Raider
07-01-2023 15:27:19.969209,"(31.0, 120.0, 113.88888888888889)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.428571428571429)","(12.0, 17.5, 17.03846153846154)","(2.6, 2.86, 2.851)","(31.0, 55.0, 52.411764705882355)","(6.5, 8.4, 8.352)","(16.0, 25.0, 24.692307692307693)","(61.0, 160.0, 120.0)","(14.0, 20.0, 19.605263157894736)","(8.5, 12.0, 11.333333333333334)","(9.0, 11.5, 10.642857142857142)"
07-01-2023 15:27:21.574380,"(31.0, 120.0, 113.88888888888889)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.428571428571429)","(12.0, 17.5, 17.03846153846154)","(2.6, 2.86, 2.855135135135135)","(31.0, 55.0, 52.411764705882355)","(6.5, 8.4, 8.352)","(16.0, 25.0, 24.692307692307693)","(61.0, 160.0, 120.0)","(14.0, 20.0, 19.605263157894736)","(8.5, 12.0, 11.333333333333334)","(9.0, 11.5, 10.642857142857142)"
07-01-2023 15:27:23.195508,"(31.0, 120.0, 113.88888888888889)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.428571428571429)","(12.0, 17.5, 17.03846153846154)","(2.6, 2.86, 2.855135135135135)","(31.0, 55.0, 52.411764705882355)","(6.5, 8.4, 8.352)","(16.0, 25.0, 24.692307692307693)","(61.0, 160.0, 108.33333333333333)","(14.0, 20.0, 19.605263157894736)","(8.5, 12.0, 11.333333333333334)","(9.0, 11.5, 10.642857142857142)"
07-01-2023 15:27:24.716315,"(31.0, 120.0, 113.88888888888889)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.428571428571429)","(12.0, 17.5, 17.03846153846154)","(2.6, 2.86, 2.855135135135135)","(31.0, 55.0, 52.411764705882355)","(6.5, 8.4, 8.352)","(16.0, 25.0, 24.692307692307693)","(61.0, 150.0, 108.33333333333333)","(14.0, 20.0, 19.605263157894736)","(8.5, 12.0, 11.333333333333334)","(9.0, 11.5, 10.807692307692308)"
07-01-2023 15:27:26.358400,"(31.0, 120.0, 113.88888888888889)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.428571428571429)","(12.0, 17.5, 17.03846153846154)","(2.6, 2.86, 2.855135135135135)","(31.0, 55.0, 52.411764705882355)","(6.5, 8.4, 8.38139534883721)","(16.0, 25.0, 24.692307692307693)","(61.0, 150.0, 108.33333333333333)","(14.0, 20.0, 19.605263157894736)","(8.5, 12.0, 11.35135135135135)","(9.0, 11.5, 10.794117647058824)"
07-01-2023 15:27:28.004099,"(31.0, 120.0, 113.88888888888889)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.428571428571429)","(12.0, 17.5, 17.03846153846154)","(2.6, 2.84, 2.835)","(31.0, 55.0, 52.411764705882355)","(6.5, 8.4, 8.384313725490196)","(16.0, 25.0, 24.75)","(61.0, 150.0, 116.66666666666667)","(14.0, 20.0, 19.605263157894736)","(8.5, 12.0, 11.35135135135135)","(9.0, 11.5, 10.576923076923077)"
07-01-2023 15:27:29.627798,"(31.0, 120.0, 109.0)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.428571428571429)","(12.0, 17.5, 17.03846153846154)","(2.6, 2.84, 2.8355555555555556)","(31.0, 55.0, 52.411764705882355)","(6.5, 8.4, 8.384313725490196)","(16.0, 25.0, 24.8)","(61.0, 150.0, 116.66666666666667)","(14.0, 20.0, 19.605263157894736)","(8.5, 12.0, 11.2)","(9.0, 11.5, 10.576923076923077)"
07-01-2023 15:27:31.623291,"(31.0, 120.0, 95.0)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.482926829268292)","(12.0, 17.5, 17.27358490566038)","(2.6, 2.84, 2.836)","(31.0, 55.0, 49.0)","(6.5, 8.4, 8.735135135135137)","(16.0, 25.0, 24.904761904761905)","(61.0, 150.0, 116.66666666666667)","(14.0, 20.0, 19.605263157894736)","(8.5, 12.0, 11.2)","(9.0, 11.5, 10.6)"
07-01-2023 15:27:33.305122,"(31.0, 120.0, 108.88888888888889)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.482926829268292)","(12.0, 17.5, 17.27358490566038)","(2.6, 2.84, 2.836)","(31.0, 55.0, 49.0)","(6.5, 8.8, 8.735135135135137)","(16.0, 25.0, 24.904761904761905)","(61.0, 150.0, 116.66666666666667)","(14.0, 20.0, 19.605263157894736)","(8.5, 12.0, 11.147058823529411)","(9.0, 11.5, 10.771428571428572)"
07-01-2023 15:27:34.976385,"(31.0, 120.0, 108.88888888888889)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.513513513513512)","(12.0, 17.5, 17.27358490566038)","(2.6, 2.84, 2.804)","(31.0, 55.0, 49.0)","(6.5, 8.8, 8.735135135135137)","(16.0, 25.0, 24.904761904761905)","(61.0, 150.0, 116.66666666666667)","(14.0, 20.0, 19.605263157894736)","(8.5, 11.5, 11.147058823529411)","(9.0, 11.5, 10.616)"
07-01-2023 15:27:36.608410,"(31.0, 120.0, 108.88888888888889)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.55151515151515)","(12.0, 17.5, 17.27358490566038)","(2.6, 2.84, 2.7846153846153845)","(31.0, 55.0, 49.0)","(6.5, 8.8, 8.735135135135137)","(16.0, 25.0, 24.904761904761905)","(61.0, 150.0, 126.66666666666667)","(14.0, 20.0, 19.605263157894736)","(8.5, 11.5, 11.416666666666666)","(9.0, 11.0, 10.4)"
07-01-2023 15:27:38.159422,"(31.0, 120.0, 108.88888888888889)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.513513513513512)","(12.0, 17.5, 17.27358490566038)","(2.6, 2.84, 2.748)","(31.0, 55.0, 49.0)","(6.5, 8.8, 8.736)","(16.0, 25.0, 24.904761904761905)","(61.0, 160.0, 126.66666666666667)","(14.0, 20.0, 19.605263157894736)","(8.5, 11.5, 11.416666666666666)","(9.0, 11.0, 10.605263157894736)"
07-01-2023 15:27:39.846911,"(31.0, 120.0, 108.88888888888889)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.513513513513512)","(12.0, 17.5, 17.27358490566038)","(2.5, 2.84, 2.77)","(31.0, 55.0, 49.0)","(6.5, 8.8, 8.736)","(16.0, 25.0, 24.904761904761905)","(61.0, 160.0, 126.66666666666667)","(14.0, 20.0, 19.605263157894736)","(8.0, 11.5, 11.416666666666666)","(9.0, 11.0, 10.3125)"
07-01-2023 15:27:41.534683,"(31.0, 120.0, 108.88888888888889)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.513513513513512)","(12.0, 17.5, 17.27358490566038)","(2.5, 2.82, 2.77)","(31.0, 55.0, 49.0)","(6.5, 8.8, 8.736)","(16.0, 25.0, 24.904761904761905)","(61.0, 160.0, 120.0)","(14.0, 20.0, 19.605263157894736)","(8.0, 11.5, 11.416666666666666)","(9.0, 11.0, 10.45)"
07-01-2023 15:27:43.270492,"(31.0, 120.0, 97.5)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.513513513513512)","(12.0, 17.5, 17.27358490566038)","(2.5, 2.82, 2.77)","(31.0, 55.0, 49.0)","(6.5, 8.8, 8.736)","(16.0, 25.0, 24.904761904761905)","(61.0, 160.0, 120.0)","(14.0, 20.0, 19.605263157894736)","(8.0, 11.5, 11.416666666666666)","(9.0, 11.0, 10.45)"
07-01-2023 15:27:44.939776,"(31.0, 120.0, 87.5)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.513513513513512)","(12.0, 17.5, 17.27358490566038)","(2.5, 2.82, 2.77)","(31.0, 55.0, 49.0)","(6.5, 8.8, 8.68)","(16.0, 25.0, 24.904761904761905)","(61.0, 160.0, 120.0)","(14.0, 20.0, 19.605263157894736)","(8.0, 11.5, 11.416666666666666)","(9.0, 11.0, 10.45)"
07-01-2023 15:27:46.593920,"(31.0, 100.0, 93.33333333333334)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.513513513513512)","(12.0, 17.5, 17.27358490566038)","(2.5, 2.82, 2.77)","(31.0, 55.0, 49.0)","(6.5, 8.8, 8.68)","(16.0, 25.0, 24.904761904761905)","(61.0, 160.0, 120.0)","(14.0, 20.0, 19.605263157894736)","(8.0, 11.5, 11.416666666666666)","(9.0, 11.0, 10.45)"
07-01-2023 15:27:48.657535,"(31.0, 100.0, 93.33333333333334)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.513513513513512)","(12.0, 17.5, 17.27358490566038)","(2.5, 2.82, 2.77)","(31.0, 55.0, 49.0)","(6.5, 8.8, 8.68)","(16.0, 25.0, 24.904761904761905)","(61.0, 160.0, 120.0)","(14.0, 20.0, 19.605263157894736)","(8.0, 11.5, 11.416666666666666)","(9.0, 11.0, 10.76923076923077)"
07-01-2023 15:27:50.476984,"(31.0, 100.0, 118.0)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.513513513513512)","(12.0, 17.5, 17.30327868852459)","(2.5, 2.82, 2.8175999999999997)","(31.0, 55.0, 49.0)","(6.5, 8.8, 8.68)","(16.0, 25.0, 24.904761904761905)","(61.0, 160.0, 108.33333333333333)","(14.0, 20.0, 19.605263157894736)","(8.0, 11.5, 11.038461538461538)","(9.0, 11.0, 10.76923076923077)"
07-01-2023 15:27:52.255118,"(31.0, 130.0, 119.0)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.513513513513512)","(12.0, 17.5, 17.30327868852459)","(2.5, 2.82, 2.8183561643835615)","(31.0, 55.0, 49.0)","(6.5, 8.8, 8.68)","(16.0, 25.0, 24.904761904761905)","(61.0, 150.0, 108.33333333333333)","(14.0, 20.0, 19.605263157894736)","(8.0, 11.5, 11.038461538461538)","(9.0, 11.0, 10.76923076923077)"
07-01-2023 15:27:54.075278,"(31.0, 130.0, 119.0)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.513513513513512)","(12.0, 17.5, 17.30327868852459)","(2.5, 2.82, 2.797078651685393)","(31.0, 55.0, 49.0)","(6.5, 8.8, 8.68)","(16.0, 25.0, 24.904761904761905)","(61.0, 150.0, 108.33333333333333)","(14.0, 20.0, 19.605263157894736)","(8.0, 11.5, 10.9375)","(9.0, 11.0, 10.76923076923077)"
07-01-2023 15:27:55.968621,"(31.0, 130.0, 119.0)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.513513513513512)","(12.0, 17.5, 17.30327868852459)","(2.5, 2.82, 2.797078651685393)","(31.0, 55.0, 49.0)","(6.5, 8.8, 8.68)","(16.0, 25.0, 24.904761904761905)","(61.0, 150.0, 108.33333333333333)","(14.0, 20.0, 19.605263157894736)","(8.0, 11.5, 10.9375)","(9.0, 11.0, 10.714285714285714)"
07-01-2023 15:27:57.706683,"(31.0, 130.0, 119.0)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.513513513513512)","(12.0, 17.5, 17.30327868852459)","(2.5, 2.82, 2.797078651685393)","(31.0, 55.0, 49.0)","(6.5, 8.8, 8.68)","(16.0, 25.0, 24.904761904761905)","(61.0, 150.0, 108.33333333333333)","(14.0, 20.0, 19.605263157894736)","(8.0, 11.5, 10.9375)","(9.0, 11.0, 10.714285714285714)"
07-01-2023 15:27:59.496125,"(31.0, 130.0, 119.0)","(26.0, 42.0, 41.4)","(7.0, 8.6, 8.721052631578948)","(12.0, 17.5, 17.03846153846154)","(2.5, 2.82, 2.783720930232558)","(31.0, 55.0, 49.0)","(6.5, 8.8, 8.68)","(16.0, 25.0, 24.904761904761905)","(61.0, 150.0, 108.33333333333333)","(14.0, 20.0, 19.605263157894736)","(8.0, 11.5, 10.85)","(9.0, 11.0, 10.714285714285714)"
07-01-2023 15:28:01.295930,"(31.0, 130.0, 100.0)","(26.0, 42.0, 41.14285714285714)","(7.0, 8.8, 8.581818181818182)","(12.0, 17.5, 17.15714285714286)","(2.5, 2.8, 2.783720930232558)","(31.0, 55.0, 49.0)","(6.5, 8.8, 8.68)","(16.0, 25.0, 24.904761904761905)","(61.0, 150.0, 108.33333333333333)","(14.0, 20.0, 19.65909090909091)","(8.0, 11.5, 10.85)","(9.0, 11.0, 10.714285714285714)"
07-01-2023 15:28:03.081505,"(31.0, 120.0, 97.5)","(26.0, 42.0, 41.14285714285714)","(7.0, 8.8, 8.725000000000001)","(12.0, 17.5, 17.15714285714286)","(2.5, 2.8, 2.783720930232558)","(31.0, 55.0, 49.0)","(6.5, 8.8, 8.68)","(16.0, 25.0, 24.904761904761905)","(61.0, 150.0, 108.33333333333333)","(14.0, 20.0, 19.65909090909091)","(8.0, 11.5, 10.85)","(9.0, 11.0, 10.714285714285714)"
07-01-2023 15:28:04.858522,"(31.0, 120.0, 97.5)","(26.0, 42.0, 41.14285714285714)","(7.0, 8.8, 8.725000000000001)","(12.0, 17.5, 17.15714285714286)","(2.5, 2.8, 2.783720930232558)","(31.0, 55.0, 49.0)","(6.5, 8.8, 8.68)","(16.0, 25.0, 24.904761904761905)","(61.0, 150.0, 108.33333333333333)","(14.0, 20.0, 19.65909090909091)","(8.0, 11.5, 10.85)","(9.0, 11.0, 10.8)"
07-01-2023 15:28:06.786492,"(31.0, 120.0, 107.14285714285714)","(26.0, 42.0, 40.5)","(7.0, 8.8, 8.725000000000001)","(12.0, 17.5, 17.15714285714286)","(2.5, 2.8, 2.783720930232558)","(31.0, 55.0, 51.53333333333333)","(6.5, 8.8, 8.68)","(16.0, 25.0, 24.904761904761905)","(61.0, 150.0, 110.71428571428571)","(14.0, 20.0, 19.228571428571428)","(8.0, 11.5, 10.85)","(9.0, 11.0, 10.222222222222221)"
07-01-2023 15:28:08.738846,"(31.0, 120.0, 110.0)","(26.0, 42.0, 40.5)","(7.0, 8.8, 8.725000000000001)","(12.0, 17.5, 17.15714285714286)","(2.5, 2.8, 2.783720930232558)","(31.0, 55.0, 52.111111111111114)","(6.5, 8.8, 8.68)","(16.0, 25.0, 24.904761904761905)","(61.0, 150.0, 110.71428571428571)","(14.0, 20.0, 19.228571428571428)","(8.0, 11.5, 10.85)","(9.0, 11.0, 10.222222222222221)"
07-01-2023 15:28:10.583787,"(31.0, 120.0, 110.0)","(26.0, 42.0, 40.5)","(7.0, 8.8, 8.725000000000001)","(12.0, 17.5, 17.15714285714286)","(2.5, 2.8, 2.783720930232558)","(31.0, 55.0, 52.111111111111114)","(6.5, 8.8, 8.68)","(16.0, 25.0, 24.904761904761905)","(61.0, 150.0, 110.71428571428571)","(14.0, 20.0, 19.228571428571428)","(8.0, 11.5, 10.85)","(9.0, 11.0, 10.222222222222221)"
07-01-2023 15:28:12.402555,"(31.0, 120.0, 110.0)","(26.0, 42.0, 40.5)","(7.0, 8.8, 8.725000000000001)","(12.0, 17.5, 17.15714285714286)","(2.5, 2.8, 2.783720930232558)","(31.0, 55.0, 52.111111111111114)","(6.5, 8.8, 8.68)","(16.0, 25.0, 24.904761904761905)","(61.0, 150.0, 110.71428571428571)","(14.0, 20.0, 19.228571428571428)","(8.0, 11.5, 10.85)","(9.0, 11.0, 10.222222222222221)"
07-01-2023 15:28:14.228048,"(31.0, 120.0, 110.0)","(26.0, 42.0, 40.5)","(7.0, 8.8, 8.725000000000001)","(12.0, 17.5, 17.15714285714286)","(2.5, 2.8, 2.783720930232558)","(31.0, 55.0, 52.111111111111114)","(6.5, 8.8, 8.68)","(16.0, 25.0, 24.904761904761905)","(61.0, 150.0, 110.71428571428571)","(14.0, 20.0, 19.228571428571428)","(8.0, 11.5, 10.85)","(9.0, 11.0, 10.222222222222221)"
07-01-2023 15:28:16.091321,"(31.0, 120.0, 116.0)","(26.0, 42.0, 41.25)","(7.0, 8.8, 8.72)","(12.0, 17.5, 17.03846153846154)","(2.5, 2.8, 2.7846153846153845)","(31.0, 55.0, 45.375)","(6.5, 8.8, 8.285714285714285)","(16.0, 25.0, 24.5)","(61.0, 150.0, 135.71428571428572)","(14.0, 20.0, 18.660714285714285)","(8.0, 11.0, 10.588235294117647)","(9.0, 11.0, 10.642857142857142)"
07-01-2023 15:28:17.819565,"(31.0, 140.0, 116.0)","(26.0, 42.0, 41.25)","(7.0, 8.8, 8.697435897435899)","(12.0, 17.5, 16.885714285714286)","(2.5, 2.8, 2.7475)","(31.0, 55.0, 45.375)","(6.5, 8.8, 8.5)","(16.0, 25.0, 24.5)","(61.0, 150.0, 145.0)","(14.0, 20.0, 18.68)","(8.0, 11.0, 10.588235294117647)","(9.0, 11.0, 10.642857142857142)"
07-01-2023 15:28:19.608708,"(31.0, 140.0, 116.0)","(26.0, 42.0, 41.25)","(7.0, 8.8, 8.697435897435899)","(12.0, 17.0, 16.72093023255814)","(2.5, 2.78, 2.7475)","(31.0, 55.0, 45.375)","(6.5, 8.8, 8.546153846153846)","(16.0, 25.0, 24.5)","(61.0, 160.0, 148.0)","(14.0, 20.0, 17.896551724137932)","(8.0, 11.0, 10.588235294117647)","(9.0, 11.5, 10.613636363636363)"
07-01-2023 15:28:21.343788,"(31.0, 140.0, 116.0)","(26.0, 42.0, 41.25)","(7.0, 8.8, 8.731428571428571)","(12.0, 17.0, 16.72093023255814)","(2.5, 2.78, 2.7475)","(31.0, 55.0, 45.375)","(6.5, 8.8, 8.55)","(16.0, 25.0, 24.5)","(61.0, 160.0, 148.0)","(14.0, 18.0, 17.896551724137932)","(8.0, 11.0, 10.588235294117647)","(9.0, 11.5, 10.613636363636363)"
07-01-2023 15:28:23.138686,"(31.0, 140.0, 116.0)","(26.0, 42.0, 41.4)","(7.0, 8.8, 8.731428571428571)","(12.0, 17.0, 16.72093023255814)","(2.5, 2.78, 2.7475)","(31.0, 55.0, 45.375)","(6.5, 9.0, 8.823529411764707)","(16.0, 25.0, 24.5)","(61.0, 160.0, 148.0)","(14.0, 18.0, 17.896551724137932)","(8.0, 11.0, 10.61111111111111)","(9.0, 11.5, 10.613636363636363)"
07-01-2023 15:28:24.848732,"(31.0, 140.0, 116.0)","(26.0, 42.0, 41.4)","(7.0, 8.8, 8.731428571428571)","(12.0, 17.0, 16.72093023255814)","(2.5, 2.78, 2.7475)","(31.0, 55.0, 45.375)","(6.5, 9.0, 8.714285714285714)","(16.0, 25.0, 24.5)","(61.0, 160.0, 148.75)","(14.0, 18.0, 17.896551724137932)","(8.0, 11.0, 10.5625)","(9.0, 11.5, 10.613636363636363)"
07-01-2023 15:28:26.496334,"(31.0, 140.0, 116.0)","(26.0, 42.0, 41.4)","(7.0, 8.8, 8.74418604651163)","(12.0, 17.0, 16.72093023255814)","(2.5, 2.78, 2.7475)","(31.0, 55.0, 45.375)","(6.5, 9.2, 8.876923076923076)","(16.0, 25.0, 24.833333333333332)","(61.0, 180.0, 148.75)","(14.0, 18.0, 17.967741935483872)","(8.0, 11.0, 10.305084745762711)","(9.0, 11.5, 10.642857142857142)"
07-01-2023 15:28:28.221875,"(31.0, 140.0, 116.0)","(26.0, 42.0, 41.4)","(7.0, 8.8, 8.74418604651163)","(12.0, 17.0, 16.72093023255814)","(2.5, 2.78, 2.75)","(31.0, 55.0, 45.375)","(6.5, 9.2, 8.92)","(16.0, 25.0, 26.5)","(61.0, 180.0, 148.75)","(14.0, 18.0, 17.90909090909091)","(8.0, 11.0, 10.305084745762711)","(9.0, 11.0, 10.642857142857142)"
07-01-2023 15:28:29.886698,"(31.0, 140.0, 116.0)","(26.0, 42.0, 41.4)","(7.0, 8.8, 8.74418604651163)","(12.0, 17.0, 16.72093023255814)","(2.5, 2.78, 2.75)","(31.0, 55.0, 50.45)","(6.5, 9.2, 9.025)","(16.0, 27.0, 26.5)","(61.0, 180.0, 148.75)","(14.0, 18.0, 17.81081081081081)","(8.0, 11.0, 9.975)","(9.0, 11.0, 10.642857142857142)"
07-01-2023 15:28:31.780139,"(31.0, 140.0, 116.0)","(26.0, 42.0, 41.42857142857143)","(7.0, 8.8, 8.74418604651163)","(12.0, 17.0, 16.72093023255814)","(2.5, 2.78, 2.75)","(31.0, 55.0, 50.45)","(6.5, 9.2, 9.025)","(16.0, 27.0, 26.5)","(61.0, 180.0, 148.75)","(15.0, 18.0, 17.81081081081081)","(8.0, 10.5, 9.52)","(9.0, 11.0, 10.58695652173913)"
07-01-2023 15:28:33.574727,"(31.0, 140.0, 116.0)","(26.0, 42.0, 41.333333333333336)","(7.0, 8.8, 8.74418604651163)","(12.0, 17.0, 16.72093023255814)","(2.5, 2.78, 2.697241379310345)","(31.0, 55.0, 50.45)","(6.5, 9.2, 9.025)","(16.0, 27.0, 26.5)","(61.0, 180.0, 175.0)","(15.0, 18.0, 17.90909090909091)","(8.0, 9.6, 10.10625)","(9.0, 11.5, 10.51923076923077)"
07-01-2023 15:28:35.527373,"(31.0, 140.0, 116.0)","(26.0, 42.0, 41.333333333333336)","(7.0, 8.8, 8.926315789473685)","(12.0, 17.0, 16.72093023255814)","(2.5, 2.7, 2.6877551020408164)","(31.0, 55.0, 50.45)","(6.5, 9.2, 9.418181818181818)","(16.0, 27.0, 26.5)","(61.0, 190.0, 175.0)","(15.0, 18.0, 17.90909090909091)","(8.0, 10.5, 10.026315789473683)","(9.0, 11.5, 10.51923076923077)"
07-01-2023 15:28:37.481399,"(31.0, 140.0, 116.0)","(26.0, 42.0, 41.333333333333336)","(7.0, 9.2, 9.088888888888889)","(12.0, 17.0, 16.72093023255814)","(2.5, 2.7, 2.670909090909091)","(31.0, 55.0, 50.45)","(6.5, 9.8, 9.385714285714286)","(16.0, 27.0, 26.5)","(61.0, 190.0, 175.0)","(15.0, 18.0, 17.90909090909091)","(8.0, 10.5, 9.818918918918918)","(9.0, 11.5, 10.51923076923077)"
07-01-2023 15:28:39.431964,"(31.0, 140.0, 116.0)","(26.0, 42.0, 41.6)","(7.0, 9.2, 9.072727272727272)","(12.0, 17.0, 16.72093023255814)","(2.5, 2.68, 2.677391304347826)","(31.0, 55.0, 50.45)","(6.5, 9.6, 9.244444444444444)","(16.0, 27.0, 26.75)","(61.0, 190.0, 175.0)","(14.0, 18.0, 17.90909090909091)","(8.0, 10.0, 9.857142857142858)","(9.0, 11.5, 10.51923076923077)"
07-01-2023 15:28:41.318303,"(31.0, 140.0, 116.0)","(26.0, 42.0, 41.6)","(7.0, 9.4, 9.323076923076922)","(12.0, 17.0, 16.72093023255814)","(2.5, 2.7, 2.677391304347826)","(31.0, 55.0, 50.45)","(6.5, 9.6, 9.458823529411765)","(16.0, 27.0, 26.75)","(61.0, 190.0, 175.0)","(14.0, 18.0, 17.90909090909091)","(8.0, 9.6, 9.399999999999999)","(9.0, 11.5, 10.51923076923077)"
