,Golden Scotch,Kanji Uganda,Lacey Star,Aston Michigan,Just Enough,Jellybean Jam
11-01-2023 17:43:49.504083,"(21.0, 75.0, 36.6)","(3.2, 5.6, 5.2)","(1.8, 1.96, 1.9366666666666665)","(4.0, 5.5, 4.985714285714286)","(31.0, 110.0, 42.44444444444444)","(11.0, 21.0, 18.9)"
11-01-2023 17:43:50.417950,"(21.0, 75.0, 36.6)","(3.2, 5.6, 5.266666666666667)","(1.8, 1.96, 1.9366666666666665)","(4.0, 5.5, 4.985714285714286)","(31.0, 110.0, 42.44444444444444)","(11.0, 21.0, 18.9)"
11-01-2023 17:43:51.342867,"(21.0, 75.0, 36.6)","(3.2, 5.6, 5.266666666666667)","(1.8, 1.96, 1.9366666666666665)","(4.0, 5.5, 4.985714285714286)","(31.0, 110.0, 42.44444444444444)","(11.0, 21.0, 18.9)"
11-01-2023 17:43:52.216979,"(21.0, 75.0, 36.6)","(3.2, 5.6, 4.733333333333333)","(1.8, 1.96, 1.9366666666666665)","(4.0, 5.5, 4.985714285714286)","(31.0, 110.0, 42.44444444444444)","(11.0, 21.0, 18.9)"
11-01-2023 17:43:53.183918,"(21.0, 75.0, 51.0)","(3.2, 5.1, 4.65)","(1.8, 1.96, 1.9483333333333333)","(4.0, 5.5, 5.2)","(31.0, 110.0, 46.666666666666664)","(11.0, 21.0, 16.0)"
11-01-2023 17:43:54.263396,"(21.0, 75.0, 51.0)","(3.2, 5.1, 4.65)","(1.8, 1.96, 1.9483333333333333)","(4.2, 5.5, 5.2)","(31.0, 110.0, 46.666666666666664)","(11.0, 21.0, 16.0)"
11-01-2023 17:43:55.255903,"(21.0, 75.0, 51.0)","(3.2, 5.1, 4.65)","(1.8, 1.96, 1.9483333333333333)","(4.2, 5.5, 5.2)","(31.0, 110.0, 46.666666666666664)","(11.0, 21.0, 16.0)"
11-01-2023 17:43:56.175871,"(21.0, 75.0, 51.0)","(3.2, 5.1, 5.04)","(1.8, 1.96, 1.9483333333333333)","(4.2, 5.5, 5.0)","(31.0, 110.0, 46.666666666666664)","(11.0, 21.0, 18.9)"
11-01-2023 17:43:57.100046,"(21.0, 75.0, 51.0)","(3.2, 5.6, 4.933333333333333)","(1.8, 1.96, 1.9483333333333333)","(4.2, 5.5, 5.0)","(31.0, 110.0, 46.666666666666664)","(11.0, 21.0, 18.9)"
11-01-2023 17:43:58.103206,"(21.0, 75.0, 51.0)","(3.2, 5.6, 5.449999999999999)","(1.8, 1.96, 1.9483333333333333)","(4.2, 5.5, 5.0)","(31.0, 110.0, 46.666666666666664)","(11.0, 21.0, 18.9)"
11-01-2023 17:43:59.111388,"(21.0, 75.0, 51.0)","(3.2, 5.6, 5.371428571428571)","(1.8, 1.96, 1.9483333333333333)","(4.2, 5.5, 5.0)","(31.0, 110.0, 46.666666666666664)","(11.0, 21.0, 18.9)"
11-01-2023 17:44:00.113635,"(21.0, 75.0, 51.0)","(3.2, 5.6, 5.371428571428571)","(1.8, 1.96, 1.9483333333333333)","(4.2, 5.5, 5.0)","(31.0, 110.0, 46.666666666666664)","(11.0, 21.0, 18.9)"
11-01-2023 17:44:01.108755,"(21.0, 75.0, 51.0)","(3.2, 5.6, 5.133333333333334)","(1.8, 1.96, 1.9483333333333333)","(4.2, 5.5, 5.0)","(31.0, 110.0, 46.666666666666664)","(11.0, 21.0, 18.9)"
11-01-2023 17:44:02.039842,"(21.0, 75.0, 51.0)","(3.2, 5.6, 5.133333333333334)","(1.8, 1.96, 1.9483333333333333)","(4.2, 5.5, 5.0)","(31.0, 110.0, 46.666666666666664)","(11.0, 21.0, 18.9)"
11-01-2023 17:44:02.960918,"(21.0, 75.0, 51.0)","(3.2, 5.6, 5.3999999999999995)","(1.8, 1.96, 1.9483333333333333)","(4.2, 5.5, 5.0)","(31.0, 110.0, 46.666666666666664)","(11.0, 21.0, 18.9)"
11-01-2023 17:44:03.914845,"(21.0, 75.0, 51.0)","(3.2, 5.6, 5.2)","(1.8, 1.96, 1.9483333333333333)","(4.2, 5.5, 5.0)","(31.0, 110.0, 59.33333333333333)","(11.0, 21.0, 18.9)"
11-01-2023 17:44:04.900752,"(21.0, 75.0, 51.0)","(3.2, 5.6, 5.428571428571428)","(1.8, 1.96, 1.9366666666666665)","(4.2, 5.5, 5.0)","(31.0, 110.0, 59.33333333333333)","(11.0, 21.0, 18.9)"
11-01-2023 17:44:05.847199,"(21.0, 75.0, 51.0)","(3.2, 5.6, 5.266666666666667)","(1.8, 1.96, 1.9366666666666665)","(4.2, 5.5, 5.0)","(31.0, 110.0, 59.33333333333333)","(11.0, 21.0, 18.9)"
11-01-2023 17:44:06.851292,"(21.0, 75.0, 51.0)","(3.2, 5.7, 5.3307692307692305)","(1.8, 1.96, 1.9366666666666665)","(4.2, 5.5, 5.0)","(31.0, 110.0, 59.33333333333333)","(11.0, 21.0, 18.9)"
11-01-2023 17:44:07.813502,"(21.0, 75.0, 51.0)","(3.2, 5.7, 5.2555555555555555)","(1.8, 1.96, 1.9366666666666665)","(4.2, 5.5, 5.0)","(31.0, 110.0, 59.33333333333333)","(11.0, 21.0, 18.9)"
11-01-2023 17:44:08.695137,"(21.0, 75.0, 51.0)","(3.2, 5.7, 4.592307692307692)","(1.8, 2.18, 1.8966666666666667)","(4.2, 5.5, 5.0)","(31.0, 110.0, 59.33333333333333)","(11.0, 21.0, 15.166666666666668)"
11-01-2023 17:44:09.695076,"(21.0, 75.0, 51.0)","(3.2, 5.6, 4.683333333333334)","(1.8, 2.14, 1.9400000000000002)","(4.2, 6.6, 5.209090909090909)","(31.0, 110.0, 59.33333333333333)","(11.0, 20.0, 16.833333333333332)"
11-01-2023 17:44:10.741587,"(21.0, 75.0, 51.0)","(3.2, 5.4, 5.0)","(1.8, 2.14, 1.9525000000000001)","(4.2, 6.6, 4.953333333333333)","(31.0, 110.0, 59.33333333333333)","(11.0, 20.0, 15.928571428571429)"
11-01-2023 17:44:11.634983,"(21.0, 75.0, 51.0)","(3.2, 5.4, 4.800000000000001)","(1.8, 2.1, 2.06)","(4.2, 6.2, 5.033333333333333)","(31.0, 110.0, 59.33333333333333)","(11.0, 19.5, 17.7)"
11-01-2023 17:44:12.599605,"(21.0, 75.0, 51.0)","(3.2, 5.4, 4.614285714285714)","(1.8, 2.1, 2.06)","(4.2, 5.9, 5.35)","(31.0, 110.0, 59.33333333333333)","(11.0, 19.5, 14.5)"
11-01-2023 17:44:13.650122,"(21.0, 75.0, 51.0)","(3.2, 5.4, 5.0875)","(1.8, 2.1, 2.06)","(4.2, 5.9, 5.35)","(31.0, 110.0, 59.33333333333333)","(11.0, 19.5, 14.5)"
11-01-2023 17:44:14.607277,"(21.0, 75.0, 51.0)","(3.2, 5.2, 4.6)","(1.8, 2.1, 2.092777777777778)","(4.2, 5.9, 5.075)","(31.0, 110.0, 59.33333333333333)","(11.0, 19.5, 14.5)"
11-01-2023 17:44:15.552179,"(21.0, 75.0, 51.0)","(3.2, 5.2, 4.85)","(1.8, 2.1, 2.0794736842105266)","(4.2, 5.9, 5.35)","(31.0, 110.0, 59.33333333333333)","(11.0, 19.5, 10.575)"
11-01-2023 17:44:16.441110,"(21.0, 75.0, 51.0)","(3.2, 5.4, 5.0)","(1.8, 2.08, 2.072142857142857)","(4.2, 5.9, 5.35)","(31.0, 110.0, 59.33333333333333)","(11.0, 11.0, 10.575)"
11-01-2023 17:44:17.408426,"(21.0, 75.0, 51.0)","(3.2, 5.4, 5.171428571428572)","(1.8, 2.1, 2.0907142857142857)","(4.2, 5.9, 5.35)","(31.0, 110.0, 59.33333333333333)","(11.0, 11.0, 20.444444444444443)"
11-01-2023 17:44:18.390531,"(21.0, 75.0, 51.0)","(3.2, 5.4, 4.955555555555556)","(1.8, 2.1, 2.092777777777778)","(4.2, 5.9, 5.271428571428571)","(31.0, 110.0, 59.33333333333333)","(11.0, 23.0, 19.666666666666668)"
11-01-2023 17:44:19.302526,"(21.0, 75.0, 51.0)","(3.2, 5.4, 4.65)","(1.8, 2.1, 2.0907142857142857)","(4.2, 5.9, 5.02)","(31.0, 110.0, 59.33333333333333)","(11.0, 22.0, 18.11111111111111)"
11-01-2023 17:44:20.286177,"(21.0, 75.0, 51.0)","(3.2, 5.4, 5.0)","(1.8, 2.1, 2.0881818181818184)","(4.2, 5.9, 5.02)","(31.0, 110.0, 59.33333333333333)","(11.0, 20.0, 14.166666666666666)"
11-01-2023 17:44:21.399528,"(21.0, 75.0, 51.0)","(3.2, 5.4, 5.072727272727273)","(1.8, 2.1, 2.0881818181818184)","(4.2, 5.7, 4.89)","(31.0, 110.0, 59.33333333333333)","(11.0, 19.5, 12.416666666666666)"
11-01-2023 17:44:22.424552,"(21.0, 75.0, 51.0)","(3.2, 5.4, 4.828571428571428)","(1.8, 1.97, 1.9577777777777778)","(4.2, 5.7, 4.89)","(31.0, 110.0, 59.33333333333333)","(11.0, 19.5, 12.416666666666666)"
11-01-2023 17:44:23.415131,"(21.0, 75.0, 51.0)","(3.2, 5.5, 5.242857142857143)","(1.8, 1.97, 1.9615384615384615)","(4.2, 5.7, 5.16)","(31.0, 110.0, 59.33333333333333)","(11.0, 19.5, 14.777777777777779)"
11-01-2023 17:44:24.332802,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 5.05)","(1.8, 1.97, 1.9623076923076923)","(4.2, 5.7, 5.16)","(31.0, 110.0, 59.33333333333333)","(11.0, 19.5, 14.777777777777779)"
11-01-2023 17:44:25.285037,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 5.05)","(1.8, 1.97, 1.9623076923076923)","(4.2, 5.7, 5.16)","(31.0, 110.0, 59.33333333333333)","(11.0, 19.5, 14.142857142857142)"
11-01-2023 17:44:26.244629,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 5.05)","(1.8, 1.97, 1.9623076923076923)","(4.2, 5.7, 4.963636363636364)","(31.0, 110.0, 59.33333333333333)","(11.0, 19.5, 14.8125)"
11-01-2023 17:44:27.191495,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 5.05)","(1.8, 2.02, 2.0084615384615385)","(4.2, 5.7, 5.16)","(31.0, 110.0, 97.33333333333333)","(11.0, 19.5, 14.8125)"
11-01-2023 17:44:28.136818,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 5.05)","(1.8, 2.02, 1.9825)","(4.2, 5.7, 5.16)","(31.0, 110.0, 97.33333333333333)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:29.040642,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 5.05)","(1.8, 2.02, 1.9825)","(4.2, 5.7, 5.16)","(31.0, 110.0, 97.33333333333333)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:30.067251,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 5.05)","(1.8, 2.02, 1.945)","(4.2, 5.7, 5.16)","(31.0, 110.0, 97.33333333333333)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:31.037027,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 5.05)","(1.8, 2.02, 1.945)","(4.2, 5.7, 5.16)","(31.0, 110.0, 97.33333333333333)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:31.887300,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 5.05)","(1.8, 2.02, 1.9527999999999999)","(4.2, 5.7, 5.376)","(31.0, 110.0, 97.33333333333333)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:32.885300,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 5.05)","(1.8, 2.08, 2.033846153846154)","(4.2, 5.7, 4.98)","(31.0, 110.0, 97.33333333333333)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:33.934452,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 4.8999999999999995)","(1.8, 2.08, 2.0507692307692307)","(4.2, 5.7, 4.95)","(31.0, 110.0, 97.33333333333333)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:34.818054,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 4.8999999999999995)","(1.8, 2.1, 1.95)","(4.2, 5.5, 4.985714285714286)","(31.0, 110.0, 97.33333333333333)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:35.778903,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 4.8999999999999995)","(1.8, 2.1, 1.95)","(4.2, 5.5, 4.985714285714286)","(31.0, 110.0, 97.33333333333333)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:36.704926,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 4.8999999999999995)","(1.8, 2.1, 1.95)","(4.2, 5.5, 4.985714285714286)","(31.0, 110.0, 97.33333333333333)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:37.669854,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 4.8999999999999995)","(1.8, 2.1, 1.95)","(4.2, 5.5, 4.985714285714286)","(31.0, 110.0, 97.33333333333333)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:38.637882,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 4.8999999999999995)","(1.8, 2.1, 1.95)","(4.2, 5.5, 4.96)","(31.0, 110.0, 97.33333333333333)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:39.540172,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 4.8999999999999995)","(1.8, 2.1, 1.95)","(4.2, 5.5, 4.96)","(31.0, 110.0, 97.33333333333333)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:40.513740,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 4.8999999999999995)","(1.8, 2.1, 1.95)","(4.2, 5.5, 4.96)","(31.0, 110.0, 97.33333333333333)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:41.545468,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 4.8999999999999995)","(1.8, 2.1, 2.005)","(4.2, 5.5, 4.96)","(31.0, 110.0, 97.33333333333333)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:42.473165,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 4.85)","(1.8, 2.1, 2.0148275862068967)","(4.2, 5.5, 4.96)","(31.0, 110.0, 97.33333333333333)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:43.439083,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 4.85)","(1.8, 2.08, 2.0693333333333332)","(4.2, 5.5, 4.96)","(31.0, 110.0, 97.33333333333333)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:44.416527,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 4.85)","(1.8, 2.08, 2.037894736842105)","(4.2, 5.5, 4.96)","(31.0, 110.0, 97.33333333333333)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:45.459031,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 4.85)","(1.8, 2.04, 2.02)","(4.2, 5.5, 4.96)","(31.0, 110.0, 97.33333333333333)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:46.444983,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 4.85)","(1.8, 2.04, 2.02)","(4.2, 5.5, 4.96)","(31.0, 110.0, 97.33333333333333)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:47.434320,"(21.0, 80.0, 35.833333333333336)","(3.2, 5.5, 4.85)","(1.8, 2.04, 2.02)","(4.2, 5.5, 4.96)","(31.0, 110.0, 97.33333333333333)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:48.428859,"(21.0, 85.0, 46.33333333333333)","(3.2, 5.5, 4.85)","(1.8, 2.04, 2.02)","(4.2, 5.5, 4.96)","(31.0, 140.0, 122.33333333333334)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:49.400779,"(21.0, 85.0, 46.33333333333333)","(3.2, 5.5, 4.85)","(1.8, 2.06, 1.941875)","(4.2, 5.5, 4.96)","(31.0, 150.0, 130.66666666666666)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:50.352715,"(21.0, 85.0, 71.88888888888889)","(3.2, 5.5, 4.85)","(1.8, 2.0, 1.95625)","(4.2, 5.5, 4.96)","(31.0, 150.0, 130.66666666666666)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:51.316510,"(21.0, 85.0, 71.88888888888889)","(3.2, 5.5, 4.85)","(1.8, 2.0, 1.95)","(4.2, 5.5, 4.96)","(31.0, 150.0, 126.8)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:52.276105,"(21.0, 85.0, 71.88888888888889)","(3.2, 5.5, 4.85)","(1.8, 2.0, 1.96)","(4.2, 5.5, 4.96)","(31.0, 150.0, 126.8)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:53.227773,"(21.0, 85.0, 60.41666666666667)","(3.2, 5.5, 4.85)","(1.8, 2.0, 1.9545454545454546)","(4.2, 5.5, 4.96)","(31.0, 150.0, 126.8)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:54.182320,"(21.0, 80.0, 68.0)","(3.2, 5.5, 4.85)","(1.8, 2.0, 1.9583333333333333)","(4.2, 5.5, 4.96)","(31.0, 140.0, 118.8)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:55.069318,"(21.0, 80.0, 68.0)","(3.2, 5.5, 4.85)","(1.8, 2.0, 1.9384615384615385)","(4.2, 5.5, 4.96)","(31.0, 130.0, 119.33333333333333)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:56.007400,"(21.0, 80.0, 68.0)","(3.2, 5.5, 4.85)","(1.8, 2.0, 1.9529411764705882)","(4.2, 5.5, 4.96)","(31.0, 140.0, 118.8)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:56.969569,"(21.0, 80.0, 68.0)","(3.2, 5.5, 4.85)","(1.8, 2.0, 1.9529411764705882)","(4.2, 5.5, 4.96)","(31.0, 140.0, 118.8)","(11.0, 19.5, 15.61111111111111)"
11-01-2023 17:44:57.938539,"(21.0, 80.0, 68.0)","(3.2, 5.5, 4.85)","(1.8, 2.0, 1.9529411764705882)","(4.2, 5.5, 4.96)","(31.0, 140.0, 118.8)","(11.0, 19.5, 15.4375)"
11-01-2023 17:44:58.866630,"(21.0, 80.0, 68.0)","(3.2, 5.5, 4.85)","(1.8, 2.0, 1.9529411764705882)","(4.2, 5.5, 4.96)","(31.0, 140.0, 118.8)","(11.0, 19.5, 15.4375)"
11-01-2023 17:44:59.771683,"(21.0, 80.0, 68.0)","(3.2, 5.5, 4.85)","(1.8, 2.0, 1.9529411764705882)","(4.2, 5.5, 4.96)","(31.0, 140.0, 118.8)","(11.0, 19.5, 16.25)"
11-01-2023 17:45:00.773195,"(21.0, 85.0, 60.41666666666667)","(3.2, 5.5, 4.85)","(1.8, 2.0, 1.9529411764705882)","(4.2, 5.5, 4.96)","(31.0, 140.0, 118.8)","(11.0, 19.5, 16.0)"
11-01-2023 17:45:01.893946,"(21.0, 85.0, 60.41666666666667)","(3.2, 5.5, 4.85)","(1.8, 2.0, 1.9529411764705882)","(4.2, 5.5, 4.96)","(31.0, 140.0, 126.8)","(11.0, 19.5, 16.0)"
11-01-2023 17:45:02.870737,"(21.0, 85.0, 60.41666666666667)","(3.2, 5.5, 4.85)","(1.8, 2.0, 1.9416666666666667)","(4.2, 5.5, 4.96)","(31.0, 150.0, 126.8)","(11.0, 19.5, 16.0)"
11-01-2023 17:45:03.776889,"(21.0, 85.0, 71.88888888888889)","(3.2, 5.5, 4.85)","(1.8, 2.0, 1.9583333333333333)","(4.2, 5.5, 4.96)","(31.0, 150.0, 126.8)","(11.0, 19.5, 16.0)"
11-01-2023 17:45:04.767635,"(21.0, 85.0, 71.88888888888889)","(3.2, 5.5, 4.85)","(1.8, 1.99, 1.9842857142857142)","(4.2, 5.5, 4.96)","(31.0, 150.0, 126.8)","(11.0, 19.5, 16.0)"
11-01-2023 17:45:05.790834,"(21.0, 85.0, 71.88888888888889)","(3.2, 5.5, 4.85)","(1.8, 1.99, 1.9858333333333333)","(4.2, 5.5, 4.96)","(31.0, 450.0, 296.15384615384613)","(11.0, 19.5, 15.88888888888889)"
11-01-2023 17:45:06.691938,"(21.0, 85.0, 71.88888888888889)","(3.2, 5.5, 4.85)","(1.8, 1.99, 1.9844444444444445)","(4.2, 5.5, 4.96)","(31.0, 460.0, 374.8)","(11.0, 19.5, 15.75)"
11-01-2023 17:45:07.595113,"(21.0, 85.0, 71.88888888888889)","(3.3, 5.5, 4.85)","(1.8, 1.99, 1.9816666666666667)","(4.2, 5.5, 4.96)","(31.0, 450.0, 366.8)","(11.0, 19.5, 15.75)"
11-01-2023 17:45:08.466988,"(21.0, 85.0, 71.88888888888889)","(3.3, 5.5, 4.85)","(1.8, 1.99, 1.9816666666666667)","(4.2, 5.5, 4.96)","(31.0, 450.0, 366.8)","(11.0, 19.5, 15.75)"
11-01-2023 17:45:09.417592,"(21.0, 75.0, 68.875)","(3.3, 5.5, 4.85)","(1.8, 1.99, 1.9649999999999999)","(4.2, 5.5, 4.96)","(31.0, 450.0, 366.8)","(11.0, 19.5, 15.75)"
11-01-2023 17:45:10.460541,"(21.0, 75.0, 51.0)","(3.3, 5.5, 4.85)","(1.8, 1.99, 1.94)","(4.2, 5.5, 4.96)","(31.0, 450.0, 174.0)","(11.0, 19.5, 14.916666666666666)"
11-01-2023 17:45:11.365712,"(21.0, 75.0, 51.0)","(3.3, 5.5, 4.85)","(1.8, 1.99, 1.974)","(4.2, 5.5, 4.96)","(31.0, 450.0, 174.0)","(11.0, 19.5, 14.916666666666666)"
11-01-2023 17:45:12.256787,"(21.0, 75.0, 51.0)","(3.3, 5.5, 4.85)","(1.8, 1.99, 1.968)","(4.2, 5.5, 4.96)","(31.0, 450.0, 174.0)","(11.0, 19.5, 14.916666666666666)"
11-01-2023 17:45:13.285428,"(21.0, 75.0, 51.0)","(3.3, 5.5, 4.85)","(1.8, 1.99, 1.9708695652173913)","(4.2, 5.5, 4.96)","(31.0, 450.0, 174.0)","(11.0, 19.5, 14.916666666666666)"
11-01-2023 17:45:14.409582,"(21.0, 75.0, 51.0)","(3.3, 5.5, 4.85)","(1.8, 1.99, 1.9708695652173913)","(4.2, 5.5, 4.96)","(31.0, 450.0, 174.0)","(11.0, 19.5, 14.916666666666666)"
11-01-2023 17:45:15.374550,"(21.0, 75.0, 51.0)","(3.3, 5.5, 4.85)","(1.8, 1.99, 1.9226530612244896)","(4.2, 5.5, 4.96)","(31.0, 450.0, 174.0)","(11.0, 19.5, 14.916666666666666)"
11-01-2023 17:45:16.298370,"(21.0, 75.0, 51.0)","(3.3, 5.5, 4.85)","(1.8, 1.99, 1.9226530612244896)","(4.2, 5.5, 4.96)","(31.0, 450.0, 60.0)","(11.0, 19.5, 14.916666666666666)"
11-01-2023 17:45:17.296728,"(21.0, 75.0, 68.14285714285714)","(3.3, 5.5, 4.85)","(1.8, 1.99, 1.9226530612244896)","(4.2, 5.5, 4.96)","(31.0, 180.0, 80.66666666666666)","(11.0, 19.5, 14.916666666666666)"
11-01-2023 17:45:18.273180,"(21.0, 75.0, 68.14285714285714)","(3.3, 5.5, 4.85)","(1.8, 1.99, 1.9226530612244896)","(4.2, 5.5, 4.96)","(31.0, 170.0, 80.66666666666666)","(11.0, 19.5, 14.916666666666666)"
11-01-2023 17:45:19.151230,"(21.0, 75.0, 68.14285714285714)","(3.3, 5.5, 4.85)","(1.8, 1.99, 1.9226530612244896)","(4.2, 5.5, 4.96)","(31.0, 170.0, 80.66666666666666)","(11.0, 19.5, 14.916666666666666)"
11-01-2023 17:45:20.127423,"(21.0, 75.0, 68.14285714285714)","(3.3, 5.5, 4.85)","(1.8, 1.99, 1.9226530612244896)","(4.2, 5.5, 4.96)","(31.0, 170.0, 80.66666666666666)","(11.0, 19.5, 14.916666666666666)"
11-01-2023 17:45:21.156290,"(21.0, 75.0, 51.0)","(3.3, 5.5, 4.85)","(1.8, 1.99, 1.9226530612244896)","(4.2, 5.5, 5.266666666666667)","(31.0, 170.0, 80.66666666666666)","(11.0, 19.5, 14.916666666666666)"
