,Goldstar Austin,Goofy Adobe,Grande Vue Ace,Calculated Risk,Opawa Barrel,Replica Rebel,Goldstar Tanner,Got Faith
16-12-2022 10:23:58.833393,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:23:59.836094,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:00.857874,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:01.874510,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:02.860508,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:03.830376,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:04.770780,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:05.734055,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:06.691821,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:07.708471,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:08.747108,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:09.808793,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:10.865028,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:11.881297,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:12.903588,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:13.946623,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:14.937881,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:15.932232,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:16.884916,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:17.855104,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:18.804982,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:19.810842,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:20.775073,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:21.756591,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:22.737224,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:23.749838,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:24.743968,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:25.719971,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:26.658729,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:27.637806,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:28.626626,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:29.643573,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:30.622133,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:31.610382,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:32.658286,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:33.702975,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:34.737528,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:35.776012,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:36.774142,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:37.780300,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:38.761837,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:39.735638,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:40.689974,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
16-12-2022 10:24:41.727561,"(3.7, 5.8, 4.588461538461538)","(10.0, 44.0, 30.692307692307693)","(4.2, 6.8, 5.24)","(2.9, 3.3, 3.259259259259259)","(4.4, 12.0, 8.742857142857144)","(31.0, 340.0, 187.0)","(11.0, 30.0, 27.755555555555556)","(41.0, 390.0, 137.14285714285714)"
