,Dont Change,Rich Glow,Favashem,Fields Of France,Padstow Polly,Recurrence,Desert Fun,Fortunate Gal,Soos Lavan,Vienna Vixen
06-01-2023 12:17:53.883103,"(3.0, 3.4, 3.35)","(2.3, 2.54, 2.528235294117647)","(61.0, 140.0, 135.45454545454547)","(21.0, 32.0, 30.8)","(91.0, 440.0, 394.0)","(41.0, 190.0, 123.33333333333334)","(14.0, 21.0, 19.6)","(41.0, 110.0, 102.72727272727272)","(9.0, 20.0, 18.75)","(5.0, 8.0, 7.584615384615385)"
06-01-2023 12:17:55.468449,"(3.0, 3.4, 3.35)","(2.3, 2.54, 2.528235294117647)","(61.0, 140.0, 135.45454545454547)","(21.0, 32.0, 30.8)","(91.0, 440.0, 394.0)","(41.0, 190.0, 123.33333333333334)","(14.0, 21.0, 19.6)","(41.0, 110.0, 102.72727272727272)","(9.0, 20.0, 18.75)","(5.0, 8.0, 7.584615384615385)"
06-01-2023 12:17:57.031365,"(3.0, 3.4, 3.35)","(2.3, 2.54, 2.528235294117647)","(61.0, 140.0, 135.45454545454547)","(21.0, 32.0, 30.8)","(91.0, 440.0, 394.0)","(41.0, 190.0, 123.33333333333334)","(14.0, 21.0, 19.6)","(41.0, 110.0, 102.72727272727272)","(9.0, 20.0, 18.75)","(5.0, 8.0, 7.584615384615385)"
06-01-2023 12:17:58.669807,"(3.0, 3.4, 3.35)","(2.3, 2.54, 2.528235294117647)","(61.0, 140.0, 135.45454545454547)","(21.0, 32.0, 30.8)","(91.0, 440.0, 394.0)","(41.0, 190.0, 123.33333333333334)","(14.0, 21.0, 19.6)","(41.0, 110.0, 102.72727272727272)","(9.0, 20.0, 18.75)","(5.0, 8.0, 7.584615384615385)"
06-01-2023 12:18:00.178219,"(3.0, 3.4, 3.35)","(2.3, 2.54, 2.528235294117647)","(61.0, 140.0, 135.45454545454547)","(21.0, 32.0, 29.2)","(91.0, 440.0, 394.0)","(41.0, 190.0, 123.33333333333334)","(14.0, 21.0, 19.6)","(41.0, 110.0, 102.72727272727272)","(9.0, 20.0, 19.428571428571427)","(5.0, 8.0, 7.584615384615385)"
06-01-2023 12:18:01.814901,"(3.0, 3.4, 3.35)","(2.3, 2.54, 2.528235294117647)","(61.0, 140.0, 135.45454545454547)","(21.0, 30.0, 29.2)","(81.0, 440.0, 394.0)","(41.0, 190.0, 123.33333333333334)","(13.0, 21.0, 19.6)","(31.0, 110.0, 102.72727272727272)","(9.0, 20.0, 19.428571428571427)","(4.8, 8.0, 7.584615384615385)"
06-01-2023 12:18:03.264654,"(3.0, 3.4, 3.35)","(2.3, 2.54, 2.528235294117647)","(61.0, 140.0, 117.5)","(21.0, 30.0, 29.555555555555557)","(81.0, 440.0, 394.0)","(41.0, 190.0, 123.33333333333334)","(13.0, 21.0, 19.6)","(31.0, 110.0, 102.72727272727272)","(9.0, 20.0, 19.428571428571427)","(4.8, 8.0, 7.584615384615385)"
06-01-2023 12:18:04.789716,"(3.0, 3.4, 3.35)","(2.3, 2.54, 2.528235294117647)","(61.0, 140.0, 117.5)","(21.0, 30.0, 29.555555555555557)","(81.0, 440.0, 394.0)","(41.0, 190.0, 160.0)","(13.0, 21.0, 19.6)","(31.0, 110.0, 102.72727272727272)","(9.0, 20.0, 19.428571428571427)","(4.8, 8.0, 7.584615384615385)"
06-01-2023 12:18:06.757422,"(3.0, 3.4, 3.35)","(2.3, 2.54, 2.528235294117647)","(61.0, 140.0, 117.5)","(21.0, 30.0, 29.555555555555557)","(81.0, 440.0, 394.0)","(41.0, 190.0, 160.0)","(13.0, 21.0, 19.6)","(31.0, 110.0, 102.72727272727272)","(9.0, 20.0, 19.428571428571427)","(4.8, 8.0, 7.584615384615385)"
06-01-2023 12:18:08.477416,"(3.0, 3.4, 3.35)","(2.3, 2.54, 2.528235294117647)","(61.0, 140.0, 117.5)","(21.0, 30.0, 29.555555555555557)","(81.0, 440.0, 394.0)","(41.0, 190.0, 160.0)","(13.0, 21.0, 19.6)","(31.0, 110.0, 102.72727272727272)","(9.0, 20.0, 19.5)","(4.8, 8.0, 7.584615384615385)"
06-01-2023 12:18:13.715543,"(3.0, 3.4, 3.35)","(2.3, 2.54, 2.528235294117647)","(61.0, 130.0, 106.66666666666667)","(21.0, 30.0, 29.555555555555557)","(81.0, 440.0, 293.3333333333333)","(41.0, 190.0, 140.0)","(13.0, 21.0, 19.6)","(31.0, 110.0, 102.72727272727272)","(9.0, 20.0, 19.5)","(4.8, 8.0, 7.584615384615385)"
06-01-2023 12:18:15.521691,"(3.0, 3.4, 3.30625)","(2.3, 2.54, 2.528235294117647)","(61.0, 130.0, 106.66666666666667)","(21.0, 30.0, 29.555555555555557)","(81.0, 440.0, 293.3333333333333)","(41.0, 190.0, 140.0)","(13.0, 21.0, 19.6)","(31.0, 110.0, 102.72727272727272)","(9.0, 20.0, 19.5)","(4.8, 8.0, 7.584615384615385)"
06-01-2023 12:18:17.305083,"(3.0, 3.4, 3.30625)","(2.3, 2.54, 2.528235294117647)","(61.0, 130.0, 106.66666666666667)","(21.0, 30.0, 28.4)","(81.0, 440.0, 293.3333333333333)","(41.0, 190.0, 160.0)","(13.0, 21.0, 19.130434782608695)","(31.0, 110.0, 102.72727272727272)","(9.0, 20.0, 19.5)","(4.8, 8.0, 7.5600000000000005)"
06-01-2023 12:18:18.850977,"(3.0, 3.4, 3.30625)","(2.3, 2.54, 2.528235294117647)","(61.0, 130.0, 106.66666666666667)","(21.0, 29.0, 28.4)","(81.0, 440.0, 293.3333333333333)","(41.0, 190.0, 156.66666666666669)","(13.0, 20.0, 19.130434782608695)","(31.0, 110.0, 102.72727272727272)","(9.0, 20.0, 19.5)","(4.8, 8.0, 7.8)"
06-01-2023 12:18:20.424695,"(3.0, 3.4, 3.30625)","(2.3, 2.54, 2.528235294117647)","(61.0, 130.0, 106.66666666666667)","(21.0, 29.0, 28.4)","(81.0, 440.0, 293.3333333333333)","(41.0, 190.0, 156.66666666666669)","(13.0, 20.0, 19.130434782608695)","(31.0, 110.0, 102.72727272727272)","(9.0, 20.0, 19.5)","(4.8, 8.2, 7.933333333333333)"
06-01-2023 12:18:21.963359,"(3.0, 3.4, 3.30625)","(2.3, 2.54, 2.528235294117647)","(61.0, 130.0, 106.66666666666667)","(21.0, 29.0, 28.4)","(81.0, 440.0, 293.3333333333333)","(41.0, 190.0, 156.66666666666669)","(13.0, 20.0, 19.130434782608695)","(31.0, 110.0, 102.72727272727272)","(9.0, 20.0, 19.5)","(4.8, 8.2, 7.933333333333333)"
06-01-2023 12:18:23.603717,"(3.0, 3.4, 3.3318181818181816)","(2.3, 2.54, 2.5046153846153847)","(61.0, 130.0, 103.75)","(21.0, 29.0, 28.0)","(81.0, 440.0, 293.3333333333333)","(41.0, 190.0, 156.66666666666669)","(13.0, 20.0, 19.130434782608695)","(31.0, 110.0, 100.0)","(9.0, 20.0, 19.5)","(4.8, 8.2, 7.933333333333333)"
