,Splash Some Cash,Run For Glory,Heir Of Tavistock,Tubby Two Tracks,Grinzinger Allee,Midnight Brawler,Metro Legend,Annika,Obi,Star Espresso,Enbarr,Fox Dor
07-01-2023 15:55:10.312250,"(16.0, 24.0, 22.5)","(16.0, 24.0, 21.0)","(7.5, 9.2, 9.127272727272727)","(11.0, 15.5, 14.978260869565217)","(31.0, 60.0, 49.333333333333336)","(51.0, 70.0, 61.42857142857143)","(2.9, 3.9, 3.8562499999999997)","(7.5, 11.5, 10.1875)","(7.5, 9.4, 9.365217391304348)","(7.0, 9.2, 9.028571428571428)","(91.0, 180.0, 140.0)","(10.0, 14.5, 12.192307692307692)"
07-01-2023 15:55:11.702915,"(16.0, 24.0, 22.5)","(16.0, 24.0, 21.0)","(7.5, 9.2, 9.127272727272727)","(11.0, 15.5, 14.978260869565217)","(31.0, 60.0, 49.333333333333336)","(51.0, 70.0, 61.42857142857143)","(2.9, 3.9, 3.8562499999999997)","(7.5, 11.5, 10.1875)","(7.5, 9.4, 9.365217391304348)","(7.0, 9.2, 9.028571428571428)","(91.0, 180.0, 140.0)","(10.0, 14.5, 12.192307692307692)"
07-01-2023 15:55:13.198450,"(16.0, 24.0, 22.5)","(16.0, 24.0, 20.470588235294116)","(7.5, 9.2, 9.127272727272727)","(11.0, 15.5, 14.978260869565217)","(31.0, 60.0, 49.333333333333336)","(51.0, 70.0, 61.42857142857143)","(2.9, 3.9, 3.8562499999999997)","(7.5, 11.5, 10.3)","(7.5, 9.4, 9.365217391304348)","(7.0, 9.2, 9.0)","(91.0, 180.0, 140.0)","(10.0, 14.5, 12.192307692307692)"
07-01-2023 15:55:14.742504,"(16.0, 24.0, 22.5)","(16.0, 24.0, 20.470588235294116)","(7.5, 9.2, 8.98181818181818)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 49.2)","(2.9, 3.9, 3.8562499999999997)","(7.5, 11.5, 11.2)","(7.5, 9.4, 9.114285714285714)","(7.0, 9.2, 8.9)","(91.0, 180.0, 153.0)","(10.0, 14.5, 12.090909090909092)"
07-01-2023 15:55:16.203877,"(16.0, 23.0, 20.0)","(16.0, 24.0, 20.470588235294116)","(7.5, 9.2, 8.98181818181818)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 49.2)","(2.9, 3.9, 3.8562499999999997)","(7.5, 12.0, 11.2)","(7.5, 9.4, 8.8)","(7.0, 9.2, 8.9)","(91.0, 170.0, 153.0)","(10.0, 14.0, 12.090909090909092)"
07-01-2023 15:55:17.651524,"(16.0, 23.0, 20.0)","(16.0, 24.0, 20.470588235294116)","(7.5, 9.2, 8.98181818181818)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 49.2)","(2.9, 3.9, 3.8562499999999997)","(7.5, 12.0, 11.2)","(7.5, 9.4, 9.1)","(7.0, 9.2, 8.9)","(91.0, 170.0, 135.0)","(10.0, 14.0, 12.090909090909092)"
07-01-2023 15:55:19.056951,"(16.0, 23.0, 20.0)","(16.0, 24.0, 20.25)","(7.5, 9.2, 8.685714285714285)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 49.2)","(2.9, 3.9, 3.873333333333333)","(7.5, 12.0, 11.2)","(7.5, 9.4, 9.1)","(7.0, 9.2, 8.966666666666667)","(91.0, 160.0, 135.0)","(10.0, 14.0, 12.090909090909092)"
07-01-2023 15:55:20.513475,"(16.0, 23.0, 20.0)","(16.0, 24.0, 20.25)","(7.5, 9.2, 8.925925925925926)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 49.2)","(2.9, 3.9, 3.8562499999999997)","(7.5, 12.0, 10.666666666666666)","(7.5, 9.4, 9.344000000000001)","(7.0, 9.2, 8.966666666666667)","(91.0, 160.0, 130.0)","(10.0, 14.0, 13.117647058823529)"
07-01-2023 15:55:21.935256,"(16.0, 23.0, 20.0)","(16.0, 24.0, 20.25)","(7.5, 9.0, 8.925925925925926)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 49.2)","(2.9, 3.9, 3.8562499999999997)","(7.5, 12.0, 10.666666666666666)","(7.5, 9.4, 9.344000000000001)","(7.0, 9.2, 8.966666666666667)","(91.0, 160.0, 130.0)","(10.0, 14.0, 13.117647058823529)"
07-01-2023 15:55:23.408557,"(16.0, 23.0, 20.0)","(16.0, 24.0, 20.25)","(7.5, 9.0, 8.925925925925926)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 49.2)","(2.9, 3.9, 3.8562499999999997)","(8.0, 12.0, 10.666666666666666)","(7.5, 9.4, 9.344000000000001)","(7.0, 9.2, 8.966666666666667)","(91.0, 160.0, 130.0)","(10.0, 14.0, 13.117647058823529)"
07-01-2023 15:55:24.953249,"(16.0, 23.0, 20.0)","(16.0, 24.0, 20.25)","(7.5, 9.0, 8.925925925925926)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 49.2)","(2.9, 3.9, 3.8562499999999997)","(8.0, 12.0, 10.666666666666666)","(7.5, 9.4, 9.344000000000001)","(7.0, 9.2, 9.038461538461538)","(91.0, 160.0, 130.0)","(10.0, 14.0, 13.372340425531915)"
07-01-2023 15:55:26.508484,"(16.0, 23.0, 22.5)","(16.0, 24.0, 20.25)","(7.5, 9.0, 8.925925925925926)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 49.2)","(2.9, 3.9, 3.8562499999999997)","(8.0, 12.0, 10.666666666666666)","(7.5, 9.4, 9.344000000000001)","(7.0, 9.2, 9.3)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:55:27.942621,"(16.0, 24.0, 22.5)","(16.0, 24.0, 19.384615384615383)","(7.5, 9.0, 8.925925925925926)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 57.55555555555556)","(2.9, 3.9, 3.704237288135593)","(8.0, 12.0, 10.666666666666666)","(7.5, 9.4, 9.344000000000001)","(7.0, 9.6, 9.24)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:55:29.781057,"(16.0, 24.0, 22.5)","(16.0, 24.0, 19.384615384615383)","(7.5, 9.0, 8.941176470588236)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 59.81818181818181)","(2.9, 3.75, 3.704237288135593)","(8.0, 12.0, 10.285714285714286)","(7.5, 9.4, 9.344000000000001)","(7.0, 9.6, 9.354545454545454)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:55:31.421168,"(16.0, 24.0, 22.5)","(16.0, 24.0, 19.384615384615383)","(7.5, 9.0, 8.941176470588236)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 59.81818181818181)","(2.9, 3.75, 3.704237288135593)","(8.0, 12.0, 10.285714285714286)","(7.5, 9.4, 9.344000000000001)","(7.0, 9.6, 9.354545454545454)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:55:33.020706,"(16.0, 24.0, 22.5)","(16.0, 24.0, 19.384615384615383)","(7.5, 9.0, 8.941176470588236)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 59.81818181818181)","(2.9, 3.75, 3.704237288135593)","(8.0, 12.0, 10.285714285714286)","(7.5, 9.4, 9.344000000000001)","(7.0, 9.6, 9.354545454545454)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:55:34.522141,"(16.0, 24.0, 22.5)","(16.0, 24.0, 19.384615384615383)","(7.5, 9.0, 8.941176470588236)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 59.81818181818181)","(2.9, 3.75, 3.700909090909091)","(8.0, 12.0, 10.285714285714286)","(7.5, 9.4, 9.344000000000001)","(7.0, 9.6, 9.354545454545454)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:55:36.030934,"(16.0, 24.0, 22.5)","(16.0, 24.0, 19.384615384615383)","(7.5, 9.0, 8.941176470588236)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 59.81818181818181)","(2.9, 3.75, 3.700909090909091)","(8.0, 12.0, 10.285714285714286)","(7.5, 9.4, 9.344000000000001)","(7.0, 9.6, 9.354545454545454)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:55:37.536214,"(16.0, 24.0, 22.5)","(16.0, 24.0, 19.384615384615383)","(7.5, 9.0, 8.941176470588236)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 59.81818181818181)","(2.9, 3.75, 3.700909090909091)","(8.0, 12.0, 10.285714285714286)","(7.5, 9.4, 9.344000000000001)","(7.0, 9.6, 9.354545454545454)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:55:39.067268,"(16.0, 24.0, 22.5)","(16.0, 24.0, 19.384615384615383)","(7.5, 9.0, 8.941176470588236)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 59.81818181818181)","(2.9, 3.75, 4.264102564102564)","(8.0, 12.0, 10.285714285714286)","(7.5, 9.4, 9.344000000000001)","(7.0, 9.6, 9.354545454545454)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:55:40.548516,"(16.0, 24.0, 22.5)","(16.0, 24.0, 19.384615384615383)","(7.5, 9.0, 8.941176470588236)","(11.0, 15.5, 14.978260869565217)","(31.0, 60.0, 48.0)","(51.0, 70.0, 54.0)","(2.9, 4.3, 3.8944444444444444)","(8.0, 12.0, 10.285714285714286)","(7.5, 9.4, 9.344000000000001)","(7.0, 9.6, 9.354545454545454)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:55:42.068871,"(16.0, 24.0, 22.5)","(16.0, 24.0, 19.384615384615383)","(7.5, 9.0, 8.941176470588236)","(11.0, 15.5, 14.978260869565217)","(31.0, 60.0, 48.0)","(51.0, 70.0, 58.44444444444444)","(2.9, 4.2, 3.9066666666666667)","(8.0, 12.0, 10.285714285714286)","(7.5, 9.4, 9.344000000000001)","(7.0, 9.6, 9.354545454545454)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:55:43.554257,"(16.0, 24.0, 22.5)","(16.0, 24.0, 22.59090909090909)","(7.5, 9.0, 8.941176470588236)","(11.0, 15.5, 14.978260869565217)","(31.0, 60.0, 48.0)","(51.0, 70.0, 58.44444444444444)","(2.9, 4.2, 3.9066666666666667)","(8.0, 12.0, 10.285714285714286)","(7.5, 9.4, 9.344000000000001)","(7.0, 9.6, 9.354545454545454)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:55:44.915627,"(16.0, 24.0, 22.5)","(16.0, 23.0, 22.59090909090909)","(7.5, 9.0, 8.941176470588236)","(11.0, 15.5, 14.978260869565217)","(31.0, 60.0, 48.0)","(51.0, 70.0, 58.44444444444444)","(2.9, 4.2, 3.5181818181818185)","(8.0, 12.0, 10.285714285714286)","(7.5, 9.4, 9.344000000000001)","(7.0, 9.6, 9.354545454545454)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:55:46.371219,"(16.0, 24.0, 22.5)","(16.0, 23.0, 21.4)","(7.5, 9.0, 8.833333333333334)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 60.54545454545455)","(2.9, 4.2, 3.7351851851851854)","(8.0, 12.0, 10.285714285714286)","(7.5, 9.4, 9.277777777777779)","(7.0, 9.6, 9.354545454545454)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:55:47.817122,"(16.0, 24.0, 22.5)","(16.0, 23.0, 22.11111111111111)","(7.5, 9.0, 8.833333333333334)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 60.54545454545455)","(2.9, 4.0, 3.732857142857143)","(8.0, 12.0, 10.666666666666666)","(7.5, 9.4, 8.4)","(7.0, 9.6, 9.410526315789474)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:55:49.413912,"(16.0, 24.0, 22.5)","(16.0, 23.0, 22.11111111111111)","(7.5, 9.0, 8.833333333333334)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 60.54545454545455)","(2.9, 4.0, 3.732857142857143)","(8.0, 12.0, 10.666666666666666)","(7.5, 9.4, 8.6)","(7.0, 9.6, 9.410526315789474)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:55:50.838988,"(16.0, 24.0, 22.5)","(16.0, 23.0, 22.11111111111111)","(7.5, 9.0, 8.833333333333334)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 60.54545454545455)","(2.9, 4.0, 3.732857142857143)","(8.0, 12.0, 10.666666666666666)","(7.5, 9.2, 8.36)","(7.0, 9.6, 9.410526315789474)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:55:52.423465,"(16.0, 24.0, 22.5)","(16.0, 23.0, 22.11111111111111)","(7.5, 9.0, 8.941176470588236)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 60.54545454545455)","(2.9, 4.0, 3.732857142857143)","(8.0, 12.0, 10.666666666666666)","(7.5, 9.2, 8.952941176470588)","(7.0, 9.6, 9.410526315789474)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:55:53.910125,"(16.0, 24.0, 22.5)","(16.0, 23.0, 22.11111111111111)","(7.5, 9.0, 8.941176470588236)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 60.54545454545455)","(2.9, 4.0, 3.732857142857143)","(8.0, 12.0, 11.25)","(7.5, 9.2, 9.083870967741934)","(7.0, 9.6, 9.472727272727273)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:55:55.469648,"(16.0, 24.0, 22.5)","(16.0, 23.0, 21.4)","(7.5, 9.0, 8.941176470588236)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 60.54545454545455)","(2.9, 4.0, 3.6833333333333336)","(8.0, 12.5, 11.25)","(7.5, 9.2, 8.988235294117647)","(7.0, 9.8, 9.472727272727273)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:55:56.881047,"(16.0, 24.0, 22.5)","(16.0, 23.0, 22.11111111111111)","(7.5, 9.0, 8.941176470588236)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 60.54545454545455)","(2.9, 4.0, 3.6833333333333336)","(8.0, 12.5, 11.25)","(7.5, 9.2, 8.988235294117647)","(7.0, 9.8, 9.472727272727273)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:55:58.426722,"(16.0, 24.0, 22.5)","(16.0, 23.0, 22.11111111111111)","(7.5, 9.0, 8.941176470588236)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 60.54545454545455)","(2.9, 4.0, 3.6833333333333336)","(8.0, 12.5, 11.25)","(7.5, 9.2, 8.988235294117647)","(7.0, 9.8, 9.472727272727273)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:55:59.908001,"(16.0, 24.0, 22.5)","(16.0, 23.0, 22.11111111111111)","(7.5, 9.0, 8.941176470588236)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 60.54545454545455)","(2.9, 4.0, 3.6833333333333336)","(8.0, 12.5, 11.25)","(7.5, 9.2, 8.988235294117647)","(7.0, 9.8, 9.472727272727273)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:56:01.461673,"(16.0, 24.0, 22.5)","(16.0, 23.0, 22.11111111111111)","(7.5, 9.0, 8.941176470588236)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 60.54545454545455)","(2.9, 4.0, 3.6833333333333336)","(8.0, 12.5, 11.25)","(7.5, 9.2, 8.988235294117647)","(7.0, 9.8, 9.472727272727273)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:56:02.913413,"(16.0, 24.0, 22.5)","(16.0, 23.0, 22.11111111111111)","(7.5, 9.0, 8.941176470588236)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 60.54545454545455)","(2.9, 4.0, 3.6833333333333336)","(8.0, 12.5, 11.25)","(7.5, 9.2, 8.988235294117647)","(7.0, 9.8, 9.472727272727273)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:56:04.454662,"(16.0, 24.0, 22.5)","(16.0, 23.0, 22.11111111111111)","(7.5, 9.0, 8.941176470588236)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 60.54545454545455)","(2.9, 4.0, 3.6833333333333336)","(8.0, 12.5, 11.25)","(7.5, 9.2, 8.988235294117647)","(7.0, 9.8, 9.472727272727273)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:56:05.980755,"(16.0, 24.0, 22.5)","(16.0, 23.0, 22.333333333333332)","(7.5, 9.0, 8.941176470588236)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 60.54545454545455)","(2.9, 4.0, 3.6833333333333336)","(8.0, 12.5, 11.25)","(7.5, 9.2, 8.988235294117647)","(7.0, 9.8, 9.472727272727273)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:56:07.751157,"(16.0, 24.0, 22.5)","(16.0, 23.0, 21.6)","(7.5, 9.0, 8.941176470588236)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 52.666666666666664)","(2.9, 4.0, 3.6833333333333336)","(8.0, 12.5, 11.25)","(7.5, 9.2, 8.988235294117647)","(7.0, 9.8, 9.472727272727273)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:56:09.346085,"(16.0, 24.0, 22.5)","(16.0, 23.0, 21.6)","(7.5, 9.0, 8.941176470588236)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 52.666666666666664)","(2.9, 4.0, 3.6833333333333336)","(8.0, 12.5, 10.3125)","(7.5, 9.2, 8.988235294117647)","(7.0, 9.8, 9.472727272727273)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:56:11.167325,"(16.0, 24.0, 22.5)","(16.0, 23.0, 22.11111111111111)","(7.5, 9.0, 8.941176470588236)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 52.666666666666664)","(2.9, 4.0, 3.6833333333333336)","(8.0, 12.5, 10.3125)","(7.5, 9.2, 8.988235294117647)","(7.0, 9.8, 9.472727272727273)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:56:12.974337,"(16.0, 24.0, 22.5)","(16.0, 23.0, 22.384615384615387)","(7.5, 9.0, 9.066666666666666)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 52.666666666666664)","(2.9, 4.0, 3.6833333333333336)","(8.0, 12.5, 10.3125)","(7.5, 9.2, 8.988235294117647)","(7.0, 9.8, 9.472727272727273)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:56:14.710011,"(16.0, 24.0, 22.5)","(16.0, 23.0, 21.666666666666668)","(7.5, 9.2, 9.104761904761904)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 59.81818181818181)","(2.9, 4.0, 3.6833333333333336)","(8.0, 12.5, 10.3125)","(7.5, 9.2, 8.988235294117647)","(7.0, 9.8, 9.472727272727273)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:56:16.200710,"(16.0, 24.0, 22.5)","(16.0, 23.0, 22.2)","(7.5, 9.2, 9.104761904761904)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 59.81818181818181)","(2.9, 4.0, 3.6833333333333336)","(8.0, 12.5, 10.3125)","(7.5, 9.2, 8.988235294117647)","(7.0, 9.8, 9.325)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:56:17.802457,"(16.0, 24.0, 22.5)","(16.0, 23.0, 21.666666666666668)","(7.5, 9.2, 9.104761904761904)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 59.81818181818181)","(2.9, 4.0, 3.838888888888889)","(8.0, 12.5, 10.3125)","(7.5, 9.2, 8.988235294117647)","(7.0, 9.6, 9.325)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:56:19.381814,"(16.0, 24.0, 22.5)","(16.0, 23.0, 21.666666666666668)","(7.5, 9.2, 9.104761904761904)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 59.81818181818181)","(2.9, 3.95, 3.81)","(8.0, 12.5, 10.3125)","(7.5, 9.2, 8.988235294117647)","(7.0, 9.6, 9.39)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
07-01-2023 15:56:21.039669,"(16.0, 24.0, 22.5)","(16.0, 23.0, 21.666666666666668)","(7.5, 9.2, 9.104761904761904)","(11.0, 15.5, 15.046511627906977)","(31.0, 60.0, 50.0)","(51.0, 70.0, 59.81818181818181)","(2.9, 3.95, 3.81)","(8.0, 12.5, 10.3125)","(7.5, 9.2, 8.988235294117647)","(7.0, 9.6, 9.39)","(91.0, 160.0, 130.0)","(10.0, 13.5, 13.26)"
