,Semeco,Dyerville,Cable Dancer,Alchian,Hostile Takeover,Orrong Road,Sheeza Tilly
16-12-2022 15:01:31.848669,"(3.0, 3.4, 3.380952380952381)","(3.6, 4.3, 4.2405405405405405)","(7.5, 13.0, 12.8)","(8.0, 10.0, 9.628571428571428)","(13.0, 23.0, 19.625)","(4.8, 5.8, 5.643478260869565)","(13.0, 17.0, 16.047619047619047)"
16-12-2022 15:01:32.860747,"(3.0, 3.4, 3.380952380952381)","(3.6, 4.3, 4.2405405405405405)","(7.5, 13.0, 12.8)","(8.0, 10.0, 9.628571428571428)","(13.0, 23.0, 19.625)","(4.8, 5.8, 5.643478260869565)","(13.0, 17.0, 16.047619047619047)"
16-12-2022 15:01:33.926952,"(3.0, 3.4, 3.380952380952381)","(3.6, 4.3, 4.2405405405405405)","(7.5, 13.0, 12.8)","(8.0, 10.0, 9.628571428571428)","(13.0, 23.0, 19.625)","(4.8, 5.8, 5.643478260869565)","(13.0, 17.0, 16.047619047619047)"
16-12-2022 15:01:34.987019,"(3.0, 3.4, 3.380952380952381)","(3.6, 4.3, 4.2405405405405405)","(7.5, 13.0, 12.8)","(8.0, 10.0, 9.628571428571428)","(13.0, 23.0, 19.625)","(4.8, 5.8, 5.643478260869565)","(13.0, 17.0, 16.047619047619047)"
16-12-2022 15:01:36.020303,"(3.0, 3.4, 3.380952380952381)","(3.6, 4.3, 4.233333333333333)","(7.5, 13.0, 12.8)","(8.0, 10.0, 9.74)","(13.0, 23.0, 20.3)","(4.8, 5.8, 5.61)","(13.0, 19.5, 18.045454545454547)"
16-12-2022 15:01:36.992354,"(3.0, 3.4, 3.380952380952381)","(3.6, 4.3, 4.2405405405405405)","(7.5, 13.0, 12.8)","(8.0, 10.0, 9.74)","(13.0, 23.0, 20.3)","(4.8, 5.8, 5.61)","(13.0, 18.5, 17.642857142857142)"
16-12-2022 15:01:37.954709,"(3.0, 3.4, 3.380952380952381)","(3.6, 4.3, 4.2405405405405405)","(7.5, 13.0, 12.8)","(8.0, 10.0, 9.74)","(13.0, 23.0, 20.3)","(4.8, 5.8, 5.61)","(13.0, 18.5, 17.264705882352942)"
16-12-2022 15:01:39.008450,"(3.0, 3.4, 3.3789473684210525)","(3.6, 4.3, 4.2405405405405405)","(7.5, 13.0, 12.8)","(8.0, 10.0, 9.74)","(13.0, 23.0, 20.3)","(4.8, 5.8, 5.622222222222222)","(13.0, 18.5, 17.0)"
16-12-2022 15:01:40.011201,"(3.0, 3.4, 3.3789473684210525)","(3.6, 4.3, 4.2405405405405405)","(7.5, 13.0, 12.8)","(8.0, 10.0, 9.74)","(13.0, 23.0, 20.3)","(4.8, 5.8, 5.622222222222222)","(13.0, 18.5, 17.0)"
16-12-2022 15:01:41.156302,"(3.0, 3.4, 3.3789473684210525)","(3.6, 4.3, 4.233333333333333)","(7.5, 13.5, 12.8)","(8.0, 10.0, 9.628571428571428)","(13.0, 23.0, 20.3)","(4.8, 5.8, 5.61)","(13.0, 18.5, 17.0)"
16-12-2022 15:01:42.190571,"(3.0, 3.4, 3.3789473684210525)","(3.6, 4.3, 4.233333333333333)","(7.5, 13.5, 12.8)","(8.0, 10.0, 9.628571428571428)","(13.0, 23.0, 20.3)","(4.8, 5.8, 5.61)","(13.0, 18.5, 17.0)"
16-12-2022 15:01:43.210246,"(3.0, 3.4, 3.3789473684210525)","(3.6, 4.3, 4.233333333333333)","(7.5, 13.5, 12.8)","(8.0, 10.0, 9.628571428571428)","(13.0, 23.0, 20.3)","(4.8, 5.8, 5.622222222222222)","(13.0, 18.5, 17.0)"
16-12-2022 15:01:44.216172,"(3.0, 3.4, 3.380952380952381)","(3.6, 4.3, 4.2405405405405405)","(7.5, 13.5, 12.8)","(8.0, 10.0, 9.628571428571428)","(13.0, 23.0, 19.625)","(4.8, 5.8, 5.622222222222222)","(13.0, 18.5, 17.0)"
16-12-2022 15:01:45.290842,"(3.0, 3.35, 3.3314814814814815)","(3.6, 4.3, 4.233333333333333)","(7.5, 13.5, 12.8)","(8.0, 10.0, 9.628571428571428)","(13.0, 23.0, 19.625)","(4.8, 5.8, 5.517647058823529)","(13.0, 18.5, 17.0)"
16-12-2022 15:01:46.343945,"(3.0, 3.35, 3.3314814814814815)","(3.6, 4.3, 4.224137931034482)","(7.5, 13.5, 12.8)","(8.0, 10.0, 9.628571428571428)","(13.0, 23.0, 19.625)","(4.8, 5.8, 5.672)","(13.0, 18.5, 16.833333333333332)"
16-12-2022 15:01:47.336473,"(3.0, 3.35, 3.3314814814814815)","(3.6, 4.3, 4.224137931034482)","(7.5, 13.5, 12.8)","(8.0, 10.0, 9.628571428571428)","(13.0, 23.0, 19.625)","(4.8, 5.8, 5.663829787234042)","(13.0, 18.5, 16.833333333333332)"
16-12-2022 15:01:48.535945,"(3.0, 3.35, 3.3314814814814815)","(3.6, 4.3, 4.224137931034482)","(7.5, 13.5, 12.8)","(8.0, 10.0, 9.628571428571428)","(13.0, 23.0, 19.625)","(4.8, 5.8, 5.663829787234042)","(13.0, 18.5, 16.833333333333332)"
16-12-2022 15:01:49.576375,"(3.0, 3.35, 3.3314814814814815)","(3.6, 4.3, 4.233333333333333)","(7.5, 13.5, 12.38888888888889)","(8.0, 10.0, 9.628571428571428)","(13.0, 23.0, 19.625)","(4.8, 5.8, 5.663829787234042)","(13.0, 18.5, 16.833333333333332)"
16-12-2022 15:01:50.684987,"(3.0, 3.4, 3.380952380952381)","(3.6, 4.3, 4.233333333333333)","(7.5, 13.5, 12.38888888888889)","(8.0, 10.0, 9.628571428571428)","(13.0, 23.0, 19.625)","(4.8, 5.8, 5.663829787234042)","(13.0, 18.5, 16.833333333333332)"
16-12-2022 15:01:51.842877,"(3.0, 3.4, 3.380952380952381)","(3.6, 4.3, 4.233333333333333)","(7.5, 13.0, 12.1)","(8.0, 10.0, 9.628571428571428)","(13.0, 23.0, 19.625)","(4.8, 5.8, 5.663829787234042)","(13.0, 18.5, 16.833333333333332)"
16-12-2022 15:01:52.997814,"(3.0, 3.4, 3.380952380952381)","(3.6, 4.3, 4.233333333333333)","(7.5, 13.0, 11.875)","(8.0, 10.0, 9.74)","(13.0, 23.0, 19.625)","(4.8, 5.8, 5.663829787234042)","(13.0, 18.0, 16.90909090909091)"
16-12-2022 15:01:54.084560,"(3.0, 3.4, 3.380952380952381)","(3.6, 4.3, 4.233333333333333)","(7.5, 13.0, 11.875)","(8.0, 10.0, 9.512500000000001)","(13.0, 23.0, 19.625)","(4.8, 5.8, 5.663829787234042)","(13.0, 18.0, 16.90909090909091)"
16-12-2022 15:01:55.173798,"(3.0, 3.4, 3.380952380952381)","(3.6, 4.3, 4.233333333333333)","(7.5, 13.0, 11.875)","(8.0, 10.0, 9.512500000000001)","(13.0, 23.0, 19.625)","(4.8, 5.8, 5.663829787234042)","(13.0, 18.0, 16.833333333333332)"
16-12-2022 15:01:56.179365,"(3.0, 3.4, 3.380952380952381)","(3.6, 4.3, 4.233333333333333)","(7.5, 13.0, 11.875)","(8.0, 10.5, 10.1125)","(13.0, 23.0, 19.625)","(4.8, 5.8, 5.663829787234042)","(13.0, 18.0, 16.833333333333332)"
16-12-2022 15:01:57.133965,"(3.0, 3.4, 3.380952380952381)","(3.6, 4.3, 4.233333333333333)","(7.5, 13.0, 11.875)","(8.0, 10.5, 10.1125)","(13.0, 23.0, 19.625)","(4.8, 5.8, 5.663829787234042)","(13.0, 18.0, 16.75)"
16-12-2022 15:01:58.113705,"(3.0, 3.4, 3.380952380952381)","(3.6, 4.3, 4.233333333333333)","(7.5, 13.0, 12.076923076923077)","(8.0, 10.5, 10.101724137931035)","(13.0, 23.0, 19.625)","(4.8, 5.8, 5.663829787234042)","(13.0, 18.0, 17.03846153846154)"
16-12-2022 15:01:59.126140,"(3.0, 3.4, 3.380952380952381)","(3.6, 4.3, 4.233333333333333)","(8.0, 13.0, 12.172413793103448)","(8.0, 10.5, 10.101724137931035)","(13.0, 22.0, 19.576923076923077)","(4.8, 5.8, 5.717948717948718)","(13.0, 18.0, 17.03846153846154)"
16-12-2022 15:02:00.111845,"(3.0, 3.4, 3.380952380952381)","(3.6, 4.3, 4.233333333333333)","(8.0, 13.0, 12.172413793103448)","(8.0, 10.5, 10.101724137931035)","(13.0, 22.0, 19.576923076923077)","(4.8, 5.8, 5.717948717948718)","(13.0, 18.0, 17.03846153846154)"
16-12-2022 15:02:01.129779,"(3.0, 3.4, 3.380952380952381)","(3.6, 4.3, 4.233333333333333)","(8.0, 12.5, 12.05)","(8.0, 10.5, 10.101724137931035)","(13.0, 22.0, 19.428571428571427)","(4.8, 5.8, 5.717948717948718)","(13.0, 18.0, 16.571428571428573)"
16-12-2022 15:02:02.201698,"(3.0, 3.4, 3.380952380952381)","(3.6, 4.3, 4.233333333333333)","(8.0, 12.5, 12.05)","(8.0, 10.5, 10.101724137931035)","(13.0, 22.0, 19.428571428571427)","(4.8, 5.8, 5.725581395348837)","(13.0, 18.0, 16.571428571428573)"
16-12-2022 15:02:03.309938,"(3.0, 3.4, 3.380952380952381)","(3.6, 4.3, 4.233333333333333)","(8.0, 12.5, 12.05)","(8.0, 10.5, 10.101724137931035)","(13.0, 22.0, 19.428571428571427)","(4.8, 5.8, 5.725581395348837)","(13.0, 18.0, 16.571428571428573)"
16-12-2022 15:02:04.429076,"(3.0, 3.4, 3.380952380952381)","(3.6, 4.3, 4.233333333333333)","(8.0, 12.5, 12.05)","(8.0, 10.5, 10.101724137931035)","(13.0, 22.0, 19.428571428571427)","(4.8, 5.6, 5.570731707317073)","(13.0, 18.0, 16.571428571428573)"
16-12-2022 15:02:05.545329,"(3.0, 3.45, 3.3683673469387756)","(3.6, 4.3, 4.238888888888889)","(8.0, 12.5, 11.75)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.6)","(4.8, 5.8, 5.615384615384615)","(13.0, 18.0, 16.88888888888889)"
16-12-2022 15:02:06.560239,"(3.0, 3.45, 3.366981132075472)","(3.6, 4.3, 4.238888888888889)","(8.0, 12.5, 11.75)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.6)","(4.8, 5.8, 5.59375)","(13.0, 18.0, 16.88888888888889)"
16-12-2022 15:02:07.615680,"(3.0, 3.45, 3.366981132075472)","(3.6, 4.3, 4.238888888888889)","(8.0, 12.5, 11.954545454545455)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.473684210526315)","(4.8, 5.8, 5.59375)","(13.0, 18.0, 16.5)"
16-12-2022 15:02:08.728553,"(3.0, 3.45, 3.3683673469387756)","(3.6, 4.3, 4.238888888888889)","(8.0, 12.5, 11.954545454545455)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.473684210526315)","(4.8, 5.8, 5.615384615384615)","(13.0, 17.0, 16.529411764705884)"
16-12-2022 15:02:09.824817,"(3.0, 3.45, 3.3683673469387756)","(3.6, 4.3, 4.238888888888889)","(8.0, 12.5, 11.954545454545455)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.642857142857142)","(4.8, 5.8, 5.615384615384615)","(13.0, 17.0, 16.529411764705884)"
16-12-2022 15:02:10.935439,"(3.0, 3.45, 3.3683673469387756)","(3.6, 4.3, 4.238888888888889)","(8.0, 12.5, 11.954545454545455)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.642857142857142)","(4.8, 5.8, 5.615384615384615)","(13.0, 17.0, 16.636363636363637)"
16-12-2022 15:02:11.966899,"(3.0, 3.45, 3.3683673469387756)","(3.6, 4.3, 4.238888888888889)","(8.0, 12.5, 12.055555555555555)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.615384615384615)","(13.0, 17.0, 16.636363636363637)"
16-12-2022 15:02:12.955672,"(3.0, 3.45, 3.3683673469387756)","(3.6, 4.3, 4.238888888888889)","(8.0, 12.5, 12.055555555555555)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.615384615384615)","(13.0, 17.0, 16.57894736842105)"
16-12-2022 15:02:13.911342,"(3.0, 3.45, 3.3683673469387756)","(3.6, 4.3, 4.238888888888889)","(8.0, 12.5, 12.055555555555555)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.615384615384615)","(13.0, 17.0, 16.57894736842105)"
16-12-2022 15:02:14.978303,"(3.0, 3.45, 3.3683673469387756)","(3.6, 4.3, 4.238888888888889)","(8.0, 12.5, 12.055555555555555)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.615384615384615)","(13.0, 17.0, 16.57894736842105)"
16-12-2022 15:02:16.045147,"(3.0, 3.45, 3.3683673469387756)","(3.6, 4.3, 4.238888888888889)","(8.0, 12.5, 12.055555555555555)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.615384615384615)","(13.0, 17.0, 16.57894736842105)"
16-12-2022 15:02:17.153646,"(3.0, 3.45, 3.3683673469387756)","(3.6, 4.3, 4.238888888888889)","(8.0, 12.5, 12.055555555555555)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.615384615384615)","(13.0, 17.0, 16.8125)"
16-12-2022 15:02:18.197601,"(3.0, 3.45, 3.3683673469387756)","(3.6, 4.3, 4.238888888888889)","(8.0, 12.5, 12.055555555555555)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.615384615384615)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:19.308631,"(3.0, 3.45, 3.3683673469387756)","(3.6, 4.3, 4.238888888888889)","(8.0, 12.5, 12.055555555555555)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.615384615384615)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:20.413626,"(3.0, 3.45, 3.3683673469387756)","(3.6, 4.3, 4.238888888888889)","(8.0, 12.5, 12.055555555555555)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.615384615384615)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:21.505148,"(3.0, 3.45, 3.3683673469387756)","(3.6, 4.3, 4.238888888888889)","(8.0, 12.5, 12.055555555555555)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.615384615384615)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:22.559001,"(3.0, 3.45, 3.3683673469387756)","(3.6, 4.3, 4.238888888888889)","(8.0, 12.5, 12.055555555555555)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.615384615384615)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:23.572145,"(3.0, 3.45, 3.3683673469387756)","(3.6, 4.3, 4.238888888888889)","(8.0, 12.5, 12.055555555555555)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.615384615384615)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:24.627618,"(3.0, 3.45, 3.3683673469387756)","(3.6, 4.3, 4.238888888888889)","(8.0, 12.5, 12.055555555555555)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.615384615384615)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:25.578798,"(3.0, 3.45, 3.3683673469387756)","(3.6, 4.3, 4.238888888888889)","(8.0, 12.5, 12.055555555555555)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.615384615384615)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:26.672433,"(3.0, 3.45, 3.3683673469387756)","(3.6, 4.3, 4.238888888888889)","(8.0, 12.5, 12.055555555555555)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.615384615384615)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:27.769545,"(3.0, 3.45, 3.3683673469387756)","(3.6, 4.3, 4.238888888888889)","(8.0, 12.5, 12.055555555555555)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.615384615384615)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:28.810071,"(3.0, 3.45, 3.3683673469387756)","(3.6, 4.3, 4.238888888888889)","(8.0, 12.5, 12.055555555555555)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.615384615384615)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:29.744169,"(3.0, 3.45, 3.37)","(3.6, 4.3, 4.238888888888889)","(8.0, 12.5, 12.055555555555555)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.615384615384615)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:30.773662,"(3.0, 3.45, 3.37)","(3.6, 4.2, 4.113592233009708)","(8.0, 12.5, 12.055555555555555)","(8.0, 10.5, 10.121311475409836)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.615384615384615)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:31.908816,"(3.0, 3.45, 3.37)","(3.6, 4.2, 4.1138613861386135)","(8.0, 12.5, 12.166666666666666)","(8.0, 10.5, 10.068493150684931)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.658823529411765)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:33.083197,"(3.0, 3.45, 3.3785714285714286)","(3.6, 4.2, 4.112121212121211)","(8.0, 12.5, 12.166666666666666)","(8.0, 10.5, 10.31578947368421)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.658823529411765)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:34.248419,"(3.0, 3.45, 3.3785714285714286)","(3.6, 4.2, 4.129411764705883)","(8.0, 12.5, 12.25)","(8.0, 10.0, 10.064864864864866)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.658823529411765)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:35.317204,"(3.0, 3.45, 3.3785714285714286)","(3.6, 4.2, 4.129411764705883)","(8.0, 12.5, 12.25)","(8.0, 10.5, 10.064864864864866)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.666666666666667)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:36.352993,"(3.0, 3.45, 3.3785714285714286)","(3.6, 4.2, 4.129411764705883)","(8.0, 12.5, 12.25)","(8.0, 10.5, 10.064864864864866)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.685714285714286)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:37.423183,"(3.0, 3.45, 3.3785714285714286)","(3.6, 4.2, 4.129411764705883)","(8.0, 12.5, 12.25)","(8.0, 10.5, 10.064864864864866)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.685714285714286)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:38.533434,"(3.0, 3.45, 3.3785714285714286)","(3.6, 4.2, 4.129411764705883)","(8.0, 12.5, 12.25)","(8.0, 10.5, 10.061333333333334)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.685714285714286)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:39.616298,"(3.0, 3.45, 3.3785714285714286)","(3.6, 4.2, 4.129411764705883)","(8.0, 12.5, 12.25)","(8.0, 10.5, 10.061333333333334)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.685714285714286)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:40.611670,"(3.0, 3.5, 3.4175)","(3.6, 4.2, 4.149152542372882)","(8.0, 12.5, 12.25)","(8.0, 10.5, 10.061333333333334)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.685714285714286)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:41.692652,"(3.0, 3.5, 3.4175)","(3.6, 4.2, 4.127536231884058)","(9.0, 12.5, 12.25)","(8.0, 10.5, 10.061333333333334)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.685714285714286)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:42.725743,"(3.0, 3.5, 3.4175)","(3.6, 4.2, 4.127536231884058)","(9.0, 12.5, 12.25)","(8.0, 10.5, 10.116129032258065)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.685714285714286)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:43.783875,"(3.0, 3.5, 3.4175)","(3.6, 4.2, 4.127536231884058)","(9.0, 12.5, 12.25)","(8.0, 10.5, 10.116129032258065)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.685714285714286)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:44.736907,"(3.0, 3.5, 3.4175)","(3.6, 4.2, 4.127536231884058)","(9.0, 12.5, 12.25)","(8.0, 10.5, 10.116129032258065)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.666666666666667)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:45.738028,"(3.0, 3.5, 3.4175)","(3.6, 4.2, 4.127536231884058)","(9.0, 12.5, 12.25)","(8.0, 10.5, 10.130434782608695)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.666666666666667)","(13.0, 17.0, 16.428571428571427)"
16-12-2022 15:02:46.877220,"(3.0, 3.5, 3.4113636363636366)","(3.6, 4.2, 4.127536231884058)","(9.0, 12.5, 12.25)","(8.0, 10.5, 10.15)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.666666666666667)","(13.0, 17.0, 18.0)"
16-12-2022 15:02:48.047542,"(3.0, 3.5, 3.4514285714285715)","(3.6, 4.2, 4.127536231884058)","(9.0, 12.5, 12.25)","(8.0, 10.5, 10.15)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.666666666666667)","(13.0, 20.0, 18.625)"
16-12-2022 15:02:49.133467,"(3.0, 3.5, 3.4514285714285715)","(3.6, 4.2, 4.127536231884058)","(9.0, 12.5, 12.192307692307692)","(8.0, 10.5, 10.15)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.666666666666667)","(13.0, 19.0, 17.3125)"
16-12-2022 15:02:50.171429,"(3.0, 3.5, 3.4514285714285715)","(3.6, 4.2, 4.127536231884058)","(9.0, 12.5, 12.192307692307692)","(8.0, 10.5, 10.15)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.666666666666667)","(13.0, 19.0, 17.944444444444443)"
16-12-2022 15:02:51.171989,"(3.0, 3.5, 3.4514285714285715)","(3.6, 4.2, 4.127536231884058)","(9.0, 12.5, 12.192307692307692)","(8.0, 10.5, 10.15)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.666666666666667)","(13.0, 18.5, 17.458333333333332)"
16-12-2022 15:02:52.226929,"(3.0, 3.5, 3.4514285714285715)","(3.6, 4.2, 4.127536231884058)","(9.0, 12.5, 12.192307692307692)","(8.0, 10.5, 10.15)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.666666666666667)","(13.0, 18.5, 17.98148148148148)"
16-12-2022 15:02:53.310402,"(3.0, 3.5, 3.45)","(3.6, 4.2, 4.127536231884058)","(9.0, 12.5, 12.192307692307692)","(8.0, 10.5, 10.15)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.666666666666667)","(13.0, 18.5, 17.98148148148148)"
16-12-2022 15:02:54.306778,"(3.0, 3.5, 3.45)","(3.6, 4.2, 4.127536231884058)","(9.0, 12.5, 12.1)","(8.0, 10.5, 10.15)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.666666666666667)","(13.0, 18.5, 17.98148148148148)"
16-12-2022 15:02:55.363775,"(3.0, 3.5, 3.45)","(3.6, 4.2, 4.127536231884058)","(9.0, 12.5, 12.1)","(8.0, 10.5, 10.15)","(13.0, 22.0, 19.25)","(4.8, 5.8, 5.666666666666667)","(13.0, 18.5, 17.98148148148148)"
