,Thats Not My Gait,Fling It Rainbow,Tripod Nz,Dels Destiny Nz,Megeve,Homonym Nz,Peakz Luck Nz,Whatwillbeewillbee Nz,Little Yankee
07-12-2022 20:22:53.198059,"(2.4, 3.65, 2.99)","(16.0, 28.0, 24.5)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 30.555555555555557)"
07-12-2022 20:22:54.558345,"(2.4, 3.65, 2.99)","(16.0, 28.0, 24.5)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 30.555555555555557)"
07-12-2022 20:22:55.827688,"(2.4, 3.65, 2.99)","(16.0, 28.0, 24.5)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 30.555555555555557)"
07-12-2022 20:22:57.110283,"(2.4, 3.65, 2.99)","(16.0, 28.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 30.555555555555557)"
07-12-2022 20:22:58.437549,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 30.555555555555557)"
07-12-2022 20:22:59.796382,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 30.555555555555557)"
07-12-2022 20:23:01.166446,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 30.555555555555557)"
07-12-2022 20:23:02.570917,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 30.555555555555557)"
07-12-2022 20:23:04.187247,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 30.555555555555557)"
07-12-2022 20:23:05.576761,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 25.833333333333332)"
07-12-2022 20:23:07.065032,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 25.833333333333332)"
07-12-2022 20:23:08.646642,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 25.833333333333332)"
07-12-2022 20:23:10.220609,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 25.833333333333332)"
07-12-2022 20:23:11.647532,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 25.833333333333332)"
07-12-2022 20:23:13.154231,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 25.833333333333332)"
07-12-2022 20:23:14.543999,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 25.833333333333332)"
07-12-2022 20:23:15.937512,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 25.833333333333332)"
07-12-2022 20:23:17.350931,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 25.833333333333332)"
07-12-2022 20:23:18.795611,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 25.833333333333332)"
07-12-2022 20:23:20.232155,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 40.0, 26.75)"
07-12-2022 20:23:21.629655,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 38.0, 26.75)"
07-12-2022 20:23:23.053279,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 38.0, 26.75)"
07-12-2022 20:23:24.627866,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 38.0, 27.333333333333332)"
07-12-2022 20:23:26.347311,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:23:28.000031,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:23:29.893958,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:23:31.997328,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:23:33.819132,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:23:35.388960,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:23:36.890891,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:23:38.423568,"(2.4, 3.45, 3.3183333333333334)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:23:39.882941,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:23:41.344293,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:23:42.761619,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:23:44.245760,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:23:45.776184,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:23:47.252493,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:23:48.769602,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:23:50.520276,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:23:52.219597,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:23:53.679702,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:23:55.030914,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:23:56.512953,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:23:57.953485,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:23:59.402599,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:24:00.891385,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:24:02.389404,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:24:03.809747,"(2.4, 3.45, 3.055)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:24:05.215114,"(2.4, 3.45, 3.371)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:24:06.671091,"(2.4, 3.45, 3.371)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:24:08.165412,"(2.4, 3.45, 3.371)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:24:09.611507,"(2.4, 3.45, 3.186666666666667)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 15.625)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 27.333333333333332)"
07-12-2022 20:24:11.039639,"(2.4, 3.45, 3.3622222222222224)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 20.0, 16.125)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 36.0, 25.75)"
07-12-2022 20:24:12.513501,"(2.4, 3.45, 3.1933333333333334)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 19.5, 16.125)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 34.0, 25.75)"
07-12-2022 20:24:14.001238,"(2.4, 3.45, 3.1933333333333334)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 19.5, 16.125)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 34.0, 25.75)"
07-12-2022 20:24:15.400221,"(2.4, 3.45, 3.1933333333333334)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 19.5, 16.333333333333332)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 34.0, 26.0)"
07-12-2022 20:24:16.754544,"(2.4, 3.45, 3.2)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 19.0, 16.333333333333332)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 32.0, 26.0)"
07-12-2022 20:24:18.091243,"(2.4, 3.45, 3.2)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 19.0, 16.333333333333332)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 32.0, 26.0)"
07-12-2022 20:24:19.505068,"(2.4, 3.45, 3.2)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 19.0, 16.333333333333332)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 32.0, 26.0)"
07-12-2022 20:24:20.865908,"(2.4, 3.45, 3.2)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 19.0, 16.333333333333332)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 32.0, 26.0)"
07-12-2022 20:24:22.156608,"(2.4, 3.45, 3.3781818181818184)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 19.0, 16.333333333333332)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 32.0, 26.0)"
07-12-2022 20:24:23.371613,"(2.4, 3.45, 3.3622222222222224)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 19.0, 16.333333333333332)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 32.0, 26.0)"
07-12-2022 20:24:24.718366,"(2.4, 3.45, 3.3622222222222224)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 19.0, 16.333333333333332)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 32.0, 26.0)"
07-12-2022 20:24:26.093105,"(2.4, 3.45, 3.3622222222222224)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 19.0, 16.333333333333332)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 32.0, 26.0)"
07-12-2022 20:24:27.345423,"(2.4, 3.45, 3.3622222222222224)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 19.0, 16.333333333333332)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 32.0, 26.0)"
07-12-2022 20:24:28.649215,"(2.4, 3.45, 3.3622222222222224)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 19.0, 16.333333333333332)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 32.0, 26.0)"
07-12-2022 20:24:29.934845,"(2.4, 3.45, 3.3622222222222224)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 19.0, 16.333333333333332)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 32.0, 26.0)"
07-12-2022 20:24:31.271737,"(2.4, 3.45, 3.3622222222222224)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 19.0, 16.333333333333332)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 32.0, 26.0)"
07-12-2022 20:24:32.631391,"(2.4, 3.45, 3.3622222222222224)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 19.0, 16.333333333333332)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 32.0, 26.0)"
07-12-2022 20:24:33.927481,"(2.4, 3.45, 3.3622222222222224)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 19.0, 16.333333333333332)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 32.0, 26.0)"
07-12-2022 20:24:35.285492,"(2.4, 3.45, 3.3622222222222224)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 19.0, 16.333333333333332)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 32.0, 26.0)"
07-12-2022 20:24:36.645126,"(2.4, 3.45, 3.3622222222222224)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 19.0, 16.333333333333332)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 32.0, 26.0)"
07-12-2022 20:24:38.063634,"(2.4, 3.45, 3.3622222222222224)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 19.0, 16.333333333333332)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 32.0, 26.0)"
07-12-2022 20:24:39.485345,"(2.4, 3.45, 3.3622222222222224)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 19.0, 16.333333333333332)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 32.0, 26.0)"
07-12-2022 20:24:40.872560,"(2.4, 3.45, 3.3622222222222224)","(16.0, 27.0, 23.833333333333332)","(8.0, 99999, 99990)","(41.0, 99999, 99990)","(11.0, 19.0, 16.333333333333332)","(4.0, 99999, 99990)","(4.8, 99999, 99990)","(12.0, 99999, 99990)","(20.0, 32.0, 26.0)"
