,Giant Payday,Cleopatras Strike,Bigfoot City,Zumurudee,Bobs All In,Cashanova,My Boy Lollipop,Vintage Kitten,River Rose,Macedonian Ruler,Were Just Sayin
10-01-2023 08:50:42.582185,"(13.0, 30.0, 25.125)","(2.45, 3.0, 2.97375)","(3.3, 4.5, 4.44)","(18.0, 34.0, 30.2)","(9.0, 12.0, 10.95)","(7.5, 8.8, 8.74)","(51.0, 220.0, 157.33333333333331)","(31.0, 220.0, 145.60000000000002)","(10.0, 20.0, 17.5)","(14.0, 160.0, 143.83333333333334)","(26.0, 220.0, 164.57142857142858)"
10-01-2023 08:50:43.762778,"(13.0, 30.0, 23.75)","(2.45, 2.94, 2.9147368421052633)","(3.3, 4.5, 4.44)","(18.0, 34.0, 30.545454545454547)","(9.0, 12.0, 65.5)","(7.5, 8.8, 8.74)","(51.0, 220.0, 157.33333333333331)","(31.0, 220.0, 145.60000000000002)","(10.0, 20.0, 17.928571428571427)","(14.0, 160.0, 101.60714285714286)","(26.0, 220.0, 170.5)"
10-01-2023 08:50:45.022621,"(13.0, 29.0, 26.333333333333332)","(2.45, 2.92, 2.9077272727272727)","(3.3, 4.5, 4.44)","(18.0, 34.0, 21.333333333333332)","(9.0, 120.0, 65.5)","(7.5, 8.8, 8.572413793103449)","(51.0, 220.0, 185.45454545454547)","(31.0, 220.0, 166.28571428571428)","(10.0, 19.5, 17.928571428571427)","(14.0, 150.0, 33.85714285714286)","(26.0, 220.0, 140.39999999999998)"
10-01-2023 08:50:46.248564,"(13.0, 29.0, 21.333333333333332)","(2.45, 2.96, 2.952857142857143)","(3.3, 4.5, 4.44)","(18.0, 34.0, 21.333333333333332)","(9.0, 120.0, 76.80000000000001)","(7.5, 8.8, 8.572413793103449)","(51.0, 220.0, 153.0)","(31.0, 220.0, 145.60000000000002)","(10.0, 19.5, 18.5)","(14.0, 150.0, 33.85714285714286)","(26.0, 220.0, 163.71428571428572)"
10-01-2023 08:50:47.443004,"(13.0, 29.0, 23.25)","(2.45, 2.96, 2.924444444444444)","(3.3, 4.5, 4.44)","(18.0, 34.0, 21.333333333333332)","(9.0, 120.0, 84.16666666666667)","(7.5, 8.8, 8.6)","(51.0, 220.0, 153.0)","(31.0, 220.0, 185.45454545454547)","(10.0, 19.5, 15.833333333333334)","(14.0, 150.0, 33.85714285714286)","(26.0, 220.0, 168.625)"
10-01-2023 08:50:48.654299,"(13.0, 29.0, 26.0)","(2.45, 2.96, 2.924444444444444)","(3.3, 4.5, 4.44)","(18.0, 34.0, 21.333333333333332)","(9.0, 120.0, 100.54545454545453)","(7.5, 8.8, 8.6)","(51.0, 220.0, 153.0)","(31.0, 220.0, 185.45454545454547)","(10.0, 19.5, 18.5)","(14.0, 150.0, 92.14285714285714)","(26.0, 220.0, 173.55555555555554)"
10-01-2023 08:50:49.837875,"(13.0, 29.0, 24.0)","(2.45, 2.96, 2.924444444444444)","(3.3, 4.5, 4.463636363636364)","(18.0, 34.0, 21.333333333333332)","(9.0, 120.0, 100.54545454545453)","(7.5, 8.8, 8.6)","(51.0, 220.0, 153.16666666666666)","(31.0, 220.0, 185.45454545454547)","(10.0, 19.5, 34.5)","(14.0, 150.0, 33.85714285714286)","(26.0, 220.0, 187.92307692307693)"
10-01-2023 08:50:51.063598,"(13.0, 220.0, 86.0)","(2.45, 2.96, 2.9472)","(3.3, 4.5, 4.463636363636364)","(18.0, 34.0, 21.333333333333332)","(9.0, 120.0, 76.80000000000001)","(7.5, 8.8, 8.6)","(51.0, 220.0, 153.16666666666666)","(31.0, 220.0, 185.45454545454547)","(10.0, 55.0, 34.5)","(14.0, 150.0, 33.85714285714286)","(26.0, 220.0, 173.55555555555554)"
10-01-2023 08:50:52.323505,"(13.0, 210.0, 146.33333333333331)","(2.45, 2.96, 2.9472)","(3.3, 4.5, 4.463636363636364)","(18.0, 34.0, 21.333333333333332)","(9.0, 120.0, 76.80000000000001)","(7.5, 8.8, 8.6)","(51.0, 220.0, 190.64285714285714)","(31.0, 220.0, 185.45454545454547)","(10.0, 55.0, 48.0)","(14.0, 150.0, 33.85714285714286)","(26.0, 220.0, 173.55555555555554)"
10-01-2023 08:50:53.510547,"(13.0, 210.0, 146.33333333333331)","(2.45, 2.96, 2.9472)","(3.3, 4.5, 4.463636363636364)","(18.0, 34.0, 21.333333333333332)","(9.0, 120.0, 22.333333333333336)","(7.5, 8.8, 8.6)","(51.0, 220.0, 172.46153846153845)","(31.0, 220.0, 144.0)","(10.0, 55.0, 22.285714285714285)","(14.0, 150.0, 19.666666666666668)","(26.0, 220.0, 125.9090909090909)"
10-01-2023 08:50:54.702434,"(13.0, 200.0, 109.5)","(2.45, 2.96, 2.943157894736842)","(3.3, 4.5, 4.463636363636364)","(18.0, 34.0, 27.714285714285715)","(9.0, 44.0, 38.666666666666664)","(7.5, 8.8, 8.6)","(51.0, 220.0, 182.72727272727272)","(31.0, 220.0, 144.0)","(10.0, 24.0, 22.5)","(14.0, 30.0, 27.0)","(26.0, 220.0, 159.26470588235293)"
10-01-2023 08:50:55.950540,"(13.0, 200.0, 109.5)","(2.45, 2.96, 2.943157894736842)","(3.3, 4.5, 4.463636363636364)","(18.0, 34.0, 30.09090909090909)","(9.0, 44.0, 24.615384615384613)","(7.5, 8.8, 8.6)","(51.0, 220.0, 126.07692307692307)","(31.0, 220.0, 93.33333333333333)","(10.0, 24.0, 25.714285714285715)","(14.0, 30.0, 26.8)","(26.0, 220.0, 155.625)"
10-01-2023 08:50:57.160745,"(13.0, 28.0, 24.833333333333332)","(2.45, 2.96, 2.943157894736842)","(3.3, 4.5, 4.463636363636364)","(18.0, 34.0, 30.09090909090909)","(9.0, 27.0, 24.615384615384613)","(7.5, 8.8, 8.6)","(51.0, 220.0, 126.07692307692307)","(31.0, 220.0, 93.33333333333333)","(10.0, 28.0, 25.714285714285715)","(14.0, 30.0, 26.8)","(26.0, 220.0, 155.625)"
10-01-2023 08:50:58.396696,"(13.0, 28.0, 24.833333333333332)","(2.45, 2.96, 2.943157894736842)","(3.3, 4.5, 4.463636363636364)","(18.0, 34.0, 25.6)","(9.0, 27.0, 16.666666666666668)","(7.5, 8.8, 8.6)","(51.0, 220.0, 126.07692307692307)","(31.0, 210.0, 120.0)","(10.0, 28.0, 25.714285714285715)","(14.0, 30.0, 23.8)","(26.0, 220.0, 91.5625)"
10-01-2023 08:50:59.619159,"(13.0, 28.0, 24.833333333333332)","(2.45, 2.96, 2.943157894736842)","(3.3, 4.5, 4.463636363636364)","(18.0, 34.0, 30.09090909090909)","(9.0, 27.0, 16.666666666666668)","(7.5, 9.2, 8.9)","(51.0, 220.0, 85.0)","(31.0, 210.0, 138.8)","(10.0, 28.0, 22.25)","(14.0, 30.0, 27.0)","(26.0, 220.0, 134.79166666666669)"
10-01-2023 08:51:00.793823,"(13.0, 28.0, 23.615384615384613)","(2.45, 2.96, 2.943157894736842)","(3.3, 4.5, 4.463636363636364)","(18.0, 34.0, 19.333333333333332)","(9.0, 27.0, 21.375)","(7.5, 8.8, 8.714285714285715)","(51.0, 220.0, 119.0)","(31.0, 200.0, 86.66666666666666)","(10.0, 23.0, 22.25)","(14.0, 30.0, 27.0)","(26.0, 220.0, 49.583333333333336)"
10-01-2023 08:51:01.993633,"(13.0, 28.0, 22.0)","(2.45, 3.0, 2.9492307692307693)","(3.3, 4.5, 4.463636363636364)","(18.0, 34.0, 20.0)","(9.0, 27.0, 23.454545454545453)","(7.5, 8.8, 8.714285714285715)","(51.0, 220.0, 47.285714285714285)","(31.0, 200.0, 132.8)","(10.0, 23.0, 21.875)","(14.0, 30.0, 20.0)","(26.0, 220.0, 138.6)"
10-01-2023 08:51:03.226531,"(13.0, 28.0, 22.333333333333332)","(2.45, 3.0, 2.9492307692307693)","(3.3, 4.5, 4.463636363636364)","(18.0, 34.0, 29.9)","(9.0, 26.0, 20.833333333333336)","(7.5, 8.8, 8.714285714285715)","(51.0, 220.0, 114.25)","(31.0, 200.0, 86.66666666666666)","(10.0, 23.0, 21.875)","(14.0, 29.0, 20.0)","(26.0, 220.0, 139.0)"
10-01-2023 08:51:04.491526,"(13.0, 28.0, 25.57142857142857)","(2.45, 3.0, 2.9492307692307693)","(3.3, 4.5, 4.463636363636364)","(18.0, 34.0, 20.0)","(9.0, 25.0, 20.833333333333336)","(7.5, 8.8, 8.714285714285715)","(51.0, 210.0, 182.71428571428572)","(31.0, 200.0, 86.66666666666666)","(10.0, 23.0, 21.875)","(14.0, 29.0, 26.11111111111111)","(26.0, 220.0, 162.0)"
