,Kooringa Magic,Bonbon Fire,Magic Charm,Blazing Bonus,Jimary Decoder,Miss Dudette,Spritely Olive,Chantelle Smells
15-12-2022 11:54:55.867040,"(3.1, 5.6, 4.510526315789473)","(2.9, 4.3, 4.137499999999999)","(19.0, 70.0, 52.43478260869565)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.0600000000000005)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:54:56.941025,"(3.1, 5.6, 4.042307692307692)","(2.9, 4.3, 4.137499999999999)","(19.0, 70.0, 33.63636363636364)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.23)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:54:58.086127,"(3.1, 5.6, 4.3625)","(2.9, 4.3, 4.137499999999999)","(19.0, 70.0, 43.333333333333336)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.23)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:54:59.158293,"(3.1, 5.6, 4.3625)","(2.9, 4.3, 4.137499999999999)","(19.0, 70.0, 43.333333333333336)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.23)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:00.244221,"(3.1, 5.6, 4.3625)","(2.9, 4.3, 4.137499999999999)","(19.0, 70.0, 43.333333333333336)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.23)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:01.358313,"(3.1, 5.6, 4.3625)","(2.9, 4.3, 4.137499999999999)","(19.0, 70.0, 43.333333333333336)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.23)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:02.419070,"(3.1, 5.6, 4.3625)","(2.9, 4.3, 4.137499999999999)","(19.0, 70.0, 43.333333333333336)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.23)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:03.494542,"(3.1, 5.6, 4.3625)","(2.9, 4.3, 4.213333333333333)","(19.0, 70.0, 43.333333333333336)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.23)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:04.468273,"(3.1, 5.6, 4.025)","(2.9, 4.3, 4.213333333333333)","(19.0, 70.0, 43.333333333333336)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.23)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:05.462579,"(3.1, 5.6, 4.41875)","(2.9, 4.3, 4.213333333333333)","(19.0, 70.0, 43.333333333333336)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.23)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:06.509648,"(3.1, 5.6, 4.41875)","(2.9, 4.3, 4.213333333333333)","(19.0, 70.0, 43.333333333333336)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 5.23)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:07.799609,"(3.1, 5.6, 3.755)","(2.9, 4.3, 3.6159999999999997)","(19.0, 70.0, 43.333333333333336)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 4.550000000000001)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:09.003359,"(3.1, 5.6, 3.755)","(2.9, 4.1, 3.875)","(19.0, 70.0, 43.333333333333336)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.8, 4.8315789473684205)","(3.6, 5.4, 4.246428571428572)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:10.288834,"(3.1, 5.6, 4.6775)","(2.9, 4.0, 3.875)","(19.0, 70.0, 43.333333333333336)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.8, 4.96)","(3.6, 5.4, 4.246428571428572)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:11.422786,"(3.1, 5.6, 4.475)","(2.9, 4.0, 3.875)","(19.0, 70.0, 43.333333333333336)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.4, 5.666666666666667)","(3.6, 5.4, 4.246428571428572)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:12.594684,"(3.1, 5.6, 4.475)","(2.9, 4.0, 3.875)","(19.0, 70.0, 43.333333333333336)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.2, 5.666666666666667)","(3.6, 5.4, 4.246428571428572)","(41.0, 290.0, 131.85714285714286)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:13.851448,"(3.1, 5.6, 4.475)","(2.9, 4.0, 3.875)","(19.0, 70.0, 43.333333333333336)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.2, 4.8133333333333335)","(3.6, 5.4, 4.246428571428572)","(41.0, 290.0, 167.0)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:15.103013,"(3.1, 5.6, 4.475)","(2.9, 4.0, 3.875)","(19.0, 70.0, 36.66666666666667)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.2, 4.8)","(3.6, 5.4, 4.246428571428572)","(41.0, 290.0, 127.33333333333333)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:16.188321,"(3.1, 5.6, 4.475)","(2.9, 4.0, 3.875)","(19.0, 70.0, 36.66666666666667)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.2, 4.8)","(3.6, 5.4, 4.246428571428572)","(41.0, 290.0, 127.33333333333333)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:17.280648,"(3.1, 5.6, 4.175)","(2.9, 4.0, 3.875)","(19.0, 70.0, 36.66666666666667)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.2, 4.8)","(3.6, 5.4, 4.246428571428572)","(41.0, 290.0, 127.33333333333333)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:18.344633,"(3.1, 5.6, 4.53125)","(2.9, 4.0, 3.875)","(19.0, 70.0, 36.66666666666667)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.2, 4.8)","(3.6, 5.4, 4.246428571428572)","(41.0, 290.0, 127.33333333333333)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:19.354997,"(3.1, 5.6, 4.53125)","(2.9, 4.0, 3.875)","(19.0, 70.0, 36.66666666666667)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.2, 4.8)","(3.6, 5.4, 4.246428571428572)","(41.0, 290.0, 127.33333333333333)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:20.310227,"(3.1, 5.6, 4.53125)","(2.9, 4.0, 3.875)","(19.0, 70.0, 36.66666666666667)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.2, 4.8)","(3.6, 5.4, 4.246428571428572)","(41.0, 290.0, 127.33333333333333)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:21.310619,"(3.1, 5.6, 4.53125)","(2.9, 4.0, 3.875)","(19.0, 70.0, 36.66666666666667)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.2, 4.8)","(3.6, 5.4, 4.246428571428572)","(41.0, 290.0, 127.33333333333333)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:22.340533,"(3.1, 5.6, 4.25)","(2.9, 4.0, 3.875)","(19.0, 70.0, 36.66666666666667)","(26.0, 100.0, 58.285714285714285)","(4.6, 6.2, 4.8)","(3.6, 5.4, 4.246428571428572)","(41.0, 290.0, 127.33333333333333)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:23.433344,"(3.1, 5.6, 4.5874999999999995)","(2.9, 4.0, 3.875)","(19.0, 70.0, 38.0)","(26.0, 100.0, 48.36363636363636)","(4.6, 6.2, 4.8)","(3.6, 5.3, 5.05)","(41.0, 290.0, 127.33333333333333)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:24.599541,"(3.1, 5.6, 4.5874999999999995)","(2.9, 4.0, 3.875)","(19.0, 70.0, 38.0)","(26.0, 100.0, 66.58823529411765)","(4.6, 6.2, 4.8)","(3.6, 5.2, 5.14)","(41.0, 290.0, 127.33333333333333)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:25.711036,"(3.1, 5.6, 4.5874999999999995)","(2.9, 4.0, 3.875)","(19.0, 70.0, 38.0)","(26.0, 100.0, 66.58823529411765)","(4.6, 6.2, 4.8)","(3.6, 5.3, 5.14)","(41.0, 290.0, 127.33333333333333)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:26.876095,"(3.1, 5.6, 4.5874999999999995)","(2.9, 4.0, 3.875)","(19.0, 70.0, 30.470588235294116)","(26.0, 100.0, 66.58823529411765)","(4.6, 6.2, 4.8)","(3.6, 5.3, 5.14)","(41.0, 290.0, 127.33333333333333)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:28.240538,"(3.1, 5.6, 4.673529411764706)","(2.9, 4.0, 3.875)","(19.0, 70.0, 39.333333333333336)","(26.0, 100.0, 66.58823529411765)","(4.6, 6.2, 4.8)","(3.6, 5.3, 5.14)","(41.0, 290.0, 127.33333333333333)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:29.396421,"(3.1, 5.6, 4.673529411764706)","(2.9, 4.0, 3.875)","(19.0, 70.0, 39.333333333333336)","(26.0, 100.0, 66.58823529411765)","(4.6, 6.2, 4.8)","(3.6, 5.3, 5.14)","(41.0, 290.0, 127.33333333333333)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:30.579053,"(3.1, 5.6, 4.673529411764706)","(2.9, 4.0, 3.875)","(19.0, 70.0, 42.0)","(26.0, 100.0, 66.58823529411765)","(4.6, 6.2, 4.8)","(3.6, 5.3, 5.14)","(41.0, 290.0, 127.33333333333333)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:31.921724,"(3.1, 5.6, 4.673529411764706)","(2.9, 4.0, 3.875)","(19.0, 70.0, 42.0)","(26.0, 100.0, 66.58823529411765)","(4.6, 6.2, 4.8)","(3.6, 5.3, 5.14)","(41.0, 290.0, 127.33333333333333)","(31.0, 220.0, 176.1904761904762)"
15-12-2022 11:55:33.228129,"(3.1, 5.6, 4.673529411764706)","(2.9, 4.0, 3.875)","(19.0, 70.0, 42.0)","(26.0, 100.0, 66.58823529411765)","(4.6, 6.2, 4.8)","(3.6, 5.3, 5.14)","(41.0, 290.0, 152.75)","(31.0, 220.0, 297.3333333333333)"
15-12-2022 11:55:34.454205,"(3.1, 5.6, 4.673529411764706)","(2.9, 4.0, 3.875)","(19.0, 70.0, 42.0)","(26.0, 100.0, 66.58823529411765)","(4.6, 6.2, 4.8)","(3.6, 5.3, 5.14)","(41.0, 290.0, 152.75)","(31.0, 330.0, 297.3333333333333)"
15-12-2022 11:55:35.699107,"(3.1, 5.6, 5.405555555555555)","(2.9, 4.0, 3.875)","(19.0, 70.0, 39.2)","(26.0, 100.0, 66.58823529411765)","(4.6, 6.2, 4.8)","(3.6, 5.3, 5.14)","(41.0, 290.0, 152.75)","(31.0, 330.0, 297.3333333333333)"
15-12-2022 11:55:36.822600,"(3.1, 5.6, 5.405555555555555)","(2.9, 4.0, 3.875)","(19.0, 70.0, 39.2)","(26.0, 100.0, 66.58823529411765)","(4.6, 6.2, 4.8)","(3.6, 5.3, 5.14)","(41.0, 290.0, 152.75)","(31.0, 330.0, 297.3333333333333)"
15-12-2022 11:55:37.922302,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 70.0, 39.2)","(26.0, 100.0, 92.0)","(4.6, 6.2, 4.8)","(3.6, 5.3, 5.14)","(41.0, 290.0, 152.75)","(31.0, 330.0, 197.7)"
15-12-2022 11:55:38.983813,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 70.0, 39.2)","(26.0, 120.0, 92.0)","(4.6, 6.2, 4.8)","(3.6, 5.3, 5.14)","(41.0, 290.0, 152.75)","(31.0, 330.0, 197.7)"
15-12-2022 11:55:40.070347,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 70.0, 39.2)","(26.0, 120.0, 92.0)","(4.6, 6.2, 4.8)","(3.6, 5.3, 4.214285714285714)","(41.0, 290.0, 152.75)","(31.0, 330.0, 197.7)"
15-12-2022 11:55:41.169164,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 70.0, 39.2)","(26.0, 120.0, 92.0)","(4.6, 6.2, 4.8)","(3.6, 5.3, 4.214285714285714)","(41.0, 290.0, 152.75)","(31.0, 330.0, 197.7)"
15-12-2022 11:55:42.170679,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 70.0, 39.2)","(26.0, 120.0, 92.0)","(4.6, 6.2, 4.8)","(3.6, 5.3, 4.214285714285714)","(41.0, 290.0, 152.75)","(31.0, 330.0, 197.7)"
15-12-2022 11:55:43.212764,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 70.0, 39.2)","(26.0, 120.0, 92.0)","(4.6, 6.2, 4.8)","(3.6, 5.3, 4.214285714285714)","(41.0, 290.0, 152.75)","(31.0, 330.0, 197.7)"
15-12-2022 11:55:44.265904,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 70.0, 39.2)","(26.0, 120.0, 92.0)","(4.6, 6.2, 4.8)","(3.6, 5.3, 4.214285714285714)","(41.0, 290.0, 152.75)","(31.0, 330.0, 197.7)"
15-12-2022 11:55:45.392170,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 65.0, 59.42857142857143)","(26.0, 120.0, 92.0)","(4.6, 6.2, 4.8)","(3.6, 5.3, 4.214285714285714)","(41.0, 290.0, 152.75)","(31.0, 330.0, 197.7)"
15-12-2022 11:55:46.504135,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 65.0, 59.42857142857143)","(26.0, 120.0, 92.0)","(4.6, 6.2, 4.8)","(3.6, 5.3, 4.214285714285714)","(41.0, 290.0, 152.75)","(31.0, 330.0, 197.7)"
15-12-2022 11:55:47.712925,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 65.0, 59.42857142857143)","(26.0, 120.0, 97.25)","(4.6, 6.2, 4.8)","(3.6, 5.3, 4.214285714285714)","(41.0, 290.0, 152.75)","(31.0, 330.0, 197.7)"
15-12-2022 11:55:48.828422,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 65.0, 59.42857142857143)","(26.0, 120.0, 97.25)","(4.6, 6.2, 4.8)","(3.6, 5.3, 4.214285714285714)","(41.0, 290.0, 152.75)","(31.0, 330.0, 197.7)"
15-12-2022 11:55:49.933122,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 65.0, 59.42857142857143)","(26.0, 120.0, 87.5)","(4.6, 6.2, 4.8)","(3.6, 5.3, 4.96)","(41.0, 290.0, 152.75)","(31.0, 330.0, 197.7)"
15-12-2022 11:55:51.047355,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 65.0, 59.42857142857143)","(26.0, 120.0, 87.5)","(4.6, 6.2, 4.8)","(3.6, 5.1, 4.96)","(41.0, 290.0, 152.75)","(31.0, 330.0, 197.7)"
15-12-2022 11:55:52.165159,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 65.0, 59.42857142857143)","(26.0, 120.0, 87.5)","(4.6, 6.2, 4.8)","(3.6, 5.1, 4.96)","(41.0, 290.0, 152.75)","(31.0, 330.0, 197.7)"
15-12-2022 11:55:53.364243,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 65.0, 59.42857142857143)","(26.0, 110.0, 85.07692307692308)","(4.6, 6.2, 4.8)","(3.6, 5.1, 4.96)","(41.0, 290.0, 152.75)","(31.0, 330.0, 197.7)"
15-12-2022 11:55:54.458077,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 65.0, 59.42857142857143)","(26.0, 110.0, 77.6)","(4.6, 6.2, 4.8)","(3.6, 5.1, 4.96)","(41.0, 290.0, 152.75)","(31.0, 330.0, 197.7)"
15-12-2022 11:55:55.868084,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 65.0, 59.42857142857143)","(26.0, 110.0, 77.6)","(4.6, 6.2, 4.8)","(3.6, 5.1, 4.96)","(41.0, 290.0, 152.75)","(31.0, 330.0, 197.7)"
15-12-2022 11:55:57.158725,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 65.0, 59.42857142857143)","(26.0, 110.0, 77.6)","(4.6, 6.2, 4.8)","(3.6, 5.1, 4.96)","(41.0, 290.0, 152.75)","(31.0, 330.0, 197.7)"
15-12-2022 11:55:58.298970,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 65.0, 59.42857142857143)","(26.0, 110.0, 77.6)","(4.6, 6.2, 4.8)","(3.6, 5.1, 4.96)","(41.0, 290.0, 152.75)","(31.0, 330.0, 197.7)"
15-12-2022 11:55:59.550314,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 65.0, 59.42857142857143)","(26.0, 110.0, 77.6)","(4.6, 6.2, 4.8)","(3.6, 5.1, 4.96)","(41.0, 290.0, 152.75)","(31.0, 330.0, 197.7)"
15-12-2022 11:56:00.852789,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 65.0, 59.42857142857143)","(26.0, 110.0, 77.6)","(4.6, 6.2, 4.8)","(3.6, 5.1, 4.96)","(41.0, 290.0, 152.75)","(31.0, 330.0, 197.7)"
15-12-2022 11:56:02.049743,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 65.0, 59.42857142857143)","(26.0, 110.0, 77.6)","(4.6, 6.2, 4.8)","(3.6, 5.1, 4.96)","(41.0, 290.0, 152.75)","(31.0, 330.0, 197.7)"
15-12-2022 11:56:03.575317,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 65.0, 59.42857142857143)","(26.0, 110.0, 77.6)","(4.6, 6.2, 4.8)","(3.6, 5.1, 4.96)","(41.0, 290.0, 152.75)","(31.0, 320.0, 194.6315789473684)"
15-12-2022 11:56:04.997557,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 65.0, 59.42857142857143)","(26.0, 110.0, 77.6)","(4.6, 6.2, 4.8)","(3.6, 5.1, 4.96)","(41.0, 290.0, 152.75)","(31.0, 310.0, 194.6315789473684)"
15-12-2022 11:56:06.212023,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 65.0, 59.42857142857143)","(26.0, 110.0, 65.44999999999999)","(4.6, 6.2, 4.8)","(3.6, 5.1, 4.96)","(41.0, 290.0, 152.75)","(31.0, 310.0, 194.6315789473684)"
15-12-2022 11:56:07.371053,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 65.0, 60.125)","(26.0, 110.0, 65.44999999999999)","(4.6, 6.2, 4.8)","(3.6, 5.1, 4.96)","(41.0, 290.0, 152.75)","(31.0, 310.0, 194.6315789473684)"
15-12-2022 11:56:08.396585,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 65.0, 60.125)","(26.0, 110.0, 65.44999999999999)","(4.6, 6.2, 4.8)","(3.6, 5.1, 4.96)","(41.0, 290.0, 152.75)","(31.0, 310.0, 194.6315789473684)"
15-12-2022 11:56:09.561632,"(3.1, 6.4, 6.0875)","(2.9, 4.0, 3.875)","(19.0, 65.0, 60.125)","(26.0, 110.0, 65.44999999999999)","(4.6, 6.2, 4.8)","(3.6, 5.1, 4.96)","(41.0, 290.0, 152.75)","(31.0, 310.0, 194.6315789473684)"
