,Western Belle,Texas Red Nz,Red Fourteen,Cut N Run Nz,Moresco,Speed Of Sound,Sailor Girl,My Ultimate Billy Nz,Gracie Taltoa,Weona Branach
06-01-2023 16:02:11.385634,"(5.0, 6.6, 6.525)","(4.6, 99999, 99990)","(3.7, 5.6, 5.295238095238095)","(31.0, 99999, 99990)","(101.0, 110.0, 96.07142857142857)","(21.0, 21.0, 19.75)","(9.0, 10.0, 9.727272727272727)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 13.0, 12.552631578947368)"
06-01-2023 16:02:12.799438,"(5.0, 6.4, 6.109090909090909)","(4.6, 99999, 99990)","(3.7, 5.6, 5.354838709677419)","(31.0, 99999, 99990)","(101.0, 110.0, 96.07142857142857)","(21.0, 21.0, 19.75)","(9.0, 10.0, 9.727272727272727)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 13.5, 14.23076923076923)"
06-01-2023 16:02:14.288027,"(5.0, 6.6, 6.3)","(4.6, 99999, 99990)","(3.7, 5.7, 5.641176470588236)","(31.0, 99999, 99990)","(101.0, 110.0, 96.07142857142857)","(21.0, 21.0, 19.75)","(9.0, 10.0, 9.657142857142857)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 14.5, 14.0)"
06-01-2023 16:02:15.698693,"(5.0, 6.6, 6.4799999999999995)","(4.6, 99999, 99990)","(3.7, 5.7, 5.575)","(31.0, 99999, 99990)","(101.0, 110.0, 96.07142857142857)","(21.0, 21.0, 19.75)","(9.0, 10.0, 9.657142857142857)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 14.5, 14.23076923076923)"
06-01-2023 16:02:17.103696,"(5.0, 6.6, 6.378947368421052)","(4.6, 99999, 99990)","(3.7, 5.7, 5.641176470588236)","(31.0, 99999, 99990)","(101.0, 110.0, 96.07142857142857)","(21.0, 21.0, 19.75)","(9.0, 10.0, 9.727272727272727)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 14.5, 14.0)"
06-01-2023 16:02:18.477622,"(5.0, 6.6, 6.378947368421052)","(4.6, 99999, 99990)","(3.7, 5.7, 5.431578947368421)","(31.0, 99999, 99990)","(101.0, 110.0, 96.07142857142857)","(21.0, 21.0, 19.75)","(9.0, 10.0, 9.727272727272727)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 14.5, 14.0)"
06-01-2023 16:02:19.912982,"(5.0, 6.6, 6.378947368421052)","(4.6, 99999, 99990)","(3.7, 5.6, 5.431578947368421)","(31.0, 99999, 99990)","(101.0, 110.0, 96.07142857142857)","(21.0, 21.0, 19.75)","(9.0, 10.0, 9.727272727272727)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 14.5, 13.625)"
06-01-2023 16:02:21.247729,"(5.0, 6.6, 6.378947368421052)","(4.6, 99999, 99990)","(3.7, 5.7, 5.658333333333333)","(31.0, 99999, 99990)","(101.0, 110.0, 96.07142857142857)","(21.0, 21.0, 19.75)","(9.0, 10.0, 9.727272727272727)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 14.5, 13.625)"
06-01-2023 16:02:22.581145,"(5.0, 6.6, 6.327272727272727)","(4.6, 99999, 99990)","(3.7, 5.7, 5.607407407407408)","(31.0, 99999, 99990)","(101.0, 110.0, 96.07142857142857)","(21.0, 21.0, 19.75)","(9.0, 10.0, 9.727272727272727)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 14.0, 13.0)"
06-01-2023 16:02:23.959783,"(5.0, 6.6, 6.327272727272727)","(4.6, 99999, 99990)","(3.7, 5.7, 5.3534883720930235)","(31.0, 99999, 99990)","(101.0, 110.0, 96.07142857142857)","(21.0, 21.0, 19.75)","(9.0, 10.0, 9.727272727272727)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 14.0, 13.0)"
06-01-2023 16:02:25.509543,"(5.0, 6.6, 6.327272727272727)","(4.6, 99999, 99990)","(3.7, 5.5, 5.386666666666667)","(31.0, 99999, 99990)","(101.0, 110.0, 96.07142857142857)","(21.0, 21.0, 19.75)","(9.0, 10.0, 9.727272727272727)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 14.5, 13.0)"
06-01-2023 16:02:26.870075,"(5.0, 6.6, 6.327272727272727)","(4.6, 99999, 99990)","(3.7, 5.6, 5.36969696969697)","(31.0, 99999, 99990)","(101.0, 110.0, 96.07142857142857)","(21.0, 21.0, 19.75)","(9.0, 10.0, 9.727272727272727)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 14.0, 13.0)"
06-01-2023 16:02:28.308341,"(5.0, 6.6, 6.327272727272727)","(4.6, 99999, 99990)","(3.7, 5.6, 5.375)","(31.0, 99999, 99990)","(101.0, 110.0, 96.07142857142857)","(21.0, 21.0, 19.0)","(9.0, 10.0, 9.32)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 14.0, 13.0)"
06-01-2023 16:02:29.760671,"(5.0, 6.6, 6.327272727272727)","(4.6, 99999, 99990)","(3.7, 5.5, 5.3545454545454545)","(31.0, 99999, 99990)","(101.0, 110.0, 96.5)","(21.0, 20.0, 19.333333333333332)","(9.0, 9.8, 9.909090909090908)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 14.0, 12.74)"
06-01-2023 16:02:31.157796,"(5.0, 6.6, 6.327272727272727)","(4.6, 99999, 99990)","(3.7, 5.5, 5.647368421052632)","(31.0, 99999, 99990)","(101.0, 110.0, 96.5)","(21.0, 20.0, 20.25)","(9.0, 11.5, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 14.0, 12.677777777777777)"
06-01-2023 16:02:32.516516,"(5.0, 6.6, 6.327272727272727)","(4.6, 99999, 99990)","(3.7, 5.7, 5.586363636363637)","(31.0, 99999, 99990)","(101.0, 110.0, 96.07142857142857)","(21.0, 24.0, 21.0)","(9.0, 11.5, 10.6)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 13.5, 11.65)"
06-01-2023 16:02:33.832738,"(5.0, 6.6, 6.327272727272727)","(4.6, 99999, 99990)","(3.7, 5.7, 5.586363636363637)","(31.0, 99999, 99990)","(101.0, 110.0, 96.5)","(21.0, 23.0, 19.666666666666668)","(9.0, 11.0, 10.0)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 13.5, 11.65)"
06-01-2023 16:02:35.127896,"(5.0, 6.6, 6.327272727272727)","(4.6, 99999, 99990)","(3.7, 5.7, 5.586363636363637)","(31.0, 99999, 99990)","(101.0, 110.0, 96.5)","(21.0, 23.0, 20.0)","(9.0, 10.5, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 13.5, 11.65)"
06-01-2023 16:02:36.786462,"(5.0, 6.6, 6.550819672131147)","(4.6, 99999, 99990)","(3.7, 5.7, 5.586363636363637)","(31.0, 99999, 99990)","(101.0, 110.0, 96.5)","(21.0, 23.0, 19.5)","(9.0, 10.5, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 13.5, 11.65)"
06-01-2023 16:02:38.462583,"(5.0, 6.6, 6.550819672131147)","(4.6, 99999, 99990)","(3.8, 5.7, 5.586363636363637)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 22.0, 19.5)","(9.0, 10.5, 9.857142857142858)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 13.5, 11.65)"
06-01-2023 16:02:39.941223,"(5.0, 6.6, 6.550819672131147)","(4.6, 99999, 99990)","(3.8, 5.7, 5.586363636363637)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 22.0, 19.5)","(9.0, 10.5, 9.857142857142858)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 13.5, 10.91)"
06-01-2023 16:02:41.397865,"(5.0, 6.6, 6.550819672131147)","(4.6, 99999, 99990)","(3.8, 5.7, 5.586363636363637)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 22.0, 19.5)","(9.0, 10.5, 9.857142857142858)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 13.5, 10.809090909090909)"
06-01-2023 16:02:42.589945,"(5.0, 6.6, 6.550819672131147)","(4.6, 99999, 99990)","(3.8, 5.7, 5.586363636363637)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 22.0, 19.5)","(9.0, 10.5, 9.857142857142858)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 13.5, 10.809090909090909)"
06-01-2023 16:02:43.892474,"(5.0, 6.6, 6.266666666666667)","(4.6, 99999, 99990)","(3.8, 5.7, 5.414285714285715)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 22.0, 19.5)","(9.0, 10.5, 9.857142857142858)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 12.5, 10.46)"
06-01-2023 16:02:45.200844,"(5.0, 6.6, 6.266666666666667)","(4.6, 99999, 99990)","(3.8, 5.6, 5.4079999999999995)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 22.0, 18.9)","(9.0, 10.0, 9.307692307692308)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 12.0, 10.271428571428572)"
06-01-2023 16:02:46.476466,"(5.0, 6.6, 6.266666666666667)","(4.6, 99999, 99990)","(3.8, 5.6, 5.492857142857143)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 21.0, 19.5)","(9.0, 10.0, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 12.0, 10.9)"
06-01-2023 16:02:47.805160,"(5.0, 6.6, 6.266666666666667)","(4.6, 99999, 99990)","(3.8, 5.7, 5.557142857142857)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 21.0, 19.5)","(9.0, 11.5, 10.0)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 12.0, 10.9)"
06-01-2023 16:02:49.144592,"(5.0, 6.6, 6.266666666666667)","(4.6, 99999, 99990)","(3.8, 5.7, 5.4079999999999995)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 21.0, 20.18181818181818)","(9.0, 10.5, 9.333333333333334)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 12.0, 10.31)"
06-01-2023 16:02:50.608411,"(5.0, 6.6, 6.214545454545455)","(4.6, 99999, 99990)","(3.8, 5.6, 5.213861386138614)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 21.0, 20.18181818181818)","(9.0, 10.5, 9.333333333333334)","(26.0, 99999, 99990)","(4.4, 6.4, 6.066666666666666)","(7.5, 11.5, 10.31)"
06-01-2023 16:02:51.922452,"(5.0, 7.0, 6.2290909090909095)","(4.6, 99999, 99990)","(3.8, 5.3, 5.213861386138614)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 21.0, 20.18181818181818)","(9.0, 10.5, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.4, 6.266666666666667)","(7.5, 11.5, 12.883333333333333)"
06-01-2023 16:02:53.346013,"(5.0, 7.0, 6.453333333333334)","(4.6, 99999, 99990)","(3.8, 5.3, 5.196666666666667)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 21.0, 19.5)","(9.0, 10.5, 9.307692307692308)","(26.0, 99999, 99990)","(4.4, 6.8, 6.036363636363636)","(7.5, 12.5, 12.05)"
06-01-2023 16:02:54.561098,"(5.0, 6.8, 6.453333333333334)","(4.6, 99999, 99990)","(3.8, 5.2, 5.188888888888889)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 21.0, 19.5)","(9.0, 10.0, 10.0)","(26.0, 99999, 99990)","(4.4, 6.8, 6.0375)","(7.5, 12.5, 10.700000000000001)"
06-01-2023 16:02:55.717095,"(5.0, 7.0, 6.431578947368421)","(4.6, 99999, 99990)","(3.8, 5.2, 5.188888888888889)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 21.0, 20.18181818181818)","(9.0, 10.5, 9.545454545454545)","(26.0, 99999, 99990)","(4.4, 6.6, 6.2)","(7.5, 12.5, 11.0)"
06-01-2023 16:02:56.970421,"(5.0, 7.0, 6.50909090909091)","(4.6, 99999, 99990)","(3.8, 5.0, 4.993333333333333)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 21.0, 24.22222222222222)","(9.0, 10.5, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.4, 6.2)","(7.5, 12.5, 11.763636363636364)"
06-01-2023 16:02:58.130106,"(5.0, 7.0, 6.6571428571428575)","(4.6, 99999, 99990)","(3.8, 5.0, 4.993333333333333)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 25.0, 21.75)","(9.0, 10.5, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.4, 6.2)","(7.5, 12.5, 11.763636363636364)"
06-01-2023 16:02:59.369777,"(5.0, 7.0, 6.6000000000000005)","(4.6, 99999, 99990)","(3.8, 5.1, 5.025)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 25.0, 19.875)","(9.0, 10.5, 9.307692307692308)","(26.0, 99999, 99990)","(4.4, 6.6, 6.1)","(7.5, 12.5, 11.0)"
06-01-2023 16:03:00.684595,"(5.0, 7.0, 6.571428571428572)","(4.6, 99999, 99990)","(3.8, 5.1, 4.983333333333333)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 24.0, 22.25)","(9.0, 10.0, 9.307692307692308)","(26.0, 99999, 99990)","(4.4, 6.6, 6.2)","(7.5, 12.5, 11.0)"
06-01-2023 16:03:01.966131,"(5.0, 7.0, 6.6000000000000005)","(4.6, 99999, 99990)","(3.8, 5.1, 4.772222222222222)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 23.0, 21.3125)","(9.0, 10.0, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.4, 6.114285714285714)","(7.5, 12.5, 11.763636363636364)"
06-01-2023 16:03:03.211655,"(5.0, 7.0, 6.6000000000000005)","(4.6, 99999, 99990)","(3.8, 4.8, 4.74468085106383)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 23.0, 20.923076923076923)","(9.0, 10.5, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.8, 6.2)","(7.5, 12.5, 10.973333333333333)"
06-01-2023 16:03:04.366853,"(5.0, 7.0, 6.6571428571428575)","(4.6, 99999, 99990)","(3.8, 4.8, 4.74468085106383)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 22.0, 20.46875)","(9.0, 10.0, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.6, 6.2)","(7.5, 12.0, 10.973333333333333)"
06-01-2023 16:03:05.655204,"(5.0, 7.0, 6.6571428571428575)","(4.6, 99999, 99990)","(3.8, 4.8, 4.713043478260869)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 22.0, 21.125)","(9.0, 10.0, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.6, 6.2)","(7.5, 12.0, 12.011764705882353)"
06-01-2023 16:03:06.926763,"(5.0, 7.0, 6.6571428571428575)","(4.6, 99999, 99990)","(3.8, 4.8, 4.518367346938775)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 22.0, 21.125)","(9.0, 10.0, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.6, 6.2)","(7.5, 14.5, 11.914285714285715)"
06-01-2023 16:03:08.223675,"(5.0, 7.0, 6.6571428571428575)","(4.6, 99999, 99990)","(3.8, 4.6, 4.575757575757575)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 22.0, 21.125)","(9.0, 10.0, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.6, 6.2)","(7.5, 13.5, 11.17142857142857)"
06-01-2023 16:03:09.779668,"(5.0, 7.0, 6.6571428571428575)","(4.6, 99999, 99990)","(3.8, 4.6, 4.466666666666667)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 22.0, 21.125)","(9.0, 10.0, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.6, 6.2)","(7.5, 13.0, 10.866666666666667)"
06-01-2023 16:03:11.189539,"(5.0, 7.0, 6.690322580645161)","(4.6, 99999, 99990)","(3.8, 4.6, 4.557142857142857)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 22.0, 21.125)","(9.0, 10.0, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.6, 6.2)","(7.5, 13.0, 10.88)"
06-01-2023 16:03:12.530730,"(5.0, 7.0, 6.690322580645161)","(4.6, 99999, 99990)","(3.8, 4.6, 4.375)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 22.0, 21.34375)","(9.0, 10.0, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.6, 6.2)","(7.5, 12.5, 10.88)"
06-01-2023 16:03:13.753453,"(5.0, 7.0, 6.690322580645161)","(4.6, 99999, 99990)","(3.8, 4.5, 4.327272727272727)","(31.0, 99999, 99990)","(81.0, 110.0, 96.5)","(21.0, 22.0, 24.458333333333332)","(9.0, 10.0, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.6, 6.2)","(7.5, 12.5, 13.4)"
06-01-2023 16:03:15.013579,"(5.0, 7.0, 6.690322580645161)","(4.6, 99999, 99990)","(3.8, 4.4, 4.327272727272727)","(31.0, 99999, 99990)","(81.0, 110.0, 90.71428571428571)","(21.0, 25.0, 24.0)","(9.0, 10.0, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.6, 6.2)","(7.5, 14.0, 12.090909090909092)"
06-01-2023 16:03:16.246571,"(5.0, 7.0, 6.690322580645161)","(4.6, 99999, 99990)","(3.8, 4.4, 4.327272727272727)","(31.0, 99999, 99990)","(81.0, 95.0, 82.14285714285714)","(21.0, 25.0, 23.625)","(9.0, 10.0, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.6, 6.2)","(7.5, 14.0, 12.090909090909092)"
06-01-2023 16:03:17.514019,"(5.0, 7.0, 6.690322580645161)","(4.6, 99999, 99990)","(3.8, 4.4, 4.327272727272727)","(31.0, 99999, 99990)","(81.0, 95.0, 85.0)","(21.0, 25.0, 24.333333333333332)","(9.0, 10.0, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.6, 6.2)","(7.5, 14.0, 11.818181818181818)"
06-01-2023 16:03:18.839633,"(5.0, 7.0, 6.690322580645161)","(4.6, 99999, 99990)","(3.9, 4.4, 4.327272727272727)","(26.0, 99999, 99990)","(81.0, 90.0, 83.75)","(20.0, 25.0, 23.363636363636363)","(9.0, 10.0, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.6, 6.2)","(7.5, 13.5, 11.72)"
06-01-2023 16:03:20.084725,"(5.0, 7.0, 6.690322580645161)","(4.6, 99999, 99990)","(3.9, 4.4, 4.327272727272727)","(26.0, 99999, 99990)","(81.0, 95.0, 83.75)","(20.0, 25.0, 22.428571428571427)","(9.0, 10.0, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.6, 6.2)","(7.5, 13.0, 12.2)"
06-01-2023 16:03:21.342016,"(5.0, 7.0, 6.690322580645161)","(4.6, 99999, 99990)","(3.9, 4.4, 4.327272727272727)","(26.0, 99999, 99990)","(81.0, 95.0, 83.75)","(20.0, 25.0, 22.428571428571427)","(9.0, 10.0, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.6, 6.2)","(7.5, 13.0, 12.2)"
06-01-2023 16:03:22.531767,"(5.0, 7.0, 6.690322580645161)","(4.6, 99999, 99990)","(3.9, 4.4, 4.375)","(26.0, 99999, 99990)","(81.0, 100.0, 90.0)","(20.0, 25.0, 22.428571428571427)","(9.0, 10.0, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.6, 6.2)","(7.5, 13.0, 12.2)"
06-01-2023 16:03:23.649900,"(5.0, 7.0, 6.690322580645161)","(4.6, 99999, 99990)","(3.9, 4.4, 4.375)","(26.0, 99999, 99990)","(81.0, 100.0, 90.0)","(20.0, 25.0, 22.428571428571427)","(9.0, 10.0, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.6, 6.2)","(7.5, 13.0, 12.2)"
06-01-2023 16:03:24.797006,"(5.0, 7.0, 6.690322580645161)","(4.6, 99999, 99990)","(3.9, 4.4, 4.375)","(26.0, 99999, 99990)","(81.0, 100.0, 87.5)","(20.0, 25.0, 22.428571428571427)","(9.0, 10.0, 9.666666666666666)","(26.0, 99999, 99990)","(4.4, 6.6, 6.2)","(7.5, 13.0, 12.2)"
06-01-2023 16:03:25.997575,"(5.0, 7.0, 6.690322580645161)","(4.6, 99999, 99990)","(3.9, 4.4, 4.375)","(26.0, 99999, 99990)","(81.0, 95.0, 87.5)","(20.0, 25.0, 22.428571428571427)","(9.0, 10.0, 9.6)","(26.0, 99999, 99990)","(4.4, 6.6, 6.2)","(7.5, 13.0, 11.046153846153846)"
06-01-2023 16:03:27.183334,"(5.0, 7.0, 6.690322580645161)","(4.6, 99999, 99990)","(3.9, 4.6, 4.364285714285714)","(26.0, 99999, 99990)","(81.0, 95.0, 87.5)","(20.0, 25.0, 20.875)","(9.0, 10.0, 9.6)","(26.0, 99999, 99990)","(4.4, 6.6, 6.2)","(7.5, 14.5, 12.090909090909092)"
06-01-2023 16:03:28.362973,"(5.0, 7.0, 6.6571428571428575)","(4.6, 99999, 99990)","(3.9, 4.6, 4.364285714285714)","(26.0, 99999, 99990)","(81.0, 95.0, 87.5)","(20.0, 25.0, 20.875)","(9.0, 10.0, 9.6)","(26.0, 99999, 99990)","(4.4, 6.6, 6.25)","(7.5, 14.0, 10.5)"
06-01-2023 16:03:29.539303,"(5.0, 7.0, 6.6571428571428575)","(4.6, 99999, 99990)","(3.9, 4.6, 4.364285714285714)","(26.0, 99999, 99990)","(81.0, 95.0, 87.5)","(20.0, 25.0, 20.875)","(9.0, 10.0, 9.6)","(26.0, 99999, 99990)","(4.4, 7.0, 6.25)","(7.5, 13.5, 11.5)"
06-01-2023 16:03:30.707335,"(5.0, 7.0, 6.6571428571428575)","(4.6, 99999, 99990)","(3.9, 4.6, 4.474285714285714)","(26.0, 99999, 99990)","(81.0, 95.0, 87.5)","(20.0, 25.0, 20.875)","(9.0, 10.0, 9.6)","(26.0, 99999, 99990)","(4.4, 7.0, 6.25)","(7.5, 13.0, 10.5)"
06-01-2023 16:03:32.043500,"(5.0, 7.0, 6.6571428571428575)","(4.6, 99999, 99990)","(3.9, 4.6, 4.474285714285714)","(26.0, 99999, 99990)","(81.0, 95.0, 87.5)","(20.0, 25.0, 20.875)","(9.0, 10.0, 9.6)","(26.0, 99999, 99990)","(4.4, 7.0, 6.25)","(7.5, 13.0, 10.5)"
