,Urana Blazer,Cudal Coyote,Mumble Bug,Ballina,All Stoked Up,Skylas Elite,Blue Mojito,Fabulous Carter
04-01-2023 15:02:18.655511,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 118.8)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:19.861073,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 187.23076923076923)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:21.167040,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 187.23076923076923)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:22.456534,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 187.23076923076923)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:23.649360,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 187.23076923076923)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:24.770450,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 187.23076923076923)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:25.897493,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 187.23076923076923)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:27.077700,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 187.23076923076923)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:28.224920,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 187.23076923076923)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:29.373645,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 187.23076923076923)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:30.405858,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 187.23076923076923)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:31.503536,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 187.23076923076923)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:32.611600,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 187.23076923076923)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:33.642269,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 187.23076923076923)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:34.645114,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 187.23076923076923)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:35.694728,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:36.749052,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:37.791181,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
04-01-2023 15:02:38.891304,"(7.5, 15.0, 14.129411764705882)","(8.5, 16.5, 14.263157894736842)","(6.5, 12.5, 11.787500000000001)","(3.5, 6.2, 4.075)","(14.0, 29.0, 27.450000000000003)","(51.0, 410.0, 170.0)","(4.0, 6.4, 6.271028037383179)","(3.4, 5.9, 3.6568181818181817)"
