,This Skilled Cat,Buzz N Joe,Temoin Chaud,Onthetake,Nics Hero,Dunvegan,Gwennybegg,Invertational,Arachidi
05-01-2023 15:38:17.658828,"(8.0, 16.5, 13.166666666666666)","(4.6, 6.4, 6.266666666666667)","(14.0, 30.0, 29.684210526315788)","(41.0, 130.0, 103.33333333333333)","(14.0, 26.0, 23.4)","(15.0, 24.0, 18.857142857142858)","(61.0, 310.0, 261.42857142857144)","(2.15, 2.36, 2.329212121212121)","(4.4, 5.9, 5.716666666666667)"
05-01-2023 15:38:18.867656,"(8.0, 16.5, 13.166666666666666)","(4.6, 6.4, 6.266666666666667)","(14.0, 29.0, 28.719298245614034)","(41.0, 130.0, 103.33333333333333)","(14.0, 26.0, 23.4)","(15.0, 24.0, 18.857142857142858)","(61.0, 310.0, 261.42857142857144)","(2.15, 2.36, 2.2830303030303027)","(4.4, 5.9, 5.716666666666667)"
05-01-2023 15:38:20.049401,"(8.0, 16.5, 13.166666666666666)","(4.6, 6.4, 6.266666666666667)","(14.0, 29.0, 25.5)","(41.0, 130.0, 103.33333333333333)","(14.0, 26.0, 23.4)","(15.0, 24.0, 18.857142857142858)","(61.0, 310.0, 261.42857142857144)","(2.15, 2.36, 2.3302576112412177)","(4.4, 5.9, 5.716666666666667)"
05-01-2023 15:38:21.256103,"(8.0, 16.5, 13.166666666666666)","(4.6, 6.4, 6.266666666666667)","(14.0, 29.0, 27.0)","(41.0, 130.0, 103.33333333333333)","(14.0, 26.0, 23.4)","(15.0, 24.0, 18.857142857142858)","(61.0, 310.0, 261.42857142857144)","(2.15, 2.36, 2.3304651162790697)","(4.4, 5.9, 5.716666666666667)"
05-01-2023 15:38:22.464032,"(8.0, 16.5, 13.166666666666666)","(4.6, 6.4, 6.266666666666667)","(14.0, 29.0, 27.0)","(41.0, 130.0, 103.33333333333333)","(14.0, 26.0, 23.4)","(15.0, 24.0, 18.857142857142858)","(61.0, 310.0, 261.42857142857144)","(2.15, 2.36, 2.3304651162790697)","(4.4, 5.9, 5.716666666666667)"
05-01-2023 15:38:23.654580,"(8.0, 16.0, 13.0)","(4.6, 6.4, 6.266666666666667)","(14.0, 29.0, 27.0)","(41.0, 130.0, 103.33333333333333)","(14.0, 26.0, 23.4)","(15.0, 24.0, 18.857142857142858)","(61.0, 310.0, 261.42857142857144)","(2.15, 2.36, 2.3304651162790697)","(4.4, 5.9, 5.716666666666667)"
05-01-2023 15:38:24.909569,"(8.0, 16.0, 13.0)","(4.6, 6.4, 6.266666666666667)","(14.0, 29.0, 28.473684210526315)","(41.0, 130.0, 103.33333333333333)","(14.0, 26.0, 23.4)","(15.0, 24.0, 18.857142857142858)","(61.0, 310.0, 261.42857142857144)","(2.15, 2.36, 2.3304651162790697)","(4.4, 5.9, 5.716666666666667)"
05-01-2023 15:38:26.114721,"(8.0, 16.0, 13.0)","(4.6, 6.4, 6.266666666666667)","(14.0, 29.0, 28.473684210526315)","(41.0, 130.0, 103.33333333333333)","(14.0, 26.0, 23.4)","(15.0, 24.0, 18.857142857142858)","(61.0, 310.0, 261.42857142857144)","(2.15, 2.36, 2.3304651162790697)","(4.4, 5.9, 5.716666666666667)"
05-01-2023 15:38:27.297839,"(8.0, 16.0, 13.0)","(4.6, 6.2, 6.1466666666666665)","(14.0, 29.0, 28.473684210526315)","(41.0, 130.0, 103.33333333333333)","(14.0, 26.0, 23.4)","(15.0, 24.0, 18.857142857142858)","(61.0, 310.0, 261.42857142857144)","(2.15, 2.36, 2.3304651162790697)","(4.4, 5.9, 5.825)"
05-01-2023 15:38:28.500326,"(8.0, 16.0, 13.0)","(4.6, 6.4, 6.3375)","(14.0, 29.0, 27.666666666666668)","(41.0, 130.0, 103.33333333333333)","(14.0, 26.0, 24.555555555555557)","(15.0, 24.0, 18.857142857142858)","(61.0, 310.0, 261.42857142857144)","(2.15, 2.36, 2.2869064748201438)","(4.4, 5.9, 5.84)"
05-01-2023 15:38:29.658291,"(8.0, 16.0, 13.0)","(4.6, 6.4, 6.3375)","(14.0, 29.0, 27.666666666666668)","(41.0, 130.0, 103.33333333333333)","(14.0, 26.0, 24.555555555555557)","(15.0, 24.0, 18.857142857142858)","(61.0, 310.0, 261.42857142857144)","(2.15, 2.36, 2.2869064748201438)","(4.4, 5.9, 5.8589743589743595)"
05-01-2023 15:38:30.795299,"(8.0, 16.0, 13.0)","(4.6, 6.4, 6.3375)","(14.0, 29.0, 27.666666666666668)","(41.0, 130.0, 103.33333333333333)","(14.0, 26.0, 24.555555555555557)","(15.0, 24.0, 18.857142857142858)","(61.0, 310.0, 261.42857142857144)","(2.15, 2.36, 2.284179104477612)","(4.4, 6.2, 5.8589743589743595)"
05-01-2023 15:38:31.945710,"(8.0, 16.0, 13.0)","(4.6, 6.6, 6.532258064516129)","(14.0, 29.0, 27.666666666666668)","(41.0, 130.0, 103.33333333333333)","(14.0, 26.0, 24.555555555555557)","(15.0, 24.0, 18.857142857142858)","(61.0, 310.0, 261.42857142857144)","(2.15, 2.36, 2.284179104477612)","(4.4, 6.2, 5.8589743589743595)"
05-01-2023 15:38:33.067720,"(8.0, 15.5, 12.833333333333334)","(4.6, 6.6, 6.15)","(14.0, 34.0, 32.2)","(41.0, 130.0, 117.5)","(14.0, 26.0, 24.555555555555557)","(15.0, 34.0, 24.4)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.2851094890510946)","(4.4, 6.2, 5.688461538461539)"
05-01-2023 15:38:34.378070,"(8.0, 15.5, 12.833333333333334)","(4.6, 6.6, 6.0)","(14.0, 34.0, 32.4)","(41.0, 130.0, 117.5)","(14.0, 26.0, 24.555555555555557)","(15.0, 34.0, 24.4)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.2851094890510946)","(4.4, 6.2, 5.625)"
05-01-2023 15:38:35.532652,"(8.0, 15.5, 12.833333333333334)","(4.6, 6.4, 5.728)","(14.0, 34.0, 33.0)","(41.0, 130.0, 120.9090909090909)","(14.0, 26.0, 24.555555555555557)","(15.0, 34.0, 24.4)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.2851094890510946)","(4.4, 6.2, 5.625)"
05-01-2023 15:38:36.737501,"(8.0, 15.5, 12.833333333333334)","(4.6, 6.2, 5.65)","(14.0, 34.0, 33.0)","(41.0, 130.0, 120.9090909090909)","(14.0, 26.0, 24.555555555555557)","(15.0, 34.0, 24.4)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.2851094890510946)","(4.4, 6.2, 5.625)"
05-01-2023 15:38:37.887159,"(8.0, 15.5, 12.833333333333334)","(4.6, 6.2, 5.9)","(14.0, 34.0, 33.0)","(41.0, 130.0, 120.9090909090909)","(14.0, 26.0, 24.555555555555557)","(15.0, 34.0, 24.4)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.2851094890510946)","(4.4, 6.2, 5.625)"
05-01-2023 15:38:39.063187,"(8.0, 15.5, 12.833333333333334)","(4.6, 6.2, 5.9)","(14.0, 34.0, 33.0)","(41.0, 130.0, 120.9090909090909)","(14.0, 26.0, 24.555555555555557)","(15.0, 34.0, 24.4)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.2851094890510946)","(4.4, 6.2, 5.625)"
05-01-2023 15:38:40.310670,"(8.0, 15.5, 12.833333333333334)","(4.6, 6.2, 5.9)","(14.0, 34.0, 33.0)","(41.0, 130.0, 120.9090909090909)","(14.0, 26.0, 24.555555555555557)","(15.0, 34.0, 24.4)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.2851094890510946)","(4.4, 6.2, 5.625)"
05-01-2023 15:38:41.522331,"(8.0, 15.5, 12.833333333333334)","(4.6, 6.2, 6.094117647058823)","(14.0, 34.0, 33.0)","(41.0, 130.0, 120.9090909090909)","(14.0, 26.0, 24.555555555555557)","(15.0, 34.0, 24.4)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.2851094890510946)","(4.4, 6.2, 5.6085714285714285)"
05-01-2023 15:38:42.821215,"(8.0, 15.5, 12.833333333333334)","(4.6, 6.2, 6.114285714285714)","(14.0, 34.0, 34.75)","(41.0, 130.0, 120.9090909090909)","(14.0, 26.0, 24.555555555555557)","(15.0, 34.0, 24.0)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.3436363636363633)","(4.4, 6.2, 5.742105263157895)"
05-01-2023 15:38:44.056892,"(8.0, 15.5, 12.833333333333334)","(4.6, 6.2, 6.114285714285714)","(14.0, 36.0, 34.75)","(41.0, 130.0, 120.9090909090909)","(14.0, 26.0, 24.555555555555557)","(15.0, 30.0, 24.0)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.3436363636363633)","(4.4, 6.0, 5.742105263157895)"
05-01-2023 15:38:45.285673,"(8.0, 15.5, 12.833333333333334)","(4.6, 6.2, 6.0)","(14.0, 36.0, 32.333333333333336)","(41.0, 130.0, 120.9090909090909)","(14.0, 26.0, 24.555555555555557)","(15.0, 30.0, 24.0)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.2857971014492753)","(4.4, 6.0, 5.742105263157895)"
05-01-2023 15:38:46.520839,"(8.0, 15.5, 12.833333333333334)","(4.6, 6.2, 5.88)","(14.0, 36.0, 35.33333333333333)","(41.0, 130.0, 120.9090909090909)","(14.0, 26.0, 24.555555555555557)","(15.0, 30.0, 24.0)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.2857971014492753)","(4.4, 6.0, 5.742105263157895)"
05-01-2023 15:38:47.705368,"(8.0, 18.5, 12.5)","(4.6, 6.2, 5.88)","(14.0, 34.0, 32.94736842105263)","(41.0, 130.0, 120.9090909090909)","(14.0, 26.0, 24.555555555555557)","(15.0, 30.0, 24.0)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.2857971014492753)","(4.4, 6.0, 5.804)"
05-01-2023 15:38:48.857221,"(8.0, 18.5, 12.5)","(4.6, 6.2, 6.054545454545455)","(14.0, 34.0, 31.727272727272727)","(41.0, 130.0, 120.9090909090909)","(14.0, 26.0, 24.555555555555557)","(15.0, 30.0, 24.0)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.2857971014492753)","(4.4, 6.0, 5.804)"
05-01-2023 15:38:49.972953,"(8.0, 18.5, 12.5)","(4.6, 6.2, 6.054545454545455)","(14.0, 34.0, 31.727272727272727)","(41.0, 130.0, 120.9090909090909)","(14.0, 26.0, 24.555555555555557)","(15.0, 30.0, 24.0)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.2857971014492753)","(4.4, 6.0, 5.804)"
05-01-2023 15:38:51.128679,"(8.0, 18.5, 12.5)","(4.6, 6.2, 6.054545454545455)","(14.0, 34.0, 31.727272727272727)","(41.0, 130.0, 120.9090909090909)","(14.0, 26.0, 24.555555555555557)","(15.0, 30.0, 24.0)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.2857971014492753)","(4.4, 6.0, 5.804)"
05-01-2023 15:38:52.313670,"(8.0, 18.5, 12.5)","(4.6, 6.2, 6.054545454545455)","(14.0, 34.0, 31.727272727272727)","(41.0, 130.0, 120.9090909090909)","(14.0, 26.0, 24.555555555555557)","(15.0, 30.0, 24.0)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.2857971014492753)","(4.4, 6.0, 5.804)"
05-01-2023 15:38:53.461528,"(8.0, 18.5, 12.5)","(4.6, 6.0, 5.7375)","(14.0, 34.0, 31.727272727272727)","(41.0, 130.0, 120.9090909090909)","(14.0, 26.0, 24.555555555555557)","(15.0, 30.0, 24.0)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.2857971014492753)","(4.4, 6.0, 5.804)"
05-01-2023 15:38:54.597599,"(8.0, 17.5, 13.5)","(4.6, 6.0, 5.7375)","(14.0, 34.0, 31.727272727272727)","(41.0, 130.0, 120.9090909090909)","(14.0, 26.0, 24.555555555555557)","(15.0, 30.0, 24.0)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.2857971014492753)","(4.4, 6.0, 5.804)"
05-01-2023 15:38:55.764439,"(8.0, 17.5, 13.5)","(4.6, 6.0, 5.7375)","(14.0, 34.0, 31.727272727272727)","(41.0, 130.0, 120.9090909090909)","(14.0, 26.0, 24.555555555555557)","(15.0, 30.0, 24.0)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.2857971014492753)","(4.4, 6.0, 5.804)"
05-01-2023 15:38:56.954981,"(8.0, 17.5, 12.5)","(4.6, 6.0, 5.7375)","(14.0, 34.0, 31.727272727272727)","(41.0, 130.0, 120.9090909090909)","(14.0, 26.0, 24.555555555555557)","(15.0, 30.0, 24.0)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.2857971014492753)","(4.4, 6.0, 5.804)"
05-01-2023 15:38:58.222566,"(8.0, 17.5, 13.333333333333334)","(4.6, 6.0, 5.7375)","(14.0, 32.0, 31.157894736842103)","(41.0, 130.0, 120.9090909090909)","(14.0, 26.0, 24.555555555555557)","(15.0, 30.0, 24.0)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.2857971014492753)","(4.4, 6.0, 5.804)"
05-01-2023 15:38:59.484522,"(8.0, 17.0, 13.333333333333334)","(4.6, 6.0, 5.7375)","(14.0, 32.0, 28.5)","(41.0, 130.0, 121.66666666666667)","(14.0, 26.0, 24.555555555555557)","(15.0, 30.0, 24.0)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.2857971014492753)","(4.4, 6.0, 5.804)"
05-01-2023 15:39:00.765685,"(8.0, 17.0, 13.333333333333334)","(4.6, 6.0, 5.7375)","(14.0, 32.0, 28.5)","(41.0, 130.0, 121.66666666666667)","(14.0, 26.0, 24.555555555555557)","(15.0, 30.0, 23.5)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.2857971014492753)","(4.4, 6.0, 5.804)"
05-01-2023 15:39:01.984141,"(8.0, 17.0, 13.333333333333334)","(4.6, 6.0, 5.7375)","(14.0, 32.0, 28.5)","(41.0, 130.0, 121.66666666666667)","(14.0, 26.0, 24.555555555555557)","(15.0, 29.0, 23.5)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.3327272727272725)","(4.4, 6.0, 5.804)"
05-01-2023 15:39:03.206672,"(8.0, 17.0, 13.333333333333334)","(4.6, 6.0, 5.7375)","(14.0, 32.0, 28.5)","(41.0, 130.0, 121.66666666666667)","(14.0, 26.0, 24.555555555555557)","(15.0, 29.0, 23.5)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.3327272727272725)","(4.4, 6.0, 5.804)"
05-01-2023 15:39:04.373108,"(8.0, 17.0, 13.333333333333334)","(4.6, 6.0, 5.7375)","(14.0, 32.0, 28.5)","(41.0, 130.0, 121.66666666666667)","(14.0, 26.0, 24.555555555555557)","(15.0, 29.0, 23.5)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.804)"
05-01-2023 15:39:05.577625,"(8.0, 17.0, 13.333333333333334)","(4.6, 6.0, 5.7375)","(14.0, 32.0, 28.5)","(41.0, 130.0, 121.66666666666667)","(14.0, 26.0, 24.555555555555557)","(15.0, 29.0, 23.5)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.804)"
05-01-2023 15:39:06.767454,"(8.0, 17.0, 13.333333333333334)","(4.6, 6.0, 5.7375)","(14.0, 32.0, 28.5)","(41.0, 130.0, 121.66666666666667)","(14.0, 26.0, 24.555555555555557)","(15.0, 29.0, 23.5)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.75)"
05-01-2023 15:39:07.916682,"(8.0, 17.0, 13.333333333333334)","(4.6, 6.0, 5.79)","(14.0, 32.0, 28.5)","(41.0, 130.0, 121.66666666666667)","(14.0, 26.0, 24.555555555555557)","(15.0, 29.0, 23.5)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.75)"
05-01-2023 15:39:09.045512,"(8.0, 17.0, 13.333333333333334)","(4.6, 6.0, 5.79)","(14.0, 32.0, 28.5)","(41.0, 130.0, 121.66666666666667)","(14.0, 26.0, 24.555555555555557)","(15.0, 29.0, 23.5)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.75)"
05-01-2023 15:39:10.173031,"(8.0, 17.0, 13.333333333333334)","(4.6, 6.0, 5.79)","(14.0, 32.0, 28.5)","(41.0, 130.0, 121.66666666666667)","(14.0, 26.0, 24.555555555555557)","(15.0, 29.0, 23.5)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.75)"
05-01-2023 15:39:11.336674,"(8.0, 17.0, 13.333333333333334)","(4.6, 6.0, 5.79)","(14.0, 32.0, 28.5)","(41.0, 130.0, 121.66666666666667)","(14.0, 26.0, 24.555555555555557)","(15.0, 29.0, 23.5)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.75)"
05-01-2023 15:39:12.535271,"(8.0, 17.0, 13.333333333333334)","(4.6, 6.0, 5.79)","(14.0, 32.0, 28.5)","(41.0, 130.0, 121.66666666666667)","(14.0, 26.0, 24.555555555555557)","(15.0, 29.0, 25.857142857142858)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.625)"
05-01-2023 15:39:13.671540,"(8.0, 17.0, 13.333333333333334)","(4.6, 6.0, 5.79)","(14.0, 32.0, 28.5)","(41.0, 130.0, 121.66666666666667)","(14.0, 26.0, 24.555555555555557)","(15.0, 29.0, 26.0)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.625)"
05-01-2023 15:39:14.833568,"(8.0, 17.0, 13.333333333333334)","(4.6, 6.0, 5.79)","(14.0, 65.0, 51.66666666666667)","(41.0, 130.0, 121.66666666666667)","(14.0, 26.0, 24.555555555555557)","(15.0, 29.0, 28.1875)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.625)"
05-01-2023 15:39:16.050250,"(8.0, 16.5, 13.166666666666666)","(4.6, 6.0, 5.79)","(14.0, 60.0, 33.57142857142857)","(41.0, 130.0, 117.5)","(14.0, 26.0, 24.555555555555557)","(15.0, 34.0, 28.1875)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.625)"
05-01-2023 15:39:17.220372,"(8.0, 16.5, 13.166666666666666)","(4.6, 6.0, 5.79)","(14.0, 55.0, 33.57142857142857)","(41.0, 130.0, 117.5)","(14.0, 26.0, 24.555555555555557)","(15.0, 34.0, 28.1875)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.625)"
05-01-2023 15:39:18.434175,"(8.0, 16.5, 13.166666666666666)","(4.6, 6.0, 5.79)","(14.0, 55.0, 43.92857142857143)","(41.0, 130.0, 117.5)","(14.0, 26.0, 24.555555555555557)","(15.0, 34.0, 28.1875)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.625)"
05-01-2023 15:39:19.629651,"(8.0, 16.5, 13.166666666666666)","(4.6, 5.9, 5.742105263157895)","(14.0, 55.0, 43.92857142857143)","(41.0, 130.0, 117.5)","(14.0, 26.0, 24.555555555555557)","(15.0, 34.0, 28.1875)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.625)"
05-01-2023 15:39:20.917357,"(8.0, 16.5, 13.166666666666666)","(4.6, 5.9, 5.7)","(14.0, 55.0, 43.92857142857143)","(41.0, 130.0, 117.5)","(14.0, 26.0, 24.555555555555557)","(15.0, 34.0, 28.1875)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.625)"
05-01-2023 15:39:22.190983,"(8.0, 16.5, 13.166666666666666)","(4.6, 5.9, 5.7)","(14.0, 55.0, 43.92857142857143)","(41.0, 130.0, 117.5)","(14.0, 26.0, 24.555555555555557)","(15.0, 34.0, 28.142857142857142)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.625)"
05-01-2023 15:39:23.403388,"(8.0, 16.5, 13.166666666666666)","(4.6, 5.9, 5.7)","(14.0, 55.0, 43.92857142857143)","(41.0, 130.0, 121.66666666666667)","(14.0, 26.0, 24.555555555555557)","(15.0, 32.0, 28.142857142857142)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.625)"
05-01-2023 15:39:24.604892,"(8.0, 16.5, 13.166666666666666)","(4.6, 5.9, 5.7)","(14.0, 55.0, 43.92857142857143)","(41.0, 130.0, 121.66666666666667)","(14.0, 26.0, 24.555555555555557)","(15.0, 32.0, 28.142857142857142)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.625)"
05-01-2023 15:39:25.735307,"(8.0, 16.5, 13.166666666666666)","(4.6, 5.9, 5.7)","(14.0, 55.0, 43.92857142857143)","(41.0, 130.0, 121.66666666666667)","(14.0, 26.0, 24.555555555555557)","(15.0, 32.0, 28.142857142857142)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.625)"
05-01-2023 15:39:26.929912,"(8.0, 16.5, 13.166666666666666)","(4.6, 5.9, 5.7)","(14.0, 55.0, 43.92857142857143)","(41.0, 130.0, 117.5)","(14.0, 26.0, 24.555555555555557)","(15.0, 32.0, 28.142857142857142)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.625)"
05-01-2023 15:39:28.101236,"(8.0, 16.5, 13.166666666666666)","(4.6, 5.9, 5.7)","(14.0, 55.0, 43.92857142857143)","(41.0, 130.0, 117.5)","(14.0, 26.0, 24.555555555555557)","(15.0, 32.0, 28.142857142857142)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.625)"
05-01-2023 15:39:29.329065,"(8.0, 16.5, 13.166666666666666)","(4.6, 5.9, 5.7)","(14.0, 55.0, 43.92857142857143)","(41.0, 130.0, 117.5)","(14.0, 26.0, 24.555555555555557)","(15.0, 32.0, 28.142857142857142)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.625)"
05-01-2023 15:39:30.481873,"(8.0, 16.5, 13.166666666666666)","(4.6, 5.9, 5.7)","(14.0, 55.0, 45.46153846153846)","(41.0, 130.0, 117.5)","(14.0, 26.0, 24.555555555555557)","(15.0, 32.0, 28.142857142857142)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.625)"
05-01-2023 15:39:31.657324,"(8.0, 16.5, 13.166666666666666)","(4.6, 5.9, 5.7)","(14.0, 55.0, 40.714285714285715)","(41.0, 130.0, 117.5)","(14.0, 26.0, 24.555555555555557)","(15.0, 32.0, 26.714285714285715)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.625)"
05-01-2023 15:39:32.853135,"(8.0, 16.5, 13.166666666666666)","(4.6, 5.9, 5.742105263157895)","(14.0, 50.0, 45.599999999999994)","(41.0, 130.0, 117.5)","(14.0, 26.0, 24.555555555555557)","(15.0, 30.0, 26.714285714285715)","(61.0, 310.0, 253.33333333333331)","(2.15, 2.38, 2.333125)","(4.4, 6.0, 5.625)"
