,Pollinate,Rubys Gem,Velocity Viola,Way Too Much,Downstairs Dave,Scott Ryder
07-12-2022 20:10:02.393903,"(2.5, 3.7, 3.6033333333333335)","(4.0, 6.4, 5.4714285714285715)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:03.367839,"(2.5, 3.7, 3.6033333333333335)","(4.0, 6.4, 5.4714285714285715)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:04.304821,"(2.5, 3.7, 3.6033333333333335)","(4.0, 6.4, 5.4714285714285715)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:05.244976,"(2.5, 3.7, 3.6033333333333335)","(4.0, 6.4, 5.4714285714285715)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:06.205075,"(2.5, 3.7, 3.6033333333333335)","(4.0, 6.4, 5.4714285714285715)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:07.113973,"(2.5, 3.7, 3.6033333333333335)","(4.0, 6.4, 5.4714285714285715)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:08.024729,"(2.5, 3.7, 3.6033333333333335)","(4.0, 6.4, 5.4714285714285715)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:09.078243,"(2.5, 3.7, 3.6033333333333335)","(4.0, 6.4, 5.4714285714285715)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:10.180631,"(2.5, 3.7, 3.6033333333333335)","(4.0, 6.4, 5.4714285714285715)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:11.108971,"(2.5, 3.7, 3.3200000000000003)","(4.0, 6.4, 5.4714285714285715)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:12.013577,"(2.5, 3.7, 3.3200000000000003)","(4.0, 6.4, 5.976923076923077)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:12.999122,"(2.5, 3.7, 3.3200000000000003)","(4.0, 6.4, 5.976923076923077)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:13.979755,"(2.5, 3.7, 3.3200000000000003)","(4.0, 6.4, 5.976923076923077)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:14.959032,"(2.5, 3.7, 3.3200000000000003)","(4.0, 6.4, 5.976923076923077)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:15.946227,"(2.5, 3.7, 3.3200000000000003)","(4.0, 6.4, 5.976923076923077)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:16.882094,"(2.5, 3.7, 3.3200000000000003)","(4.0, 6.4, 5.976923076923077)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:17.816213,"(2.5, 3.7, 3.3200000000000003)","(4.0, 6.4, 5.976923076923077)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:18.808515,"(2.5, 3.7, 3.3200000000000003)","(4.0, 6.4, 5.976923076923077)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:19.703197,"(2.5, 3.7, 3.3200000000000003)","(4.0, 6.4, 5.976923076923077)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:20.591724,"(2.5, 3.7, 3.3200000000000003)","(4.0, 6.4, 5.976923076923077)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:21.546022,"(2.5, 3.7, 3.3200000000000003)","(4.0, 6.4, 5.976923076923077)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:22.463228,"(2.5, 3.7, 3.3200000000000003)","(4.0, 6.4, 5.976923076923077)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:23.436466,"(2.5, 3.7, 3.3200000000000003)","(4.0, 6.4, 5.976923076923077)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:24.442599,"(2.5, 3.7, 3.3200000000000003)","(4.0, 6.4, 5.976923076923077)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:25.350333,"(2.5, 3.7, 3.3200000000000003)","(4.0, 6.4, 5.976923076923077)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 36.84615384615385)"
07-12-2022 20:10:26.294073,"(2.5, 3.7, 3.3200000000000003)","(4.0, 6.4, 5.976923076923077)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 31.88888888888889)"
07-12-2022 20:10:27.258216,"(2.5, 3.7, 3.3200000000000003)","(4.0, 6.4, 5.976923076923077)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 31.88888888888889)"
07-12-2022 20:10:28.295480,"(2.5, 3.7, 3.3200000000000003)","(4.0, 6.4, 6.0875)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 31.88888888888889)"
07-12-2022 20:10:29.301105,"(2.5, 3.7, 3.3200000000000003)","(4.0, 6.4, 6.0875)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 31.88888888888889)"
07-12-2022 20:10:30.248860,"(2.5, 3.7, 3.3200000000000003)","(4.0, 6.4, 6.0875)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 31.88888888888889)"
07-12-2022 20:10:31.133929,"(2.5, 3.7, 3.3200000000000003)","(4.0, 6.4, 6.0875)","(3.3, 4.5, 4.27)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 35.391304347826086)"
07-12-2022 20:10:32.068402,"(2.5, 3.7, 3.415)","(4.0, 6.4, 5.95)","(3.3, 4.5, 3.9)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 35.391304347826086)"
07-12-2022 20:10:33.079848,"(2.5, 3.7, 3.3266666666666667)","(4.0, 6.4, 5.95)","(3.3, 4.5, 4.118181818181818)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 35.391304347826086)"
07-12-2022 20:10:34.158111,"(2.5, 3.7, 3.38)","(4.0, 6.4, 5.95)","(3.3, 4.5, 4.2625)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 35.391304347826086)"
07-12-2022 20:10:35.067549,"(2.5, 3.7, 3.38)","(4.0, 6.4, 5.95)","(3.3, 4.5, 4.2625)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 35.391304347826086)"
07-12-2022 20:10:35.991721,"(2.5, 3.7, 3.38)","(4.0, 6.4, 5.95)","(3.3, 4.5, 4.2625)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 35.391304347826086)"
07-12-2022 20:10:36.971355,"(2.5, 3.7, 3.38)","(4.0, 6.4, 5.95)","(3.3, 4.5, 4.2625)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 35.391304347826086)"
07-12-2022 20:10:38.028128,"(2.5, 3.7, 3.38)","(4.0, 6.4, 5.95)","(3.3, 4.5, 4.2625)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 35.391304347826086)"
07-12-2022 20:10:38.903572,"(2.5, 3.7, 3.38)","(4.0, 6.4, 5.95)","(3.3, 4.4, 3.8049999999999997)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 35.391304347826086)"
07-12-2022 20:10:39.905745,"(2.5, 3.7, 3.38)","(4.0, 6.4, 5.95)","(3.3, 4.4, 3.8049999999999997)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 35.391304347826086)"
07-12-2022 20:10:40.899262,"(2.5, 3.7, 3.38)","(4.0, 6.4, 5.95)","(3.3, 4.4, 3.8049999999999997)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 35.391304347826086)"
07-12-2022 20:10:41.914970,"(2.5, 3.7, 3.38)","(4.0, 6.4, 5.95)","(3.3, 4.4, 3.8049999999999997)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 35.391304347826086)"
07-12-2022 20:10:42.903325,"(2.5, 3.7, 3.38)","(4.0, 6.4, 5.95)","(3.3, 4.4, 3.975)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 35.391304347826086)"
07-12-2022 20:10:43.899833,"(2.5, 3.7, 3.38)","(4.0, 6.4, 5.56923076923077)","(3.3, 4.4, 3.975)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 35.391304347826086)"
07-12-2022 20:10:44.847815,"(2.5, 3.7, 3.38)","(4.0, 6.4, 5.817647058823529)","(3.3, 4.4, 3.975)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 35.391304347826086)"
07-12-2022 20:10:45.739328,"(2.5, 3.7, 3.38)","(4.0, 6.4, 5.817647058823529)","(3.3, 4.4, 3.975)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 35.391304347826086)"
07-12-2022 20:10:46.609464,"(2.5, 3.7, 3.38)","(4.0, 6.4, 5.817647058823529)","(3.3, 4.4, 3.975)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 35.391304347826086)"
07-12-2022 20:10:47.600476,"(2.5, 3.7, 3.38)","(4.0, 6.4, 5.817647058823529)","(3.3, 4.4, 3.975)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 35.391304347826086)"
07-12-2022 20:10:48.611548,"(2.5, 3.7, 3.38)","(4.0, 6.4, 5.817647058823529)","(3.3, 4.4, 3.975)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 35.391304347826086)"
07-12-2022 20:10:49.545130,"(2.5, 3.7, 3.4555555555555557)","(4.0, 6.4, 5.817647058823529)","(3.3, 4.4, 3.975)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 35.391304347826086)"
07-12-2022 20:10:50.374061,"(2.5, 3.7, 3.3914285714285715)","(4.0, 6.4, 5.21875)","(3.3, 4.4, 3.975)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 35.391304347826086)"
07-12-2022 20:10:51.247133,"(2.5, 3.7, 3.373846153846154)","(4.0, 6.4, 5.757142857142857)","(3.3, 4.4, 3.975)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 35.391304347826086)"
07-12-2022 20:10:52.181755,"(2.5, 3.7, 3.3533333333333335)","(4.0, 6.4, 5.622727272727273)","(3.3, 4.4, 3.975)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 35.391304347826086)"
07-12-2022 20:10:53.228787,"(2.5, 3.7, 3.3533333333333335)","(4.0, 6.4, 5.4437500000000005)","(3.3, 4.4, 3.975)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 35.391304347826086)"
07-12-2022 20:10:54.449230,"(2.5, 3.6, 3.412)","(4.0, 6.2, 6.08)","(3.3, 4.4, 3.975)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 39.94444444444444)"
07-12-2022 20:10:55.482118,"(2.5, 3.6, 3.2866666666666666)","(4.0, 6.2, 6.08)","(3.3, 4.4, 3.975)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 39.94444444444444)"
07-12-2022 20:10:56.466797,"(2.5, 3.6, 3.2866666666666666)","(4.0, 6.2, 5.833333333333333)","(3.3, 4.4, 3.975)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 39.94444444444444)"
07-12-2022 20:10:57.413104,"(2.5, 3.6, 3.2866666666666666)","(4.0, 6.2, 5.833333333333333)","(3.3, 4.4, 3.975)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 39.94444444444444)"
07-12-2022 20:10:58.395763,"(2.5, 3.6, 3.2866666666666666)","(4.0, 6.4, 5.336363636363636)","(3.3, 4.4, 3.975)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 39.94444444444444)"
07-12-2022 20:10:59.450729,"(2.5, 3.6, 3.2866666666666666)","(4.0, 6.4, 5.817647058823529)","(3.3, 4.4, 3.975)","(11.0, 99999, 99990)","(5.5, 8.8, 7.5200000000000005)","(21.0, 48.0, 39.94444444444444)"
07-12-2022 20:11:00.441398,"(2.5, 3.6, 3.3000000000000003)","(4.0, 6.4, 5.817647058823529)","(3.3, 4.4, 3.975)","(11.0, 99999, 99990)","(5.5, 8.8, 7.977777777777778)","(21.0, 48.0, 39.94444444444444)"
07-12-2022 20:11:01.374458,"(2.5, 3.6, 3.1500000000000004)","(4.0, 6.4, 5.817647058823529)","(3.3, 4.4, 3.8333333333333335)","(11.0, 99999, 99990)","(5.5, 8.8, 7.454545454545455)","(21.0, 48.0, 39.94444444444444)"
07-12-2022 20:11:02.316281,"(2.5, 3.6, 3.1500000000000004)","(4.0, 6.4, 5.878947368421053)","(3.3, 4.4, 3.8000000000000003)","(11.0, 99999, 99990)","(5.5, 8.8, 8.021052631578948)","(21.0, 48.0, 40.0)"
07-12-2022 20:11:03.201793,"(2.5, 3.55, 3.38)","(4.0, 6.2, 6.125)","(3.3, 4.3, 4.2)","(11.0, 99999, 99990)","(5.5, 8.8, 8.021052631578948)","(21.0, 46.0, 40.0)"
07-12-2022 20:11:04.145720,"(2.5, 3.55, 3.4669999999999996)","(4.0, 6.2, 5.91875)","(3.3, 4.3, 4.2)","(11.0, 99999, 99990)","(5.5, 8.8, 6.800000000000001)","(21.0, 46.0, 37.16666666666667)"
07-12-2022 20:11:05.086654,"(2.5, 3.55, 3.4669999999999996)","(4.0, 6.4, 5.921739130434783)","(3.3, 4.3, 4.2)","(11.0, 99999, 99990)","(5.5, 8.8, 7.44)","(21.0, 46.0, 37.33333333333333)"
07-12-2022 20:11:06.122108,"(2.5, 3.55, 3.4669999999999996)","(4.0, 6.4, 5.945454545454545)","(3.3, 4.3, 4.1)","(11.0, 99999, 99990)","(5.5, 8.8, 8.1)","(21.0, 46.0, 37.33333333333333)"
07-12-2022 20:11:07.099088,"(2.5, 3.55, 3.4669999999999996)","(4.0, 6.4, 5.945454545454545)","(3.3, 4.3, 4.1)","(11.0, 99999, 99990)","(5.5, 8.6, 8.1)","(21.0, 46.0, 37.33333333333333)"
07-12-2022 20:11:08.102905,"(2.5, 3.55, 3.4669999999999996)","(4.0, 6.4, 5.945454545454545)","(3.3, 4.3, 4.1)","(11.0, 99999, 99990)","(5.5, 8.6, 8.1)","(21.0, 46.0, 37.33333333333333)"
07-12-2022 20:11:09.139846,"(2.5, 3.55, 3.4669999999999996)","(4.0, 6.4, 5.945454545454545)","(3.3, 4.3, 3.626315789473684)","(11.0, 99999, 99990)","(5.5, 8.6, 8.1)","(21.0, 46.0, 34.888888888888886)"
07-12-2022 20:11:10.472061,"(2.5, 3.55, 3.4669999999999996)","(4.0, 6.4, 5.8375)","(3.3, 4.3, 3.5827586206896553)","(11.0, 99999, 99990)","(5.5, 8.6, 8.1)","(21.0, 46.0, 38.30769230769231)"
07-12-2022 20:11:11.466748,"(2.5, 3.55, 3.4669999999999996)","(4.0, 6.4, 5.8375)","(3.3, 4.3, 3.5827586206896553)","(11.0, 99999, 99990)","(5.5, 8.6, 8.1)","(21.0, 46.0, 38.30769230769231)"
07-12-2022 20:11:12.471380,"(2.5, 3.55, 3.4669999999999996)","(4.0, 6.4, 5.733333333333333)","(3.3, 4.3, 3.5827586206896553)","(11.0, 99999, 99990)","(5.5, 8.6, 8.1)","(21.0, 46.0, 40.73684210526316)"
07-12-2022 20:11:13.473663,"(2.5, 3.55, 3.4669999999999996)","(4.0, 6.4, 5.733333333333333)","(3.3, 4.3, 3.6142857142857143)","(11.0, 99999, 99990)","(5.5, 8.6, 8.1)","(21.0, 46.0, 40.73684210526316)"
07-12-2022 20:11:14.540807,"(2.5, 3.55, 3.4669999999999996)","(4.0, 6.4, 5.933333333333334)","(3.3, 4.3, 3.6846153846153844)","(11.0, 99999, 99990)","(5.5, 8.6, 8.1)","(21.0, 46.0, 38.85714285714286)"
07-12-2022 20:11:15.554382,"(2.5, 3.55, 3.4669999999999996)","(4.0, 6.4, 5.8545454545454545)","(3.3, 4.3, 3.6846153846153844)","(11.0, 99999, 99990)","(5.5, 8.6, 8.1)","(21.0, 46.0, 38.85714285714286)"
07-12-2022 20:11:16.579475,"(2.5, 3.55, 3.4669999999999996)","(4.0, 6.4, 6.066666666666667)","(3.3, 4.3, 3.6333333333333333)","(11.0, 99999, 99990)","(5.5, 8.6, 8.1)","(21.0, 46.0, 34.888888888888886)"
07-12-2022 20:11:17.581294,"(2.5, 3.55, 3.4669999999999996)","(4.0, 6.4, 6.072727272727273)","(3.3, 4.3, 3.6333333333333333)","(11.0, 99999, 99990)","(5.5, 8.6, 8.1)","(21.0, 46.0, 34.888888888888886)"
07-12-2022 20:11:18.570775,"(2.5, 3.55, 3.4669999999999996)","(4.0, 6.4, 6.072727272727273)","(3.3, 4.3, 3.6333333333333333)","(11.0, 99999, 99990)","(5.5, 8.6, 8.1)","(21.0, 46.0, 34.888888888888886)"
07-12-2022 20:11:19.645470,"(2.5, 3.55, 3.4669999999999996)","(4.0, 6.4, 6.072727272727273)","(3.3, 4.3, 3.6846153846153844)","(11.0, 99999, 99990)","(5.5, 8.6, 8.1)","(21.0, 46.0, 34.888888888888886)"
07-12-2022 20:11:20.681025,"(2.5, 3.55, 3.4669999999999996)","(4.0, 6.4, 5.663636363636364)","(3.3, 4.3, 3.6333333333333333)","(11.0, 99999, 99990)","(5.5, 8.6, 8.1)","(21.0, 46.0, 34.888888888888886)"
07-12-2022 20:11:21.605130,"(2.5, 3.55, 3.4669999999999996)","(4.0, 6.4, 5.885714285714285)","(3.3, 4.3, 3.6333333333333333)","(11.0, 99999, 99990)","(5.5, 8.6, 8.1)","(21.0, 46.0, 34.888888888888886)"
07-12-2022 20:11:22.569908,"(2.5, 3.55, 3.4669999999999996)","(4.0, 6.4, 5.7700000000000005)","(3.3, 4.3, 3.6333333333333333)","(11.0, 99999, 99990)","(5.5, 8.6, 8.1)","(21.0, 46.0, 34.888888888888886)"
07-12-2022 20:11:23.537122,"(2.5, 3.55, 3.4876923076923076)","(4.0, 6.4, 5.7700000000000005)","(3.3, 4.3, 3.6333333333333333)","(11.0, 99999, 99990)","(5.5, 8.6, 8.1)","(21.0, 46.0, 34.888888888888886)"
07-12-2022 20:11:24.537573,"(2.5, 3.55, 3.4876923076923076)","(4.0, 6.4, 5.7700000000000005)","(3.3, 4.3, 3.6333333333333333)","(11.0, 99999, 99990)","(5.5, 8.6, 8.1)","(21.0, 46.0, 34.888888888888886)"
07-12-2022 20:11:25.533307,"(2.5, 3.55, 3.4876923076923076)","(4.0, 6.4, 5.7700000000000005)","(3.3, 4.3, 3.6846153846153844)","(11.0, 99999, 99990)","(5.5, 8.6, 8.1)","(21.0, 46.0, 34.888888888888886)"
07-12-2022 20:11:26.495232,"(2.5, 3.55, 3.4876923076923076)","(4.0, 6.4, 5.7700000000000005)","(3.3, 4.3, 3.6846153846153844)","(11.0, 99999, 99990)","(5.5, 8.6, 8.1)","(21.0, 46.0, 34.888888888888886)"
07-12-2022 20:11:27.465902,"(2.5, 3.55, 3.4876923076923076)","(4.0, 6.4, 5.95)","(3.3, 4.3, 3.6333333333333333)","(11.0, 99999, 99990)","(5.5, 8.6, 8.1)","(21.0, 46.0, 34.888888888888886)"
07-12-2022 20:11:28.431707,"(2.5, 3.55, 3.4876923076923076)","(4.0, 6.4, 5.95)","(3.3, 4.3, 3.6333333333333333)","(11.0, 99999, 99990)","(5.5, 8.6, 8.1)","(21.0, 46.0, 34.888888888888886)"
07-12-2022 20:11:29.351990,"(2.5, 3.55, 3.4876923076923076)","(4.0, 6.4, 6.078571428571429)","(3.3, 4.3, 3.6333333333333333)","(11.0, 99999, 99990)","(5.5, 8.6, 8.1)","(21.0, 46.0, 34.888888888888886)"
07-12-2022 20:11:30.542689,"(2.5, 3.55, 3.4876923076923076)","(4.0, 6.4, 6.072727272727273)","(3.3, 4.3, 3.6846153846153844)","(11.0, 99999, 99990)","(5.5, 8.6, 8.1)","(21.0, 46.0, 34.888888888888886)"
