,Whiskey Diva,Nalani Bale,Mirabella Bale,Jacket Potato,Whitley Bale,Wobbly Boots,Spaghetti Legs,Xoie Bale
12-01-2023 18:03:34.441739,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 27.0, 24.375)","(31.0, 200.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:35.720962,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 27.0, 24.375)","(31.0, 200.0, 93.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:36.963385,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 27.0, 23.0625)","(31.0, 210.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:38.257729,"(7.0, 13.0, 11.0)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 24.0, 23.0625)","(31.0, 200.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:39.537231,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 24.0, 23.0625)","(31.0, 200.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:40.836116,"(7.0, 13.0, 11.67142857142857)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 24.0, 23.0625)","(31.0, 200.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:42.053414,"(7.0, 13.0, 11.67142857142857)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 24.0, 23.0625)","(31.0, 200.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:43.241582,"(7.0, 13.0, 11.67142857142857)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 24.0, 23.0625)","(31.0, 200.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:44.438148,"(7.0, 13.0, 11.67142857142857)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 10.45)","(10.0, 24.0, 23.0625)","(31.0, 200.0, 156.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:45.593934,"(7.0, 13.0, 11.67142857142857)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.5, 9.1375)","(7.5, 13.5, 10.55)","(6.0, 12.0, 8.457142857142857)","(10.0, 24.0, 23.0625)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:46.847080,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 13.5, 10.55)","(6.0, 12.0, 8.457142857142857)","(10.0, 24.0, 23.0625)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:48.084017,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 13.5, 10.55)","(6.0, 12.0, 8.457142857142857)","(10.0, 24.0, 23.0625)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:49.348309,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 13.5, 10.55)","(6.0, 12.0, 8.457142857142857)","(10.0, 24.0, 23.0625)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:50.504961,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 13.5, 10.55)","(6.0, 12.0, 8.457142857142857)","(10.0, 24.0, 23.0625)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:51.550395,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 13.5, 10.55)","(6.0, 12.0, 8.457142857142857)","(10.0, 24.0, 23.0625)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:52.755084,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 13.5, 8.4)","(6.0, 12.0, 8.457142857142857)","(10.0, 24.0, 23.0625)","(31.0, 200.0, 72.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:54.004344,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 8.457142857142857)","(10.0, 24.0, 23.0625)","(31.0, 210.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:55.187199,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 8.457142857142857)","(10.0, 24.0, 23.0625)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:56.388387,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 8.457142857142857)","(10.0, 24.0, 23.0625)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:57.567831,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 8.457142857142857)","(10.0, 24.0, 27.4375)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:58.678506,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 8.457142857142857)","(10.0, 29.0, 27.4375)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:03:59.901900,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 8.457142857142857)","(10.0, 29.0, 27.4375)","(31.0, 200.0, 72.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:01.108755,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 8.457142857142857)","(10.0, 29.0, 27.4375)","(31.0, 210.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:02.311260,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 8.457142857142857)","(10.0, 29.0, 27.4375)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:03.486983,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 8.457142857142857)","(10.0, 29.0, 27.4375)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:04.643465,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 8.457142857142857)","(10.0, 29.0, 27.4375)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:05.845749,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 8.457142857142857)","(10.0, 29.0, 27.4375)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:07.048861,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 8.457142857142857)","(10.0, 29.0, 27.4375)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:08.214000,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 8.457142857142857)","(10.0, 29.0, 25.6875)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:09.370851,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 8.457142857142857)","(10.0, 27.0, 25.6875)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:10.514899,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 8.457142857142857)","(10.0, 27.0, 25.6875)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:11.725348,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 8.457142857142857)","(10.0, 27.0, 25.6875)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:12.882680,"(7.0, 13.0, 10.1)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 9.745454545454546)","(10.0, 27.0, 25.6875)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:13.951617,"(7.0, 13.0, 10.3)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 9.745454545454546)","(10.0, 27.0, 25.6875)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:15.138381,"(7.0, 13.0, 10.3)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 9.745454545454546)","(10.0, 27.0, 25.6875)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:16.359677,"(7.0, 13.0, 10.3)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 9.745454545454546)","(10.0, 27.0, 25.6875)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:17.531716,"(7.0, 13.0, 10.3)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 9.745454545454546)","(10.0, 27.0, 25.6875)","(31.0, 200.0, 156.75)","(1.6, 2.42, 2.19725)"
12-01-2023 18:04:18.601819,"(7.0, 13.0, 10.3)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 9.745454545454546)","(10.0, 27.0, 25.6875)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:19.878694,"(7.0, 13.0, 10.3)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 9.745454545454546)","(10.0, 27.0, 25.6875)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:21.238112,"(7.0, 13.0, 10.3)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 9.745454545454546)","(10.0, 27.0, 25.6875)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:22.456526,"(7.0, 13.0, 10.3)","(81.0, 580.0, 494.16666666666663)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 9.745454545454546)","(10.0, 27.0, 25.6875)","(31.0, 200.0, 156.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:23.675746,"(7.0, 13.0, 10.3)","(81.0, 580.0, 327.5)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 9.745454545454546)","(10.0, 27.0, 25.6875)","(31.0, 200.0, 72.75)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:24.979877,"(7.0, 13.0, 10.3)","(81.0, 580.0, 327.5)","(8.0, 18.0, 9.84)","(7.5, 14.0, 8.4)","(6.0, 12.0, 9.745454545454546)","(10.0, 27.0, 22.0)","(31.0, 210.0, 114.0)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:26.345209,"(7.0, 13.0, 9.1)","(81.0, 580.0, 327.5)","(8.0, 18.0, 12.17142857142857)","(7.5, 14.0, 9.52)","(6.0, 12.0, 9.745454545454546)","(10.0, 27.0, 23.833333333333332)","(31.0, 200.0, 157.25)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:27.464980,"(7.0, 13.0, 9.1)","(81.0, 580.0, 327.5)","(8.0, 18.0, 12.17142857142857)","(7.5, 14.0, 9.52)","(6.0, 12.0, 9.745454545454546)","(10.0, 27.0, 24.625)","(31.0, 200.0, 112.25)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:28.520565,"(7.0, 13.0, 9.1)","(81.0, 480.0, 277.5)","(8.0, 18.0, 12.17142857142857)","(7.5, 14.0, 9.52)","(6.0, 12.0, 7.12)","(10.0, 27.0, 25.8125)","(31.0, 140.0, 117.8)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:29.754996,"(7.0, 13.0, 9.1)","(81.0, 480.0, 277.5)","(8.0, 18.0, 12.17142857142857)","(7.5, 14.0, 9.52)","(6.0, 12.0, 7.12)","(10.0, 27.0, 22.5)","(31.0, 140.0, 117.8)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:31.045709,"(7.0, 13.0, 9.1)","(81.0, 480.0, 277.5)","(8.0, 18.0, 12.17142857142857)","(7.5, 14.0, 9.52)","(6.0, 12.0, 7.12)","(10.0, 27.0, 22.5)","(31.0, 140.0, 84.5)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:32.185337,"(7.0, 13.0, 9.1)","(81.0, 480.0, 277.5)","(8.0, 18.0, 12.17142857142857)","(7.5, 14.0, 9.52)","(6.0, 12.0, 7.12)","(10.0, 27.0, 22.5)","(31.0, 140.0, 84.5)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:33.252406,"(7.0, 13.0, 9.1)","(81.0, 480.0, 277.5)","(8.0, 18.0, 12.17142857142857)","(7.5, 14.0, 9.52)","(6.0, 12.0, 7.12)","(10.0, 27.0, 22.5)","(31.0, 140.0, 84.5)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:34.466889,"(7.0, 13.0, 9.1)","(81.0, 480.0, 277.5)","(8.0, 18.0, 12.17142857142857)","(7.5, 14.0, 9.52)","(6.0, 12.0, 7.12)","(10.0, 27.0, 22.5)","(31.0, 140.0, 84.5)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:35.662287,"(7.0, 13.0, 9.1)","(81.0, 480.0, 277.5)","(8.0, 18.0, 12.17142857142857)","(7.5, 14.0, 9.52)","(6.0, 12.0, 7.12)","(10.0, 27.0, 22.5)","(31.0, 140.0, 84.5)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:36.750499,"(7.0, 13.0, 9.1)","(81.0, 480.0, 277.5)","(8.0, 18.0, 12.17142857142857)","(7.5, 14.0, 9.52)","(6.0, 12.0, 7.12)","(10.0, 27.0, 22.5)","(31.0, 140.0, 84.5)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:37.959605,"(7.0, 13.0, 9.1)","(81.0, 480.0, 277.5)","(8.0, 18.0, 12.17142857142857)","(7.5, 14.0, 9.52)","(6.0, 12.0, 7.12)","(10.0, 27.0, 22.5)","(31.0, 140.0, 84.5)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:39.172227,"(7.0, 13.0, 9.1)","(81.0, 480.0, 277.5)","(8.0, 18.0, 12.17142857142857)","(7.5, 14.0, 9.52)","(6.0, 12.0, 7.12)","(10.0, 27.0, 22.5)","(31.0, 140.0, 84.5)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:40.358437,"(7.0, 13.0, 9.1)","(81.0, 480.0, 277.5)","(8.0, 18.0, 12.17142857142857)","(7.5, 14.0, 9.52)","(6.0, 12.0, 7.12)","(10.0, 27.0, 22.5)","(31.0, 140.0, 84.5)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:41.405083,"(7.0, 13.0, 9.1)","(81.0, 480.0, 277.5)","(8.0, 18.0, 12.17142857142857)","(7.5, 14.0, 9.52)","(6.0, 12.0, 7.12)","(10.0, 27.0, 22.5)","(31.0, 140.0, 84.5)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:42.535669,"(7.0, 13.0, 9.1)","(81.0, 480.0, 277.5)","(8.0, 18.0, 12.17142857142857)","(7.5, 14.0, 12.025)","(6.0, 12.0, 8.0)","(10.0, 27.0, 22.5)","(31.0, 140.0, 84.5)","(1.6, 2.42, 1.8186666666666667)"
12-01-2023 18:04:43.755653,"(7.0, 13.0, 9.1)","(81.0, 480.0, 277.5)","(8.0, 18.0, 12.17142857142857)","(7.5, 13.5, 12.025)","(6.0, 12.0, 8.514285714285714)","(10.0, 27.0, 22.5)","(31.0, 140.0, 84.5)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:44.906356,"(7.0, 13.0, 9.1)","(81.0, 580.0, 176.0)","(8.0, 18.0, 12.17142857142857)","(7.5, 13.5, 12.025)","(6.0, 12.0, 8.514285714285714)","(10.0, 27.0, 22.5)","(31.0, 140.0, 84.5)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:45.952434,"(7.0, 13.0, 9.1)","(81.0, 570.0, 322.5)","(8.0, 18.0, 12.17142857142857)","(7.5, 13.5, 12.025)","(6.0, 12.0, 8.514285714285714)","(10.0, 27.0, 22.5)","(31.0, 140.0, 84.5)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:47.090279,"(7.0, 13.0, 9.1)","(81.0, 570.0, 322.5)","(8.0, 18.0, 12.17142857142857)","(7.5, 13.5, 12.025)","(6.0, 12.0, 8.514285714285714)","(10.0, 27.0, 22.5)","(31.0, 140.0, 114.5)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:48.222906,"(7.0, 13.0, 9.1)","(81.0, 570.0, 322.5)","(8.0, 18.0, 12.17142857142857)","(7.5, 13.5, 12.025)","(6.0, 12.0, 8.514285714285714)","(10.0, 27.0, 22.5)","(31.0, 200.0, 47.1)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:49.371486,"(7.0, 13.0, 9.1)","(81.0, 580.0, 131.11111111111111)","(8.0, 18.0, 12.17142857142857)","(7.5, 13.5, 12.025)","(6.0, 12.0, 8.514285714285714)","(10.0, 27.0, 22.5)","(31.0, 210.0, 47.1)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:50.487798,"(7.0, 13.0, 9.1)","(81.0, 580.0, 327.5)","(8.0, 18.0, 12.17142857142857)","(7.5, 13.5, 12.025)","(6.0, 12.0, 8.514285714285714)","(10.0, 27.0, 22.5)","(31.0, 210.0, 114.5)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:51.483505,"(7.0, 13.0, 9.1)","(81.0, 570.0, 322.5)","(8.0, 18.0, 12.17142857142857)","(7.5, 13.5, 12.025)","(6.0, 12.0, 8.514285714285714)","(10.0, 27.0, 22.5)","(31.0, 200.0, 114.5)","(1.6, 2.42, 1.6683333333333334)"
12-01-2023 18:04:52.622776,"(7.0, 13.0, 9.1)","(81.0, 570.0, 322.5)","(8.0, 18.0, 12.17142857142857)","(7.5, 13.5, 12.025)","(6.0, 12.0, 10.475)","(10.0, 27.0, 22.5)","(31.0, 200.0, 59.16666666666667)","(1.6, 2.42, 1.6683333333333334)"
