,To Infinitynbeyond,The Movement,Sals Last Blast,Caymangone,Melati Boy,Ease Up Moby,Iam The Joker,Remember Bubbles,Curveball,Mythos
15-12-2022 11:19:00.106345,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 21.46666666666667)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:01.455419,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 21.46666666666667)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:02.716197,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 21.46666666666667)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:03.920955,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 21.46666666666667)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:05.097315,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 21.46666666666667)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:06.374667,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 21.46666666666667)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:07.649001,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 21.46666666666667)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:08.918484,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 21.46666666666667)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:10.127372,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 21.46666666666667)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:11.314139,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 21.46666666666667)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:12.543230,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 14.0)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:13.799153,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:15.009061,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:16.254092,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:17.436587,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:18.672627,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:19.952136,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:21.194235,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:22.419699,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:23.577487,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:24.754258,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:25.998515,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:27.224786,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 170.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:28.459038,"(2.05, 2.86, 2.425)","(26.0, 80.0, 61.333333333333336)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 260.0, 188.1818181818182)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:29.675964,"(2.05, 2.86, 2.425)","(26.0, 80.0, 58.400000000000006)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 240.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:30.841000,"(2.05, 2.86, 2.425)","(26.0, 80.0, 58.400000000000006)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:32.056238,"(2.05, 2.86, 2.425)","(26.0, 80.0, 58.400000000000006)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:33.243059,"(2.05, 2.86, 2.425)","(26.0, 80.0, 58.400000000000006)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:34.506573,"(2.05, 2.86, 2.425)","(26.0, 80.0, 58.400000000000006)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:35.739128,"(2.05, 2.86, 2.425)","(26.0, 80.0, 58.400000000000006)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:36.909265,"(2.05, 2.86, 2.425)","(26.0, 80.0, 58.400000000000006)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:38.068412,"(2.05, 2.86, 2.425)","(26.0, 80.0, 58.400000000000006)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:39.215214,"(2.05, 2.86, 2.425)","(26.0, 80.0, 58.400000000000006)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:40.432181,"(2.05, 2.86, 2.425)","(26.0, 80.0, 58.400000000000006)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:41.631176,"(2.05, 2.86, 2.425)","(26.0, 80.0, 58.400000000000006)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:42.838988,"(2.05, 2.86, 2.425)","(26.0, 80.0, 62.0)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:44.085956,"(2.05, 2.86, 2.425)","(26.0, 80.0, 62.0)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:45.264907,"(2.05, 2.86, 2.425)","(26.0, 80.0, 62.0)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:46.409234,"(2.05, 2.86, 2.425)","(26.0, 80.0, 62.0)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:47.522980,"(2.05, 2.86, 2.425)","(26.0, 80.0, 62.0)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:48.685424,"(2.05, 2.86, 2.425)","(26.0, 80.0, 62.0)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:49.957626,"(2.05, 2.86, 2.425)","(26.0, 80.0, 62.0)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:51.191319,"(2.05, 2.86, 2.425)","(26.0, 110.0, 75.33333333333334)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:52.375619,"(2.05, 2.86, 2.425)","(26.0, 100.0, 75.33333333333334)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:53.594426,"(2.05, 2.86, 2.425)","(26.0, 100.0, 75.33333333333334)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:54.746002,"(2.05, 2.86, 2.425)","(26.0, 100.0, 75.33333333333334)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:55.887649,"(2.05, 2.86, 2.425)","(26.0, 100.0, 75.33333333333334)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:57.185015,"(2.05, 2.86, 2.425)","(26.0, 100.0, 75.33333333333334)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:58.448358,"(2.05, 2.86, 2.425)","(26.0, 100.0, 75.33333333333334)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:19:59.755095,"(2.05, 2.86, 2.425)","(26.0, 100.0, 75.33333333333334)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:20:00.961652,"(2.05, 2.86, 2.425)","(26.0, 100.0, 75.33333333333334)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:20:02.124149,"(2.05, 2.86, 2.425)","(26.0, 100.0, 75.33333333333334)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:20:03.347414,"(2.05, 2.86, 2.425)","(26.0, 100.0, 75.33333333333334)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:20:04.508816,"(2.05, 2.86, 2.425)","(26.0, 100.0, 75.33333333333334)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:20:05.780373,"(2.05, 2.86, 2.425)","(26.0, 100.0, 75.33333333333334)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:20:07.016670,"(2.05, 2.86, 2.425)","(26.0, 100.0, 75.33333333333334)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:20:08.285557,"(2.05, 2.86, 2.425)","(26.0, 100.0, 75.33333333333334)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:20:09.580187,"(2.05, 2.86, 2.425)","(26.0, 100.0, 75.33333333333334)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
15-12-2022 11:20:10.904078,"(2.05, 2.86, 2.425)","(26.0, 100.0, 75.33333333333334)","(8.5, 24.0, 16.5)","(20.0, 50.0, 37.4)","(7.0, 12.5, 9.55)","(19.0, 75.0, 42.333333333333336)","(4.8, 8.4, 6.550000000000001)","(61.0, 230.0, 194.0)","(71.0, 280.0, 243.33333333333331)","(5.5, 10.0, 8.8)"
