,Always Broke,Go Katie Go,Lone Dancer,Sids Mate,Shouting Gunn,Trinity Ann
06-01-2023 14:40:41.460784,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.404074074074074)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:42.449879,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.404074074074074)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:43.356601,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.404074074074074)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:44.329150,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.404074074074074)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:45.310438,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.404074074074074)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:46.353231,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.404074074074074)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:47.273109,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.404074074074074)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:48.248028,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.404074074074074)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:49.312089,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.404074074074074)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:50.208248,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.404074074074074)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:51.090962,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.404074074074074)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:52.040337,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.58, 1.404074074074074)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:53.018534,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.438)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:54.089023,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.438)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:55.159293,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.438)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:56.095287,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.438)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:57.043744,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.438)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:57.939215,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.438)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:58.859661,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.36363636363636)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.438)","(71.0, 580.0, 325.0)"
06-01-2023 14:40:59.829226,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 31.07142857142857)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.438)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:00.753772,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 31.07142857142857)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.438)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:01.791916,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.36363636363636)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.438)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:02.782327,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 48.611111111111114)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.438)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:03.753703,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 48.05555555555556)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.438)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:04.775638,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 30.357142857142858)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.438)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:05.762386,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 30.357142857142858)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.438)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:06.726731,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.438)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:07.616383,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.438)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:08.649348,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.471578947368421)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:09.661238,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.471578947368421)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:10.657771,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.486190476190476)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:11.621618,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.486190476190476)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:12.506296,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.486190476190476)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:13.446014,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.486190476190476)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:14.421391,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.486190476190476)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:15.314279,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.486190476190476)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:16.197098,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.486190476190476)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:17.200629,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.486190476190476)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:18.141790,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.486190476190476)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:19.195740,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.486190476190476)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:20.259566,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.486190476190476)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:21.253834,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.486190476190476)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:22.211290,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.486190476190476)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:23.192707,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.486190476190476)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:24.062191,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.486190476190476)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:25.054463,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.486190476190476)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:26.098157,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.486190476190476)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:26.976817,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.486190476190476)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:27.922611,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.486190476190476)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:28.866489,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.486190476190476)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:29.818735,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.486190476190476)","(71.0, 580.0, 325.0)"
06-01-2023 14:41:30.800343,"(7.5, 15.5, 9.112499999999999)","(7.0, 12.5, 7.75)","(19.0, 60.0, 41.13636363636364)","(6.5, 11.5, 9.375)","(1.28, 1.57, 1.486190476190476)","(71.0, 580.0, 325.0)"
