,Solitary One,Rosas Routine,Chase Me Chopper,My Mates Barney,Thriller Strike,Heslea,Flying Caliente,Rev Up Rusty
14-12-2022 18:53:49.459595,"(2.1, 2.6, 2.3833333333333333)","(15.0, 34.0, 24.076923076923077)","(9.0, 28.0, 23.0)","(21.0, 110.0, 55.625)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 9.166666666666666)","(31.0, 170.0, 97.5)"
14-12-2022 18:53:50.566699,"(2.1, 2.6, 2.3833333333333333)","(15.0, 34.0, 24.076923076923077)","(9.0, 28.0, 23.0)","(21.0, 110.0, 55.625)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 9.166666666666666)","(31.0, 170.0, 97.5)"
14-12-2022 18:53:51.736066,"(2.1, 2.6, 2.3833333333333333)","(15.0, 34.0, 24.076923076923077)","(9.0, 28.0, 16.333333333333332)","(21.0, 110.0, 63.6)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:53:52.921851,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 110.0, 63.6)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:53:53.946460,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 110.0, 63.6)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:53:55.060706,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 110.0, 63.6)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:53:56.144123,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 110.0, 63.6)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:53:57.218293,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 110.0, 63.6)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:53:58.347858,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 110.0, 63.6)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:53:59.583898,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 110.0, 63.6)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:54:00.755832,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 110.0, 63.6)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:54:01.921865,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 110.0, 63.6)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:54:03.093740,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 110.0, 63.6)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:54:04.316696,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 110.0, 63.6)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:54:05.519943,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 110.0, 63.6)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:54:06.638480,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 110.0, 63.6)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:54:07.765022,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 110.0, 63.6)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:54:08.882639,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 110.0, 63.6)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:54:09.928603,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 110.0, 63.6)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:54:10.992575,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 110.0, 63.6)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:54:12.067298,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 110.0, 63.6)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:54:13.148146,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 110.0, 58.93333333333334)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:54:14.323764,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 58.93333333333334)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:54:15.396187,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 58.93333333333334)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:54:16.571012,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 58.93333333333334)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:54:17.669650,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 58.93333333333334)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:54:18.685967,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 58.93333333333334)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:54:19.709625,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 58.93333333333334)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:54:20.861351,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 58.93333333333334)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:54:21.875967,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 58.93333333333334)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 62.75)"
14-12-2022 18:54:23.053015,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 58.93333333333334)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:24.216754,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 53.230769230769226)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:25.372588,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 53.230769230769226)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:26.553618,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 53.230769230769226)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:27.836163,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 53.230769230769226)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:29.066416,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 53.230769230769226)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:30.224721,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 53.230769230769226)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:31.402029,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 53.230769230769226)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:32.526970,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 53.230769230769226)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:33.615378,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 53.230769230769226)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:34.676310,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 53.230769230769226)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:35.799574,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 53.230769230769226)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:36.946433,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 53.230769230769226)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:38.007283,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 53.230769230769226)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:39.170183,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 53.230769230769226)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:40.359618,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 53.230769230769226)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:41.504589,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 53.230769230769226)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:42.632724,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 100.0, 53.230769230769226)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:43.765467,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 95.0, 59.5)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:44.925389,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 95.0, 51.30769230769231)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:46.034601,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 95.0, 51.30769230769231)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:47.197149,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 95.0, 51.30769230769231)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:48.426210,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 95.0, 51.30769230769231)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:49.603513,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 95.0, 51.30769230769231)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:50.709389,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 95.0, 51.30769230769231)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:51.847831,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 95.0, 51.30769230769231)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:53.060938,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 95.0, 51.30769230769231)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:54.200042,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 95.0, 51.30769230769231)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:55.327370,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 95.0, 51.30769230769231)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:56.584997,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 95.0, 51.30769230769231)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:57.854197,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 95.0, 51.30769230769231)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:54:58.919172,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 95.0, 51.30769230769231)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:55:00.079714,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 95.0, 51.30769230769231)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:55:01.327926,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 95.0, 51.30769230769231)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:55:02.474012,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 95.0, 51.30769230769231)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:55:03.631048,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 95.0, 51.30769230769231)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:55:04.885981,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 16.333333333333332)","(21.0, 95.0, 51.30769230769231)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 7.928571428571429)","(31.0, 170.0, 78.71428571428571)"
14-12-2022 18:55:06.103626,"(2.1, 2.6, 2.3833333333333333)","(15.0, 32.0, 23.857142857142858)","(9.0, 28.0, 18.27777777777778)","(21.0, 95.0, 59.5)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 9.166666666666666)","(31.0, 170.0, 99.0)"
14-12-2022 18:55:07.270400,"(2.1, 2.6, 2.3833333333333333)","(15.0, 34.0, 24.076923076923077)","(9.0, 28.0, 23.0)","(21.0, 95.0, 59.5)","(5.5, 11.0, 5.7749999999999995)","(3.7, 7.2, 5.386666666666667)","(7.0, 13.5, 9.166666666666666)","(31.0, 170.0, 99.0)"
