,Aussie Summer,Sin Rap Miss,Wong Bias,Zipping Swazi,Rich Mans World,Mud Muffin
12-01-2023 17:46:59.349657,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.0, 10.846511627906978)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:00.629100,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.0, 10.846511627906978)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:01.866426,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.0, 10.846511627906978)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:03.041765,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.0, 10.846511627906978)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:04.224533,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.0, 10.846511627906978)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:05.364838,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.0, 10.846511627906978)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:06.574757,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.0, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:07.858460,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:09.071455,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:10.233760,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:11.364713,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:12.460791,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:13.590432,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:14.788687,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:15.943360,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:17.046593,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:18.195563,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:19.302396,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:20.436178,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:21.578982,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:22.824189,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:24.020400,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:25.228969,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:26.329631,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:27.528382,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:28.703492,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:29.890792,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:31.056396,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:32.323067,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:33.660519,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:35.002544,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:36.261728,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:37.456216,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:38.650504,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:39.778138,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:40.950073,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:42.121132,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.925)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:43.271687,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.09)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:44.491680,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.09)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:45.681345,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.09)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:46.807989,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.09)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:47.928382,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.09)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:49.345539,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.033548387096774)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:50.634293,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.033548387096774)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:51.960107,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.033548387096774)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:53.338030,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.033548387096774)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:54.518891,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.033548387096774)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:55.870635,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.033548387096774)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:57.163874,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.033548387096774)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:58.412763,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.033548387096774)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:47:59.620435,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.033548387096774)","(7.0, 14.5, 9.766666666666667)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:48:00.787238,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.033548387096774)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:48:01.841496,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.033548387096774)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:48:03.022677,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.033548387096774)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:48:04.201749,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.033548387096774)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:48:05.308606,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.033548387096774)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:48:06.428944,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.033548387096774)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:48:07.515187,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.033548387096774)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:48:08.581606,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.033548387096774)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:48:09.731292,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.846153846153846)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:48:10.930313,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.846153846153846)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:48:12.008589,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.846153846153846)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:48:13.089120,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.846153846153846)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:48:14.230554,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.846153846153846)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:48:15.322762,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.846153846153846)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:48:16.406571,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.846153846153846)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:48:17.558592,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.846153846153846)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:48:18.722421,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 2.846153846153846)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:48:19.856577,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.005)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:48:20.898471,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.005)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:48:21.854100,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.005)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:48:22.918321,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.005)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:48:23.952044,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.005)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:48:25.045199,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 11.32906976744186)","(2.05, 3.3, 3.005)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 38.388888888888886)"
12-01-2023 17:48:26.112910,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 10.8)","(2.05, 3.3, 3.005)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 30.541666666666664)"
12-01-2023 17:48:27.147824,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 10.8)","(2.05, 3.3, 3.005)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 30.541666666666664)"
12-01-2023 17:48:28.304475,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.7300000000000004)","(6.5, 11.5, 10.8)","(2.05, 3.3, 3.005)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 30.541666666666664)"
12-01-2023 17:48:29.646407,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.166666666666667)","(6.5, 11.5, 10.8)","(2.05, 3.3, 2.3044444444444445)","(7.0, 14.5, 14.310126582278482)","(18.0, 42.0, 30.541666666666664)"
12-01-2023 17:48:30.835453,"(9.0, 21.0, 17.789473684210527)","(3.1, 4.9, 3.214814814814815)","(6.5, 11.5, 10.75)","(2.05, 3.3, 2.3044444444444445)","(7.0, 14.5, 13.804761904761904)","(18.0, 42.0, 30.541666666666664)"
12-01-2023 17:48:31.944404,"(9.0, 21.0, 19.03030303030303)","(3.1, 4.9, 3.214814814814815)","(6.5, 11.5, 10.75)","(2.05, 3.3, 2.25)","(7.0, 14.5, 13.804761904761904)","(18.0, 42.0, 30.541666666666664)"
12-01-2023 17:48:33.060373,"(9.0, 21.0, 19.03030303030303)","(3.1, 4.9, 3.214814814814815)","(6.5, 11.5, 10.75)","(2.05, 3.3, 2.25)","(7.0, 14.5, 13.804761904761904)","(18.0, 42.0, 30.541666666666664)"
12-01-2023 17:48:34.126167,"(9.0, 21.0, 19.03030303030303)","(3.1, 4.9, 3.214814814814815)","(6.5, 11.5, 10.75)","(2.05, 3.3, 2.25)","(7.0, 14.5, 13.804761904761904)","(18.0, 42.0, 30.541666666666664)"
12-01-2023 17:48:35.520980,"(9.0, 21.0, 19.03030303030303)","(3.1, 4.9, 3.214814814814815)","(6.5, 11.5, 10.75)","(2.05, 3.3, 2.25)","(7.0, 14.5, 13.804761904761904)","(18.0, 42.0, 30.846153846153847)"
12-01-2023 17:48:36.614894,"(9.0, 21.0, 19.03030303030303)","(3.1, 4.9, 3.214814814814815)","(6.5, 11.5, 10.75)","(2.05, 3.3, 2.25)","(7.0, 14.5, 13.804761904761904)","(18.0, 42.0, 30.846153846153847)"
12-01-2023 17:48:37.728591,"(9.0, 21.0, 19.03030303030303)","(3.1, 4.9, 3.214814814814815)","(6.5, 11.5, 10.75)","(2.05, 3.3, 2.25)","(7.0, 14.5, 13.804761904761904)","(18.0, 42.0, 30.846153846153847)"
12-01-2023 17:48:38.914535,"(9.0, 21.0, 17.578947368421055)","(3.1, 4.9, 3.214814814814815)","(6.5, 11.5, 10.75)","(2.05, 3.3, 2.25)","(7.0, 14.5, 13.804761904761904)","(18.0, 42.0, 30.846153846153847)"
12-01-2023 17:48:40.131227,"(9.0, 21.0, 17.578947368421055)","(3.1, 4.9, 3.214814814814815)","(6.5, 11.5, 10.75)","(2.05, 3.3, 2.25)","(7.0, 14.5, 13.804761904761904)","(18.0, 42.0, 30.846153846153847)"
12-01-2023 17:48:41.389693,"(9.0, 21.0, 17.578947368421055)","(3.1, 4.9, 3.214814814814815)","(6.5, 11.5, 10.75)","(2.05, 3.3, 2.25)","(7.0, 14.5, 13.804761904761904)","(18.0, 42.0, 30.846153846153847)"
12-01-2023 17:48:42.558544,"(9.0, 21.0, 17.578947368421055)","(3.1, 4.9, 3.214814814814815)","(6.5, 11.5, 10.75)","(2.05, 3.3, 2.25)","(7.0, 14.5, 13.804761904761904)","(18.0, 42.0, 30.846153846153847)"
12-01-2023 17:48:43.663174,"(9.0, 21.0, 17.578947368421055)","(3.1, 4.9, 3.214814814814815)","(6.5, 11.5, 10.75)","(2.05, 3.3, 2.25)","(7.0, 14.5, 13.804761904761904)","(18.0, 42.0, 30.846153846153847)"
12-01-2023 17:48:44.614004,"(9.0, 21.0, 17.578947368421055)","(3.1, 4.9, 3.214814814814815)","(6.5, 11.5, 10.75)","(2.05, 3.3, 2.25)","(7.0, 14.5, 13.804761904761904)","(18.0, 42.0, 30.846153846153847)"
12-01-2023 17:48:45.718239,"(9.0, 21.0, 17.578947368421055)","(3.1, 4.9, 3.214814814814815)","(6.5, 11.5, 10.75)","(2.05, 3.3, 2.25)","(7.0, 14.5, 13.804761904761904)","(18.0, 42.0, 30.846153846153847)"
