,Velocity Framed,Kilcoy Castle,Bermuda Sky,Far Out Lexi,Caledonia,Barking Bush
09-01-2023 17:31:42.798516,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:43.939270,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:45.264856,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:46.542984,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:47.773015,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:49.245215,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:50.532299,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:51.887803,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:52.990204,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:54.103127,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:55.254084,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:56.431830,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:57.611066,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:58.734190,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:31:59.803664,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:00.921632,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:02.130002,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:03.345915,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:04.612670,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:05.889767,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:07.174759,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:08.423160,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:09.627309,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:10.745913,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:11.779758,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:12.765372,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:13.857153,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:14.940626,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:16.042586,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:17.169266,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.918181818181818)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:18.299516,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 5.2625)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:19.372577,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.5, 4.79)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:20.532222,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:21.598735,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:22.756673,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:24.092534,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:25.528814,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:26.695475,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:27.998401,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:29.115079,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:30.121704,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:31.235177,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:32.358990,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:33.503388,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:34.567378,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:35.640889,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:36.660261,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:37.754830,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:38.881143,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:40.011813,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:41.171130,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:42.226214,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:43.299940,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:44.400997,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:45.515295,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:46.673808,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:47.824647,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:48.988704,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:50.191200,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:51.314013,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:52.368791,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:53.379549,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:54.387051,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:55.498016,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:56.536662,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:57.712518,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:58.738457,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:32:59.819541,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:33:00.834654,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:33:01.913481,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:33:03.008233,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 4.5928571428571425)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:33:04.138291,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 5.3, 3.9499999999999997)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:33:05.272631,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.9499999999999997)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:33:06.404615,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.9499999999999997)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:33:07.552420,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.9499999999999997)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:33:08.658781,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.9499999999999997)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:33:09.723678,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.9499999999999997)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:33:10.751444,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.9499999999999997)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:33:11.753119,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.9499999999999997)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:33:12.820004,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.9499999999999997)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:33:14.030150,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.9499999999999997)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:33:15.054345,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.9499999999999997)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:33:16.047394,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.9499999999999997)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:33:17.188513,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.9499999999999997)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:33:18.304029,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.9499999999999997)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:33:19.459150,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.9499999999999997)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:33:20.809231,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.9499999999999997)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:33:22.022031,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.9499999999999997)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:33:23.222395,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.9499999999999997)","(4.6, 7.2, 5.644444444444445)"
09-01-2023 17:33:24.395261,"(5.0, 9.8, 5.527272727272727)","(4.2, 6.0, 5.5515625)","(4.4, 6.8, 5.42)","(6.5, 11.5, 10.914285714285715)","(3.9, 4.1, 3.9499999999999997)","(4.6, 7.2, 5.644444444444445)"
