,Mollidor,Hear The Call Nz,Harry Croft,My Ultimate Heston,Chasin Dreamz,Downtown Lucca,Awayovernight Nz,Jaydes Terror,Rocco Variety
08-12-2022 14:54:01.335887,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 46.0, 28.0)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.5, 13.8)","(3.0, 99999, 99990)","(26.0, 55.0, 32.333333333333336)","(16.0, 34.0, 20.666666666666668)"
08-12-2022 14:54:02.681972,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 46.0, 28.0)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.5, 13.8)","(3.0, 99999, 99990)","(26.0, 55.0, 32.333333333333336)","(16.0, 34.0, 20.666666666666668)"
08-12-2022 14:54:04.081712,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 46.0, 28.0)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.5, 13.8)","(3.0, 99999, 99990)","(26.0, 55.0, 32.333333333333336)","(16.0, 34.0, 20.666666666666668)"
08-12-2022 14:54:05.381670,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 46.0, 31.5)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.5, 14.48)","(3.0, 99999, 99990)","(26.0, 55.0, 35.5)","(16.0, 34.0, 23.0)"
08-12-2022 14:54:06.687322,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 44.0, 31.5)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.0, 14.48)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 32.0, 23.0)"
08-12-2022 14:54:07.968278,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 44.0, 31.5)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.0, 14.48)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 32.0, 23.0)"
08-12-2022 14:54:09.286956,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 44.0, 31.5)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.0, 14.48)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 32.0, 23.0)"
08-12-2022 14:54:10.656655,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 44.0, 31.5)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.0, 14.48)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 32.0, 23.0)"
08-12-2022 14:54:12.033754,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 44.0, 31.5)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.0, 14.48)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 32.0, 23.0)"
08-12-2022 14:54:13.463417,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 44.0, 31.5)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.0, 14.48)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 32.0, 23.0)"
08-12-2022 14:54:14.805921,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 44.0, 31.5)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.0, 14.48)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 32.0, 23.0)"
08-12-2022 14:54:16.153511,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 44.0, 31.5)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.0, 14.48)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 32.0, 23.0)"
08-12-2022 14:54:17.410918,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 44.0, 31.5)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.0, 14.48)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 32.0, 23.0)"
08-12-2022 14:54:18.733048,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 44.0, 31.5)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.0, 14.48)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 32.0, 23.0)"
08-12-2022 14:54:20.001150,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 44.0, 31.5)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 16.0, 13.133333333333333)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 32.0, 19.333333333333332)"
08-12-2022 14:54:21.175356,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 42.0, 26.666666666666668)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 13.133333333333333)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:22.411181,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 42.0, 26.666666666666668)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 13.133333333333333)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:23.747364,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 42.0, 26.666666666666668)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 13.133333333333333)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:25.013192,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 42.0, 26.666666666666668)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 13.133333333333333)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:26.259144,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 42.0, 26.666666666666668)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 13.133333333333333)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:27.449134,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 42.0, 26.666666666666668)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 13.133333333333333)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:28.581244,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 42.0, 26.666666666666668)","(14.0, 26.0, 19.0)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 13.133333333333333)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:29.699760,"(19.0, 36.0, 31.666666666666664)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:30.943624,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:32.243772,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:33.600477,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:34.988425,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:36.419838,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:37.706496,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:38.875919,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:40.009490,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:41.246333,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:42.511437,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:43.806066,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:45.269768,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:46.666571,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:48.035954,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:49.399654,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:50.666822,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:51.977307,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:53.203110,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:54.390771,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:55.567499,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:56.746818,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:57.932181,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:54:59.248425,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:55:00.563195,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 38.46153846153846)","(14.0, 26.0, 23.75)","(17.0, 29.0, 19.666666666666668)","(8.5, 15.5, 14.350000000000001)","(3.0, 99999, 99990)","(26.0, 50.0, 35.5)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:55:01.968396,"(19.0, 36.0, 32.83333333333333)","(1.85, 99999, 99990)","(21.0, 42.0, 34.5)","(14.0, 26.0, 21.666666666666664)","(17.0, 29.0, 22.0)","(8.5, 15.5, 11.166666666666666)","(3.0, 99999, 99990)","(26.0, 50.0, 40.66666666666667)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:55:03.257901,"(19.0, 36.0, 24.0)","(1.85, 99999, 99990)","(21.0, 42.0, 34.5)","(14.0, 26.0, 21.666666666666664)","(17.0, 29.0, 22.0)","(8.5, 15.5, 11.166666666666666)","(3.0, 99999, 99990)","(26.0, 50.0, 40.66666666666667)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:55:04.553855,"(19.0, 36.0, 24.0)","(1.85, 99999, 99990)","(21.0, 42.0, 34.5)","(14.0, 26.0, 21.666666666666664)","(17.0, 29.0, 22.0)","(8.5, 15.5, 11.166666666666666)","(3.0, 99999, 99990)","(26.0, 50.0, 40.66666666666667)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:55:05.898157,"(19.0, 36.0, 24.0)","(1.85, 99999, 99990)","(21.0, 42.0, 34.5)","(14.0, 26.0, 21.666666666666664)","(17.0, 29.0, 22.0)","(8.5, 15.5, 11.166666666666666)","(3.0, 99999, 99990)","(26.0, 50.0, 40.66666666666667)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:55:07.294883,"(19.0, 36.0, 24.0)","(1.85, 99999, 99990)","(21.0, 42.0, 34.5)","(14.0, 26.0, 21.666666666666664)","(17.0, 29.0, 22.0)","(8.5, 15.5, 11.166666666666666)","(3.0, 99999, 99990)","(26.0, 50.0, 40.66666666666667)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:55:08.687911,"(19.0, 36.0, 24.0)","(1.85, 99999, 99990)","(21.0, 42.0, 34.5)","(14.0, 26.0, 24.375)","(17.0, 29.0, 22.0)","(8.5, 15.5, 11.166666666666666)","(3.0, 99999, 99990)","(26.0, 50.0, 40.66666666666667)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:55:10.026956,"(19.0, 36.0, 24.0)","(1.85, 99999, 99990)","(21.0, 42.0, 34.5)","(14.0, 26.0, 24.375)","(17.0, 29.0, 22.0)","(8.5, 15.5, 11.166666666666666)","(3.0, 99999, 99990)","(26.0, 50.0, 40.66666666666667)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:55:11.321191,"(19.0, 36.0, 24.0)","(1.85, 99999, 99990)","(21.0, 42.0, 34.5)","(14.0, 26.0, 24.375)","(17.0, 29.0, 22.0)","(8.5, 15.5, 11.166666666666666)","(3.0, 99999, 99990)","(26.0, 50.0, 40.66666666666667)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:55:12.608814,"(19.0, 36.0, 24.0)","(1.85, 99999, 99990)","(21.0, 42.0, 34.5)","(14.0, 26.0, 24.375)","(17.0, 29.0, 22.0)","(8.5, 15.5, 11.166666666666666)","(3.0, 99999, 99990)","(26.0, 50.0, 40.66666666666667)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:55:13.980239,"(19.0, 36.0, 24.0)","(1.85, 99999, 99990)","(21.0, 42.0, 34.5)","(14.0, 26.0, 24.375)","(17.0, 29.0, 22.0)","(8.5, 15.5, 11.166666666666666)","(3.0, 99999, 99990)","(26.0, 50.0, 40.66666666666667)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:55:15.254724,"(19.0, 36.0, 24.0)","(1.85, 99999, 99990)","(21.0, 42.0, 34.5)","(14.0, 26.0, 24.375)","(17.0, 29.0, 22.0)","(8.5, 15.5, 11.166666666666666)","(3.0, 99999, 99990)","(26.0, 50.0, 40.66666666666667)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:55:16.435137,"(19.0, 36.0, 24.0)","(1.85, 99999, 99990)","(21.0, 42.0, 34.5)","(14.0, 26.0, 24.375)","(17.0, 29.0, 22.0)","(8.5, 15.5, 11.166666666666666)","(3.0, 99999, 99990)","(26.0, 50.0, 40.66666666666667)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:55:17.625606,"(19.0, 36.0, 24.0)","(1.85, 99999, 99990)","(21.0, 42.0, 34.5)","(14.0, 26.0, 24.375)","(17.0, 29.0, 22.0)","(8.5, 15.5, 11.166666666666666)","(3.0, 99999, 99990)","(26.0, 50.0, 40.66666666666667)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:55:18.942300,"(19.0, 36.0, 24.0)","(1.85, 99999, 99990)","(21.0, 42.0, 34.5)","(14.0, 26.0, 24.375)","(17.0, 29.0, 22.0)","(8.5, 15.5, 11.166666666666666)","(3.0, 99999, 99990)","(26.0, 50.0, 40.66666666666667)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:55:20.173433,"(19.0, 36.0, 24.0)","(1.85, 99999, 99990)","(21.0, 42.0, 34.5)","(14.0, 26.0, 24.375)","(17.0, 29.0, 22.0)","(8.5, 15.5, 11.166666666666666)","(3.0, 99999, 99990)","(26.0, 50.0, 40.66666666666667)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:55:21.450248,"(19.0, 36.0, 24.0)","(1.85, 99999, 99990)","(21.0, 42.0, 34.5)","(14.0, 26.0, 24.375)","(17.0, 29.0, 22.0)","(8.5, 15.5, 11.166666666666666)","(3.0, 99999, 99990)","(26.0, 50.0, 40.66666666666667)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:55:22.723510,"(19.0, 36.0, 24.0)","(1.85, 99999, 99990)","(21.0, 42.0, 34.5)","(14.0, 26.0, 24.375)","(17.0, 29.0, 22.0)","(8.5, 15.5, 11.166666666666666)","(3.0, 99999, 99990)","(26.0, 50.0, 40.66666666666667)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:55:24.042011,"(19.0, 36.0, 24.0)","(1.85, 99999, 99990)","(21.0, 42.0, 34.5)","(14.0, 26.0, 24.375)","(17.0, 29.0, 22.0)","(8.5, 15.5, 11.166666666666666)","(3.0, 99999, 99990)","(26.0, 50.0, 40.66666666666667)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:55:25.393446,"(19.0, 36.0, 24.0)","(1.85, 99999, 99990)","(21.0, 42.0, 34.5)","(14.0, 26.0, 24.375)","(17.0, 29.0, 22.0)","(8.5, 15.5, 11.166666666666666)","(3.0, 99999, 99990)","(26.0, 50.0, 40.66666666666667)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:55:26.890552,"(19.0, 36.0, 24.0)","(1.85, 99999, 99990)","(21.0, 42.0, 34.5)","(14.0, 26.0, 24.375)","(17.0, 29.0, 22.0)","(8.5, 15.5, 11.166666666666666)","(3.0, 99999, 99990)","(26.0, 50.0, 40.66666666666667)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:55:28.272467,"(19.0, 36.0, 24.0)","(1.85, 99999, 99990)","(21.0, 42.0, 34.5)","(14.0, 26.0, 24.375)","(17.0, 29.0, 22.0)","(8.5, 15.5, 11.166666666666666)","(3.0, 99999, 99990)","(26.0, 50.0, 40.66666666666667)","(16.0, 30.0, 19.333333333333332)"
08-12-2022 14:55:29.641389,"(19.0, 36.0, 24.0)","(1.85, 99999, 99990)","(21.0, 42.0, 27.0)","(14.0, 26.0, 24.375)","(17.0, 29.0, 22.0)","(8.5, 15.5, 11.166666666666666)","(3.0, 99999, 99990)","(26.0, 50.0, 40.66666666666667)","(16.0, 30.0, 19.333333333333332)"
