,Amass,Sonny Maguire,Heez Good,Franco Huntington,Elouisa Dale,Foveaux Strait,Van Liberty,Airwaves
14-12-2022 14:39:26.033755,"(1.8, 2.02, 1.9173333333333333)","(12.0, 30.0, 26.571428571428573)","(20.0, 180.0, 68.0)","(26.0, 60.0, 39.0)","(4.0, 5.6, 5.3)","(4.4, 5.8, 5.16)","(21.0, 200.0, 93.33333333333333)","(51.0, 280.0, 139.375)"
14-12-2022 14:39:27.398579,"(1.8, 2.02, 1.9173333333333333)","(12.0, 30.0, 26.571428571428573)","(20.0, 180.0, 68.0)","(26.0, 60.0, 39.375)","(4.0, 5.6, 4.9)","(4.4, 5.8, 5.128571428571429)","(21.0, 200.0, 110.0)","(51.0, 280.0, 139.375)"
14-12-2022 14:39:28.837133,"(1.8, 2.02, 1.9209999999999998)","(12.0, 30.0, 26.571428571428573)","(20.0, 180.0, 68.0)","(26.0, 55.0, 39.375)","(4.0, 5.6, 4.9)","(4.4, 5.9, 5.128571428571429)","(21.0, 200.0, 110.0)","(51.0, 280.0, 139.375)"
14-12-2022 14:39:30.139302,"(1.8, 2.02, 1.9209999999999998)","(12.0, 30.0, 26.571428571428573)","(20.0, 180.0, 63.33333333333333)","(21.0, 55.0, 39.375)","(4.0, 5.0, 4.9)","(4.4, 5.9, 5.7)","(21.0, 200.0, 110.0)","(51.0, 280.0, 139.375)"
14-12-2022 14:39:31.455989,"(1.8, 2.12, 1.94)","(12.0, 30.0, 26.571428571428573)","(20.0, 180.0, 63.33333333333333)","(21.0, 55.0, 38.75)","(4.0, 5.1, 4.9)","(4.4, 6.2, 6.063157894736842)","(21.0, 200.0, 120.0)","(51.0, 280.0, 115.71428571428571)"
14-12-2022 14:39:32.751394,"(1.8, 2.12, 1.94)","(12.0, 30.0, 26.571428571428573)","(20.0, 180.0, 75.0)","(21.0, 55.0, 38.75)","(4.0, 5.0, 4.828571428571428)","(4.4, 6.2, 6.063157894736842)","(26.0, 200.0, 120.0)","(51.0, 280.0, 115.71428571428571)"
14-12-2022 14:39:34.077172,"(1.8, 2.12, 1.94)","(12.0, 30.0, 26.571428571428573)","(20.0, 180.0, 75.0)","(21.0, 55.0, 38.3)","(4.0, 5.4, 4.828571428571428)","(4.4, 6.2, 5.75)","(26.0, 200.0, 120.0)","(51.0, 280.0, 115.71428571428571)"
14-12-2022 14:39:35.488511,"(1.8, 2.12, 1.952)","(12.0, 30.0, 26.571428571428573)","(20.0, 180.0, 75.0)","(21.0, 60.0, 38.3)","(4.0, 5.4, 4.8999999999999995)","(4.4, 6.0, 5.2)","(26.0, 200.0, 120.0)","(51.0, 280.0, 115.71428571428571)"
14-12-2022 14:39:37.001342,"(1.8, 2.1, 2.024)","(12.0, 30.0, 26.571428571428573)","(20.0, 180.0, 75.0)","(21.0, 60.0, 51.42857142857143)","(4.0, 5.3, 4.85)","(4.4, 5.5, 5.3125)","(26.0, 200.0, 120.0)","(51.0, 280.0, 115.71428571428571)"
14-12-2022 14:39:38.397232,"(1.8, 2.1, 2.0228571428571427)","(14.0, 30.0, 26.571428571428573)","(21.0, 180.0, 75.0)","(21.0, 60.0, 51.42857142857143)","(3.9, 5.3, 4.85)","(4.4, 5.5, 5.3125)","(26.0, 200.0, 120.0)","(51.0, 280.0, 115.71428571428571)"
14-12-2022 14:39:39.618738,"(1.8, 2.1, 2.0228571428571427)","(14.0, 30.0, 26.571428571428573)","(21.0, 180.0, 75.0)","(21.0, 60.0, 51.42857142857143)","(3.9, 5.3, 4.7625)","(4.4, 5.5, 5.2)","(26.0, 200.0, 97.14285714285714)","(51.0, 280.0, 115.71428571428571)"
14-12-2022 14:39:40.870360,"(1.8, 2.12, 2.08)","(14.0, 30.0, 26.571428571428573)","(21.0, 180.0, 75.0)","(21.0, 60.0, 51.42857142857143)","(3.9, 5.2, 4.7625)","(4.4, 5.5, 5.0)","(26.0, 200.0, 97.14285714285714)","(51.0, 280.0, 115.71428571428571)"
14-12-2022 14:39:42.208399,"(1.8, 2.12, 2.08)","(14.0, 30.0, 26.571428571428573)","(21.0, 180.0, 75.0)","(21.0, 60.0, 51.42857142857143)","(3.9, 5.2, 4.814285714285714)","(4.4, 6.0, 5.0)","(21.0, 200.0, 97.14285714285714)","(51.0, 280.0, 115.71428571428571)"
14-12-2022 14:39:43.596761,"(1.8, 2.12, 2.08)","(14.0, 30.0, 26.571428571428573)","(21.0, 180.0, 97.2)","(21.0, 60.0, 51.42857142857143)","(3.9, 4.9, 4.725)","(4.4, 6.0, 5.5)","(21.0, 200.0, 97.14285714285714)","(51.0, 280.0, 160.0)"
14-12-2022 14:39:45.026347,"(1.8, 2.12, 2.08)","(14.0, 30.0, 26.571428571428573)","(21.0, 180.0, 134.66666666666666)","(21.0, 60.0, 51.42857142857143)","(3.9, 5.1, 4.6125)","(4.4, 6.0, 5.774193548387097)","(21.0, 200.0, 97.14285714285714)","(51.0, 270.0, 160.0)"
14-12-2022 14:39:46.643349,"(1.8, 2.12, 2.08)","(14.0, 30.0, 26.571428571428573)","(21.0, 180.0, 90.66666666666666)","(21.0, 60.0, 45.0)","(3.9, 4.8, 4.657142857142857)","(4.4, 6.0, 6.126315789473685)","(21.0, 200.0, 110.0)","(51.0, 270.0, 160.0)"
14-12-2022 14:39:48.185205,"(1.8, 2.12, 2.025)","(14.0, 30.0, 26.571428571428573)","(21.0, 180.0, 90.66666666666666)","(21.0, 60.0, 45.0)","(3.9, 4.8, 4.766666666666667)","(4.4, 6.2, 6.133333333333334)","(21.0, 200.0, 110.0)","(51.0, 270.0, 155.0)"
14-12-2022 14:39:49.668102,"(1.8, 2.12, 2.025)","(14.0, 30.0, 26.571428571428573)","(21.0, 170.0, 139.5)","(21.0, 60.0, 45.0)","(3.9, 4.9, 4.766666666666667)","(4.4, 6.2, 6.133333333333334)","(21.0, 200.0, 110.0)","(51.0, 260.0, 155.0)"
14-12-2022 14:39:51.133435,"(1.8, 2.12, 2.025)","(14.0, 30.0, 26.571428571428573)","(21.0, 170.0, 139.5)","(21.0, 60.0, 45.0)","(3.9, 4.9, 4.566666666666666)","(4.4, 6.2, 6.152)","(21.0, 200.0, 93.33333333333333)","(51.0, 260.0, 150.0)"
14-12-2022 14:39:52.571118,"(1.8, 2.12, 2.025)","(14.0, 30.0, 26.571428571428573)","(21.0, 170.0, 136.0)","(21.0, 60.0, 45.0)","(3.9, 4.7, 4.65)","(4.4, 6.2, 6.15925925925926)","(21.0, 200.0, 97.14285714285714)","(51.0, 250.0, 169.2)"
14-12-2022 14:39:54.006649,"(1.8, 2.12, 2.025)","(14.0, 30.0, 26.571428571428573)","(21.0, 180.0, 82.5)","(21.0, 60.0, 45.0)","(3.9, 4.7, 4.65)","(4.4, 6.2, 5.466666666666667)","(21.0, 200.0, 97.14285714285714)","(51.0, 250.0, 169.2)"
14-12-2022 14:39:55.403552,"(1.8, 2.12, 2.06)","(14.0, 30.0, 26.571428571428573)","(21.0, 180.0, 115.0)","(21.0, 60.0, 45.0)","(3.9, 4.7, 4.65)","(4.4, 6.0, 5.84)","(21.0, 200.0, 97.14285714285714)","(51.0, 250.0, 127.5)"
14-12-2022 14:39:56.803121,"(1.8, 2.12, 2.0700000000000003)","(14.0, 30.0, 26.571428571428573)","(21.0, 180.0, 115.0)","(21.0, 60.0, 45.0)","(3.9, 4.7, 4.65)","(4.4, 6.0, 5.657142857142857)","(21.0, 200.0, 97.14285714285714)","(51.0, 260.0, 127.5)"
14-12-2022 14:39:58.224915,"(1.8, 2.12, 2.0700000000000003)","(14.0, 30.0, 26.333333333333332)","(21.0, 180.0, 115.0)","(21.0, 60.0, 37.5)","(3.9, 4.7, 4.65)","(4.4, 5.8, 5.6421052631578945)","(21.0, 200.0, 97.14285714285714)","(51.0, 260.0, 127.5)"
14-12-2022 14:39:59.576754,"(1.8, 2.12, 2.0236363636363635)","(14.0, 30.0, 26.333333333333332)","(21.0, 180.0, 115.0)","(21.0, 60.0, 37.5)","(3.9, 4.7, 4.65)","(4.4, 5.8, 5.6421052631578945)","(21.0, 200.0, 97.14285714285714)","(51.0, 260.0, 127.5)"
14-12-2022 14:40:01.044589,"(1.8, 2.1, 2.0885714285714285)","(14.0, 30.0, 26.333333333333332)","(21.0, 180.0, 115.0)","(21.0, 60.0, 45.0)","(3.9, 4.7, 4.66)","(4.4, 5.8, 5.565217391304348)","(21.0, 200.0, 97.14285714285714)","(51.0, 260.0, 127.5)"
14-12-2022 14:40:02.515091,"(1.8, 2.1, 2.041818181818182)","(14.0, 30.0, 26.333333333333332)","(21.0, 180.0, 120.0)","(21.0, 60.0, 47.6)","(3.9, 4.7, 4.66)","(4.4, 5.8, 5.588888888888889)","(21.0, 200.0, 100.0)","(51.0, 260.0, 83.33333333333334)"
14-12-2022 14:40:03.839728,"(1.8, 2.1, 2.041818181818182)","(14.0, 30.0, 26.333333333333332)","(21.0, 190.0, 120.0)","(21.0, 60.0, 47.6)","(3.9, 4.7, 4.692)","(4.4, 5.7, 5.6421052631578945)","(21.0, 200.0, 100.0)","(51.0, 260.0, 83.33333333333334)"
14-12-2022 14:40:05.280436,"(1.8, 2.12, 2.0975)","(14.0, 30.0, 26.333333333333332)","(21.0, 190.0, 120.0)","(21.0, 60.0, 47.6)","(3.9, 4.7, 4.692)","(4.4, 5.8, 5.6421052631578945)","(21.0, 200.0, 100.0)","(51.0, 260.0, 83.33333333333334)"
14-12-2022 14:40:06.690832,"(1.8, 2.12, 2.0975)","(14.0, 30.0, 26.333333333333332)","(21.0, 190.0, 120.0)","(21.0, 60.0, 47.6)","(3.9, 4.7, 4.692)","(4.4, 5.8, 5.6421052631578945)","(21.0, 200.0, 98.57142857142857)","(51.0, 260.0, 83.33333333333334)"
14-12-2022 14:40:07.966141,"(1.8, 2.12, 2.095555555555556)","(14.0, 30.0, 26.333333333333332)","(21.0, 190.0, 120.0)","(21.0, 60.0, 47.6)","(3.9, 4.7, 4.692)","(4.4, 5.8, 5.6421052631578945)","(21.0, 210.0, 98.57142857142857)","(51.0, 260.0, 83.33333333333334)"
14-12-2022 14:40:09.395822,"(1.8, 2.12, 2.106666666666667)","(14.0, 30.0, 26.333333333333332)","(21.0, 190.0, 120.0)","(21.0, 60.0, 47.6)","(3.9, 4.7, 4.692)","(4.4, 5.8, 5.875)","(21.0, 210.0, 123.33333333333334)","(51.0, 260.0, 83.33333333333334)"
14-12-2022 14:40:10.860387,"(1.8, 2.12, 2.106666666666667)","(14.0, 30.0, 26.333333333333332)","(21.0, 190.0, 120.0)","(21.0, 60.0, 47.6)","(3.9, 4.7, 5.516666666666667)","(4.4, 6.2, 5.875)","(21.0, 210.0, 106.66666666666667)","(51.0, 260.0, 83.33333333333334)"
14-12-2022 14:40:12.364096,"(1.8, 2.12, 2.095555555555556)","(14.0, 30.0, 26.333333333333332)","(21.0, 190.0, 120.0)","(21.0, 60.0, 47.6)","(3.9, 5.7, 5.59)","(4.4, 6.2, 5.875)","(21.0, 240.0, 130.0)","(51.0, 260.0, 83.33333333333334)"
14-12-2022 14:40:13.685437,"(1.8, 2.12, 2.095555555555556)","(14.0, 30.0, 26.333333333333332)","(21.0, 190.0, 120.0)","(21.0, 60.0, 47.6)","(3.9, 5.7, 5.59)","(4.4, 6.2, 5.875)","(21.0, 230.0, 130.0)","(51.0, 260.0, 83.33333333333334)"
14-12-2022 14:40:15.015715,"(1.8, 2.1, 2.06)","(14.0, 30.0, 26.333333333333332)","(21.0, 190.0, 120.0)","(21.0, 60.0, 39.333333333333336)","(3.9, 5.7, 5.59)","(4.4, 6.2, 5.875)","(21.0, 230.0, 101.42857142857143)","(51.0, 260.0, 83.33333333333334)"
14-12-2022 14:40:16.288223,"(1.8, 2.1, 2.06)","(14.0, 30.0, 26.333333333333332)","(21.0, 190.0, 120.0)","(21.0, 60.0, 39.333333333333336)","(3.9, 5.7, 5.59)","(4.4, 6.2, 5.875)","(21.0, 230.0, 101.42857142857143)","(51.0, 260.0, 83.33333333333334)"
14-12-2022 14:40:17.585252,"(1.8, 2.1, 2.06)","(14.0, 30.0, 26.333333333333332)","(21.0, 190.0, 120.0)","(21.0, 60.0, 46.66666666666667)","(3.9, 5.7, 5.116666666666667)","(4.4, 6.2, 5.4)","(21.0, 230.0, 150.0)","(51.0, 260.0, 78.28571428571428)"
14-12-2022 14:40:18.799840,"(1.8, 2.1, 2.016875)","(14.0, 30.0, 26.333333333333332)","(21.0, 190.0, 120.0)","(21.0, 55.0, 46.66666666666667)","(3.9, 5.7, 5.046153846153846)","(4.4, 6.2, 5.4)","(21.0, 220.0, 150.0)","(51.0, 260.0, 78.28571428571428)"
14-12-2022 14:40:20.011016,"(1.8, 2.1, 2.016875)","(14.0, 30.0, 26.333333333333332)","(21.0, 190.0, 120.0)","(21.0, 55.0, 46.66666666666667)","(3.9, 5.6, 5.046153846153846)","(4.4, 6.2, 5.4)","(21.0, 220.0, 150.0)","(51.0, 260.0, 78.28571428571428)"
14-12-2022 14:40:21.285056,"(1.8, 2.1, 2.016875)","(14.0, 30.0, 26.333333333333332)","(21.0, 190.0, 120.0)","(21.0, 55.0, 46.66666666666667)","(3.9, 5.6, 5.188888888888889)","(4.4, 6.2, 5.55)","(21.0, 220.0, 150.0)","(51.0, 260.0, 78.28571428571428)"
14-12-2022 14:40:22.578635,"(1.8, 2.06, 1.962)","(14.0, 30.0, 26.333333333333332)","(21.0, 190.0, 120.0)","(21.0, 55.0, 46.66666666666667)","(3.9, 5.5, 5.188888888888889)","(4.4, 6.0, 5.55)","(21.0, 220.0, 150.0)","(51.0, 260.0, 78.28571428571428)"
14-12-2022 14:40:23.914096,"(1.8, 2.04, 1.9418181818181817)","(14.0, 30.0, 26.333333333333332)","(21.0, 190.0, 120.0)","(21.0, 55.0, 46.66666666666667)","(3.9, 5.5, 5.188888888888889)","(4.4, 6.0, 5.5)","(21.0, 220.0, 150.0)","(51.0, 260.0, 78.28571428571428)"
14-12-2022 14:40:25.207649,"(1.8, 2.04, 1.98)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 120.0)","(21.0, 55.0, 46.66666666666667)","(3.9, 5.5, 5.05)","(4.4, 5.9, 5.35)","(21.0, 220.0, 150.0)","(51.0, 260.0, 78.28571428571428)"
14-12-2022 14:40:26.454994,"(1.8, 2.02, 1.98)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 120.0)","(21.0, 55.0, 41.36363636363637)","(3.9, 5.7, 5.3375)","(4.4, 5.6, 5.34)","(21.0, 220.0, 150.0)","(51.0, 260.0, 78.28571428571428)"
14-12-2022 14:40:27.703588,"(1.8, 2.02, 1.9492857142857143)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 120.0)","(21.0, 55.0, 44.285714285714285)","(3.9, 5.6, 5.3375)","(4.4, 5.7, 5.433333333333333)","(21.0, 220.0, 150.0)","(51.0, 260.0, 115.33333333333333)"
14-12-2022 14:40:28.912163,"(1.8, 2.02, 1.9492857142857143)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 120.0)","(21.0, 50.0, 42.5)","(3.9, 5.6, 5.3375)","(4.4, 5.6, 5.3)","(21.0, 220.0, 150.0)","(51.0, 250.0, 115.33333333333333)"
14-12-2022 14:40:30.105931,"(1.8, 2.02, 1.9492857142857143)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 120.0)","(21.0, 50.0, 42.5)","(3.9, 5.6, 5.46)","(4.4, 5.6, 5.423529411764705)","(21.0, 220.0, 150.0)","(51.0, 250.0, 115.33333333333333)"
14-12-2022 14:40:31.270710,"(1.8, 2.02, 1.9492857142857143)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 120.0)","(21.0, 50.0, 43.0)","(3.9, 5.6, 5.3428571428571425)","(4.4, 5.6, 5.516666666666667)","(21.0, 220.0, 150.0)","(51.0, 250.0, 112.0)"
14-12-2022 14:40:32.418612,"(1.8, 2.02, 1.957142857142857)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 120.0)","(21.0, 50.0, 41.6)","(3.9, 5.6, 5.533333333333333)","(4.4, 5.6, 5.516666666666667)","(21.0, 220.0, 130.0)","(51.0, 240.0, 112.0)"
14-12-2022 14:40:33.626443,"(1.8, 2.02, 1.98)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 120.0)","(21.0, 50.0, 41.6)","(3.9, 5.6, 5.3)","(4.4, 5.6, 5.56875)","(21.0, 230.0, 130.0)","(51.0, 240.0, 112.0)"
14-12-2022 14:40:34.865601,"(1.8, 2.02, 1.9234146341463414)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 120.0)","(21.0, 50.0, 41.6)","(3.9, 5.6, 5.3)","(4.4, 5.6, 5.56875)","(21.0, 230.0, 130.0)","(51.0, 240.0, 112.0)"
14-12-2022 14:40:36.145127,"(1.8, 1.91, 1.9007142857142856)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 120.0)","(21.0, 50.0, 36.875)","(3.9, 5.7, 5.152631578947368)","(4.4, 5.6, 5.5)","(21.0, 230.0, 101.42857142857143)","(51.0, 220.0, 76.66666666666667)"
14-12-2022 14:40:37.349914,"(1.8, 1.95, 1.9233333333333333)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 120.0)","(21.0, 50.0, 36.875)","(3.9, 5.6, 5.152631578947368)","(4.4, 5.6, 5.45)","(21.0, 230.0, 126.66666666666666)","(51.0, 220.0, 76.66666666666667)"
14-12-2022 14:40:38.554464,"(1.8, 1.95, 1.9233333333333333)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 120.0)","(21.0, 50.0, 36.875)","(3.9, 5.6, 5.152631578947368)","(4.4, 5.7, 5.45)","(21.0, 220.0, 100.0)","(51.0, 220.0, 78.33333333333333)"
14-12-2022 14:40:39.727458,"(1.8, 1.95, 1.9233333333333333)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 143.33333333333331)","(21.0, 50.0, 36.875)","(3.9, 5.6, 5.152631578947368)","(4.4, 5.7, 5.45)","(21.0, 220.0, 100.0)","(51.0, 230.0, 81.66666666666666)"
14-12-2022 14:40:40.931169,"(1.8, 1.95, 1.9233333333333333)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 145.0)","(21.0, 50.0, 36.875)","(3.9, 5.6, 5.152631578947368)","(4.4, 5.7, 5.45)","(21.0, 220.0, 100.0)","(51.0, 250.0, 81.66666666666666)"
14-12-2022 14:40:42.111967,"(1.8, 1.95, 1.9233333333333333)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 164.0)","(21.0, 50.0, 36.875)","(3.9, 5.6, 5.152631578947368)","(4.4, 5.7, 5.45)","(21.0, 220.0, 100.0)","(51.0, 250.0, 100.0)"
14-12-2022 14:40:43.326337,"(1.8, 1.95, 1.9233333333333333)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 164.0)","(21.0, 50.0, 36.875)","(3.9, 5.6, 5.152631578947368)","(4.4, 5.7, 5.45)","(21.0, 220.0, 100.0)","(51.0, 360.0, 100.0)"
14-12-2022 14:40:44.481986,"(1.8, 1.95, 1.9233333333333333)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 164.0)","(21.0, 50.0, 36.875)","(3.9, 5.6, 5.152631578947368)","(4.4, 5.7, 5.45)","(21.0, 220.0, 100.0)","(51.0, 360.0, 100.0)"
14-12-2022 14:40:45.611218,"(1.8, 1.95, 1.9233333333333333)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 164.0)","(21.0, 50.0, 36.125)","(3.9, 5.6, 5.152631578947368)","(4.4, 5.7, 5.45)","(21.0, 220.0, 108.0)","(51.0, 360.0, 100.0)"
14-12-2022 14:40:46.688916,"(1.8, 1.95, 1.9233333333333333)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 164.0)","(21.0, 48.0, 34.18181818181818)","(3.9, 5.6, 5.433333333333333)","(4.4, 5.7, 5.45)","(21.0, 220.0, 108.0)","(51.0, 360.0, 100.0)"
14-12-2022 14:40:47.780837,"(1.8, 1.95, 1.9233333333333333)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 164.0)","(21.0, 48.0, 34.18181818181818)","(3.9, 5.6, 5.433333333333333)","(4.4, 5.7, 5.45)","(21.0, 220.0, 108.0)","(51.0, 360.0, 100.0)"
14-12-2022 14:40:48.869493,"(1.8, 1.95, 1.9233333333333333)","(14.0, 30.0, 26.571428571428573)","(21.0, 180.0, 140.0)","(21.0, 48.0, 34.18181818181818)","(3.9, 5.6, 5.433333333333333)","(4.4, 5.7, 5.45)","(21.0, 220.0, 108.0)","(51.0, 360.0, 100.0)"
14-12-2022 14:40:49.959009,"(1.8, 1.95, 1.9233333333333333)","(14.0, 30.0, 26.571428571428573)","(21.0, 180.0, 140.0)","(21.0, 48.0, 34.18181818181818)","(3.9, 5.6, 5.433333333333333)","(4.4, 5.7, 5.45)","(21.0, 220.0, 108.0)","(51.0, 360.0, 100.0)"
14-12-2022 14:40:51.014641,"(1.8, 1.94, 1.915)","(14.0, 30.0, 26.571428571428573)","(21.0, 180.0, 140.0)","(21.0, 48.0, 34.18181818181818)","(3.9, 5.6, 5.34)","(4.4, 5.7, 5.45)","(21.0, 220.0, 106.66666666666667)","(51.0, 360.0, 100.0)"
14-12-2022 14:40:52.100241,"(1.8, 1.94, 1.915)","(14.0, 30.0, 26.571428571428573)","(21.0, 180.0, 140.0)","(21.0, 48.0, 34.18181818181818)","(3.9, 5.5, 5.34)","(4.4, 5.7, 5.45)","(21.0, 240.0, 106.66666666666667)","(51.0, 360.0, 100.0)"
14-12-2022 14:40:53.206032,"(1.8, 1.94, 1.915)","(14.0, 30.0, 26.571428571428573)","(21.0, 180.0, 140.0)","(21.0, 48.0, 34.18181818181818)","(3.9, 5.5, 5.34)","(4.4, 5.7, 5.45)","(21.0, 240.0, 106.66666666666667)","(51.0, 360.0, 100.0)"
14-12-2022 14:40:54.295788,"(1.8, 1.94, 1.915)","(14.0, 30.0, 26.571428571428573)","(21.0, 180.0, 140.0)","(21.0, 48.0, 34.18181818181818)","(3.9, 5.5, 5.34)","(4.4, 5.7, 5.45)","(21.0, 240.0, 106.66666666666667)","(51.0, 360.0, 100.0)"
14-12-2022 14:40:55.385674,"(1.8, 1.94, 1.915)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 164.0)","(21.0, 48.0, 34.18181818181818)","(3.9, 5.5, 5.34)","(4.4, 5.7, 5.588888888888889)","(21.0, 240.0, 106.66666666666667)","(51.0, 360.0, 100.0)"
14-12-2022 14:40:56.521347,"(1.8, 1.94, 1.915)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 164.0)","(21.0, 48.0, 34.18181818181818)","(3.9, 5.5, 5.34)","(4.4, 5.7, 5.633333333333334)","(21.0, 240.0, 106.66666666666667)","(51.0, 360.0, 100.0)"
14-12-2022 14:40:57.613401,"(1.8, 1.95, 1.9233333333333333)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 164.0)","(21.0, 48.0, 34.18181818181818)","(3.9, 5.5, 5.34)","(4.4, 5.7, 5.633333333333334)","(21.0, 240.0, 112.0)","(51.0, 360.0, 100.0)"
14-12-2022 14:40:58.629492,"(1.8, 1.95, 1.9233333333333333)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 168.33333333333334)","(21.0, 48.0, 37.14285714285714)","(3.9, 5.5, 5.34)","(4.4, 5.7, 5.633333333333334)","(21.0, 230.0, 105.0)","(51.0, 360.0, 100.0)"
14-12-2022 14:40:59.661198,"(1.8, 1.95, 1.9233333333333333)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 168.33333333333334)","(21.0, 48.0, 37.14285714285714)","(3.9, 5.5, 5.34)","(4.4, 5.7, 5.633333333333334)","(21.0, 230.0, 108.0)","(51.0, 360.0, 100.0)"
14-12-2022 14:41:00.715882,"(1.8, 1.95, 1.941304347826087)","(14.0, 30.0, 26.571428571428573)","(21.0, 190.0, 168.33333333333334)","(21.0, 46.0, 40.33333333333333)","(3.9, 5.5, 5.34)","(4.4, 5.7, 5.633333333333334)","(21.0, 220.0, 123.33333333333334)","(51.0, 360.0, 100.0)"
