,Smiling Walnut,Chinotto Girl,Jingalong Lotte,Ginger Jess,Shaq Owes,Eris Lucy,Winter Skye,Shrimp Boat
10-01-2023 18:20:42.398132,"(3.4, 7.0, 5.3)","(3.1, 4.2, 4.050000000000001)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(19.0, 60.0, 29.81818181818182)"
10-01-2023 18:20:43.633499,"(3.4, 7.0, 5.3)","(3.1, 4.2, 4.050000000000001)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(19.0, 60.0, 29.81818181818182)"
10-01-2023 18:20:45.076674,"(3.4, 7.0, 5.3)","(3.1, 4.2, 4.050000000000001)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(19.0, 60.0, 29.81818181818182)"
10-01-2023 18:20:46.357987,"(3.4, 7.0, 5.3)","(3.1, 4.2, 4.050000000000001)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(19.0, 60.0, 29.81818181818182)"
10-01-2023 18:20:47.660646,"(3.4, 7.0, 5.3)","(3.1, 4.2, 4.050000000000001)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(19.0, 60.0, 29.81818181818182)"
10-01-2023 18:20:48.763444,"(3.4, 7.0, 5.3)","(3.1, 4.2, 4.050000000000001)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(19.0, 60.0, 29.81818181818182)"
10-01-2023 18:20:49.951296,"(3.4, 7.0, 5.3)","(3.1, 4.2, 4.050000000000001)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(19.0, 60.0, 29.81818181818182)"
10-01-2023 18:20:51.142684,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(19.0, 60.0, 28.0)"
10-01-2023 18:20:52.315572,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(19.0, 60.0, 28.0)"
10-01-2023 18:20:53.500884,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(19.0, 60.0, 28.0)"
10-01-2023 18:20:54.589959,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(19.0, 60.0, 28.0)"
10-01-2023 18:20:55.739175,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(19.0, 60.0, 28.0)"
10-01-2023 18:20:56.870754,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(19.0, 60.0, 28.0)"
10-01-2023 18:20:58.007625,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(19.0, 60.0, 28.0)"
10-01-2023 18:20:59.162956,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(19.0, 60.0, 28.0)"
10-01-2023 18:21:00.419111,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(17.0, 60.0, 28.0)"
10-01-2023 18:21:01.523619,"(3.4, 7.0, 5.3)","(3.1, 4.2, 3.6500000000000004)","(4.6, 7.4, 6.328571428571429)","(21.0, 95.0, 41.90909090909091)","(16.0, 42.0, 25.076923076923077)","(31.0, 180.0, 74.11764705882354)","(3.5, 5.9, 3.508695652173913)","(17.0, 60.0, 28.0)"
