,Invincible Bay,Always Hapi,Sebastian The Fox,Sachem,Savvy Sovereign,Le Messager,Mr Invincible,Stelvio,Top Arctic,Mortar,Demando,Oamanikka,Friday At Five,Zazster
04-01-2023 15:42:53.465574,"(10.0, 13.0, 12.565934065934066)","(41.0, 60.0, 58.958333333333336)","(11.0, 14.5, 14.0)","(3.8, 4.2, 4.158292682926829)","(3.3, 3.65, 3.619565217391304)","(15.0, 17.0, 16.94871794871795)","(17.0, 23.0, 21.415584415584416)","(26.0, 34.0, 33.416666666666664)","(51.0, 90.0, 81.53846153846153)","(71.0, 120.0, 107.5)","(7.0, 7.6, 7.448630136986302)","(51.0, 75.0, 67.3529411764706)","(51.0, 65.0, 61.170212765957444)","(101.0, 650.0, 600.6666666666666)"
04-01-2023 15:42:55.237875,"(10.0, 13.0, 12.607476635514018)","(41.0, 60.0, 56.515151515151516)","(11.0, 14.0, 13.580246913580247)","(3.8, 4.2, 4.175286624203822)","(3.3, 3.65, 3.595276162790698)","(15.0, 17.0, 16.962264150943398)","(17.0, 23.0, 22.039473684210527)","(26.0, 34.0, 31.346153846153847)","(51.0, 85.0, 77.85714285714286)","(71.0, 110.0, 105.45454545454545)","(7.0, 7.6, 7.464831804281346)","(51.0, 75.0, 67.45283018867924)","(51.0, 65.0, 61.170212765957444)","(101.0, 630.0, 417.5)"
04-01-2023 15:42:56.928061,"(10.0, 13.0, 12.61111111111111)","(41.0, 60.0, 56.515151515151516)","(11.0, 14.0, 13.591591591591591)","(3.8, 4.2, 4.228496868475991)","(3.3, 3.6, 3.6256972111553787)","(15.0, 17.0, 16.94871794871795)","(17.0, 23.0, 21.27777777777778)","(26.0, 32.0, 31.29032258064516)","(51.0, 80.0, 78.75)","(71.0, 110.0, 105.45454545454545)","(7.0, 7.6, 7.461875)","(51.0, 75.0, 70.73170731707317)","(51.0, 65.0, 61.27906976744186)","(101.0, 420.0, 417.5)"
04-01-2023 15:42:58.578246,"(10.0, 13.0, 12.64935064935065)","(41.0, 60.0, 56.111111111111114)","(11.0, 14.0, 13.591591591591591)","(3.8, 4.3, 4.228496868475991)","(3.3, 3.65, 3.6256972111553787)","(15.0, 17.0, 16.94871794871795)","(17.0, 22.0, 21.65)","(26.0, 32.0, 31.34328358208955)","(51.0, 80.0, 78.75)","(71.0, 110.0, 105.45454545454545)","(7.0, 7.6, 7.415325670498085)","(51.0, 75.0, 70.78947368421052)","(51.0, 65.0, 61.27906976744186)","(101.0, 420.0, 418.0)"
04-01-2023 15:43:00.491138,"(10.0, 13.0, 12.794117647058824)","(41.0, 60.0, 56.42857142857143)","(11.0, 13.5, 13.411016949152543)","(3.8, 4.3, 4.233370786516854)","(3.3, 3.65, 3.5707100591715975)","(15.0, 17.0, 16.967391304347824)","(17.0, 22.0, 21.695652173913043)","(26.0, 32.0, 33.421052631578945)","(51.0, 80.0, 78.8)","(71.0, 110.0, 113.33333333333333)","(7.0, 7.6, 7.387368421052632)","(51.0, 75.0, 70.67567567567568)","(51.0, 65.0, 60.8974358974359)","(101.0, 420.0, 414.0)"
04-01-2023 15:43:02.337833,"(10.0, 13.0, 12.833333333333334)","(41.0, 60.0, 56.951219512195124)","(11.0, 13.5, 13.466666666666667)","(3.8, 4.3, 4.223250564334086)","(3.3, 3.6, 3.5737430167597766)","(15.0, 17.0, 16.794964028776977)","(18.0, 22.0, 21.804347826086957)","(26.0, 34.0, 35.18181818181818)","(51.0, 80.0, 79.16666666666667)","(71.0, 120.0, 111.0)","(7.0, 7.4, 7.419650655021834)","(61.0, 75.0, 71.27906976744185)","(51.0, 65.0, 61.44444444444444)","(101.0, 420.0, 415.0)"
04-01-2023 15:43:04.304329,"(10.0, 13.0, 12.833333333333334)","(41.0, 60.0, 56.951219512195124)","(11.0, 13.5, 13.483870967741936)","(3.8, 4.3, 4.223705408515535)","(3.3, 3.6, 3.5720475785896344)","(15.0, 17.5, 17.13157894736842)","(18.0, 23.0, 21.877551020408163)","(26.0, 36.0, 34.73684210526316)","(51.0, 80.0, 81.61764705882354)","(71.0, 120.0, 111.0)","(7.0, 7.6, 7.3495495495495495)","(61.0, 75.0, 71.0)","(51.0, 65.0, 61.44444444444444)","(101.0, 420.0, 412.0)"
04-01-2023 15:43:06.257923,"(10.0, 13.0, 12.914772727272727)","(41.0, 60.0, 56.71052631578947)","(11.0, 13.5, 13.575301204819278)","(3.8, 4.3, 4.212081513828239)","(3.3, 3.6, 3.5671511627906978)","(15.0, 17.5, 16.90909090909091)","(18.0, 23.0, 22.107692307692307)","(26.0, 36.0, 34.370370370370374)","(51.0, 85.0, 83.0952380952381)","(71.0, 120.0, 111.0)","(7.0, 7.6, 7.34841628959276)","(61.0, 75.0, 70.28571428571429)","(51.0, 65.0, 61.19047619047619)","(101.0, 420.0, 396.0)"
04-01-2023 15:43:08.014488,"(10.0, 13.0, 12.914772727272727)","(41.0, 60.0, 56.47727272727273)","(11.0, 14.0, 13.576923076923077)","(3.8, 4.3, 4.209131736526946)","(3.2, 3.6, 3.5721495327102804)","(15.0, 17.0, 17.183333333333334)","(18.0, 23.0, 21.8125)","(26.0, 36.0, 34.370370370370374)","(51.0, 85.0, 79.72222222222223)","(71.0, 120.0, 111.0)","(7.0, 7.6, 7.357819225251076)","(61.0, 75.0, 66.54761904761905)","(51.0, 65.0, 61.42857142857143)","(101.0, 420.0, 343.0769230769231)"
04-01-2023 15:43:09.788296,"(10.0, 13.0, 12.748663101604278)","(41.0, 60.0, 53.93939393939394)","(11.0, 14.0, 13.626373626373626)","(3.8, 4.3, 4.187825182101977)","(3.2, 3.6, 3.5619318181818183)","(15.0, 17.5, 17.385135135135137)","(18.0, 23.0, 22.363636363636363)","(26.0, 36.0, 31.70212765957447)","(51.0, 80.0, 83.57142857142857)","(71.0, 120.0, 117.6923076923077)","(7.0, 7.6, 7.435394456289979)","(61.0, 70.0, 66.89655172413794)","(51.0, 65.0, 62.11538461538461)","(101.0, 380.0, 346.6666666666667)"
04-01-2023 15:43:11.498916,"(10.0, 13.0, 12.78139534883721)","(41.0, 55.0, 56.36363636363636)","(11.0, 14.0, 13.662790697674419)","(3.8, 4.2, 4.167405475880052)","(3.2, 3.6, 3.6193654266958424)","(15.0, 17.5, 17.820987654320987)","(18.0, 23.0, 22.45263157894737)","(31.0, 34.0, 32.54054054054054)","(61.0, 90.0, 83.75)","(71.0, 120.0, 113.0)","(7.0, 7.6, 7.4673539518900345)","(61.0, 70.0, 67.16666666666667)","(51.0, 65.0, 62.672413793103445)","(101.0, 370.0, 340.8333333333333)"
04-01-2023 15:43:13.203201,"(10.0, 13.0, 12.789237668161435)","(41.0, 60.0, 57.5)","(11.0, 14.0, 14.105113636363637)","(3.8, 4.2, 4.139210850801479)","(3.2, 3.65, 3.6287744227353462)","(15.0, 18.5, 17.857142857142858)","(18.0, 23.0, 22.49019607843137)","(31.0, 34.0, 31.771428571428572)","(61.0, 90.0, 84.73684210526315)","(71.0, 120.0, 108.46153846153847)","(7.0, 7.6, 7.479099678456592)","(61.0, 70.0, 67.3015873015873)","(51.0, 65.0, 62.63157894736842)","(101.0, 370.0, 325.0)"
04-01-2023 15:43:15.018209,"(10.0, 13.0, 12.814516129032258)","(41.0, 60.0, 57.38636363636363)","(11.0, 14.5, 14.180365296803654)","(3.8, 4.2, 4.192014519056261)","(3.2, 3.65, 3.545608108108108)","(15.0, 18.0, 18.466666666666665)","(18.0, 23.0, 22.559322033898304)","(31.0, 32.0, 33.4468085106383)","(61.0, 90.0, 87.66666666666667)","(71.0, 110.0, 109.16666666666667)","(6.5, 7.6, 7.484370257966616)","(51.0, 70.0, 67.5)","(51.0, 65.0, 62.82258064516129)","(101.0, 370.0, 330.0)"
04-01-2023 15:43:16.867603,"(10.0, 13.0, 12.814516129032258)","(41.0, 60.0, 57.38636363636363)","(11.0, 14.5, 14.180365296803654)","(3.8, 4.2, 4.1759103641456585)","(3.2, 3.55, 3.575399361022364)","(15.0, 18.5, 18.4375)","(18.0, 23.0, 22.532258064516128)","(31.0, 34.0, 33.54545454545455)","(61.0, 90.0, 87.66666666666667)","(71.0, 110.0, 109.16666666666667)","(7.0, 7.6, 7.475076923076923)","(51.0, 70.0, 67.6470588235294)","(51.0, 65.0, 62.95454545454545)","(101.0, 370.0, 440.0)"
04-01-2023 15:43:19.022963,"(10.0, 13.0, 12.778745644599303)","(41.0, 60.0, 57.38636363636363)","(11.0, 14.5, 13.971153846153847)","(3.7, 4.2, 4.161853832442068)","(3.3, 3.6, 3.601783166904422)","(15.0, 18.5, 18.38659793814433)","(18.0, 23.0, 22.414141414141415)","(26.0, 34.0, 33.58139534883721)","(61.0, 90.0, 88.05555555555556)","(81.0, 110.0, 109.16666666666667)","(7.0, 7.6, 7.475658914728682)","(51.0, 70.0, 67.6470588235294)","(51.0, 65.0, 62.890625)","(101.0, 660.0, 402.85714285714283)"
04-01-2023 15:43:20.712394,"(10.0, 13.0, 12.811572700296736)","(41.0, 60.0, 57.98245614035088)","(11.0, 14.0, 13.991803278688524)","(3.8, 4.2, 4.163495838287752)","(3.2, 3.65, 3.636146496815287)","(15.0, 18.5, 16.610576923076923)","(18.0, 23.0, 21.140350877192983)","(31.0, 34.0, 34.8235294117647)","(61.0, 90.0, 88.33333333333333)","(71.0, 110.0, 112.66666666666667)","(7.0, 7.6, 7.493888888888889)","(51.0, 70.0, 68.22222222222223)","(51.0, 65.0, 63.970588235294116)","(101.0, 650.0, 396.25)"
04-01-2023 15:43:22.383000,"(10.0, 13.0, 12.833333333333334)","(41.0, 60.0, 57.704918032786885)","(11.0, 14.5, 14.00625)","(3.8, 4.2, 4.1637992831541215)","(3.2, 3.65, 3.6317905918057662)","(15.0, 17.0, 16.610576923076923)","(18.0, 22.0, 20.96875)","(31.0, 36.0, 34.883720930232556)","(61.0, 90.0, 88.4090909090909)","(71.0, 120.0, 106.66666666666667)","(7.0, 7.6, 7.488311688311688)","(51.0, 70.0, 68.22222222222223)","(51.0, 65.0, 63.6986301369863)","(101.0, 650.0, 396.25)"
04-01-2023 15:43:24.050842,"(10.0, 13.0, 12.814084507042253)","(41.0, 60.0, 57.8125)","(11.0, 14.5, 14.1875)","(3.7, 4.2, 4.166527196652719)","(3.3, 3.65, 3.664689781021898)","(15.0, 17.0, 16.962264150943398)","(18.0, 21.0, 20.931372549019606)","(31.0, 36.0, 34.96)","(61.0, 90.0, 88.47826086956522)","(71.0, 110.0, 105.83333333333333)","(7.0, 7.6, 7.3307282415630555)","(51.0, 70.0, 68.43137254901961)","(51.0, 65.0, 63.79746835443038)","(101.0, 650.0, 393.3333333333333)"
04-01-2023 15:43:25.751745,"(10.0, 13.0, 12.434146341463414)","(41.0, 60.0, 58.392857142857146)","(11.0, 14.5, 14.190909090909091)","(3.7, 4.2, 4.158227848101266)","(3.3, 3.7, 3.649726443768997)","(15.0, 17.0, 16.972602739726028)","(18.0, 21.0, 20.819148936170212)","(31.0, 36.0, 34.4)","(61.0, 90.0, 92.08333333333333)","(71.0, 120.0, 123.33333333333333)","(7.0, 7.4, 7.33967684021544)","(51.0, 70.0, 68.125)","(51.0, 65.0, 63.826530612244895)","(101.0, 650.0, 396.25)"
04-01-2023 15:43:27.434514,"(10.0, 12.5, 11.782868525896415)","(41.0, 65.0, 61.2)","(11.0, 14.5, 14.756756756756756)","(3.7, 4.2, 4.162347188264059)","(3.3, 3.65, 3.5904092071611253)","(15.0, 17.0, 17.20408163265306)","(18.0, 21.0, 21.571428571428573)","(31.0, 36.0, 34.82608695652174)","(61.0, 95.0, 93.46153846153847)","(71.0, 130.0, 117.22222222222223)","(7.0, 7.4, 7.456905158069883)","(51.0, 70.0, 68.43137254901961)","(51.0, 65.0, 64.05555555555556)","(101.0, 650.0, 547.6470588235294)"
04-01-2023 15:43:29.034291,"(10.0, 12.0, 11.782868525896415)","(41.0, 65.0, 61.23762376237624)","(11.0, 15.0, 15.150627615062762)","(3.7, 4.2, 4.098582474226804)","(3.3, 3.6, 3.616690856313498)","(15.0, 17.5, 17.246575342465754)","(18.0, 22.0, 21.565217391304348)","(31.0, 36.0, 35.12903225806451)","(61.0, 95.0, 95.25)","(71.0, 120.0, 128.66666666666666)","(7.0, 7.6, 7.484836852207294)","(51.0, 70.0, 68.82978723404256)","(51.0, 65.0, 64.3103448275862)","(101.0, 650.0, 427.14285714285717)"
04-01-2023 15:43:30.584698,"(10.0, 12.0, 11.796979865771812)","(41.0, 65.0, 61.23762376237624)","(11.0, 15.5, 14.86231884057971)","(3.7, 4.1, 4.099544072948328)","(3.3, 3.65, 3.6542701863354035)","(15.0, 17.5, 17.253521126760564)","(18.0, 22.0, 21.565217391304348)","(31.0, 36.0, 35.0)","(61.0, 100.0, 95.18518518518519)","(71.0, 130.0, 124.0)","(7.0, 7.6, 7.495551257253385)","(51.0, 70.0, 68.30645161290323)","(51.0, 65.0, 64.3103448275862)","(101.0, 650.0, 580.9090909090909)"
04-01-2023 15:43:32.066593,"(10.0, 12.0, 11.796979865771812)","(41.0, 65.0, 61.23762376237624)","(11.0, 15.0, 14.934426229508198)","(3.7, 4.1, 4.095563909774436)","(3.3, 3.7, 3.6509166666666664)","(15.0, 17.5, 17.541666666666668)","(18.0, 22.0, 21.184466019417474)","(31.0, 36.0, 35.0)","(61.0, 100.0, 95.57692307692308)","(71.0, 130.0, 124.0)","(7.0, 7.6, 7.486666666666666)","(51.0, 70.0, 67.92857142857143)","(51.0, 65.0, 64.32584269662921)","(101.0, 600.0, 580.9090909090909)"
04-01-2023 15:43:33.638566,"(10.0, 12.0, 11.710526315789474)","(41.0, 65.0, 61.23762376237624)","(11.0, 15.0, 14.961805555555555)","(3.7, 4.1, 4.084013377926421)","(3.2, 3.7, 3.6608506944444446)","(15.0, 18.0, 17.39189189189189)","(18.0, 22.0, 21.294117647058822)","(31.0, 36.0, 35.166666666666664)","(61.0, 100.0, 87.3529411764706)","(81.0, 130.0, 126.66666666666667)","(7.0, 7.6, 7.48881239242685)","(51.0, 70.0, 67.98611111111111)","(51.0, 65.0, 64.33333333333333)","(101.0, 600.0, 580.9090909090909)"
04-01-2023 15:43:35.242021,"(10.0, 12.0, 11.711627906976744)","(41.0, 65.0, 61.57657657657658)","(11.0, 15.0, 14.998168498168498)","(3.7, 4.1, 4.08254295532646)","(3.2, 3.7, 3.663658146964856)","(15.0, 17.5, 17.35185185185185)","(18.0, 22.0, 21.353846153846153)","(31.0, 36.0, 35.186440677966104)","(61.0, 95.0, 87.91666666666667)","(81.0, 130.0, 126.66666666666667)","(7.0, 7.6, 7.493851132686085)","(51.0, 70.0, 68.16176470588235)","(51.0, 65.0, 64.47368421052632)","(101.0, 600.0, 582.5)"
04-01-2023 15:43:36.811743,"(10.0, 12.0, 11.70754716981132)","(41.0, 65.0, 61.63716814159292)","(11.0, 15.0, 14.344086021505376)","(3.7, 4.1, 4.083122923588039)","(3.3, 3.7, 3.663658146964856)","(15.0, 17.5, 17.362068965517242)","(18.0, 22.0, 21.275862068965516)","(31.0, 36.0, 35.186440677966104)","(61.0, 95.0, 87.41379310344827)","(81.0, 130.0, 121.11111111111111)","(7.0, 7.6, 7.493851132686085)","(51.0, 70.0, 68.16176470588235)","(51.0, 65.0, 64.47368421052632)","(101.0, 600.0, 582.5)"
04-01-2023 15:43:38.338222,"(10.0, 12.0, 11.70754716981132)","(41.0, 65.0, 61.63716814159292)","(11.0, 15.0, 14.318181818181818)","(3.7, 4.1, 4.083581124757595)","(3.3, 3.7, 3.6789833080424885)","(15.0, 17.5, 17.46590909090909)","(18.0, 22.0, 21.328)","(31.0, 36.0, 35.48314606741573)","(61.0, 95.0, 87.66666666666667)","(81.0, 130.0, 123.33333333333333)","(7.0, 7.6, 7.491154422788606)","(51.0, 70.0, 68.18840579710145)","(51.0, 65.0, 64.48717948717949)","(101.0, 600.0, 582.5)"
04-01-2023 15:43:39.899669,"(10.0, 12.0, 11.724226804123711)","(41.0, 65.0, 61.62162162162162)","(12.0, 14.5, 14.49090909090909)","(3.8, 4.1, 4.062701121404193)","(3.3, 3.7, 3.6741730279898217)","(15.0, 17.5, 17.267605633802816)","(18.0, 22.0, 21.237623762376238)","(31.0, 36.0, 35.48888888888889)","(61.0, 95.0, 87.66666666666667)","(81.0, 130.0, 124.66666666666667)","(6.5, 7.6, 7.490184049079755)","(61.0, 70.0, 68.18840579710145)","(51.0, 65.0, 64.48717948717949)","(101.0, 600.0, 500.0)"
04-01-2023 15:43:41.428727,"(10.0, 12.0, 11.733830845771145)","(41.0, 65.0, 61.25)","(12.0, 14.5, 13.886877828054299)","(3.8, 4.1, 4.063119533527696)","(3.3, 3.7, 3.6787322274881515)","(15.0, 17.5, 17.282894736842106)","(18.0, 22.0, 21.175257731958762)","(31.0, 36.0, 35.5)","(61.0, 95.0, 87.90322580645162)","(81.0, 130.0, 124.66666666666667)","(6.5, 7.6, 7.624274406332454)","(61.0, 70.0, 68.2394366197183)","(51.0, 65.0, 64.49367088607595)","(101.0, 600.0, 500.0)"
04-01-2023 15:43:42.969939,"(10.0, 12.0, 11.947619047619048)","(41.0, 65.0, 61.45669291338583)","(12.0, 14.0, 14.044943820224718)","(3.8, 4.1, 4.068924889543446)","(3.3, 3.7, 3.6789725209080046)","(15.0, 17.5, 17.270833333333332)","(18.0, 22.0, 21.180851063829788)","(31.0, 36.0, 35.58620689655172)","(61.0, 95.0, 88.21428571428571)","(81.0, 130.0, 124.66666666666667)","(6.5, 7.8, 7.649230769230769)","(61.0, 70.0, 68.2394366197183)","(51.0, 65.0, 64.49367088607595)","(101.0, 600.0, 500.0)"
04-01-2023 15:43:44.588090,"(10.0, 12.0, 11.810650887573965)","(41.0, 65.0, 61.484375)","(12.0, 14.5, 14.205882352941176)","(3.8, 4.1, 4.072357086922474)","(3.3, 3.7, 3.6813810110974106)","(15.0, 17.5, 17.285714285714285)","(18.0, 22.0, 21.214285714285715)","(31.0, 36.0, 35.59090909090909)","(61.0, 95.0, 88.44827586206897)","(81.0, 130.0, 124.11764705882354)","(6.5, 7.8, 7.636211699164345)","(61.0, 70.0, 68.2394366197183)","(51.0, 65.0, 64.23076923076923)","(101.0, 600.0, 500.0)"
04-01-2023 15:43:46.111315,"(10.0, 12.0, 11.790055248618785)","(41.0, 65.0, 61.484375)","(12.0, 14.5, 14.188271604938272)","(3.8, 4.1, 4.064324746291959)","(3.3, 3.7, 3.6812117503059976)","(15.0, 17.5, 17.385964912280702)","(18.0, 22.0, 21.19191919191919)","(31.0, 36.0, 35.59090909090909)","(61.0, 95.0, 88.44827586206897)","(81.0, 130.0, 124.11764705882354)","(6.5, 7.8, 7.609745762711864)","(61.0, 70.0, 68.26388888888889)","(51.0, 65.0, 64.25)","(101.0, 600.0, 500.0)"
04-01-2023 15:43:47.711801,"(10.0, 12.0, 11.790055248618785)","(41.0, 65.0, 61.484375)","(12.0, 14.5, 14.310714285714285)","(3.8, 4.1, 4.070367207514944)","(3.3, 3.7, 3.6804375)","(15.0, 17.5, 17.49411764705882)","(18.0, 22.0, 21.19191919191919)","(31.0, 36.0, 35.6)","(61.0, 95.0, 88.44827586206897)","(81.0, 130.0, 125.45454545454545)","(6.5, 7.8, 7.610141987829614)","(61.0, 70.0, 68.26388888888889)","(51.0, 65.0, 64.25)","(101.0, 600.0, 500.0)"
04-01-2023 15:43:49.294524,"(10.0, 12.0, 11.779017857142858)","(41.0, 65.0, 61.53846153846154)","(12.0, 14.5, 14.613636363636363)","(3.8, 4.1, 4.0547038327526135)","(3.3, 3.7, 3.682024539877301)","(15.0, 17.5, 17.75)","(18.0, 22.0, 21.266666666666666)","(31.0, 36.0, 35.666666666666664)","(61.0, 95.0, 89.0625)","(81.0, 130.0, 126.36363636363636)","(6.5, 7.8, 7.566763005780347)","(61.0, 70.0, 68.35616438356165)","(51.0, 65.0, 64.375)","(101.0, 600.0, 500.0)"
04-01-2023 15:43:50.801962,"(10.0, 12.0, 11.822222222222223)","(51.0, 65.0, 61.4)","(12.0, 15.0, 15.013274336283185)","(3.8, 4.1, 4.050800336983993)","(3.3, 3.7, 3.6816185696361354)","(15.0, 18.0, 17.895833333333332)","(18.0, 22.0, 21.266666666666666)","(31.0, 36.0, 35.666666666666664)","(61.0, 95.0, 87.5)","(81.0, 130.0, 116.20689655172414)","(6.5, 7.6, 7.603677510608204)","(61.0, 70.0, 68.14102564102564)","(51.0, 65.0, 64.375)","(101.0, 600.0, 500.0)"
04-01-2023 15:43:52.334841,"(10.0, 12.0, 11.822222222222223)","(51.0, 65.0, 61.4)","(12.0, 15.5, 15.013274336283185)","(3.8, 4.1, 4.047903657448706)","(3.3, 3.7, 3.6813299232736574)","(15.0, 18.0, 17.98)","(18.0, 22.0, 21.26923076923077)","(31.0, 36.0, 35.666666666666664)","(61.0, 90.0, 87.5)","(81.0, 120.0, 116.20689655172414)","(6.5, 7.8, 7.5602771362586605)","(61.0, 70.0, 68.65671641791045)","(51.0, 65.0, 64.375)","(101.0, 600.0, 500.0)"
04-01-2023 15:43:53.992305,"(10.0, 12.0, 11.644171779141104)","(51.0, 65.0, 61.4)","(12.0, 15.5, 15.013274336283185)","(3.8, 4.1, 4.053660436137071)","(3.3, 3.7, 3.680625)","(15.0, 18.5, 17.91509433962264)","(18.0, 22.0, 21.28)","(31.0, 36.0, 35.625)","(61.0, 90.0, 87.5)","(81.0, 120.0, 116.20689655172414)","(6.5, 7.6, 7.527924528301886)","(61.0, 70.0, 68.67647058823529)","(51.0, 65.0, 64.375)","(101.0, 600.0, 500.0)"
