,Cyber Crime,Minor Ash,Curly Fries,Hosey Sidekick,Hang A Boot,Call Me Kiah,Mepunga Reject,Jagger Bale
07-12-2022 19:02:57.436177,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 5.754651162790697)","(17.0, 50.0, 25.272727272727273)","(21.0, 80.0, 42.5)"
07-12-2022 19:02:58.615113,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 5.754651162790697)","(17.0, 50.0, 25.272727272727273)","(21.0, 80.0, 42.5)"
07-12-2022 19:02:59.841250,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 5.754651162790697)","(17.0, 50.0, 25.272727272727273)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:01.121953,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 5.754651162790697)","(17.0, 50.0, 25.272727272727273)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:02.319885,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 5.754651162790697)","(17.0, 50.0, 25.272727272727273)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:03.524043,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 5.754651162790697)","(17.0, 50.0, 25.272727272727273)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:04.826057,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 5.754651162790697)","(17.0, 50.0, 25.272727272727273)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:06.108216,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 5.754651162790697)","(17.0, 50.0, 25.272727272727273)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:07.354404,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 5.754651162790697)","(17.0, 50.0, 25.272727272727273)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:08.565719,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 5.754651162790697)","(17.0, 50.0, 25.272727272727273)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:09.828243,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.448)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 5.754651162790697)","(17.0, 50.0, 25.272727272727273)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:11.160474,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.1969230769230768)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 5.754651162790697)","(17.0, 50.0, 25.272727272727273)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:12.450765,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 4.365)","(17.0, 50.0, 28.0)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:13.795685,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 4.365)","(17.0, 48.0, 28.0)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:15.028141,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 4.365)","(17.0, 48.0, 28.0)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:16.409379,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 4.365)","(17.0, 48.0, 28.0)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:17.745189,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 4.365)","(17.0, 48.0, 28.0)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:18.908289,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 4.365)","(17.0, 48.0, 28.0)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:20.093749,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 4.365)","(17.0, 48.0, 28.0)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:21.410089,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 4.365)","(17.0, 48.0, 28.0)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:22.705949,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 4.365)","(17.0, 48.0, 28.0)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:23.893261,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 4.365)","(17.0, 48.0, 28.0)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:25.746531,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 4.365)","(17.0, 48.0, 28.0)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:27.171362,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 4.365)","(17.0, 48.0, 28.0)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:28.520139,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 4.365)","(17.0, 48.0, 28.0)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:29.762775,"(13.0, 36.0, 22.944444444444443)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 13.84)","(4.0, 7.0, 4.365)","(17.0, 48.0, 28.0)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:31.102476,"(13.0, 36.0, 21.3125)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.333333333333334)","(4.0, 7.0, 4.365)","(17.0, 48.0, 28.0)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:32.428082,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.333333333333334)","(4.0, 7.0, 4.365)","(17.0, 48.0, 28.0)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:33.735389,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.333333333333334)","(4.0, 7.0, 4.365)","(17.0, 48.0, 28.0)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:35.000074,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.333333333333334)","(4.0, 7.0, 4.365)","(17.0, 48.0, 28.0)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:36.273819,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.2)","(4.0, 7.0, 4.365)","(17.0, 48.0, 28.0)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:37.460459,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.2)","(4.0, 7.0, 4.365)","(17.0, 48.0, 28.0)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:38.607140,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 22.909090909090907)","(8.0, 18.0, 11.2)","(4.0, 7.0, 4.365)","(17.0, 48.0, 28.0)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:39.974996,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 24.666666666666664)","(8.0, 18.0, 11.2)","(4.0, 7.0, 4.365)","(17.0, 48.0, 30.22222222222222)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:41.101173,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 24.666666666666664)","(8.0, 18.0, 11.2)","(4.0, 7.0, 4.365)","(17.0, 48.0, 30.22222222222222)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:42.315146,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 24.666666666666664)","(8.0, 18.0, 11.2)","(4.0, 7.0, 4.365)","(17.0, 48.0, 30.22222222222222)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:43.707989,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 24.666666666666664)","(8.0, 18.0, 11.2)","(4.0, 7.0, 4.365)","(17.0, 48.0, 30.22222222222222)","(21.0, 80.0, 42.5)"
07-12-2022 19:03:44.912824,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 12.899999999999999)","(4.0, 7.0, 4.365)","(17.0, 48.0, 38.97222222222222)","(21.0, 80.0, 49.75)"
07-12-2022 19:03:46.131606,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 12.899999999999999)","(4.0, 7.0, 4.365)","(17.0, 48.0, 38.97222222222222)","(21.0, 80.0, 49.75)"
07-12-2022 19:03:47.564343,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 12.899999999999999)","(4.0, 7.0, 4.365)","(17.0, 48.0, 38.97222222222222)","(21.0, 80.0, 49.75)"
07-12-2022 19:03:48.793097,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 12.899999999999999)","(4.0, 7.0, 4.365)","(17.0, 48.0, 38.97222222222222)","(21.0, 80.0, 49.75)"
07-12-2022 19:03:49.992044,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 12.899999999999999)","(4.0, 7.0, 4.365)","(17.0, 48.0, 38.97222222222222)","(21.0, 80.0, 49.75)"
07-12-2022 19:03:51.413999,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 12.899999999999999)","(4.0, 7.0, 4.365)","(17.0, 48.0, 38.97222222222222)","(21.0, 80.0, 49.75)"
07-12-2022 19:03:52.846707,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 12.899999999999999)","(4.0, 7.0, 4.365)","(17.0, 48.0, 44.02777777777778)","(21.0, 80.0, 49.75)"
07-12-2022 19:03:54.260705,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 12.899999999999999)","(4.0, 7.0, 4.365)","(17.0, 55.0, 44.02777777777778)","(21.0, 80.0, 49.75)"
07-12-2022 19:03:55.641993,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 12.899999999999999)","(4.0, 7.0, 5.353125)","(17.0, 55.0, 44.02777777777778)","(21.0, 80.0, 49.75)"
07-12-2022 19:03:56.896443,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 12.899999999999999)","(4.0, 7.0, 5.353125)","(17.0, 55.0, 44.02777777777778)","(21.0, 80.0, 49.75)"
07-12-2022 19:03:58.095539,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 12.899999999999999)","(4.0, 7.0, 5.353125)","(17.0, 55.0, 44.02777777777778)","(21.0, 80.0, 49.75)"
07-12-2022 19:03:59.422192,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 12.899999999999999)","(4.0, 7.0, 5.353125)","(17.0, 55.0, 44.02777777777778)","(21.0, 80.0, 49.75)"
07-12-2022 19:04:00.846393,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 12.0)","(4.0, 7.0, 5.353125)","(17.0, 55.0, 44.02777777777778)","(21.0, 80.0, 49.75)"
07-12-2022 19:04:02.240888,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 12.0)","(4.0, 7.0, 5.353125)","(17.0, 55.0, 44.02777777777778)","(21.0, 80.0, 49.75)"
07-12-2022 19:04:03.527908,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 12.0)","(4.0, 7.0, 5.353125)","(17.0, 55.0, 44.02777777777778)","(21.0, 80.0, 49.75)"
07-12-2022 19:04:04.747512,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 12.0)","(4.0, 7.0, 5.353125)","(17.0, 55.0, 44.02777777777778)","(21.0, 80.0, 49.75)"
07-12-2022 19:04:05.968506,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 12.0)","(4.0, 7.0, 5.353125)","(17.0, 55.0, 44.02777777777778)","(21.0, 80.0, 49.75)"
07-12-2022 19:04:07.147910,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 12.0)","(4.0, 7.0, 5.353125)","(17.0, 55.0, 44.02777777777778)","(21.0, 80.0, 49.75)"
07-12-2022 19:04:08.383845,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 31.708333333333336)","(8.0, 18.0, 12.0)","(4.0, 7.0, 5.353125)","(17.0, 55.0, 44.02777777777778)","(21.0, 80.0, 49.75)"
07-12-2022 19:04:09.504464,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 31.708333333333336)","(8.0, 18.0, 12.0)","(4.0, 7.0, 5.353125)","(17.0, 55.0, 44.02777777777778)","(21.0, 80.0, 49.75)"
07-12-2022 19:04:10.761838,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 12.0)","(4.0, 7.0, 5.353125)","(17.0, 55.0, 43.38235294117647)","(21.0, 80.0, 49.75)"
07-12-2022 19:04:12.005269,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 12.0)","(4.0, 7.0, 5.353125)","(17.0, 55.0, 44.02777777777778)","(21.0, 80.0, 49.75)"
07-12-2022 19:04:13.027537,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 12.0)","(4.0, 7.0, 5.353125)","(17.0, 55.0, 44.02777777777778)","(21.0, 80.0, 49.75)"
07-12-2022 19:04:14.240652,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 12.0)","(4.0, 7.0, 5.353125)","(17.0, 55.0, 44.02777777777778)","(21.0, 80.0, 49.75)"
07-12-2022 19:04:15.556166,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 13.2)","(4.0, 7.0, 4.365)","(17.0, 55.0, 44.02777777777778)","(21.0, 80.0, 49.75)"
07-12-2022 19:04:16.899499,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 13.2)","(4.0, 7.0, 4.365)","(17.0, 55.0, 44.02777777777778)","(21.0, 80.0, 49.75)"
07-12-2022 19:04:18.218172,"(13.0, 36.0, 21.625)","(2.1, 2.72, 2.2123076923076925)","(4.2, 7.0, 4.975)","(15.0, 44.0, 32.65384615384615)","(8.0, 18.0, 13.2)","(4.0, 7.0, 4.365)","(17.0, 55.0, 44.02777777777778)","(21.0, 80.0, 49.75)"
