,Bare Knuckles,Scott Monster,Rainbows Gold,Tabasco Lad,Jolly Johnny,Gabriella Maree,Tinker Mike,Aston Cigar
10-01-2023 14:50:47.514585,"(6.0, 12.0, 7.230769230769231)","(18.0, 60.0, 29.375)","(8.0, 15.5, 12.34)","(3.9, 5.5, 5.13)","(4.2, 8.4, 4.575)","(7.5, 13.5, 10.5125)","(5.5, 8.4, 6.24)","(6.0, 12.0, 7.65)"
10-01-2023 14:50:48.806703,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.375)","(8.0, 15.5, 12.34)","(3.9, 5.5, 5.13)","(4.2, 7.2, 4.575)","(7.5, 12.5, 10.5125)","(5.5, 8.4, 6.24)","(6.0, 12.0, 7.65)"
10-01-2023 14:50:50.054304,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.375)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.4, 6.24)","(6.0, 12.0, 7.65)"
10-01-2023 14:50:51.156641,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.4, 6.24)","(6.0, 12.0, 7.65)"
10-01-2023 14:50:52.223446,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.4, 6.24)","(6.0, 12.0, 7.65)"
10-01-2023 14:50:53.315785,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.4, 6.24)","(6.0, 12.0, 7.65)"
10-01-2023 14:50:54.429295,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.4, 6.24)","(6.0, 12.0, 7.65)"
10-01-2023 14:50:55.511419,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.4, 6.24)","(6.0, 12.0, 7.65)"
10-01-2023 14:50:56.629650,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.4, 6.08)","(6.0, 12.0, 9.385714285714286)"
10-01-2023 14:50:57.710849,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.4, 6.08)","(6.0, 12.0, 9.385714285714286)"
10-01-2023 14:50:58.832819,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.4, 6.08)","(6.0, 12.0, 7.5)"
10-01-2023 14:50:59.880475,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.4, 6.08)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:00.998679,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.4, 6.08)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:02.091207,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.4, 6.08)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:03.178903,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.4, 6.08)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:04.352640,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.4, 6.08)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:05.438134,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.4, 6.08)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:06.603579,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.4, 6.08)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:07.768991,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:08.770881,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:09.855016,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:10.927014,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:11.974962,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:13.040714,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:14.169904,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:15.352601,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:16.528480,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:17.542639,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:18.626624,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:19.680574,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:20.790106,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:21.816217,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:22.973763,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:24.202100,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:25.421189,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:26.585336,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:27.720723,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:28.862059,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:30.036143,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:31.177033,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:32.240383,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:33.379423,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:34.606895,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:35.848132,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:37.048638,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 15.5, 12.933333333333334)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 7.5)"
10-01-2023 14:51:38.192615,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 15.5, 10.08)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 6.216666666666667)"
10-01-2023 14:51:39.343067,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 13.5, 10.08)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.5, 6.216666666666667)"
10-01-2023 14:51:40.651604,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 13.5, 10.08)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.5, 6.75)"
10-01-2023 14:51:41.814317,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 13.5, 10.08)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 6.75)"
10-01-2023 14:51:42.918944,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 13.5, 10.08)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 6.75)"
10-01-2023 14:51:44.008941,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 13.5, 11.6)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 6.75)"
10-01-2023 14:51:45.160683,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 13.5, 11.6)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 6.75)"
10-01-2023 14:51:46.310380,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 13.5, 11.6)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 6.75)"
10-01-2023 14:51:47.427035,"(6.0, 12.0, 7.230769230769231)","(18.0, 48.0, 28.9375)","(8.0, 13.5, 11.6)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 6.75)"
10-01-2023 14:51:48.698265,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 13.5, 11.6)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 6.75)"
10-01-2023 14:51:50.013086,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 13.5, 11.6)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 6.75)"
10-01-2023 14:51:51.433090,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 13.5, 11.6)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 6.75)"
10-01-2023 14:51:52.965335,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 13.5, 13.95)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 6.75)"
10-01-2023 14:51:54.180673,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 16.5, 13.95)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 6.75)"
10-01-2023 14:51:55.373014,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 16.5, 14.236363636363636)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 6.75)"
10-01-2023 14:51:56.593809,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 16.5, 14.236363636363636)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 6.75)"
10-01-2023 14:51:57.805369,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 29.6875)","(8.0, 16.5, 15.690909090909091)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 6.375)"
10-01-2023 14:51:58.941808,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 31.944444444444443)","(8.0, 18.5, 15.690909090909091)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 6.375)"
10-01-2023 14:52:00.019589,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 31.944444444444443)","(8.0, 18.5, 15.690909090909091)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 6.375)"
10-01-2023 14:52:01.054176,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 31.944444444444443)","(8.0, 18.5, 15.690909090909091)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 6.375)"
10-01-2023 14:52:02.251159,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 31.944444444444443)","(8.0, 18.5, 13.64)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 6.375)"
10-01-2023 14:52:03.415224,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 31.944444444444443)","(8.0, 15.0, 13.64)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 6.375)"
10-01-2023 14:52:04.615966,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 31.944444444444443)","(8.0, 15.0, 13.64)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 6.375)"
10-01-2023 14:52:05.758021,"(6.0, 12.0, 7.230769230769231)","(18.0, 50.0, 31.944444444444443)","(8.0, 15.0, 13.64)","(3.9, 5.5, 4.3545454545454545)","(4.2, 7.2, 5.1)","(7.5, 12.5, 10.314285714285715)","(5.5, 8.2, 6.04)","(6.0, 12.0, 6.375)"
