,Bailing Out,Raw Eleven,Juniors Junior,Roma Blue,Freddie Loco
07-12-2022 18:39:04.027030,"(10.0, 11.5, 11.045454545454545)","(2.05, 2.48, 2.4284375)","(18.0, 28.0, 27.8)","(3.0, 3.4, 3.3076923076923075)","(4.8, 6.2, 5.929230769230769)"
07-12-2022 18:39:04.849659,"(10.0, 11.5, 11.045454545454545)","(2.05, 2.48, 2.4284375)","(18.0, 28.0, 27.8)","(3.0, 3.4, 3.3076923076923075)","(4.8, 6.2, 5.929230769230769)"
07-12-2022 18:39:05.692486,"(10.0, 11.5, 11.045454545454545)","(2.05, 2.46, 2.420816326530612)","(18.0, 28.0, 27.2)","(3.0, 3.45, 3.4045454545454543)","(4.8, 6.2, 5.93125)"
07-12-2022 18:39:06.557859,"(10.0, 11.5, 11.115384615384615)","(2.05, 2.46, 2.4035294117647057)","(18.0, 28.0, 27.875)","(3.0, 3.45, 3.358064516129032)","(4.8, 6.2, 5.918032786885246)"
07-12-2022 18:39:07.354872,"(10.0, 11.5, 11.115384615384615)","(2.05, 2.46, 2.4035294117647057)","(18.0, 28.0, 27.875)","(3.0, 3.45, 3.358064516129032)","(4.8, 6.2, 5.918032786885246)"
07-12-2022 18:39:08.168637,"(10.0, 11.5, 11.195652173913043)","(2.05, 2.46, 2.3725)","(18.0, 28.0, 27.875)","(3.0, 3.45, 3.3886363636363637)","(4.8, 6.2, 5.918032786885246)"
07-12-2022 18:39:09.030344,"(10.0, 11.5, 11.195652173913043)","(2.05, 2.46, 2.3725)","(18.0, 28.0, 27.875)","(3.0, 3.45, 3.3886363636363637)","(4.8, 6.2, 5.918032786885246)"
07-12-2022 18:39:09.898605,"(10.0, 11.5, 11.195652173913043)","(2.05, 2.46, 2.385)","(18.0, 28.0, 27.875)","(3.0, 3.45, 3.3886363636363637)","(4.8, 6.2, 5.918032786885246)"
07-12-2022 18:39:10.755072,"(10.0, 11.5, 11.195652173913043)","(2.05, 2.46, 2.385)","(18.0, 28.0, 27.875)","(3.0, 3.45, 3.3886363636363637)","(4.8, 6.2, 5.918032786885246)"
07-12-2022 18:39:11.536259,"(10.0, 11.5, 11.195652173913043)","(2.05, 2.46, 2.385)","(18.0, 28.0, 27.875)","(3.0, 3.45, 3.3886363636363637)","(4.8, 6.2, 5.918032786885246)"
07-12-2022 18:39:12.439448,"(10.0, 11.5, 11.195652173913043)","(2.05, 2.46, 2.385)","(18.0, 28.0, 27.875)","(3.0, 3.45, 3.3886363636363637)","(4.8, 6.2, 5.918032786885246)"
07-12-2022 18:39:13.251778,"(10.0, 11.5, 11.195652173913043)","(2.05, 2.46, 2.385)","(18.0, 28.0, 27.875)","(3.0, 3.45, 3.3886363636363637)","(4.8, 6.2, 5.918032786885246)"
07-12-2022 18:39:14.071744,"(10.0, 11.5, 11.195652173913043)","(2.05, 2.46, 2.385)","(18.0, 28.0, 27.875)","(3.0, 3.45, 3.3886363636363637)","(4.8, 6.2, 5.918032786885246)"
07-12-2022 18:39:14.968514,"(10.0, 11.5, 11.195652173913043)","(2.05, 2.46, 2.385)","(18.0, 28.0, 27.875)","(3.0, 3.45, 3.3886363636363637)","(4.8, 6.2, 5.918032786885246)"
07-12-2022 18:39:15.845460,"(10.0, 11.5, 11.195652173913043)","(2.05, 2.46, 2.385)","(18.0, 28.0, 27.875)","(3.0, 3.45, 3.3886363636363637)","(4.8, 6.2, 5.918032786885246)"
07-12-2022 18:39:16.672096,"(10.0, 11.5, 11.195652173913043)","(2.05, 2.46, 2.3866666666666667)","(19.0, 28.0, 27.875)","(3.0, 3.45, 3.4105263157894736)","(4.8, 6.2, 5.926984126984127)"
07-12-2022 18:39:17.498609,"(10.0, 12.0, 11.6)","(2.05, 2.34, 2.3325)","(19.0, 29.0, 28.866666666666667)","(3.0, 3.45, 3.416176470588235)","(4.8, 6.2, 6.093333333333334)"
07-12-2022 18:39:18.361948,"(10.0, 12.0, 11.6)","(2.05, 2.34, 2.3325)","(19.0, 29.0, 28.866666666666667)","(3.0, 3.45, 3.416176470588235)","(4.8, 6.2, 6.093333333333334)"
07-12-2022 18:39:19.244134,"(10.0, 12.0, 11.535714285714286)","(2.05, 2.34, 2.3249999999999997)","(19.0, 29.0, 28.75)","(3.0, 3.45, 3.411363636363636)","(4.8, 6.4, 6.172727272727273)"
07-12-2022 18:39:20.097410,"(10.0, 12.0, 11.535714285714286)","(2.05, 2.34, 2.3249999999999997)","(19.0, 29.0, 28.75)","(3.0, 3.45, 3.411363636363636)","(4.8, 6.4, 6.184615384615385)"
07-12-2022 18:39:20.954591,"(10.0, 12.0, 11.5625)","(2.05, 2.34, 2.327027027027027)","(19.0, 29.0, 28.75)","(3.0, 3.45, 3.411363636363636)","(4.8, 6.4, 6.184615384615385)"
07-12-2022 18:39:21.798853,"(10.0, 12.0, 11.5625)","(2.05, 2.36, 2.3473684210526313)","(19.0, 29.0, 28.866666666666667)","(3.0, 3.45, 3.408196721311475)","(4.8, 6.4, 6.29)"
07-12-2022 18:39:22.669050,"(10.0, 12.0, 11.5625)","(2.05, 2.36, 2.3473684210526313)","(19.0, 29.0, 28.866666666666667)","(3.0, 3.45, 3.4075757575757577)","(4.8, 6.4, 6.29)"
07-12-2022 18:39:23.636652,"(10.0, 12.0, 11.931034482758621)","(2.05, 2.36, 2.351578947368421)","(19.0, 29.0, 28.866666666666667)","(3.0, 3.45, 3.4075757575757577)","(4.8, 6.4, 6.29)"
07-12-2022 18:39:24.506478,"(10.0, 12.0, 11.931034482758621)","(2.05, 2.36, 2.351578947368421)","(19.0, 29.0, 28.866666666666667)","(3.0, 3.45, 3.4075757575757577)","(4.8, 6.4, 6.29)"
07-12-2022 18:39:25.463773,"(10.0, 12.0, 11.931034482758621)","(2.05, 2.36, 2.351578947368421)","(19.0, 29.0, 28.866666666666667)","(3.0, 3.45, 3.4075757575757577)","(4.8, 6.4, 6.270588235294118)"
07-12-2022 18:39:26.340085,"(10.0, 12.0, 11.931034482758621)","(2.05, 2.38, 2.370858369098712)","(19.0, 29.0, 28.866666666666667)","(3.0, 3.45, 3.371782178217822)","(4.8, 6.4, 6.246511627906977)"
07-12-2022 18:39:27.207435,"(10.0, 12.0, 11.931034482758621)","(2.05, 2.38, 2.370858369098712)","(19.0, 29.0, 28.866666666666667)","(3.0, 3.45, 3.371782178217822)","(4.8, 6.4, 6.246511627906977)"
07-12-2022 18:39:28.187462,"(10.0, 12.0, 11.931034482758621)","(2.05, 2.38, 2.370858369098712)","(19.0, 29.0, 28.866666666666667)","(3.0, 3.45, 3.371782178217822)","(4.8, 6.4, 6.246511627906977)"
07-12-2022 18:39:29.103915,"(10.0, 12.0, 12.08695652173913)","(2.05, 2.36, 2.320366972477064)","(19.0, 29.0, 28.866666666666667)","(3.0, 3.45, 3.3746575342465754)","(5.0, 6.4, 6.221978021978022)"
07-12-2022 18:39:29.918221,"(10.0, 12.5, 12.156716417910447)","(2.05, 2.36, 2.331578947368421)","(19.0, 29.0, 28.875)","(3.0, 3.45, 3.4158385093167705)","(5.0, 6.0, 5.829545454545454)"
07-12-2022 18:39:30.870743,"(10.0, 12.5, 12.147058823529411)","(2.05, 2.36, 2.3495999999999997)","(19.0, 30.0, 29.3)","(3.0, 3.45, 3.4370967741935483)","(5.0, 5.9, 5.86969696969697)"
07-12-2022 18:39:31.831900,"(10.0, 12.5, 12.13265306122449)","(2.05, 2.36, 2.3268108108108105)","(19.0, 30.0, 29.272727272727273)","(3.0, 3.5, 3.463636363636364)","(5.0, 5.9, 5.856756756756757)"
07-12-2022 18:39:32.885979,"(10.0, 12.5, 12.107843137254902)","(2.05, 2.38, 2.3423391812865497)","(19.0, 30.0, 29.272727272727273)","(3.0, 3.45, 3.4383333333333335)","(5.0, 5.9, 5.845454545454546)"
07-12-2022 18:39:33.817499,"(10.0, 12.5, 12.287234042553191)","(2.05, 2.36, 2.3458823529411763)","(19.0, 30.0, 29.363636363636363)","(3.0, 3.5, 3.487878787878788)","(5.0, 5.9, 5.816666666666667)"
07-12-2022 18:39:34.771338,"(10.0, 12.5, 12.232142857142858)","(2.05, 2.36, 2.3425454545454545)","(19.0, 30.0, 29.125)","(3.0, 3.5, 3.488888888888889)","(5.0, 5.9, 5.797142857142857)"
07-12-2022 18:39:35.657247,"(10.0, 12.5, 12.26)","(2.05, 2.36, 2.2993650793650793)","(19.0, 30.0, 29.375)","(3.0, 3.55, 3.5025)","(5.0, 5.9, 5.8500000000000005)"
07-12-2022 18:39:36.604453,"(10.0, 12.5, 12.285714285714286)","(2.05, 2.34, 2.3018181818181818)","(19.0, 30.0, 29.333333333333332)","(3.0, 3.65, 3.5724137931034483)","(5.0, 5.9, 5.841176470588236)"
07-12-2022 18:39:37.571301,"(10.0, 12.5, 12.285714285714286)","(2.05, 2.3, 2.2812643678160915)","(19.0, 30.0, 29.294117647058822)","(3.0, 3.65, 3.6021739130434782)","(5.0, 5.9, 5.841176470588236)"
07-12-2022 18:39:38.446376,"(10.0, 12.5, 12.3)","(2.05, 2.3, 2.2803260869565216)","(19.0, 30.0, 29.375)","(3.0, 3.65, 3.6142857142857143)","(5.0, 5.9, 5.841176470588236)"
07-12-2022 18:39:39.370045,"(10.0, 12.5, 12.3)","(2.05, 2.3, 2.2638190954773867)","(19.0, 30.0, 29.375)","(3.0, 3.65, 3.611111111111111)","(5.0, 5.9, 5.797674418604651)"
