,Boomer Shannon,Onya Sonya,Limousine Cheeky,Wellsaidmylady,Lady Rockabellum,Magic Tulhurst,Our Redemption,Special Spin
07-12-2022 20:05:21.455774,"(5.0, 7.6, 7.1)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.4, 5.228571428571429)","(11.0, 23.0, 16.75)","(10.0, 18.5, 14.05)","(14.0, 32.0, 24.4)","(2.7, 3.75, 3.4875)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:22.805059,"(5.0, 7.6, 7.1)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.4, 5.228571428571429)","(11.0, 23.0, 16.75)","(10.0, 18.5, 14.05)","(14.0, 32.0, 24.4)","(2.7, 3.75, 3.4875)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:24.118188,"(5.0, 7.6, 7.1)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.4, 5.228571428571429)","(11.0, 23.0, 19.42857142857143)","(10.0, 18.5, 14.05)","(14.0, 32.0, 24.4)","(2.7, 3.75, 3.4875)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:25.445822,"(5.0, 7.6, 7.1)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.4, 5.228571428571429)","(11.0, 23.0, 19.42857142857143)","(10.0, 18.5, 14.05)","(14.0, 32.0, 24.4)","(2.7, 3.75, 3.4875)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:26.761308,"(5.0, 7.6, 7.1)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.4, 5.2)","(11.0, 23.0, 19.42857142857143)","(10.0, 18.5, 14.05)","(14.0, 32.0, 24.4)","(2.7, 3.75, 3.4875)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:27.991822,"(5.0, 7.6, 7.1)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.4, 5.2)","(11.0, 23.0, 19.42857142857143)","(10.0, 18.5, 14.05)","(14.0, 32.0, 26.714285714285715)","(2.7, 3.75, 3.5915384615384616)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:29.219092,"(5.0, 7.6, 7.1)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.3, 5.05)","(11.0, 23.0, 19.42857142857143)","(10.0, 18.5, 14.05)","(14.0, 32.0, 26.714285714285715)","(2.7, 3.75, 3.5915384615384616)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:30.459558,"(5.0, 7.6, 7.1)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.1, 5.15)","(11.0, 23.0, 19.42857142857143)","(10.0, 18.5, 14.05)","(14.0, 32.0, 26.714285714285715)","(2.7, 3.75, 3.5915384615384616)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:31.688870,"(5.0, 7.4, 6.633333333333334)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.3, 5.15)","(11.0, 23.0, 19.42857142857143)","(10.0, 18.5, 14.05)","(14.0, 32.0, 26.714285714285715)","(2.7, 3.75, 3.5915384615384616)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:33.017850,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.3, 5.216666666666667)","(11.0, 23.0, 19.42857142857143)","(10.0, 18.5, 14.05)","(14.0, 32.0, 26.714285714285715)","(2.7, 3.75, 3.5915384615384616)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:34.322655,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.3, 5.25)","(11.0, 23.0, 19.42857142857143)","(10.0, 18.5, 14.05)","(14.0, 32.0, 26.714285714285715)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:35.651973,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.3, 5.175)","(11.0, 23.0, 19.42857142857143)","(10.0, 18.5, 14.05)","(14.0, 32.0, 26.714285714285715)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:37.128618,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.4, 5.133333333333333)","(11.0, 23.0, 19.42857142857143)","(10.0, 18.5, 14.05)","(14.0, 32.0, 26.714285714285715)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:38.547864,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.6, 5.010526315789473)","(11.0, 23.0, 19.42857142857143)","(10.0, 18.5, 14.05)","(14.0, 32.0, 26.714285714285715)","(2.7, 3.75, 3.5915384615384616)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:39.893193,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.6, 5.010526315789473)","(11.0, 23.0, 19.42857142857143)","(10.0, 18.5, 14.05)","(14.0, 32.0, 26.714285714285715)","(2.7, 3.75, 3.5915384615384616)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:41.361771,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.6, 5.010526315789473)","(11.0, 23.0, 19.42857142857143)","(10.0, 18.5, 14.05)","(14.0, 32.0, 26.714285714285715)","(2.7, 3.75, 3.5915384615384616)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:42.964301,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.6, 5.010526315789473)","(11.0, 23.0, 16.75)","(10.0, 18.5, 14.05)","(14.0, 32.0, 26.714285714285715)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:44.698935,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.6, 5.010526315789473)","(11.0, 23.0, 16.75)","(10.0, 18.5, 14.05)","(14.0, 32.0, 26.714285714285715)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:46.258527,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.6, 5.010526315789473)","(11.0, 23.0, 16.75)","(10.0, 18.5, 14.05)","(14.0, 32.0, 26.714285714285715)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:47.684742,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.6, 5.010526315789473)","(11.0, 23.0, 16.75)","(10.0, 18.5, 14.05)","(14.0, 32.0, 26.714285714285715)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:49.063169,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.6, 5.010526315789473)","(11.0, 23.0, 16.75)","(10.0, 18.5, 14.05)","(14.0, 32.0, 26.714285714285715)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:50.463299,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.6, 5.010526315789473)","(11.0, 23.0, 16.75)","(10.0, 18.5, 14.05)","(14.0, 32.0, 26.714285714285715)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:51.763029,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.6, 5.010526315789473)","(11.0, 23.0, 16.75)","(10.0, 18.5, 14.05)","(14.0, 32.0, 20.0)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:53.047607,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.6, 5.010526315789473)","(11.0, 23.0, 16.75)","(10.0, 18.5, 14.05)","(14.0, 32.0, 20.0)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:54.367358,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.6, 5.010526315789473)","(11.0, 23.0, 16.75)","(10.0, 18.5, 14.05)","(14.0, 32.0, 20.0)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:55.696545,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.6, 5.188888888888889)","(11.0, 23.0, 16.75)","(10.0, 18.5, 13.280000000000001)","(14.0, 32.0, 20.0)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:57.004862,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.5, 5.188888888888889)","(11.0, 23.0, 16.75)","(10.0, 18.5, 13.280000000000001)","(14.0, 32.0, 20.0)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:58.302550,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.5, 5.188888888888889)","(11.0, 23.0, 16.75)","(10.0, 18.5, 13.280000000000001)","(14.0, 32.0, 20.0)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:05:59.561166,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.5, 5.188888888888889)","(11.0, 23.0, 16.75)","(10.0, 18.5, 13.280000000000001)","(14.0, 32.0, 20.0)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:06:00.835994,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.5, 5.188888888888889)","(11.0, 23.0, 16.75)","(10.0, 18.5, 13.280000000000001)","(14.0, 32.0, 20.0)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:06:02.194537,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.5, 5.15)","(11.0, 23.0, 16.75)","(10.0, 18.5, 13.280000000000001)","(14.0, 32.0, 20.0)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:06:03.479037,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.3, 5.15)","(11.0, 23.0, 16.75)","(10.0, 18.5, 13.280000000000001)","(14.0, 32.0, 20.0)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:06:04.784171,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.3, 5.15)","(11.0, 23.0, 16.75)","(10.0, 18.5, 13.280000000000001)","(14.0, 32.0, 20.0)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:06:06.113876,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.2, 5.199999999999999)","(11.0, 23.0, 16.75)","(10.0, 18.5, 13.280000000000001)","(14.0, 32.0, 20.0)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:06:07.378367,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.3, 5.25)","(11.0, 23.0, 16.75)","(10.0, 18.5, 13.280000000000001)","(14.0, 32.0, 20.0)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:06:08.720962,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.3, 5.216666666666667)","(11.0, 23.0, 16.75)","(10.0, 18.5, 13.280000000000001)","(14.0, 32.0, 20.0)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:06:09.946220,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.3, 5.1125)","(11.0, 23.0, 16.75)","(10.0, 18.5, 13.280000000000001)","(14.0, 32.0, 20.0)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:06:11.162798,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.3, 5.1125)","(11.0, 23.0, 16.75)","(10.0, 18.5, 13.280000000000001)","(14.0, 32.0, 20.0)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:06:12.386002,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.3, 5.1125)","(11.0, 23.0, 16.75)","(10.0, 18.5, 13.280000000000001)","(14.0, 32.0, 20.0)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:06:13.637488,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.3, 5.1125)","(11.0, 23.0, 16.75)","(10.0, 18.5, 13.280000000000001)","(14.0, 32.0, 20.0)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
07-12-2022 20:06:14.921067,"(5.0, 7.2, 6.78)","(71.0, 360.0, 275.7142857142857)","(4.0, 5.3, 5.1125)","(11.0, 23.0, 16.75)","(10.0, 18.5, 13.280000000000001)","(14.0, 32.0, 20.0)","(2.7, 3.75, 3.346)","(4.4, 6.0, 5.0)"
