,My Mums Value,Westar Storm,My Place Friday,Makani Girl,Mepunga Echo,Bourne Brett,Rage Quit,Jessore
10-01-2023 12:56:23.117467,"(4.2, 7.2, 5.025)","(21.0, 160.0, 49.6)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 67.6)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:24.196814,"(4.2, 7.2, 5.025)","(21.0, 160.0, 49.6)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 67.6)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:25.361595,"(4.2, 7.2, 5.025)","(21.0, 160.0, 49.6)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 67.6)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:26.582852,"(4.2, 7.2, 5.025)","(21.0, 160.0, 49.6)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 67.6)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:27.771630,"(4.2, 7.2, 5.025)","(21.0, 160.0, 49.6)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 122.26666666666667)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:28.953716,"(4.2, 7.2, 4.729411764705882)","(21.0, 160.0, 68.66666666666666)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 122.26666666666667)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:30.097321,"(4.2, 7.2, 4.729411764705882)","(21.0, 160.0, 68.66666666666666)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 122.26666666666667)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:31.190937,"(4.2, 7.2, 4.729411764705882)","(21.0, 160.0, 68.66666666666666)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 122.26666666666667)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:32.259783,"(4.2, 7.2, 4.729411764705882)","(21.0, 160.0, 68.66666666666666)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 122.26666666666667)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:33.447225,"(4.2, 7.2, 4.729411764705882)","(21.0, 160.0, 68.66666666666666)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 122.26666666666667)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:34.647724,"(4.2, 7.2, 4.729411764705882)","(21.0, 160.0, 68.66666666666666)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 122.26666666666667)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:35.778878,"(4.2, 7.2, 4.729411764705882)","(21.0, 160.0, 68.66666666666666)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 122.26666666666667)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:36.946058,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 68.66666666666666)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 122.26666666666667)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:38.140358,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 68.66666666666666)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 122.26666666666667)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:39.302170,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 68.66666666666666)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 122.26666666666667)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:40.457602,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 68.66666666666666)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 117.77777777777777)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:41.589022,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 83.88888888888889)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 117.77777777777777)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:42.789703,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 83.88888888888889)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 117.77777777777777)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:43.896646,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 83.88888888888889)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 117.77777777777777)","(4.6, 8.2, 6.833333333333333)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:44.998089,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 83.88888888888889)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 117.77777777777777)","(4.6, 8.2, 5.3428571428571425)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:46.135359,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 83.88888888888889)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 117.77777777777777)","(4.6, 8.2, 5.3428571428571425)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:47.320573,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 83.88888888888889)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 117.77777777777777)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:48.703737,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 83.88888888888889)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 117.77777777777777)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:50.026184,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 83.88888888888889)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 117.77777777777777)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:51.238354,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 83.88888888888889)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 86.42857142857143)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:52.447065,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 62.857142857142854)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 86.42857142857143)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:53.766400,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 62.857142857142854)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 86.42857142857143)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:55.073597,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 62.857142857142854)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 86.42857142857143)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:56.317318,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 62.857142857142854)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 86.42857142857143)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:57.459019,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 62.857142857142854)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 82.85714285714286)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:58.510484,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 62.857142857142854)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 82.85714285714286)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:56:59.640399,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 62.857142857142854)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 82.85714285714286)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:00.826332,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 62.857142857142854)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 82.85714285714286)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:02.046234,"(4.2, 7.2, 4.729411764705882)","(21.0, 160.0, 62.857142857142854)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 82.85714285714286)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:03.219822,"(4.2, 7.2, 4.729411764705882)","(21.0, 160.0, 62.857142857142854)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 82.85714285714286)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:04.300431,"(4.2, 7.2, 4.729411764705882)","(21.0, 160.0, 62.857142857142854)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 82.85714285714286)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:05.367872,"(4.2, 7.2, 4.729411764705882)","(21.0, 160.0, 62.857142857142854)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 82.85714285714286)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:06.600761,"(4.2, 7.2, 4.729411764705882)","(21.0, 160.0, 62.857142857142854)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 82.85714285714286)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:07.807042,"(4.2, 7.2, 4.729411764705882)","(21.0, 160.0, 72.1875)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 82.85714285714286)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:09.006514,"(4.2, 7.2, 4.729411764705882)","(21.0, 160.0, 72.1875)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 82.85714285714286)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:10.172893,"(4.2, 7.2, 4.729411764705882)","(21.0, 160.0, 72.1875)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 82.85714285714286)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:11.342463,"(4.2, 7.2, 4.729411764705882)","(21.0, 160.0, 72.1875)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 82.85714285714286)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:12.519849,"(4.2, 7.2, 4.729411764705882)","(21.0, 160.0, 72.1875)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 82.85714285714286)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:13.699095,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 72.1875)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 82.85714285714286)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:14.840344,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 72.1875)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 82.85714285714286)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:15.954335,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 72.1875)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 82.85714285714286)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:17.172154,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 72.1875)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 116.66666666666667)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:18.407348,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 82.77777777777777)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 116.66666666666667)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:19.634822,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 82.77777777777777)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 116.66666666666667)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:20.770379,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 82.77777777777777)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 116.66666666666667)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:21.959948,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 82.77777777777777)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 116.66666666666667)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:23.190173,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 82.77777777777777)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 116.66666666666667)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:24.474445,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 82.77777777777777)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 116.66666666666667)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:25.698051,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 82.77777777777777)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 116.66666666666667)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:26.828622,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 82.77777777777777)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 116.66666666666667)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:27.955020,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 82.77777777777777)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 116.66666666666667)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:29.163871,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 82.77777777777777)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 116.66666666666667)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
10-01-2023 12:57:30.351136,"(4.2, 7.2, 4.552941176470588)","(21.0, 160.0, 82.77777777777777)","(8.0, 14.5, 9.9)","(3.4, 5.0, 4.65)","(4.0, 6.2, 5.772727272727273)","(26.0, 230.0, 116.66666666666667)","(4.6, 8.2, 7.188095238095237)","(10.0, 21.0, 20.049999999999997)"
