,Onya Doug,Favreau,Vanity Bay,Roclea Ruler,Raani,The Weekend,Artful Master,Yarraman Rocky,Courageous Sam
11-01-2023 17:43:33.206625,"(4.0, 6.2, 5.523076923076923)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 170.0)","(71.0, 190.0, 106.66666666666666)","(5.5, 8.6, 6.542857142857143)"
11-01-2023 17:43:34.284627,"(4.0, 6.2, 5.523076923076923)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 170.0)","(71.0, 190.0, 106.66666666666666)","(5.5, 8.6, 6.542857142857143)"
11-01-2023 17:43:35.391867,"(4.0, 6.2, 5.523076923076923)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 170.0)","(71.0, 190.0, 106.66666666666666)","(5.5, 8.6, 6.542857142857143)"
11-01-2023 17:43:36.498129,"(4.0, 6.2, 5.523076923076923)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 170.0)","(71.0, 190.0, 106.66666666666666)","(5.5, 8.6, 7.0)"
11-01-2023 17:43:37.722674,"(4.0, 6.2, 5.523076923076923)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 170.0)","(71.0, 190.0, 106.66666666666666)","(5.5, 8.6, 7.8)"
11-01-2023 17:43:38.907391,"(4.0, 6.2, 5.523076923076923)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 170.0)","(71.0, 190.0, 106.66666666666666)","(5.5, 8.6, 7.752941176470588)"
11-01-2023 17:43:40.071421,"(4.0, 6.2, 5.523076923076923)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 170.0)","(71.0, 190.0, 106.66666666666666)","(5.5, 8.6, 7.752941176470588)"
11-01-2023 17:43:41.236075,"(4.0, 6.2, 5.523076923076923)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 170.0)","(71.0, 190.0, 106.66666666666666)","(5.5, 8.6, 7.571428571428571)"
11-01-2023 17:43:42.420832,"(4.0, 6.2, 5.523076923076923)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 170.0)","(71.0, 190.0, 106.66666666666666)","(5.5, 8.6, 7.571428571428571)"
11-01-2023 17:43:43.648516,"(4.0, 5.9, 5.58)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 170.0)","(71.0, 190.0, 106.66666666666666)","(5.5, 8.6, 7.571428571428571)"
11-01-2023 17:43:44.806225,"(4.0, 5.9, 5.7444444444444445)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 190.0, 106.66666666666666)","(5.5, 8.6, 7.571428571428571)"
11-01-2023 17:43:45.932022,"(4.0, 5.9, 5.7444444444444445)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 190.0, 103.33333333333334)","(5.5, 8.6, 7.571428571428571)"
11-01-2023 17:43:47.035487,"(4.0, 5.9, 5.7444444444444445)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 180.0, 100.0)","(5.5, 8.6, 7.571428571428571)"
11-01-2023 17:43:48.128467,"(4.0, 5.9, 5.7444444444444445)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 7.571428571428571)"
11-01-2023 17:43:49.244907,"(4.0, 5.9, 5.7444444444444445)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 7.571428571428571)"
11-01-2023 17:43:50.344402,"(4.0, 5.9, 5.7444444444444445)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 7.571428571428571)"
11-01-2023 17:43:51.490424,"(4.0, 5.9, 5.7444444444444445)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 7.571428571428571)"
11-01-2023 17:43:52.581473,"(4.0, 5.9, 5.66)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 7.571428571428571)"
11-01-2023 17:43:53.936776,"(4.0, 5.9, 5.766666666666667)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(21.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 7.571428571428571)"
11-01-2023 17:43:55.108850,"(4.0, 5.9, 5.411111111111111)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 7.571428571428571)"
11-01-2023 17:43:56.234907,"(4.0, 5.9, 5.411111111111111)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 7.571428571428571)"
11-01-2023 17:43:57.354899,"(4.0, 5.9, 5.411111111111111)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 7.571428571428571)"
11-01-2023 17:43:58.536704,"(4.0, 5.9, 5.411111111111111)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 7.571428571428571)"
11-01-2023 17:43:59.817528,"(4.0, 5.9, 5.411111111111111)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 7.571428571428571)"
11-01-2023 17:44:00.984710,"(4.0, 5.9, 5.411111111111111)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 7.571428571428571)"
11-01-2023 17:44:02.117365,"(4.0, 5.9, 5.411111111111111)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 7.571428571428571)"
11-01-2023 17:44:03.298674,"(4.0, 6.0, 5.76)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 8.12)"
11-01-2023 17:44:04.536487,"(4.0, 6.0, 5.76)","(3.4, 4.5, 4.214285714285714)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 8.12)"
11-01-2023 17:44:05.741951,"(4.0, 6.0, 5.7555555555555555)","(3.4, 4.5, 4.214285714285714)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 8.12)"
11-01-2023 17:44:06.928857,"(4.0, 6.0, 5.816666666666666)","(3.4, 4.5, 4.214285714285714)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 8.12)"
11-01-2023 17:44:08.142152,"(4.0, 6.0, 5.816666666666666)","(3.4, 4.5, 4.214285714285714)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 8.12)"
11-01-2023 17:44:09.233039,"(4.0, 6.0, 5.816666666666666)","(3.4, 4.5, 4.214285714285714)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 8.12)"
11-01-2023 17:44:10.342093,"(4.0, 5.9, 5.45)","(3.4, 4.8, 3.9642857142857144)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 8.12)"
11-01-2023 17:44:11.542409,"(4.0, 5.9, 5.642857142857143)","(3.4, 4.7, 4.045454545454546)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 8.12)"
11-01-2023 17:44:12.822639,"(4.0, 5.9, 5.58)","(3.4, 4.7, 4.045454545454546)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 8.12)"
11-01-2023 17:44:14.137932,"(4.0, 5.9, 5.58)","(3.4, 4.7, 4.045454545454546)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 8.12)"
11-01-2023 17:44:15.293921,"(4.0, 5.9, 5.722222222222222)","(3.4, 4.7, 4.045454545454546)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 8.12)"
11-01-2023 17:44:16.427596,"(4.0, 5.9, 5.722222222222222)","(3.4, 4.7, 4.045454545454546)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 8.12)"
11-01-2023 17:44:17.593491,"(4.0, 5.9, 5.722222222222222)","(3.4, 4.7, 4.045454545454546)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 8.12)"
11-01-2023 17:44:18.768547,"(4.0, 5.9, 5.722222222222222)","(3.4, 4.7, 4.045454545454546)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 8.12)"
11-01-2023 17:44:19.929456,"(4.0, 5.9, 5.722222222222222)","(3.4, 4.7, 4.045454545454546)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 8.12)"
11-01-2023 17:44:21.113563,"(4.0, 5.9, 5.722222222222222)","(3.4, 4.7, 4.045454545454546)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 8.12)"
11-01-2023 17:44:22.241931,"(4.0, 5.9, 5.722222222222222)","(3.4, 4.7, 3.8)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 177.14285714285714)","(71.0, 170.0, 100.0)","(5.5, 8.6, 7.72)"
11-01-2023 17:44:23.417133,"(4.0, 5.9, 5.722222222222222)","(3.4, 4.7, 3.8)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 181.25)","(71.0, 170.0, 117.5)","(5.5, 8.6, 8.2)"
11-01-2023 17:44:24.578623,"(4.0, 5.9, 5.722222222222222)","(3.4, 4.6, 3.775)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 181.25)","(71.0, 170.0, 117.5)","(5.5, 8.6, 8.325)"
11-01-2023 17:44:25.727138,"(4.0, 5.9, 5.722222222222222)","(3.4, 4.6, 3.775)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 181.25)","(71.0, 170.0, 117.5)","(5.5, 8.6, 8.155555555555555)"
11-01-2023 17:44:26.850258,"(4.0, 5.9, 5.722222222222222)","(3.4, 4.6, 3.775)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 181.25)","(71.0, 170.0, 117.5)","(5.5, 8.6, 8.155555555555555)"
11-01-2023 17:44:27.992756,"(4.0, 5.9, 5.722222222222222)","(3.4, 4.6, 3.775)","(7.5, 12.0, 9.62)","(19.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 181.25)","(71.0, 170.0, 117.5)","(5.5, 8.6, 8.155555555555555)"
11-01-2023 17:44:29.148372,"(4.0, 5.9, 5.722222222222222)","(3.4, 4.6, 3.775)","(7.5, 12.0, 9.62)","(18.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 133.33333333333334)","(71.0, 170.0, 117.5)","(5.5, 8.6, 8.155555555555555)"
11-01-2023 17:44:30.312028,"(4.0, 5.9, 5.722222222222222)","(3.4, 4.6, 3.775)","(7.5, 12.0, 9.62)","(18.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 133.33333333333334)","(71.0, 170.0, 117.5)","(5.5, 8.6, 8.155555555555555)"
11-01-2023 17:44:31.507625,"(4.0, 5.9, 5.722222222222222)","(3.4, 4.6, 3.775)","(7.5, 12.0, 9.62)","(18.0, 46.0, 31.333333333333332)","(5.0, 6.4, 6.218181818181819)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 133.33333333333334)","(71.0, 170.0, 117.5)","(5.5, 8.6, 8.155555555555555)"
11-01-2023 17:44:32.730250,"(4.0, 5.9, 5.7)","(3.4, 4.6, 3.775)","(7.5, 12.0, 9.62)","(18.0, 46.0, 39.714285714285715)","(5.0, 6.4, 6.66)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 133.33333333333334)","(71.0, 170.0, 117.5)","(5.5, 8.6, 7.676923076923076)"
11-01-2023 17:44:33.956959,"(4.0, 5.9, 5.760000000000001)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(18.0, 46.0, 39.714285714285715)","(5.0, 6.8, 6.66)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 133.33333333333334)","(71.0, 170.0, 117.5)","(5.5, 8.6, 7.676923076923076)"
11-01-2023 17:44:35.076511,"(4.0, 5.9, 5.760000000000001)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(18.0, 46.0, 39.714285714285715)","(5.0, 6.8, 6.66)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 133.33333333333334)","(71.0, 170.0, 117.5)","(5.5, 8.6, 7.676923076923076)"
11-01-2023 17:44:36.259448,"(4.0, 5.9, 5.766666666666667)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(18.0, 46.0, 39.714285714285715)","(5.0, 6.8, 6.66)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 133.33333333333334)","(71.0, 170.0, 117.5)","(5.5, 8.6, 7.676923076923076)"
11-01-2023 17:44:37.436899,"(4.0, 5.9, 5.766666666666667)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(18.0, 46.0, 39.714285714285715)","(5.0, 6.8, 6.66)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 133.33333333333334)","(71.0, 170.0, 117.5)","(5.5, 8.6, 7.676923076923076)"
11-01-2023 17:44:38.598839,"(4.0, 5.9, 5.766666666666667)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(18.0, 46.0, 39.714285714285715)","(5.0, 6.8, 6.66)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 133.33333333333334)","(71.0, 170.0, 117.5)","(5.5, 8.6, 7.676923076923076)"
11-01-2023 17:44:39.714244,"(4.0, 5.9, 5.766666666666667)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(18.0, 46.0, 39.714285714285715)","(5.0, 6.8, 6.66)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 133.33333333333334)","(71.0, 170.0, 117.5)","(5.5, 8.6, 7.676923076923076)"
11-01-2023 17:44:40.827678,"(4.0, 5.9, 5.766666666666667)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(18.0, 46.0, 39.714285714285715)","(5.0, 6.8, 6.66)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 133.33333333333334)","(71.0, 170.0, 117.5)","(5.5, 8.6, 7.676923076923076)"
11-01-2023 17:44:42.018194,"(4.0, 5.9, 5.766666666666667)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(18.0, 46.0, 39.714285714285715)","(5.0, 6.8, 6.66)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 133.33333333333334)","(71.0, 170.0, 117.5)","(5.5, 8.6, 7.676923076923076)"
11-01-2023 17:44:43.303401,"(4.0, 5.9, 5.766666666666667)","(3.4, 4.5, 3.9545454545454546)","(7.5, 12.0, 9.62)","(18.0, 46.0, 39.714285714285715)","(5.0, 6.8, 6.66)","(5.0, 7.0, 6.666666666666666)","(91.0, 210.0, 133.33333333333334)","(71.0, 170.0, 117.5)","(5.5, 8.6, 7.676923076923076)"
