,Elusive Eagle,Swan Island,Arthur In Charge,Turboart,Wait A Minute,Dont Diss Around,The Power Of One,Expensive To Keep,Secret Cash,Got The Lot
05-01-2023 16:37:46.784930,"(10.0, 12.0, 11.5)","(21.0, 27.0, 26.0)","(8.0, 12.5, 12.016666666666666)","(2.9, 3.8, 3.7777777777777777)","(51.0, 170.0, 120.0)","(4.8, 5.7, 5.597297297297297)","(17.0, 46.0, 22.0)","(11.0, 21.0, 19.25)","(3.9, 4.5, 4.3)","(31.0, 160.0, 65.5)"
05-01-2023 16:37:48.112633,"(10.0, 12.0, 11.5)","(21.0, 26.0, 24.58823529411765)","(8.0, 12.5, 11.375)","(2.9, 3.8, 3.7777777777777777)","(51.0, 170.0, 120.0)","(4.8, 5.7, 5.597297297297297)","(17.0, 46.0, 21.7)","(11.0, 21.0, 19.25)","(3.9, 4.5, 4.3)","(31.0, 160.0, 65.5)"
05-01-2023 16:37:49.466337,"(10.0, 12.0, 11.5)","(21.0, 26.0, 24.58823529411765)","(8.0, 12.5, 11.375)","(2.9, 3.8, 3.7777777777777777)","(51.0, 170.0, 120.0)","(4.8, 5.7, 5.597297297297297)","(17.0, 46.0, 21.7)","(11.0, 21.0, 19.25)","(3.9, 4.5, 4.3)","(31.0, 160.0, 65.5)"
05-01-2023 16:37:50.816796,"(10.0, 12.0, 11.5)","(21.0, 26.0, 24.58823529411765)","(8.0, 12.5, 11.375)","(2.9, 3.8, 3.7777777777777777)","(51.0, 170.0, 120.0)","(4.8, 5.7, 5.597297297297297)","(17.0, 46.0, 21.7)","(11.0, 21.0, 19.25)","(3.9, 4.5, 4.3)","(31.0, 160.0, 65.5)"
05-01-2023 16:37:52.157624,"(10.0, 12.0, 11.733333333333333)","(21.0, 26.0, 24.58823529411765)","(8.0, 12.5, 11.375)","(2.9, 3.8, 3.7777777777777777)","(51.0, 170.0, 120.0)","(4.8, 5.7, 5.597297297297297)","(17.0, 46.0, 21.7)","(11.0, 21.0, 19.25)","(3.9, 4.5, 4.3)","(31.0, 160.0, 65.5)"
05-01-2023 16:37:53.531666,"(10.0, 12.0, 11.733333333333333)","(21.0, 26.0, 24.58823529411765)","(8.0, 12.5, 11.375)","(2.9, 3.8, 3.7578125)","(51.0, 170.0, 120.0)","(4.8, 5.7, 5.597297297297297)","(17.0, 46.0, 21.7)","(11.0, 21.0, 19.25)","(3.9, 4.5, 4.3)","(31.0, 160.0, 65.5)"
05-01-2023 16:37:54.908881,"(10.0, 12.0, 11.733333333333333)","(21.0, 26.0, 24.58823529411765)","(8.0, 12.5, 11.375)","(2.9, 3.8, 3.7578125)","(51.0, 170.0, 120.0)","(4.8, 5.7, 5.597297297297297)","(17.0, 46.0, 21.7)","(11.0, 21.0, 19.25)","(3.9, 4.5, 4.3)","(31.0, 160.0, 65.5)"
05-01-2023 16:37:56.234022,"(10.0, 12.0, 11.733333333333333)","(21.0, 26.0, 24.58823529411765)","(8.0, 12.5, 11.375)","(2.9, 3.8, 3.7578125)","(51.0, 170.0, 120.0)","(4.8, 5.7, 5.597297297297297)","(17.0, 46.0, 21.7)","(11.0, 21.0, 19.25)","(3.9, 4.5, 4.3)","(31.0, 160.0, 65.5)"
05-01-2023 16:37:57.482465,"(10.0, 12.0, 11.733333333333333)","(21.0, 26.0, 24.58823529411765)","(8.0, 12.5, 11.375)","(2.9, 3.8, 3.7578125)","(51.0, 170.0, 120.0)","(4.8, 5.7, 5.597297297297297)","(17.0, 46.0, 21.7)","(11.0, 21.0, 19.25)","(3.9, 4.5, 4.3)","(31.0, 160.0, 65.5)"
05-01-2023 16:37:58.724557,"(10.0, 12.0, 11.733333333333333)","(21.0, 26.0, 24.58823529411765)","(8.0, 12.5, 10.9375)","(2.9, 3.8, 3.7578125)","(51.0, 170.0, 120.0)","(4.8, 5.7, 5.597297297297297)","(17.0, 46.0, 21.7)","(11.0, 21.0, 19.25)","(3.9, 4.5, 4.3)","(31.0, 160.0, 65.5)"
05-01-2023 16:37:59.927102,"(10.0, 12.0, 11.733333333333333)","(21.0, 26.0, 24.58823529411765)","(8.0, 12.5, 10.9375)","(2.9, 3.8, 3.7578125)","(51.0, 170.0, 120.0)","(4.8, 5.7, 5.597297297297297)","(17.0, 46.0, 21.7)","(11.0, 21.0, 19.25)","(3.9, 4.5, 4.3)","(31.0, 160.0, 65.5)"
05-01-2023 16:38:01.139447,"(10.0, 12.0, 11.733333333333333)","(21.0, 26.0, 24.58823529411765)","(8.0, 12.5, 10.9375)","(2.9, 3.8, 3.7578125)","(51.0, 170.0, 120.0)","(4.8, 5.7, 5.597297297297297)","(17.0, 46.0, 21.7)","(11.0, 21.0, 19.25)","(3.9, 4.5, 4.233333333333333)","(31.0, 160.0, 65.5)"
05-01-2023 16:38:02.332176,"(10.0, 12.0, 11.733333333333333)","(21.0, 25.0, 24.636363636363637)","(8.0, 12.5, 10.9375)","(2.9, 3.8, 3.7578125)","(51.0, 170.0, 120.0)","(4.8, 5.7, 5.597297297297297)","(17.0, 46.0, 21.7)","(11.0, 21.0, 19.25)","(3.9, 4.5, 4.233333333333333)","(31.0, 160.0, 65.5)"
05-01-2023 16:38:03.578416,"(10.0, 12.0, 11.733333333333333)","(21.0, 28.0, 24.666666666666668)","(8.0, 12.5, 12.03448275862069)","(2.9, 3.8, 3.7578125)","(51.0, 170.0, 120.0)","(4.8, 5.7, 5.597297297297297)","(17.0, 44.0, 34.0)","(11.0, 21.0, 19.25)","(3.9, 4.5, 4.233333333333333)","(31.0, 160.0, 65.5)"
05-01-2023 16:38:05.015585,"(10.0, 12.0, 11.733333333333333)","(21.0, 28.0, 24.666666666666668)","(8.0, 12.5, 12.03448275862069)","(2.9, 3.8, 3.7578125)","(51.0, 170.0, 120.0)","(4.8, 5.7, 5.597297297297297)","(17.0, 44.0, 34.0)","(11.0, 21.0, 19.25)","(3.9, 4.5, 4.233333333333333)","(31.0, 160.0, 65.5)"
05-01-2023 16:38:06.667056,"(10.0, 12.0, 11.733333333333333)","(21.0, 28.0, 24.666666666666668)","(8.0, 12.5, 12.05)","(2.9, 3.8, 3.7578125)","(51.0, 170.0, 120.0)","(4.8, 5.7, 5.597297297297297)","(17.0, 44.0, 34.0)","(11.0, 21.0, 19.6)","(3.9, 4.5, 4.275)","(31.0, 160.0, 65.5)"
05-01-2023 16:38:08.189090,"(10.0, 12.0, 11.733333333333333)","(21.0, 28.0, 24.5)","(8.0, 12.5, 11.25)","(2.9, 3.8, 3.7379310344827585)","(51.0, 170.0, 120.0)","(4.8, 5.7, 5.597297297297297)","(17.0, 44.0, 34.0)","(11.0, 21.0, 19.6)","(3.9, 4.5, 4.275)","(31.0, 160.0, 61.5)"
05-01-2023 16:38:09.719666,"(10.0, 12.0, 11.733333333333333)","(21.0, 28.0, 24.5)","(8.0, 12.5, 11.25)","(2.9, 3.8, 3.7379310344827585)","(51.0, 170.0, 136.66666666666669)","(4.8, 5.7, 5.600869565217391)","(17.0, 44.0, 37.75)","(11.0, 21.0, 19.6)","(3.9, 4.5, 4.300000000000001)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:11.082315,"(10.0, 12.0, 11.733333333333333)","(21.0, 28.0, 24.5)","(8.0, 12.5, 11.25)","(2.9, 3.8, 3.7379310344827585)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.600869565217391)","(17.0, 44.0, 41.36842105263158)","(11.0, 21.0, 19.6)","(3.9, 4.4, 4.300000000000001)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:12.396361,"(10.0, 12.0, 11.733333333333333)","(21.0, 28.0, 24.5)","(8.0, 12.5, 11.25)","(2.9, 3.8, 3.7379310344827585)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.600869565217391)","(17.0, 44.0, 41.36842105263158)","(11.0, 21.0, 19.6)","(3.9, 4.4, 4.300000000000001)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:13.677664,"(10.0, 12.0, 11.733333333333333)","(21.0, 28.0, 24.5)","(8.0, 12.5, 11.25)","(2.9, 3.8, 3.7379310344827585)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.600869565217391)","(17.0, 44.0, 41.36842105263158)","(11.0, 21.0, 19.6)","(3.9, 4.4, 4.300000000000001)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:14.992834,"(10.0, 12.0, 11.733333333333333)","(21.0, 28.0, 24.5)","(8.0, 12.5, 11.25)","(2.9, 3.8, 3.7379310344827585)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.600869565217391)","(17.0, 44.0, 41.36842105263158)","(11.0, 21.0, 19.6)","(3.9, 4.4, 4.300000000000001)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:16.251632,"(10.0, 12.0, 11.333333333333334)","(21.0, 28.0, 24.5)","(8.0, 12.5, 11.25)","(2.9, 3.8, 3.7379310344827585)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.600869565217391)","(17.0, 44.0, 41.36842105263158)","(11.0, 21.0, 19.6)","(3.9, 4.4, 4.300000000000001)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:17.556316,"(10.0, 12.0, 11.333333333333334)","(21.0, 28.0, 24.5)","(8.0, 12.5, 11.25)","(2.9, 3.8, 3.7379310344827585)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.600869565217391)","(17.0, 44.0, 40.5)","(11.0, 21.0, 19.6)","(3.9, 4.4, 4.300000000000001)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:18.836231,"(10.0, 12.0, 11.333333333333334)","(21.0, 28.0, 24.5)","(8.0, 12.5, 11.25)","(2.9, 3.8, 3.7379310344827585)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.600869565217391)","(17.0, 44.0, 40.5)","(11.0, 21.0, 19.6)","(3.9, 4.4, 4.300000000000001)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:20.141869,"(10.0, 12.0, 11.333333333333334)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.8, 3.7379310344827585)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.600869565217391)","(17.0, 44.0, 40.5)","(11.0, 21.0, 19.6)","(3.9, 4.4, 4.300000000000001)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:21.441340,"(10.0, 12.0, 11.333333333333334)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.8, 3.7379310344827585)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.600869565217391)","(17.0, 44.0, 40.5)","(11.0, 21.0, 19.6)","(3.9, 4.4, 4.300000000000001)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:22.776925,"(10.0, 12.0, 11.333333333333334)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.8, 3.7379310344827585)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.600869565217391)","(17.0, 44.0, 40.5)","(11.0, 21.0, 19.6)","(3.9, 4.4, 4.300000000000001)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:24.110089,"(10.0, 12.0, 11.333333333333334)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.8, 3.7379310344827585)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.600869565217391)","(17.0, 44.0, 40.0)","(11.0, 21.0, 19.6)","(3.9, 4.4, 4.300000000000001)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:25.507977,"(10.0, 12.0, 11.333333333333334)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.8, 3.7379310344827585)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.600869565217391)","(17.0, 44.0, 40.0)","(11.0, 21.0, 19.6)","(3.9, 4.4, 4.300000000000001)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:26.807392,"(10.0, 12.0, 11.333333333333334)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.8, 3.7379310344827585)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.600869565217391)","(17.0, 44.0, 40.0)","(11.0, 21.0, 19.6)","(3.9, 4.4, 4.300000000000001)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:28.134456,"(10.0, 12.0, 11.6)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.8, 3.5705882352941174)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.600869565217391)","(17.0, 44.0, 39.81818181818181)","(11.0, 21.0, 20.125)","(3.9, 4.5, 4.275)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:29.562232,"(10.0, 13.0, 12.580645161290322)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.8, 3.58)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.600869565217391)","(17.0, 44.0, 39.81818181818181)","(11.0, 21.0, 20.125)","(3.9, 4.5, 4.275)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:30.990987,"(10.0, 13.0, 11.148148148148149)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.8, 3.7)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.600869565217391)","(17.0, 44.0, 39.81818181818181)","(11.0, 21.0, 20.125)","(3.9, 4.5, 4.275)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:32.337620,"(10.0, 13.0, 11.333333333333334)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.75, 3.7)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.600869565217391)","(17.0, 44.0, 39.81818181818181)","(11.0, 21.0, 20.125)","(3.9, 4.5, 4.275)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:34.072298,"(10.0, 13.0, 11.529411764705882)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.75, 3.7)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.600869565217391)","(17.0, 44.0, 36.666666666666664)","(11.0, 21.0, 20.125)","(3.9, 4.5, 4.275)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:35.723586,"(10.0, 13.0, 11.27027027027027)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.75, 3.7)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.600869565217391)","(17.0, 44.0, 36.666666666666664)","(11.0, 21.0, 20.125)","(3.9, 4.5, 4.233333333333333)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:37.225183,"(10.0, 13.0, 11.27027027027027)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.75, 3.7)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.600869565217391)","(17.0, 44.0, 41.06666666666666)","(11.0, 21.0, 20.0)","(3.9, 4.5, 4.233333333333333)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:38.652079,"(10.0, 13.0, 11.27027027027027)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.75, 3.7)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.600869565217391)","(17.0, 44.0, 41.06666666666666)","(11.0, 21.0, 20.0)","(3.9, 4.5, 4.233333333333333)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:40.017049,"(10.0, 13.0, 11.27027027027027)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.75, 3.7)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.600869565217391)","(17.0, 44.0, 41.06666666666666)","(11.0, 21.0, 20.0)","(3.9, 4.5, 4.233333333333333)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:41.367884,"(10.0, 13.0, 11.27027027027027)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.75, 3.6666666666666665)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.600869565217391)","(17.0, 44.0, 41.06666666666666)","(11.0, 21.0, 20.0)","(3.9, 4.5, 4.233333333333333)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:42.691347,"(10.0, 13.0, 11.27027027027027)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.75, 3.45)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.60625)","(17.0, 44.0, 41.8)","(11.0, 21.0, 20.0)","(3.9, 4.5, 4.3)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:44.018927,"(10.0, 13.0, 11.439024390243903)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.7, 3.522727272727273)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.60625)","(17.0, 44.0, 41.8)","(11.0, 21.0, 20.142857142857142)","(3.9, 4.5, 4.233333333333333)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:45.371618,"(10.0, 13.0, 11.439024390243903)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.7, 3.6527777777777777)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.60625)","(17.0, 44.0, 41.8)","(11.0, 21.0, 20.142857142857142)","(3.9, 4.5, 4.18)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:46.665960,"(10.0, 13.0, 11.439024390243903)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.75, 3.6527777777777777)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.60625)","(17.0, 44.0, 41.8)","(11.0, 21.0, 20.142857142857142)","(3.9, 4.5, 4.18)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:47.963409,"(10.0, 13.0, 11.439024390243903)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.75, 3.6527777777777777)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.60625)","(17.0, 44.0, 41.8)","(11.0, 21.0, 20.142857142857142)","(3.9, 4.5, 4.18)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:49.289423,"(10.0, 13.0, 11.439024390243903)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.75, 3.5625)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.60625)","(17.0, 44.0, 39.8)","(11.0, 21.0, 20.142857142857142)","(3.9, 4.5, 4.199999999999999)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:50.596659,"(10.0, 13.0, 11.439024390243903)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.75, 3.5625)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.60625)","(17.0, 44.0, 39.8)","(11.0, 21.0, 20.142857142857142)","(3.9, 4.5, 4.199999999999999)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:51.892238,"(10.0, 13.0, 11.439024390243903)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.75, 3.5625)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.60625)","(17.0, 44.0, 39.8)","(11.0, 21.0, 20.142857142857142)","(3.9, 4.5, 4.199999999999999)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:53.116195,"(10.0, 13.0, 11.486486486486486)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.75, 3.5625)","(51.0, 170.0, 153.33333333333334)","(4.8, 5.7, 5.60625)","(17.0, 44.0, 39.8)","(11.0, 21.0, 20.142857142857142)","(3.9, 4.5, 4.199999999999999)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:54.413981,"(10.0, 13.0, 11.486486486486486)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.7, 3.592857142857143)","(51.0, 170.0, 122.5)","(4.8, 5.7, 5.60625)","(17.0, 44.0, 34.0)","(11.0, 21.0, 20.142857142857142)","(3.9, 4.5, 4.199999999999999)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:55.805301,"(10.0, 13.0, 11.486486486486486)","(21.0, 27.0, 26.272727272727273)","(8.0, 12.5, 11.25)","(2.9, 3.7, 3.56875)","(51.0, 170.0, 122.5)","(4.8, 5.7, 5.60625)","(17.0, 44.0, 34.0)","(11.0, 21.0, 20.142857142857142)","(3.9, 4.5, 4.199999999999999)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:57.102618,"(10.0, 13.0, 11.486486486486486)","(21.0, 27.0, 24.551724137931036)","(8.0, 12.5, 11.25)","(2.9, 3.7, 3.457843137254902)","(51.0, 170.0, 122.5)","(4.8, 5.7, 5.60625)","(17.0, 44.0, 34.0)","(11.0, 21.0, 20.142857142857142)","(3.9, 4.5, 4.199999999999999)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:58.358823,"(10.0, 13.0, 11.486486486486486)","(21.0, 28.0, 24.40625)","(8.0, 12.5, 11.25)","(2.9, 3.55, 3.4245454545454543)","(51.0, 170.0, 122.5)","(4.8, 5.7, 5.60625)","(17.0, 44.0, 36.4)","(11.0, 21.0, 20.142857142857142)","(3.9, 4.5, 4.199999999999999)","(31.0, 120.0, 61.5)"
05-01-2023 16:38:59.654305,"(10.0, 13.0, 11.486486486486486)","(21.0, 28.0, 24.40625)","(8.0, 12.5, 11.25)","(2.9, 3.55, 3.5349999999999997)","(51.0, 170.0, 122.5)","(4.8, 5.7, 5.60625)","(17.0, 44.0, 36.4)","(11.0, 21.0, 20.142857142857142)","(3.9, 4.5, 4.199999999999999)","(31.0, 120.0, 61.5)"
05-01-2023 16:39:00.914770,"(10.0, 13.0, 11.486486486486486)","(21.0, 28.0, 24.40625)","(8.0, 12.5, 11.25)","(2.9, 3.5, 3.49)","(51.0, 170.0, 122.5)","(4.8, 5.7, 5.60625)","(17.0, 44.0, 36.4)","(11.0, 21.0, 20.142857142857142)","(3.9, 4.5, 4.199999999999999)","(31.0, 120.0, 61.5)"
05-01-2023 16:39:02.220987,"(10.0, 13.0, 11.486486486486486)","(21.0, 28.0, 24.40625)","(8.0, 12.5, 11.25)","(2.9, 3.5, 3.49)","(51.0, 170.0, 122.5)","(4.8, 5.7, 5.60625)","(17.0, 44.0, 36.4)","(11.0, 21.0, 20.142857142857142)","(3.9, 4.5, 4.199999999999999)","(31.0, 120.0, 61.5)"
05-01-2023 16:39:03.425344,"(10.0, 13.0, 11.486486486486486)","(21.0, 28.0, 24.40625)","(8.0, 12.5, 11.25)","(2.9, 3.5, 3.49)","(51.0, 170.0, 122.5)","(4.8, 5.7, 5.60625)","(17.0, 44.0, 40.2)","(11.0, 21.0, 20.142857142857142)","(3.9, 4.5, 4.199999999999999)","(31.0, 120.0, 61.5)"
05-01-2023 16:39:04.629980,"(10.0, 13.0, 11.486486486486486)","(21.0, 28.0, 24.59259259259259)","(8.0, 12.5, 10.536363636363637)","(2.9, 3.5, 3.49)","(51.0, 170.0, 122.5)","(4.8, 5.7, 5.60625)","(17.0, 44.0, 40.2)","(11.0, 21.0, 20.142857142857142)","(3.9, 4.5, 4.199999999999999)","(31.0, 120.0, 61.5)"
