,Shes The Grouse,Learned Lesson,Spotted Bull,Pennys Jade,Caesars Palace
04-01-2023 11:26:52.814653,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:26:53.685658,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:26:54.602798,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:26:55.632358,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:26:56.590617,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:26:57.545616,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:26:58.431607,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:26:59.356945,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:00.270674,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:01.200926,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:02.057215,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:02.877945,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:03.889553,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:04.836283,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:05.795356,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:06.705747,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:07.758318,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:08.894780,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:09.832446,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:10.653178,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:11.562311,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:12.508343,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:13.412110,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:14.230173,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:15.050982,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:15.988342,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:16.951754,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:17.900711,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:18.783245,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:19.644742,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:20.539150,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:21.442790,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:22.286384,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:23.095016,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:24.024775,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:24.962356,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:25.868186,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:26.695368,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:27.522165,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:28.422043,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:29.363522,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:30.267793,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:31.175435,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:31.988080,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:32.867691,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:33.765241,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:34.633346,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:35.433035,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:36.271364,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:37.194728,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:38.121093,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:39.031698,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:39.910737,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:40.808701,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:41.676008,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:42.495532,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:43.328534,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:44.229391,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:45.068704,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:45.946497,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:46.857667,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:47.706342,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:48.549382,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:49.430711,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:50.301252,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:51.168219,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:52.057548,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:52.953460,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:53.836697,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:54.724472,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:55.568682,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:56.389795,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:57.198686,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:58.095737,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:59.026146,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:27:59.947762,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:28:00.807571,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:28:01.644108,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:28:02.493446,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:28:03.421260,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.415625)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:28:04.319616,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.4542682926829267)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:28:05.146016,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.4542682926829267)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:28:06.005384,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.4542682926829267)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:28:06.884277,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.4542682926829267)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:28:07.777278,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.4542682926829267)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:28:08.611938,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.4542682926829267)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:28:09.421629,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.4542682926829267)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:28:10.269448,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.4542682926829267)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.996428571428572)"
04-01-2023 11:28:11.189273,"(4.0, 6.2, 5.169148936170213)","(4.0, 7.6, 5.384615384615384)","(3.2, 5.0, 3.4542682926829267)","(6.0, 12.0, 10.309090909090909)","(3.8, 7.0, 4.8)"
04-01-2023 11:28:12.107050,"(4.0, 5.9, 5.45)","(4.0, 7.6, 5.384615384615384)","(3.2, 4.9, 4.259615384615385)","(6.0, 12.0, 10.309090909090909)","(3.8, 5.5, 4.8)"
04-01-2023 11:28:13.050446,"(4.0, 5.9, 5.45)","(4.0, 7.6, 5.384615384615384)","(3.2, 4.9, 4.259615384615385)","(6.0, 12.0, 10.309090909090909)","(3.8, 5.5, 4.8)"
04-01-2023 11:28:14.022866,"(4.0, 5.9, 5.45)","(4.0, 7.6, 5.384615384615384)","(3.2, 4.9, 4.259615384615385)","(6.0, 12.0, 10.309090909090909)","(3.8, 5.5, 4.8)"
04-01-2023 11:28:14.861908,"(4.0, 5.9, 5.45)","(4.0, 7.6, 5.384615384615384)","(3.2, 4.9, 4.259615384615385)","(6.0, 12.0, 10.309090909090909)","(3.8, 5.5, 4.8)"
04-01-2023 11:28:15.703256,"(4.0, 5.9, 5.45)","(4.0, 7.6, 5.384615384615384)","(3.2, 4.9, 4.259615384615385)","(6.0, 12.0, 10.309090909090909)","(3.8, 5.5, 4.8)"
04-01-2023 11:28:16.562466,"(4.0, 5.9, 5.45)","(4.0, 7.6, 5.384615384615384)","(3.2, 4.9, 4.259615384615385)","(6.0, 12.0, 10.309090909090909)","(3.8, 5.5, 4.8)"
04-01-2023 11:28:17.490462,"(4.0, 5.9, 5.45)","(4.0, 7.6, 5.384615384615384)","(3.2, 4.9, 4.259615384615385)","(6.0, 12.0, 10.309090909090909)","(3.8, 5.5, 4.8)"
04-01-2023 11:28:18.324290,"(4.0, 5.9, 5.45)","(4.0, 7.6, 5.384615384615384)","(3.2, 4.9, 4.259615384615385)","(6.0, 12.0, 10.309090909090909)","(3.8, 5.5, 4.8)"
04-01-2023 11:28:19.153069,"(4.0, 5.9, 5.45)","(4.0, 7.6, 5.384615384615384)","(3.2, 4.9, 4.259615384615385)","(6.0, 12.0, 10.309090909090909)","(3.8, 5.5, 4.8)"
04-01-2023 11:28:20.098366,"(4.0, 5.9, 5.45)","(4.0, 7.6, 5.384615384615384)","(3.2, 4.9, 4.259615384615385)","(6.0, 12.0, 10.309090909090909)","(3.8, 5.5, 4.8)"
04-01-2023 11:28:20.988902,"(4.0, 5.9, 5.45)","(4.0, 7.6, 5.384615384615384)","(3.2, 4.9, 4.259615384615385)","(6.0, 12.0, 10.309090909090909)","(3.8, 5.5, 4.8)"
04-01-2023 11:28:21.943456,"(4.0, 5.9, 5.45)","(4.0, 7.6, 5.384615384615384)","(3.2, 4.9, 4.259615384615385)","(6.0, 12.0, 10.309090909090909)","(3.8, 5.5, 4.530769230769231)"
04-01-2023 11:28:22.822393,"(4.0, 5.9, 5.45)","(4.0, 7.6, 5.384615384615384)","(3.2, 4.9, 4.259615384615385)","(6.0, 12.0, 10.309090909090909)","(3.8, 5.5, 4.530769230769231)"
04-01-2023 11:28:23.729148,"(4.0, 5.9, 5.45)","(4.0, 7.6, 5.384615384615384)","(3.2, 4.9, 4.259615384615385)","(6.0, 12.0, 10.309090909090909)","(3.8, 5.5, 4.530769230769231)"
04-01-2023 11:28:24.675916,"(4.0, 5.9, 5.45)","(4.0, 7.6, 5.384615384615384)","(3.2, 4.9, 4.259615384615385)","(6.0, 12.0, 10.309090909090909)","(3.8, 5.5, 4.530769230769231)"
04-01-2023 11:28:25.528440,"(4.0, 5.9, 5.45)","(4.0, 7.6, 5.384615384615384)","(3.2, 4.9, 4.259615384615385)","(6.0, 12.0, 10.309090909090909)","(3.8, 5.5, 4.530769230769231)"
04-01-2023 11:28:26.417518,"(4.0, 5.9, 5.45)","(4.0, 7.6, 5.384615384615384)","(3.2, 4.9, 4.259615384615385)","(6.0, 12.0, 10.309090909090909)","(3.8, 5.5, 4.530769230769231)"
04-01-2023 11:28:27.308084,"(4.0, 5.9, 5.45)","(4.0, 7.6, 5.384615384615384)","(3.2, 4.9, 4.259615384615385)","(6.0, 12.0, 10.309090909090909)","(3.8, 5.5, 5.242857142857143)"
