,Call Me Thor,Pretty Reef,Wild Assassin,Will She Stay,Kelseys Girl,Interfere,Alvin Delight
15-12-2022 11:29:09.543183,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.783333333333333)","(7.0, 13.5, 9.45)","(11.0, 24.0, 20.2)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
15-12-2022 11:29:10.511216,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.783333333333333)","(7.0, 13.5, 9.45)","(11.0, 24.0, 20.2)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
15-12-2022 11:29:11.477377,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.783333333333333)","(7.0, 13.5, 11.081249999999999)","(11.0, 24.0, 20.2)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 343.3333333333333)"
15-12-2022 11:29:12.446696,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.2875)","(7.0, 13.5, 11.493333333333332)","(11.0, 24.0, 20.2)","(11.0, 21.0, 15.272727272727273)","(71.0, 570.0, 513.8461538461538)"
15-12-2022 11:29:13.487313,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.2875)","(7.0, 13.5, 11.493333333333332)","(11.0, 24.0, 17.0)","(11.0, 21.0, 15.272727272727273)","(71.0, 650.0, 513.8461538461538)"
15-12-2022 11:29:14.651192,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.841666666666667)","(7.0, 13.5, 11.493333333333332)","(11.0, 24.0, 17.0)","(11.0, 21.0, 15.272727272727273)","(71.0, 650.0, 322.5)"
15-12-2022 11:29:15.745782,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.841666666666667)","(7.0, 13.5, 11.493333333333332)","(11.0, 24.0, 17.0)","(11.0, 21.0, 15.272727272727273)","(71.0, 580.0, 322.5)"
15-12-2022 11:29:16.831200,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.841666666666667)","(7.0, 13.5, 11.493333333333332)","(11.0, 24.0, 17.0)","(11.0, 21.0, 15.272727272727273)","(71.0, 580.0, 322.5)"
15-12-2022 11:29:17.860702,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 4.655555555555555)","(7.0, 13.5, 11.493333333333332)","(11.0, 24.0, 17.0)","(11.0, 21.0, 15.272727272727273)","(71.0, 580.0, 122.22222222222223)"
15-12-2022 11:29:18.927192,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 4.655555555555555)","(7.0, 13.5, 11.223529411764705)","(11.0, 24.0, 17.0)","(11.0, 21.0, 15.272727272727273)","(71.0, 580.0, 122.22222222222223)"
15-12-2022 11:29:19.965530,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.783333333333333)","(7.0, 13.5, 11.223529411764705)","(11.0, 24.0, 17.0)","(11.0, 21.0, 15.272727272727273)","(71.0, 580.0, 122.22222222222223)"
15-12-2022 11:29:21.134459,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.783333333333333)","(7.0, 13.5, 11.223529411764705)","(11.0, 24.0, 17.0)","(11.0, 21.0, 15.272727272727273)","(71.0, 580.0, 122.22222222222223)"
15-12-2022 11:29:22.187242,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.783333333333333)","(7.0, 13.5, 11.223529411764705)","(11.0, 24.0, 17.0)","(11.0, 21.0, 15.272727272727273)","(71.0, 580.0, 122.22222222222223)"
15-12-2022 11:29:23.157347,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.783333333333333)","(7.0, 13.5, 11.223529411764705)","(11.0, 24.0, 17.0)","(11.0, 21.0, 15.272727272727273)","(71.0, 580.0, 122.22222222222223)"
15-12-2022 11:29:24.197474,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.2875)","(7.0, 13.5, 11.223529411764705)","(11.0, 24.0, 17.0)","(11.0, 21.0, 15.272727272727273)","(71.0, 580.0, 122.22222222222223)"
15-12-2022 11:29:25.131274,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.841666666666667)","(7.0, 13.5, 11.223529411764705)","(11.0, 24.0, 17.0)","(11.0, 21.0, 15.272727272727273)","(71.0, 580.0, 122.22222222222223)"
15-12-2022 11:29:26.124562,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.841666666666667)","(7.0, 13.5, 11.223529411764705)","(11.0, 24.0, 17.0)","(11.0, 21.0, 15.272727272727273)","(71.0, 580.0, 122.22222222222223)"
15-12-2022 11:29:27.162042,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.841666666666667)","(7.0, 13.5, 11.223529411764705)","(11.0, 24.0, 17.0)","(11.0, 21.0, 15.272727272727273)","(71.0, 580.0, 122.22222222222223)"
15-12-2022 11:29:28.250212,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.85625)","(7.0, 13.5, 11.223529411764705)","(11.0, 24.0, 17.0)","(11.0, 21.0, 15.272727272727273)","(71.0, 580.0, 122.22222222222223)"
15-12-2022 11:29:29.328934,"(2.25, 2.96, 2.67)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.783333333333333)","(7.0, 13.0, 12.24)","(11.0, 25.0, 17.333333333333332)","(11.0, 21.0, 15.272727272727273)","(71.0, 580.0, 122.22222222222223)"
15-12-2022 11:29:30.606365,"(2.25, 2.94, 2.4499999999999997)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.783333333333333)","(7.0, 13.0, 12.24)","(11.0, 25.0, 17.333333333333332)","(11.0, 21.0, 15.272727272727273)","(71.0, 580.0, 122.22222222222223)"
15-12-2022 11:29:31.635206,"(2.25, 2.94, 2.4499999999999997)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.783333333333333)","(7.0, 13.0, 12.24)","(11.0, 25.0, 17.333333333333332)","(11.0, 21.0, 15.272727272727273)","(71.0, 580.0, 150.83333333333331)"
15-12-2022 11:29:32.612972,"(2.25, 2.94, 2.4499999999999997)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.783333333333333)","(7.0, 13.0, 12.24)","(11.0, 25.0, 17.333333333333332)","(11.0, 21.0, 15.272727272727273)","(71.0, 580.0, 122.22222222222223)"
15-12-2022 11:29:33.741793,"(2.25, 2.94, 2.4499999999999997)","(4.0, 5.8, 4.84375)","(4.0, 6.6, 5.2875)","(7.0, 13.0, 12.24)","(11.0, 25.0, 17.333333333333332)","(11.0, 21.0, 16.5)","(71.0, 580.0, 236.66666666666666)"
15-12-2022 11:29:34.764471,"(2.25, 2.94, 2.4499999999999997)","(4.0, 5.8, 4.675)","(4.0, 6.6, 5.2875)","(7.0, 13.0, 11.971428571428572)","(11.0, 25.0, 17.333333333333332)","(11.0, 21.0, 16.5)","(71.0, 580.0, 236.66666666666666)"
15-12-2022 11:29:35.782878,"(2.25, 2.94, 2.4499999999999997)","(4.0, 5.8, 4.6923076923076925)","(4.0, 6.6, 5.841666666666667)","(7.0, 13.0, 11.971428571428572)","(11.0, 25.0, 17.333333333333332)","(11.0, 21.0, 16.5)","(71.0, 580.0, 236.66666666666666)"
15-12-2022 11:29:36.885147,"(2.25, 2.94, 2.4499999999999997)","(4.0, 5.8, 4.6923076923076925)","(4.0, 6.6, 5.841666666666667)","(7.0, 13.0, 11.971428571428572)","(11.0, 25.0, 17.333333333333332)","(11.0, 21.0, 16.5)","(71.0, 580.0, 236.66666666666666)"
15-12-2022 11:29:37.851881,"(2.25, 2.94, 2.4499999999999997)","(4.0, 5.8, 4.6923076923076925)","(4.0, 6.6, 5.841666666666667)","(7.0, 13.0, 11.971428571428572)","(11.0, 25.0, 18.0)","(11.0, 21.0, 16.5)","(71.0, 580.0, 236.66666666666666)"
15-12-2022 11:29:38.881560,"(2.25, 2.94, 2.4499999999999997)","(4.0, 5.8, 4.6923076923076925)","(4.0, 6.6, 5.2875)","(7.0, 13.0, 11.971428571428572)","(11.0, 25.0, 18.333333333333332)","(11.0, 21.0, 16.5)","(71.0, 580.0, 236.66666666666666)"
15-12-2022 11:29:40.037682,"(2.25, 2.94, 2.4499999999999997)","(4.0, 5.8, 4.771428571428571)","(4.0, 6.6, 5.9)","(7.0, 13.0, 11.971428571428572)","(11.0, 25.0, 21.666666666666668)","(11.0, 21.0, 16.5)","(71.0, 580.0, 236.66666666666666)"
15-12-2022 11:29:41.027605,"(2.25, 2.94, 2.4499999999999997)","(4.0, 5.8, 4.835714285714285)","(4.0, 6.6, 5.9)","(7.0, 13.0, 11.971428571428572)","(11.0, 25.0, 21.666666666666668)","(11.0, 21.0, 14.666666666666668)","(71.0, 580.0, 236.66666666666666)"
15-12-2022 11:29:41.975552,"(2.25, 2.92, 2.4475)","(4.0, 5.8, 4.75)","(4.0, 6.6, 5.9)","(7.0, 13.0, 11.971428571428572)","(11.0, 25.0, 21.666666666666668)","(11.0, 22.0, 14.666666666666668)","(71.0, 580.0, 236.66666666666666)"
15-12-2022 11:29:42.992295,"(2.25, 2.92, 2.4475)","(4.0, 5.7, 4.7250000000000005)","(4.0, 6.6, 5.9)","(7.0, 12.5, 10.592307692307692)","(11.0, 25.0, 21.666666666666668)","(11.0, 20.0, 18.9375)","(71.0, 580.0, 236.66666666666666)"
15-12-2022 11:29:43.958008,"(2.25, 2.92, 2.4475)","(4.0, 5.6, 4.7)","(4.0, 6.6, 5.316666666666666)","(7.0, 12.5, 10.592307692307692)","(11.0, 25.0, 21.666666666666668)","(11.0, 20.0, 18.9375)","(71.0, 580.0, 236.66666666666666)"
15-12-2022 11:29:45.007955,"(2.25, 2.92, 2.4475)","(4.0, 5.6, 4.7)","(4.0, 6.6, 5.5636363636363635)","(7.0, 12.5, 9.566666666666666)","(11.0, 25.0, 22.77777777777778)","(11.0, 20.0, 18.125)","(71.0, 580.0, 236.66666666666666)"
15-12-2022 11:29:45.963218,"(2.25, 2.92, 2.4475)","(4.0, 5.6, 4.43)","(4.0, 6.6, 5.6117647058823525)","(7.0, 13.0, 11.857142857142858)","(11.0, 25.0, 22.77777777777778)","(11.0, 20.0, 18.125)","(71.0, 580.0, 236.66666666666666)"
15-12-2022 11:29:46.996159,"(2.25, 2.92, 2.4475)","(4.0, 5.6, 4.43)","(4.0, 6.6, 5.6117647058823525)","(7.0, 13.0, 11.857142857142858)","(11.0, 25.0, 22.77777777777778)","(11.0, 20.0, 19.11111111111111)","(71.0, 580.0, 266.1538461538462)"
15-12-2022 11:29:47.918806,"(2.25, 2.92, 2.4475)","(4.0, 5.6, 4.43)","(4.0, 6.6, 5.6117647058823525)","(7.0, 13.0, 11.857142857142858)","(11.0, 25.0, 22.77777777777778)","(11.0, 20.0, 18.125)","(71.0, 580.0, 266.1538461538462)"
15-12-2022 11:29:48.962078,"(2.25, 2.92, 2.4475)","(4.0, 5.6, 4.43)","(4.0, 6.6, 5.215384615384615)","(7.0, 13.0, 11.857142857142858)","(11.0, 25.0, 22.77777777777778)","(11.0, 20.0, 18.125)","(71.0, 580.0, 266.1538461538462)"
15-12-2022 11:29:49.983180,"(2.25, 2.92, 2.4475)","(4.0, 5.6, 4.43)","(4.0, 6.4, 6.076923076923077)","(7.0, 13.0, 11.733333333333333)","(11.0, 25.0, 22.77777777777778)","(11.0, 20.0, 18.125)","(71.0, 580.0, 266.1538461538462)"
15-12-2022 11:29:51.097282,"(2.25, 2.9, 2.445)","(4.0, 5.5, 4.42)","(4.0, 6.4, 5.828571428571429)","(7.0, 13.0, 11.733333333333333)","(11.0, 25.0, 21.833333333333332)","(11.0, 20.0, 16.25)","(71.0, 580.0, 266.1538461538462)"
15-12-2022 11:29:52.172793,"(2.25, 2.9, 2.445)","(4.0, 5.5, 4.42)","(4.0, 6.4, 5.828571428571429)","(7.0, 13.0, 11.733333333333333)","(11.0, 25.0, 22.0)","(11.0, 20.0, 16.0)","(71.0, 580.0, 266.1538461538462)"
15-12-2022 11:29:53.138606,"(2.25, 2.9, 2.445)","(4.0, 5.5, 4.42)","(4.0, 6.4, 5.828571428571429)","(7.0, 13.0, 11.733333333333333)","(11.0, 25.0, 22.0)","(11.0, 20.0, 16.0)","(71.0, 580.0, 266.1538461538462)"
15-12-2022 11:29:54.232370,"(2.25, 2.9, 2.445)","(4.0, 5.5, 4.42)","(4.0, 6.4, 5.828571428571429)","(7.0, 13.0, 11.733333333333333)","(11.0, 25.0, 22.0)","(11.0, 20.0, 16.0)","(71.0, 580.0, 212.72727272727272)"
15-12-2022 11:29:55.380208,"(2.25, 2.9, 2.445)","(4.0, 5.5, 4.42)","(4.0, 6.4, 5.828571428571429)","(7.0, 13.0, 11.3375)","(11.0, 25.0, 21.6)","(11.0, 20.0, 18.666666666666664)","(71.0, 580.0, 212.72727272727272)"
15-12-2022 11:29:56.609531,"(2.25, 2.9, 2.445)","(4.0, 5.5, 4.42)","(4.0, 6.4, 6.418181818181818)","(7.0, 12.5, 11.725)","(11.0, 25.0, 23.11111111111111)","(11.0, 20.0, 18.666666666666664)","(71.0, 580.0, 212.72727272727272)"
15-12-2022 11:29:57.806093,"(2.25, 2.9, 2.445)","(4.0, 5.5, 4.41)","(4.0, 6.6, 6.4111111111111105)","(7.0, 12.5, 11.725)","(11.0, 25.0, 23.11111111111111)","(11.0, 20.0, 18.666666666666664)","(71.0, 580.0, 212.72727272727272)"
15-12-2022 11:29:58.892519,"(2.25, 2.9, 2.445)","(4.0, 5.4, 4.5)","(4.0, 6.6, 6.4111111111111105)","(7.0, 12.5, 11.725)","(11.0, 25.0, 23.11111111111111)","(11.0, 20.0, 18.666666666666664)","(71.0, 580.0, 212.72727272727272)"
15-12-2022 11:29:59.886140,"(2.25, 2.9, 2.445)","(4.0, 5.4, 4.5)","(4.0, 6.6, 6.4111111111111105)","(7.0, 12.5, 11.725)","(11.0, 25.0, 23.11111111111111)","(11.0, 20.0, 18.666666666666664)","(71.0, 580.0, 212.72727272727272)"
15-12-2022 11:30:00.855687,"(2.25, 2.9, 2.445)","(4.0, 5.4, 4.5)","(4.0, 6.6, 6.4111111111111105)","(7.0, 12.5, 11.725)","(11.0, 25.0, 23.11111111111111)","(11.0, 20.0, 18.666666666666664)","(71.0, 580.0, 212.72727272727272)"
15-12-2022 11:30:02.143605,"(2.25, 2.9, 2.445)","(4.0, 5.4, 4.5)","(4.0, 6.6, 6.25)","(7.0, 12.0, 9.899999999999999)","(11.0, 25.0, 23.0)","(11.0, 20.0, 18.666666666666664)","(71.0, 580.0, 243.33333333333334)"
15-12-2022 11:30:03.423317,"(2.25, 2.88, 2.4425)","(4.0, 5.4, 4.5)","(4.0, 6.6, 6.1)","(7.0, 12.0, 9.899999999999999)","(11.0, 25.0, 23.0)","(11.0, 20.0, 18.666666666666664)","(71.0, 580.0, 243.33333333333334)"
15-12-2022 11:30:04.656873,"(2.25, 2.88, 2.4425)","(4.0, 5.4, 4.5)","(4.0, 6.6, 6.1)","(7.0, 12.0, 9.899999999999999)","(11.0, 25.0, 23.0)","(11.0, 20.0, 18.666666666666664)","(71.0, 580.0, 243.33333333333334)"
15-12-2022 11:30:05.836883,"(2.25, 2.88, 2.4425)","(4.0, 5.4, 4.5)","(4.0, 6.6, 6.1)","(7.0, 12.0, 9.899999999999999)","(11.0, 25.0, 23.0)","(11.0, 20.0, 18.666666666666664)","(71.0, 580.0, 243.33333333333334)"
15-12-2022 11:30:07.023162,"(2.2, 2.88, 2.4425)","(4.0, 5.4, 4.5)","(4.0, 6.6, 6.1)","(7.0, 12.0, 9.899999999999999)","(12.0, 25.0, 22.42857142857143)","(11.0, 20.0, 18.666666666666664)","(71.0, 580.0, 243.33333333333334)"
15-12-2022 11:30:08.255994,"(2.2, 2.88, 2.4425)","(4.0, 5.5, 4.633333333333334)","(4.0, 6.6, 6.383333333333333)","(7.0, 12.0, 9.511111111111111)","(12.0, 25.0, 21.6)","(11.0, 20.0, 18.666666666666664)","(71.0, 580.0, 243.33333333333334)"
15-12-2022 11:30:09.638621,"(2.2, 2.88, 2.4425)","(4.0, 5.5, 4.633333333333334)","(4.0, 6.6, 6.383333333333333)","(7.0, 12.0, 9.511111111111111)","(12.0, 25.0, 21.6)","(11.0, 20.0, 19.11111111111111)","(71.0, 580.0, 243.33333333333334)"
15-12-2022 11:30:10.898361,"(2.2, 2.88, 2.4425)","(4.0, 5.5, 4.633333333333334)","(4.0, 6.6, 6.383333333333333)","(7.0, 12.0, 9.511111111111111)","(12.0, 25.0, 22.333333333333332)","(11.0, 20.0, 19.11111111111111)","(71.0, 580.0, 243.33333333333334)"
15-12-2022 11:30:11.973045,"(2.2, 2.88, 2.4425)","(4.0, 5.5, 5.175)","(4.0, 6.6, 6.3999999999999995)","(7.0, 12.0, 9.511111111111111)","(12.0, 25.0, 22.333333333333332)","(11.0, 20.0, 19.11111111111111)","(71.0, 580.0, 243.33333333333334)"
15-12-2022 11:30:13.127454,"(2.2, 2.88, 2.4425)","(4.0, 5.5, 4.633333333333334)","(4.0, 6.6, 6.3999999999999995)","(7.0, 12.0, 9.511111111111111)","(12.0, 25.0, 22.333333333333332)","(11.0, 20.0, 19.11111111111111)","(71.0, 580.0, 243.33333333333334)"
15-12-2022 11:30:14.305358,"(2.2, 2.9, 2.466666666666667)","(4.0, 5.5, 4.633333333333334)","(4.0, 6.6, 6.3999999999999995)","(7.0, 12.0, 9.511111111111111)","(12.0, 25.0, 22.333333333333332)","(11.0, 20.0, 18.666666666666664)","(71.0, 580.0, 243.33333333333334)"
15-12-2022 11:30:15.404246,"(2.2, 2.9, 2.466666666666667)","(4.0, 5.5, 4.633333333333334)","(4.0, 6.6, 6.3999999999999995)","(7.0, 12.0, 9.511111111111111)","(12.0, 25.0, 22.333333333333332)","(11.0, 20.0, 18.666666666666664)","(71.0, 580.0, 243.33333333333334)"
15-12-2022 11:30:16.496575,"(2.2, 3.05, 2.6849999999999996)","(4.0, 5.5, 5.175)","(4.0, 6.6, 5.75)","(7.0, 12.0, 9.666666666666666)","(12.0, 25.0, 20.0625)","(11.0, 20.0, 18.666666666666664)","(71.0, 580.0, 243.33333333333334)"
15-12-2022 11:30:17.514253,"(2.2, 3.0, 2.5105263157894737)","(4.0, 5.5, 4.633333333333334)","(4.0, 6.6, 6.366666666666666)","(7.0, 12.0, 9.666666666666666)","(12.0, 26.0, 20.0625)","(11.0, 20.0, 18.666666666666664)","(71.0, 580.0, 243.33333333333334)"
