,Bertas Babe,Special Thunder,Bellas Blessed,Underwater,Tiki Bar,Go Girl,Futures Changed,Alpha Humbug
10-01-2023 16:04:05.441119,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:06.705977,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:07.836961,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:08.987263,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:10.251773,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:11.542305,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:12.719594,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:13.942918,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:15.170504,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:16.485758,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:17.724320,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:18.873206,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:19.947115,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:21.044656,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:22.124866,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:23.266510,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:24.430557,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:25.452884,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:26.680871,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:27.775388,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:28.832549,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:29.914823,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:31.038150,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:32.180770,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:33.236332,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:34.296466,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:35.406262,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:36.577344,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:37.637362,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:38.704908,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:39.892325,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:41.040106,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:42.186869,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:43.400462,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:44.563667,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:45.752924,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:46.910015,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:48.035479,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:49.095044,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:50.193168,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:51.298699,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:52.323757,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:53.365908,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:54.470048,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:55.562277,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:56.642862,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:57.751314,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:04:58.914941,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:05:00.069408,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:05:01.168014,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 10.233333333333333)","(11.0, 32.0, 18.333333333333332)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:05:02.282047,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 8.9)","(11.0, 32.0, 19.7)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 45.54545454545455)"
10-01-2023 16:05:03.493219,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 8.9)","(11.0, 32.0, 28.926829268292682)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 50.0)"
10-01-2023 16:05:04.654067,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 8.9)","(11.0, 32.0, 28.926829268292682)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 50.0)"
10-01-2023 16:05:05.741007,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 8.9)","(11.0, 32.0, 28.926829268292682)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 50.0)"
10-01-2023 16:05:06.857634,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 8.9)","(11.0, 32.0, 28.926829268292682)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 50.0)"
10-01-2023 16:05:07.897405,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 8.9)","(11.0, 32.0, 28.926829268292682)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 50.0)"
10-01-2023 16:05:08.984629,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 8.9)","(11.0, 32.0, 28.926829268292682)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 50.0)"
10-01-2023 16:05:10.026812,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 8.9)","(11.0, 32.0, 28.926829268292682)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 50.0)"
10-01-2023 16:05:11.083493,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 8.9)","(11.0, 32.0, 28.926829268292682)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 50.0)"
10-01-2023 16:05:12.277525,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 8.9)","(11.0, 32.0, 28.926829268292682)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 50.0)"
10-01-2023 16:05:13.368230,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 8.9)","(11.0, 32.0, 28.926829268292682)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 50.0)"
10-01-2023 16:05:14.518740,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 8.9)","(11.0, 32.0, 28.926829268292682)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 50.0)"
10-01-2023 16:05:15.732414,"(6.5, 15.5, 7.7124999999999995)","(3.8, 6.0, 5.529999999999999)","(8.0, 15.5, 8.9)","(11.0, 32.0, 28.926829268292682)","(5.5, 11.5, 5.954545454545455)","(3.7, 6.6, 5.775)","(5.0, 5.1, 5.02)","(31.0, 95.0, 50.0)"
