,Mighty Night,Little Mac,Tah Ash,Nitro Cannon,Brookes Girl,Monos Spirit,Monos Typhoon,Tah Darcy
10-01-2023 11:26:55.223455,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.45)","(41.0, 310.0, 114.28571428571429)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 25.970588235294116)","(8.5, 22.0, 10.685714285714287)","(101.0, 650.0, 553.3333333333334)"
10-01-2023 11:26:56.214781,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 114.28571428571429)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 25.333333333333332)","(8.5, 22.0, 10.685714285714287)","(101.0, 650.0, 553.3333333333334)"
10-01-2023 11:26:57.180239,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 114.28571428571429)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 25.333333333333332)","(8.5, 22.0, 10.685714285714287)","(101.0, 650.0, 553.3333333333334)"
10-01-2023 11:26:58.234292,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 114.28571428571429)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 25.333333333333332)","(8.5, 22.0, 10.685714285714287)","(101.0, 650.0, 553.3333333333334)"
10-01-2023 11:26:59.219592,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 114.28571428571429)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 25.333333333333332)","(8.5, 22.0, 10.685714285714287)","(101.0, 650.0, 553.3333333333334)"
10-01-2023 11:27:00.233100,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 114.28571428571429)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 25.333333333333332)","(8.5, 22.0, 10.685714285714287)","(101.0, 650.0, 553.3333333333334)"
10-01-2023 11:27:01.241382,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 114.28571428571429)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 25.333333333333332)","(8.5, 22.0, 10.685714285714287)","(101.0, 650.0, 553.3333333333334)"
10-01-2023 11:27:02.299840,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 114.28571428571429)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 25.333333333333332)","(8.5, 22.0, 10.685714285714287)","(101.0, 650.0, 553.3333333333334)"
10-01-2023 11:27:03.337865,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 114.28571428571429)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 25.333333333333332)","(8.5, 22.0, 10.685714285714287)","(101.0, 650.0, 553.3333333333334)"
10-01-2023 11:27:04.336527,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 114.28571428571429)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 25.333333333333332)","(8.5, 22.0, 10.685714285714287)","(101.0, 650.0, 553.3333333333334)"
10-01-2023 11:27:05.373507,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 114.28571428571429)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 25.333333333333332)","(8.5, 22.0, 10.685714285714287)","(101.0, 650.0, 553.3333333333334)"
10-01-2023 11:27:06.402680,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 114.28571428571429)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 25.333333333333332)","(8.5, 22.0, 10.685714285714287)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:07.487087,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:08.548687,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:09.592007,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:10.687169,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:11.754538,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:12.800150,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:13.861476,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:14.880237,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:15.883244,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:16.914900,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:17.888313,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:18.978795,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:19.990141,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:20.994640,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:22.069142,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:23.109332,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:24.155206,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:25.197491,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:26.241030,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:27.287066,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:28.308673,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:29.379659,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:30.401814,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:31.459768,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:32.496396,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 26.444444444444443)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:33.514109,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 141.3846153846154)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.125)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:34.559561,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.125)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:35.615125,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.125)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:36.667539,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.125)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:37.733220,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.125)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:38.757546,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.125)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:39.784728,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.125)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:40.820724,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.125)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:41.859288,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.125)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:42.916188,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.125)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:43.974689,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.88888888888889)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:45.028539,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.88888888888889)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:46.106133,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.88888888888889)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:47.107140,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.88888888888889)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:48.163621,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.88888888888889)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:49.182096,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.88888888888889)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:50.174896,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.88888888888889)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:51.193900,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.88888888888889)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:52.202106,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.88888888888889)","(8.5, 22.0, 14.08)","(101.0, 650.0, 536.0)"
10-01-2023 11:27:53.220611,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.88888888888889)","(8.5, 22.0, 14.08)","(101.0, 650.0, 555.8333333333334)"
10-01-2023 11:27:54.251761,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.88888888888889)","(8.5, 22.0, 14.08)","(101.0, 650.0, 555.8333333333334)"
10-01-2023 11:27:55.287194,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.88888888888889)","(8.5, 22.0, 14.08)","(101.0, 650.0, 555.8333333333334)"
10-01-2023 11:27:56.342489,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.88888888888889)","(8.5, 22.0, 14.08)","(101.0, 650.0, 555.8333333333334)"
10-01-2023 11:27:57.359095,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.88888888888889)","(8.5, 22.0, 14.08)","(101.0, 650.0, 555.8333333333334)"
10-01-2023 11:27:58.418712,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.88888888888889)","(8.5, 22.0, 14.08)","(101.0, 650.0, 555.8333333333334)"
10-01-2023 11:27:59.446651,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.88888888888889)","(8.5, 22.0, 14.08)","(101.0, 650.0, 555.8333333333334)"
10-01-2023 11:28:00.499994,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.88888888888889)","(8.5, 22.0, 14.08)","(101.0, 650.0, 555.8333333333334)"
10-01-2023 11:28:01.521483,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.88888888888889)","(8.5, 22.0, 14.08)","(101.0, 650.0, 555.8333333333334)"
10-01-2023 11:28:02.503521,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.88888888888889)","(8.5, 22.0, 14.08)","(101.0, 650.0, 555.8333333333334)"
10-01-2023 11:28:03.527178,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.88888888888889)","(8.5, 22.0, 14.08)","(101.0, 650.0, 555.8333333333334)"
10-01-2023 11:28:04.518567,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.88888888888889)","(8.5, 22.0, 14.08)","(101.0, 650.0, 555.8333333333334)"
10-01-2023 11:28:05.526081,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 20.88888888888889)","(8.5, 22.0, 14.08)","(101.0, 650.0, 555.8333333333334)"
10-01-2023 11:28:06.530888,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 142.6153846153846)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 25.970588235294116)","(8.5, 22.0, 10.685714285714287)","(101.0, 650.0, 555.8333333333334)"
10-01-2023 11:28:07.532479,"(7.0, 12.0, 11.263636363636364)","(3.6, 7.0, 4.9222222222222225)","(41.0, 310.0, 174.0)","(2.9, 4.1, 3.4509999999999996)","(3.2, 4.4, 3.65)","(12.0, 32.0, 25.970588235294116)","(8.5, 22.0, 10.685714285714287)","(101.0, 650.0, 555.8333333333334)"
