,Wong Way,Joint Forces,Saturday Vibes,Lady Luna,Wisheart,Bellas In Command,Dream Luv,Heros Choice,Talk Crazy
08-12-2022 14:32:18.603753,"(2.0, 2.34, 2.321818181818182)","(18.0, 46.0, 39.0)","(2.4, 2.54, 2.513584905660377)","(13.0, 20.0, 19.142857142857142)","(26.0, 130.0, 93.33333333333333)","(101.0, 360.0, 240.0)","(26.0, 95.0, 75.0)","(16.0, 32.0, 24.666666666666668)","(10.0, 26.0, 24.80952380952381)"
08-12-2022 14:32:19.865160,"(2.0, 2.34, 2.3238461538461537)","(18.0, 46.0, 39.0)","(2.4, 2.54, 2.513584905660377)","(13.0, 20.0, 19.571428571428573)","(26.0, 130.0, 104.61538461538461)","(101.0, 360.0, 185.71428571428572)","(26.0, 95.0, 80.0)","(16.0, 30.0, 24.666666666666668)","(10.0, 26.0, 24.80952380952381)"
08-12-2022 14:32:21.076006,"(2.0, 2.34, 2.3238461538461537)","(18.0, 46.0, 39.0)","(2.4, 2.54, 2.513584905660377)","(13.0, 20.0, 19.571428571428573)","(26.0, 130.0, 104.61538461538461)","(101.0, 350.0, 230.0)","(26.0, 95.0, 80.0)","(16.0, 30.0, 24.666666666666668)","(10.0, 26.0, 24.80952380952381)"
08-12-2022 14:32:22.305648,"(2.0, 2.34, 2.3238461538461537)","(18.0, 46.0, 39.0)","(2.4, 2.54, 2.513584905660377)","(13.0, 20.0, 20.2)","(26.0, 130.0, 136.92307692307693)","(101.0, 340.0, 230.0)","(26.0, 95.0, 105.9090909090909)","(16.0, 30.0, 27.9)","(10.0, 26.0, 24.80952380952381)"
08-12-2022 14:32:23.563685,"(2.0, 2.34, 2.3238461538461537)","(18.0, 44.0, 42.666666666666664)","(2.4, 2.54, 2.5114285714285716)","(13.0, 21.0, 20.2)","(26.0, 190.0, 98.33333333333333)","(101.0, 340.0, 230.0)","(26.0, 140.0, 84.0)","(16.0, 30.0, 27.9)","(10.0, 26.0, 24.61111111111111)"
08-12-2022 14:32:24.689698,"(2.0, 2.34, 2.3238461538461537)","(18.0, 44.0, 43.111111111111114)","(2.4, 2.54, 2.5114285714285716)","(13.0, 21.0, 20.2)","(26.0, 190.0, 142.5)","(101.0, 340.0, 230.0)","(26.0, 140.0, 100.0)","(16.0, 30.0, 27.9)","(10.0, 26.0, 24.61111111111111)"
08-12-2022 14:32:25.854793,"(2.0, 2.34, 2.3231249999999997)","(18.0, 44.0, 43.111111111111114)","(2.4, 2.54, 2.5114285714285716)","(13.0, 21.0, 20.2)","(26.0, 180.0, 125.45454545454547)","(101.0, 340.0, 230.0)","(26.0, 140.0, 100.0)","(16.0, 30.0, 27.9)","(10.0, 26.0, 24.61111111111111)"
08-12-2022 14:32:27.083906,"(2.0, 2.34, 2.3231249999999997)","(18.0, 44.0, 43.111111111111114)","(2.4, 2.54, 2.5114285714285716)","(13.0, 21.0, 20.2)","(26.0, 180.0, 125.45454545454547)","(101.0, 340.0, 230.0)","(26.0, 140.0, 100.0)","(16.0, 30.0, 27.666666666666664)","(10.0, 26.0, 24.61111111111111)"
08-12-2022 14:32:28.176145,"(2.0, 2.34, 2.3231249999999997)","(18.0, 44.0, 42.0)","(2.4, 2.54, 2.5114285714285716)","(13.0, 21.0, 20.16)","(26.0, 180.0, 108.75)","(101.0, 340.0, 230.0)","(26.0, 140.0, 88.0)","(16.0, 29.0, 28.11111111111111)","(10.0, 26.0, 23.22222222222222)"
08-12-2022 14:32:29.297877,"(2.0, 2.34, 2.3231249999999997)","(18.0, 44.0, 42.0)","(2.4, 2.54, 2.5114285714285716)","(13.0, 21.0, 20.16)","(26.0, 180.0, 128.1818181818182)","(101.0, 340.0, 230.0)","(26.0, 140.0, 102.85714285714286)","(16.0, 29.0, 26.6)","(10.0, 26.0, 23.22222222222222)"
08-12-2022 14:32:30.467525,"(2.0, 2.34, 2.3231249999999997)","(18.0, 44.0, 42.0)","(2.4, 2.54, 2.5114285714285716)","(13.0, 21.0, 20.275862068965516)","(26.0, 180.0, 137.77777777777777)","(101.0, 340.0, 230.0)","(26.0, 140.0, 105.0)","(16.0, 28.0, 26.6)","(10.0, 26.0, 23.22222222222222)"
08-12-2022 14:32:31.648657,"(2.0, 2.34, 2.329230769230769)","(18.0, 44.0, 41.0)","(2.4, 2.54, 2.5114285714285716)","(13.0, 21.0, 20.275862068965516)","(26.0, 180.0, 142.0)","(101.0, 340.0, 230.0)","(26.0, 130.0, 105.0)","(16.0, 28.0, 28.53846153846154)","(10.0, 26.0, 23.22222222222222)"
08-12-2022 14:32:32.815386,"(2.0, 2.34, 2.329230769230769)","(18.0, 42.0, 34.2)","(2.4, 2.54, 2.5114285714285716)","(13.0, 21.0, 20.275862068965516)","(26.0, 180.0, 142.0)","(101.0, 340.0, 230.0)","(26.0, 130.0, 108.75)","(16.0, 32.0, 28.6)","(10.0, 26.0, 23.22222222222222)"
08-12-2022 14:32:33.990508,"(2.0, 2.34, 2.329230769230769)","(18.0, 42.0, 34.2)","(2.4, 2.54, 2.5114285714285716)","(13.0, 21.0, 20.275862068965516)","(26.0, 180.0, 142.0)","(101.0, 340.0, 230.0)","(26.0, 120.0, 97.5)","(16.0, 30.0, 27.0)","(10.0, 26.0, 24.076923076923077)"
08-12-2022 14:32:35.133689,"(2.0, 2.34, 2.329230769230769)","(18.0, 42.0, 34.2)","(2.4, 2.54, 2.5114285714285716)","(13.0, 21.0, 20.275862068965516)","(26.0, 180.0, 142.0)","(101.0, 340.0, 230.0)","(26.0, 120.0, 97.5)","(16.0, 30.0, 27.0)","(10.0, 26.0, 24.076923076923077)"
08-12-2022 14:32:36.268223,"(2.0, 2.34, 2.329230769230769)","(18.0, 42.0, 34.2)","(2.4, 2.54, 2.4941176470588236)","(13.0, 21.0, 20.275862068965516)","(26.0, 180.0, 142.0)","(101.0, 340.0, 230.0)","(26.0, 120.0, 97.5)","(16.0, 30.0, 27.0)","(10.0, 26.0, 24.076923076923077)"
08-12-2022 14:32:37.440589,"(2.0, 2.34, 2.335384615384615)","(18.0, 42.0, 34.2)","(2.4, 2.52, 2.4941176470588236)","(13.0, 21.0, 20.275862068965516)","(26.0, 180.0, 108.0)","(101.0, 340.0, 230.0)","(26.0, 120.0, 90.0)","(16.0, 30.0, 27.0)","(10.0, 26.0, 24.80952380952381)"
08-12-2022 14:32:38.655853,"(2.0, 2.34, 2.335384615384615)","(18.0, 40.0, 33.4)","(2.4, 2.52, 2.4941176470588236)","(13.0, 21.0, 20.275862068965516)","(26.0, 180.0, 140.0)","(101.0, 340.0, 230.0)","(26.0, 120.0, 100.0)","(16.0, 30.0, 27.0)","(10.0, 26.0, 24.61111111111111)"
08-12-2022 14:32:39.930341,"(2.0, 2.34, 2.335384615384615)","(18.0, 40.0, 33.4)","(2.4, 2.52, 2.4941176470588236)","(13.0, 21.0, 20.275862068965516)","(26.0, 180.0, 144.0)","(101.0, 340.0, 230.0)","(26.0, 120.0, 100.0)","(16.0, 30.0, 27.0)","(10.0, 26.0, 24.61111111111111)"
08-12-2022 14:32:41.212766,"(2.0, 2.34, 2.335384615384615)","(18.0, 38.0, 32.6)","(2.4, 2.52, 2.4941176470588236)","(13.0, 21.0, 20.275862068965516)","(26.0, 180.0, 144.0)","(101.0, 340.0, 230.0)","(26.0, 120.0, 90.0)","(16.0, 30.0, 27.0)","(10.0, 26.0, 24.61111111111111)"
08-12-2022 14:32:42.456696,"(2.0, 2.34, 2.335384615384615)","(18.0, 38.0, 32.6)","(2.4, 2.52, 2.4941176470588236)","(13.0, 21.0, 20.275862068965516)","(26.0, 180.0, 144.0)","(101.0, 340.0, 230.0)","(26.0, 120.0, 90.0)","(16.0, 30.0, 27.8)","(10.0, 26.0, 24.61111111111111)"
08-12-2022 14:32:43.597723,"(2.0, 2.4, 2.392)","(18.0, 38.0, 32.6)","(2.4, 2.5, 2.4835294117647058)","(13.0, 21.0, 20.275862068965516)","(26.0, 180.0, 144.0)","(101.0, 340.0, 230.0)","(26.0, 120.0, 90.0)","(16.0, 29.0, 33.0)","(10.0, 26.0, 24.46153846153846)"
08-12-2022 14:32:44.742980,"(2.0, 2.42, 2.397777777777778)","(18.0, 36.0, 31.833333333333336)","(2.4, 2.5, 2.4819354838709677)","(13.0, 21.0, 20.275862068965516)","(26.0, 180.0, 144.0)","(101.0, 340.0, 230.0)","(26.0, 120.0, 90.0)","(16.0, 38.0, 30.42857142857143)","(10.0, 26.0, 24.46153846153846)"
08-12-2022 14:32:45.886752,"(2.0, 2.42, 2.397777777777778)","(18.0, 36.0, 31.384615384615387)","(2.4, 2.5, 2.4819354838709677)","(13.0, 21.0, 20.275862068965516)","(26.0, 180.0, 144.0)","(101.0, 340.0, 230.0)","(26.0, 120.0, 90.0)","(16.0, 36.0, 29.76923076923077)","(10.0, 26.0, 24.46153846153846)"
08-12-2022 14:32:47.063836,"(2.0, 2.42, 2.397777777777778)","(18.0, 34.0, 30.666666666666664)","(2.4, 2.5, 2.4819354838709677)","(13.0, 21.0, 20.275862068965516)","(26.0, 180.0, 123.33333333333333)","(101.0, 340.0, 230.0)","(26.0, 120.0, 90.0)","(16.0, 34.0, 28.176470588235293)","(10.0, 26.0, 24.46153846153846)"
08-12-2022 14:32:48.239339,"(2.0, 2.42, 2.397777777777778)","(18.0, 34.0, 30.666666666666664)","(2.4, 2.5, 2.4852173913043476)","(13.0, 21.0, 20.275862068965516)","(26.0, 180.0, 142.22222222222223)","(101.0, 340.0, 230.0)","(26.0, 120.0, 90.0)","(16.0, 34.0, 30.2)","(10.0, 26.0, 23.5)"
08-12-2022 14:32:49.463836,"(2.0, 2.44, 2.4238709677419354)","(18.0, 34.0, 30.52173913043478)","(2.4, 2.5, 2.472244897959184)","(13.0, 21.0, 20.275862068965516)","(26.0, 180.0, 142.22222222222223)","(101.0, 340.0, 230.0)","(26.0, 120.0, 90.0)","(16.0, 32.0, 27.8)","(10.0, 26.0, 23.5)"
08-12-2022 14:32:50.672160,"(2.0, 2.44, 2.4238709677419354)","(18.0, 32.0, 30.333333333333332)","(2.4, 2.5, 2.472244897959184)","(13.0, 21.0, 20.275862068965516)","(26.0, 180.0, 142.22222222222223)","(101.0, 340.0, 230.0)","(26.0, 120.0, 90.0)","(16.0, 32.0, 28.5)","(10.0, 26.0, 23.5)"
08-12-2022 14:32:51.856478,"(2.0, 2.44, 2.4238709677419354)","(18.0, 32.0, 30.333333333333332)","(2.4, 2.5, 2.472244897959184)","(13.0, 21.0, 20.275862068965516)","(26.0, 180.0, 142.22222222222223)","(101.0, 340.0, 230.0)","(26.0, 120.0, 96.0)","(16.0, 32.0, 28.5)","(10.0, 26.0, 23.5)"
08-12-2022 14:32:53.016342,"(2.0, 2.44, 2.4238709677419354)","(18.0, 32.0, 30.333333333333332)","(2.4, 2.5, 2.472244897959184)","(13.0, 21.0, 20.275862068965516)","(26.0, 180.0, 142.22222222222223)","(101.0, 340.0, 230.0)","(26.0, 120.0, 96.0)","(16.0, 32.0, 28.5)","(10.0, 26.0, 23.125)"
08-12-2022 14:32:54.164167,"(2.0, 2.44, 2.4238709677419354)","(18.0, 32.0, 30.333333333333332)","(2.4, 2.5, 2.472244897959184)","(13.0, 21.0, 20.275862068965516)","(26.0, 180.0, 146.0)","(101.0, 340.0, 230.0)","(26.0, 120.0, 96.0)","(16.0, 32.0, 28.333333333333332)","(10.0, 25.0, 23.125)"
08-12-2022 14:32:55.339172,"(2.0, 2.44, 2.41)","(18.0, 32.0, 30.333333333333332)","(2.4, 2.5, 2.49)","(13.0, 21.0, 20.192307692307693)","(26.0, 180.0, 137.5)","(101.0, 340.0, 263.33333333333337)","(26.0, 120.0, 96.0)","(16.0, 30.0, 32.333333333333336)","(10.0, 25.0, 23.125)"
08-12-2022 14:32:56.472954,"(2.0, 2.46, 2.4375)","(18.0, 29.0, 28.6)","(2.4, 2.48, 2.468235294117647)","(13.0, 21.0, 20.192307692307693)","(26.0, 180.0, 137.5)","(101.0, 340.0, 263.33333333333337)","(26.0, 120.0, 96.0)","(16.0, 36.0, 30.142857142857142)","(10.0, 25.0, 23.125)"
08-12-2022 14:32:57.623123,"(2.0, 2.48, 2.4363636363636365)","(18.0, 29.0, 28.166666666666668)","(2.4, 2.48, 2.4657142857142857)","(13.0, 21.0, 20.192307692307693)","(26.0, 180.0, 137.5)","(101.0, 340.0, 263.33333333333337)","(26.0, 120.0, 96.0)","(16.0, 34.0, 28.6)","(10.0, 25.0, 23.125)"
08-12-2022 14:32:58.851764,"(2.0, 2.48, 2.4266666666666667)","(18.0, 29.0, 28.166666666666668)","(2.4, 2.48, 2.4657142857142857)","(13.0, 21.0, 20.192307692307693)","(26.0, 180.0, 137.5)","(101.0, 340.0, 256.66666666666663)","(26.0, 120.0, 96.0)","(16.0, 34.0, 28.6)","(10.0, 25.0, 23.125)"
08-12-2022 14:33:00.070781,"(2.0, 2.48, 2.4266666666666667)","(18.0, 29.0, 28.166666666666668)","(2.4, 2.48, 2.4657142857142857)","(13.0, 21.0, 20.192307692307693)","(26.0, 180.0, 137.5)","(101.0, 330.0, 256.66666666666663)","(26.0, 120.0, 96.0)","(16.0, 34.0, 28.6)","(10.0, 25.0, 23.125)"
08-12-2022 14:33:01.218686,"(2.0, 2.48, 2.4266666666666667)","(18.0, 29.0, 28.166666666666668)","(2.4, 2.48, 2.4657142857142857)","(13.0, 21.0, 20.192307692307693)","(26.0, 180.0, 137.5)","(101.0, 330.0, 250.0)","(26.0, 120.0, 96.0)","(16.0, 34.0, 28.6)","(10.0, 25.0, 23.125)"
08-12-2022 14:33:02.343377,"(2.0, 2.48, 2.4266666666666667)","(18.0, 28.0, 27.733333333333334)","(2.4, 2.48, 2.4657142857142857)","(13.0, 21.0, 20.192307692307693)","(26.0, 180.0, 137.5)","(101.0, 320.0, 250.0)","(26.0, 120.0, 96.0)","(16.0, 34.0, 28.6)","(10.0, 25.0, 23.125)"
08-12-2022 14:33:03.515149,"(2.0, 2.48, 2.4266666666666667)","(18.0, 28.0, 27.733333333333334)","(2.4, 2.48, 2.4657142857142857)","(13.0, 21.0, 20.147058823529413)","(26.0, 180.0, 117.0)","(101.0, 320.0, 250.0)","(26.0, 120.0, 96.0)","(16.0, 34.0, 26.4)","(10.0, 25.0, 23.125)"
08-12-2022 14:33:04.679806,"(2.0, 2.48, 2.4266666666666667)","(20.0, 28.0, 27.904761904761905)","(2.4, 2.48, 2.4657142857142857)","(13.0, 21.0, 20.147058823529413)","(31.0, 150.0, 120.71428571428572)","(101.0, 320.0, 250.0)","(26.0, 120.0, 96.0)","(16.0, 32.0, 26.166666666666668)","(11.0, 25.0, 23.125)"
08-12-2022 14:33:05.854983,"(2.0, 2.48, 2.4492307692307693)","(20.0, 38.0, 31.076923076923077)","(2.4, 2.48, 2.4657142857142857)","(13.0, 21.0, 20.147058823529413)","(31.0, 140.0, 120.71428571428572)","(101.0, 320.0, 250.0)","(26.0, 120.0, 96.0)","(16.0, 32.0, 26.166666666666668)","(11.0, 25.0, 23.125)"
08-12-2022 14:33:07.072700,"(2.0, 2.48, 2.4492307692307693)","(20.0, 38.0, 31.076923076923077)","(2.4, 2.48, 2.4657142857142857)","(13.0, 21.0, 20.147058823529413)","(31.0, 140.0, 120.71428571428572)","(101.0, 320.0, 250.0)","(26.0, 120.0, 96.0)","(16.0, 32.0, 26.166666666666668)","(11.0, 25.0, 23.125)"
08-12-2022 14:33:08.301351,"(2.0, 2.48, 2.4492307692307693)","(20.0, 36.0, 31.714285714285715)","(2.4, 2.48, 2.4657142857142857)","(13.0, 21.0, 20.147058823529413)","(31.0, 140.0, 120.71428571428572)","(101.0, 320.0, 250.0)","(26.0, 120.0, 96.0)","(16.0, 32.0, 26.166666666666668)","(11.0, 25.0, 23.125)"
08-12-2022 14:33:09.553205,"(2.0, 2.48, 2.4492307692307693)","(20.0, 36.0, 31.714285714285715)","(2.4, 2.48, 2.4657142857142857)","(13.0, 21.0, 20.147058823529413)","(31.0, 140.0, 120.71428571428572)","(101.0, 320.0, 250.0)","(26.0, 120.0, 96.0)","(16.0, 32.0, 27.857142857142858)","(11.0, 25.0, 23.125)"
08-12-2022 14:33:10.766331,"(2.0, 2.48, 2.4492307692307693)","(20.0, 36.0, 31.714285714285715)","(2.4, 2.48, 2.4657142857142857)","(13.0, 21.0, 20.147058823529413)","(31.0, 140.0, 120.71428571428572)","(101.0, 320.0, 250.0)","(26.0, 120.0, 96.0)","(16.0, 30.0, 27.857142857142858)","(11.0, 25.0, 23.125)"
08-12-2022 14:33:12.004553,"(2.0, 2.48, 2.4492307692307693)","(20.0, 36.0, 31.714285714285715)","(2.4, 2.48, 2.4716666666666667)","(13.0, 21.0, 20.147058823529413)","(31.0, 140.0, 91.25)","(101.0, 320.0, 250.0)","(26.0, 120.0, 78.75)","(16.0, 30.0, 27.857142857142858)","(11.0, 25.0, 23.8)"
08-12-2022 14:33:13.224067,"(2.0, 2.48, 2.4492307692307693)","(20.0, 36.0, 31.714285714285715)","(2.4, 2.48, 2.4716666666666667)","(13.0, 21.0, 20.147058823529413)","(31.0, 140.0, 91.25)","(101.0, 320.0, 250.0)","(26.0, 120.0, 80.0)","(16.0, 30.0, 27.857142857142858)","(11.0, 25.0, 23.666666666666668)"
08-12-2022 14:33:14.479788,"(2.0, 2.48, 2.4492307692307693)","(20.0, 36.0, 32.21052631578947)","(2.4, 2.5, 2.4658333333333333)","(13.0, 21.0, 20.147058823529413)","(31.0, 140.0, 91.25)","(101.0, 320.0, 250.0)","(26.0, 120.0, 80.0)","(16.0, 30.0, 27.0)","(11.0, 25.0, 24.75)"
08-12-2022 14:33:15.736348,"(2.0, 2.46, 2.412)","(20.0, 36.0, 32.21052631578947)","(2.4, 2.5, 2.464)","(13.0, 21.0, 20.147058823529413)","(31.0, 140.0, 91.25)","(101.0, 320.0, 250.0)","(26.0, 120.0, 80.0)","(16.0, 28.0, 27.0)","(11.0, 30.0, 23.875)"
08-12-2022 14:33:16.932397,"(2.0, 2.46, 2.412)","(20.0, 36.0, 32.21052631578947)","(2.4, 2.5, 2.464)","(13.0, 21.0, 20.147058823529413)","(31.0, 140.0, 91.25)","(101.0, 320.0, 250.0)","(26.0, 120.0, 80.0)","(16.0, 28.0, 27.0)","(11.0, 30.0, 23.875)"
08-12-2022 14:33:18.129545,"(2.0, 2.46, 2.412)","(20.0, 36.0, 32.21052631578947)","(2.4, 2.5, 2.464)","(13.0, 21.0, 20.147058823529413)","(31.0, 140.0, 91.25)","(101.0, 320.0, 250.0)","(26.0, 120.0, 80.0)","(16.0, 28.0, 27.0)","(11.0, 30.0, 23.875)"
08-12-2022 14:33:19.313915,"(2.0, 2.46, 2.412)","(20.0, 34.0, 33.416666666666664)","(2.4, 2.5, 2.464)","(13.0, 21.0, 20.147058823529413)","(31.0, 140.0, 91.25)","(101.0, 320.0, 250.0)","(26.0, 120.0, 80.0)","(16.0, 28.0, 27.0)","(11.0, 30.0, 23.875)"
08-12-2022 14:33:20.480530,"(2.0, 2.46, 2.412)","(20.0, 34.0, 33.416666666666664)","(2.4, 2.5, 2.464)","(13.0, 21.0, 20.147058823529413)","(31.0, 140.0, 91.25)","(101.0, 320.0, 250.0)","(26.0, 120.0, 80.0)","(16.0, 28.0, 27.0)","(11.0, 30.0, 23.875)"
08-12-2022 14:33:21.629748,"(2.0, 2.46, 2.412)","(20.0, 34.0, 31.8125)","(2.4, 2.5, 2.464)","(13.0, 21.0, 20.147058823529413)","(31.0, 140.0, 91.25)","(101.0, 320.0, 250.0)","(26.0, 120.0, 80.0)","(16.0, 28.0, 27.0)","(11.0, 30.0, 23.875)"
08-12-2022 14:33:22.916508,"(2.0, 2.46, 2.412)","(20.0, 34.0, 31.8125)","(2.4, 2.5, 2.464)","(13.0, 21.0, 20.147058823529413)","(31.0, 140.0, 91.25)","(101.0, 320.0, 250.0)","(26.0, 120.0, 80.0)","(16.0, 28.0, 27.0)","(11.0, 30.0, 23.875)"
08-12-2022 14:33:24.143708,"(2.0, 2.46, 2.412)","(20.0, 34.0, 31.8125)","(2.4, 2.5, 2.464)","(13.0, 21.0, 20.147058823529413)","(31.0, 140.0, 91.25)","(101.0, 320.0, 250.0)","(26.0, 120.0, 80.0)","(16.0, 28.0, 26.333333333333332)","(11.0, 30.0, 23.875)"
08-12-2022 14:33:25.448131,"(2.0, 2.46, 2.442222222222222)","(20.0, 34.0, 31.8125)","(2.4, 2.5, 2.464)","(13.0, 21.0, 20.147058823529413)","(31.0, 140.0, 91.25)","(101.0, 320.0, 250.0)","(26.0, 120.0, 80.0)","(16.0, 27.0, 26.333333333333332)","(11.0, 30.0, 23.875)"
08-12-2022 14:33:26.762233,"(2.0, 2.46, 2.4353846153846153)","(20.0, 34.0, 31.8125)","(2.4, 2.5, 2.464)","(13.0, 21.0, 20.147058823529413)","(31.0, 140.0, 91.25)","(101.0, 320.0, 250.0)","(26.0, 120.0, 80.0)","(16.0, 27.0, 26.333333333333332)","(11.0, 30.0, 23.875)"
08-12-2022 14:33:28.058224,"(2.0, 2.46, 2.4353846153846153)","(20.0, 34.0, 30.85)","(2.4, 2.5, 2.464)","(13.0, 21.0, 20.147058823529413)","(31.0, 140.0, 91.25)","(101.0, 320.0, 250.0)","(26.0, 120.0, 80.0)","(16.0, 27.0, 26.333333333333332)","(11.0, 30.0, 24.5)"
08-12-2022 14:33:29.285129,"(2.0, 2.46, 2.4353846153846153)","(20.0, 34.0, 30.85)","(2.4, 2.5, 2.464)","(13.0, 21.0, 20.147058823529413)","(31.0, 140.0, 91.25)","(101.0, 320.0, 250.0)","(26.0, 120.0, 80.0)","(16.0, 27.0, 26.333333333333332)","(11.0, 29.0, 24.5)"
08-12-2022 14:33:30.502143,"(2.0, 2.46, 2.4353846153846153)","(20.0, 34.0, 30.85)","(2.4, 2.5, 2.464)","(13.0, 21.0, 20.147058823529413)","(31.0, 140.0, 91.25)","(101.0, 320.0, 250.0)","(26.0, 120.0, 80.0)","(16.0, 27.0, 26.333333333333332)","(11.0, 29.0, 24.5)"
