,Eight Gifts,Nick The Quick,Dashing Daph,Ferocious Barbie,River Raging,Velocity Lara
07-12-2022 18:46:23.118933,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.720000000000001)"
07-12-2022 18:46:24.606035,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 7.375)"
07-12-2022 18:46:26.014273,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 7.375)"
07-12-2022 18:46:27.282231,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 7.375)"
07-12-2022 18:46:28.648000,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.4)"
07-12-2022 18:46:29.913246,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.4)"
07-12-2022 18:46:31.151039,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.4)"
07-12-2022 18:46:32.446716,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.4)"
07-12-2022 18:46:33.700985,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.4)"
07-12-2022 18:46:34.891303,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.4)"
07-12-2022 18:46:36.040546,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.4)"
07-12-2022 18:46:37.322832,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.4)"
07-12-2022 18:46:38.592266,"(5.5, 10.0, 7.085714285714285)","(1.7, 2.1, 1.8410526315789473)","(31.0, 130.0, 57.14285714285714)","(5.0, 9.4, 7.4)","(16.0, 65.0, 33.125)","(4.2, 8.4, 6.4)"
