,Mammals Destiny,Twin Connection,Sporty Frank,Illawong Phillipa,Golden Jaylet,Im The Mighty Judd,Footlock,Indys Approval,Ima Workinclassman
09-01-2023 16:16:01.957559,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.125)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:16:03.709445,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.125)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:16:05.167901,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.125)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:16:06.589768,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.125)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:16:07.941220,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.125)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:16:09.251229,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.125)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:16:10.578025,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.125)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:16:11.818626,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.125)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:16:13.188676,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.125)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
09-01-2023 16:16:14.442572,"(26.0, 55.0, 33.0)","(3.0, 4.5, 3.2866666666666666)","(3.6, 4.8, 3.8)","(31.0, 70.0, 64.125)","(21.0, 46.0, 30.0)","(5.0, 8.6, 7.725)","(11.0, 20.0, 15.5)","(8.5, 15.5, 10.9)","(6.0, 9.4, 7.84)"
