,On Tilt,Salt Mine Teddy,Bahamian Beat,Cant Glide By Katz,Verrazano Legacy,War Doctor,Payster,No More,Golden Oak,Vaporized
07-12-2022 13:22:35.736570,"(31.0, 230.0, 70.0)","(13.0, 18.0, 17.59090909090909)","(15.0, 29.0, 24.5)","(4.4, 4.6, 3.9899999999999998)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.911764705882353)","(5.0, 7.0, 6.878787878787879)","(15.0, 30.0, 25.0)","(15.0, 30.0, 21.75)"
07-12-2022 13:22:37.113162,"(31.0, 230.0, 70.0)","(13.0, 18.0, 17.59090909090909)","(15.0, 29.0, 24.5)","(4.4, 4.5, 3.973809523809524)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.911764705882353)","(5.0, 7.0, 6.878787878787879)","(15.0, 30.0, 25.0)","(15.0, 30.0, 21.75)"
07-12-2022 13:22:38.508674,"(31.0, 230.0, 70.0)","(13.0, 18.0, 17.59090909090909)","(15.0, 29.0, 24.5)","(4.4, 4.5, 3.973809523809524)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.911764705882353)","(5.0, 7.0, 6.878787878787879)","(15.0, 30.0, 25.0)","(15.0, 30.0, 21.75)"
07-12-2022 13:22:39.936103,"(31.0, 230.0, 70.0)","(13.0, 18.0, 17.59090909090909)","(15.0, 29.0, 26.75)","(4.4, 4.5, 4.222727272727273)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.911764705882353)","(5.0, 7.0, 6.878787878787879)","(15.0, 30.0, 25.0)","(15.0, 30.0, 21.75)"
07-12-2022 13:22:41.480916,"(31.0, 230.0, 70.0)","(13.0, 18.0, 17.59090909090909)","(15.0, 29.0, 26.75)","(4.4, 4.4, 4.05)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.911764705882353)","(5.0, 7.0, 6.878787878787879)","(15.0, 30.0, 25.0)","(15.0, 30.0, 21.75)"
07-12-2022 13:22:43.076104,"(31.0, 230.0, 70.0)","(13.0, 18.0, 17.59090909090909)","(15.0, 29.0, 26.75)","(4.4, 4.5, 4.05)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.911764705882353)","(5.0, 7.0, 6.878787878787879)","(15.0, 30.0, 25.0)","(15.0, 30.0, 21.75)"
07-12-2022 13:22:44.461033,"(31.0, 230.0, 70.0)","(13.0, 18.0, 17.59090909090909)","(15.0, 29.0, 26.75)","(4.4, 4.5, 3.943548387096774)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.911764705882353)","(5.0, 7.0, 6.625)","(15.0, 30.0, 25.0)","(15.0, 30.0, 21.75)"
07-12-2022 13:22:45.900675,"(31.0, 230.0, 70.0)","(13.0, 18.0, 17.59090909090909)","(15.0, 29.0, 27.0)","(4.4, 4.5, 4.026470588235294)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.911764705882353)","(5.0, 6.8, 6.625)","(15.0, 30.0, 25.0)","(15.0, 30.0, 21.75)"
07-12-2022 13:22:47.215660,"(31.0, 230.0, 69.2)","(13.0, 18.0, 17.59090909090909)","(15.0, 29.0, 27.0)","(4.4, 4.5, 4.2625)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.911764705882353)","(5.0, 6.8, 6.625)","(15.0, 30.0, 25.0)","(15.0, 30.0, 21.75)"
07-12-2022 13:22:48.595800,"(31.0, 230.0, 69.2)","(13.0, 18.0, 17.59090909090909)","(15.0, 29.0, 27.0)","(4.4, 4.4, 4.2625)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.911764705882353)","(5.0, 6.8, 6.625)","(15.0, 30.0, 25.0)","(15.0, 30.0, 21.75)"
07-12-2022 13:22:50.083587,"(31.0, 230.0, 69.2)","(13.0, 23.0, 20.0)","(15.0, 29.0, 27.0)","(4.4, 4.4, 4.300000000000001)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.911764705882353)","(5.0, 6.8, 6.625)","(15.0, 30.0, 25.0)","(15.0, 30.0, 21.75)"
07-12-2022 13:22:51.486044,"(31.0, 230.0, 69.2)","(13.0, 23.0, 20.0)","(15.0, 29.0, 27.0)","(4.4, 4.4, 4.323076923076924)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.911764705882353)","(5.0, 6.8, 6.625)","(15.0, 30.0, 25.0)","(15.0, 30.0, 21.75)"
07-12-2022 13:22:52.954266,"(31.0, 230.0, 69.2)","(13.0, 23.0, 20.0)","(15.0, 29.0, 27.0)","(4.4, 4.4, 4.323076923076924)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.911764705882353)","(5.0, 6.8, 6.625)","(15.0, 30.0, 25.0)","(15.0, 30.0, 21.75)"
07-12-2022 13:22:54.216377,"(31.0, 230.0, 69.2)","(13.0, 23.0, 20.0)","(15.0, 29.0, 27.0)","(4.4, 4.4, 4.323076923076924)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.911764705882353)","(5.0, 6.8, 6.625)","(15.0, 30.0, 25.0)","(15.0, 30.0, 21.75)"
07-12-2022 13:22:55.444757,"(31.0, 230.0, 69.2)","(13.0, 23.0, 20.0)","(15.0, 29.0, 27.0)","(4.4, 4.4, 4.323076923076924)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.911764705882353)","(5.0, 6.8, 6.38)","(15.0, 30.0, 25.0)","(15.0, 30.0, 21.75)"
07-12-2022 13:22:56.710168,"(31.0, 230.0, 69.2)","(13.0, 23.0, 20.0)","(15.0, 29.0, 27.0)","(4.4, 4.4, 4.323076923076924)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.911764705882353)","(5.0, 6.8, 6.38)","(15.0, 30.0, 22.9375)","(15.0, 30.0, 20.857142857142858)"
07-12-2022 13:22:57.914647,"(31.0, 230.0, 69.2)","(13.0, 24.0, 20.5)","(15.0, 29.0, 27.0)","(4.4, 4.4, 4.033333333333333)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.911764705882353)","(5.0, 6.8, 6.470588235294118)","(15.0, 32.0, 22.9375)","(15.0, 32.0, 24.5)"
07-12-2022 13:22:59.087782,"(31.0, 230.0, 70.0)","(13.0, 24.0, 20.5)","(15.0, 29.0, 27.0)","(4.4, 4.4, 4.0)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.911764705882353)","(5.0, 6.8, 6.470588235294118)","(15.0, 32.0, 25.0)","(15.0, 30.0, 22.333333333333332)"
07-12-2022 13:23:00.264069,"(31.0, 230.0, 70.0)","(13.0, 24.0, 20.5)","(15.0, 29.0, 25.0)","(4.4, 4.4, 4.0)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.911764705882353)","(5.0, 6.8, 6.470588235294118)","(15.0, 30.0, 25.0)","(15.0, 29.0, 22.333333333333332)"
07-12-2022 13:23:01.506783,"(31.0, 230.0, 70.0)","(13.0, 24.0, 20.5)","(15.0, 29.0, 23.666666666666668)","(4.4, 4.4, 4.28)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.911764705882353)","(5.0, 6.8, 6.444444444444445)","(15.0, 30.0, 25.0)","(15.0, 29.0, 22.333333333333332)"
07-12-2022 13:23:02.970008,"(31.0, 230.0, 69.2)","(13.0, 24.0, 20.5)","(15.0, 29.0, 23.666666666666668)","(4.4, 4.4, 4.290909090909091)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.911764705882353)","(5.0, 6.8, 6.444444444444445)","(15.0, 30.0, 25.0)","(15.0, 29.0, 22.333333333333332)"
07-12-2022 13:23:04.520882,"(31.0, 230.0, 69.2)","(13.0, 24.0, 22.642857142857142)","(15.0, 29.0, 23.666666666666668)","(4.4, 4.4, 4.300000000000001)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.911764705882353)","(5.0, 6.8, 6.444444444444445)","(15.0, 30.0, 25.0)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:06.070616,"(31.0, 230.0, 69.2)","(13.0, 24.0, 22.642857142857142)","(15.0, 29.0, 23.666666666666668)","(4.4, 4.4, 4.323076923076924)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.911764705882353)","(5.0, 6.8, 6.444444444444445)","(15.0, 30.0, 25.0)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:07.525056,"(31.0, 230.0, 69.2)","(13.0, 24.0, 22.642857142857142)","(15.0, 29.0, 23.0)","(4.4, 4.4, 4.323076923076924)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.85)","(5.0, 6.8, 6.230769230769231)","(15.0, 30.0, 25.0)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:08.825151,"(31.0, 230.0, 96.0)","(13.0, 25.0, 23.333333333333336)","(15.0, 29.0, 23.75)","(4.4, 4.4, 4.323076923076924)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.7)","(5.0, 6.6, 6.230769230769231)","(15.0, 30.0, 25.0)","(15.0, 29.0, 24.0)"
07-12-2022 13:23:10.060061,"(31.0, 230.0, 69.2)","(13.0, 25.0, 22.625)","(15.0, 29.0, 23.75)","(4.4, 4.4, 4.323076923076924)","(21.0, 70.0, 49.599999999999994)","(5.0, 8.8, 8.505882352941176)","(3.3, 4.0, 3.7)","(5.0, 6.6, 6.230769230769231)","(15.0, 30.0, 25.0)","(15.0, 29.0, 24.0)"
