,Daphs Yak,Master Class,Lucas Jebrynah,Show Me Ziway,Aubameyang,Call Me Marley,Maxed Out,Ali Starr
07-12-2022 19:26:45.748944,"(4.4, 9.8, 8.3)","(26.0, 170.0, 50.888888888888886)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 43.30769230769231)","(11.0, 26.0, 23.333333333333332)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 21.125)"
07-12-2022 19:26:47.059958,"(4.4, 9.8, 8.3)","(26.0, 170.0, 50.888888888888886)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 43.30769230769231)","(11.0, 26.0, 23.333333333333332)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 23.857142857142858)"
07-12-2022 19:26:48.216121,"(4.4, 9.8, 6.3)","(26.0, 170.0, 69.5)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 43.30769230769231)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.0)"
07-12-2022 19:26:49.323356,"(4.4, 9.8, 6.585714285714285)","(26.0, 200.0, 63.33333333333333)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 44.375)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.0)"
07-12-2022 19:26:50.423269,"(4.4, 9.8, 6.585714285714285)","(26.0, 200.0, 63.33333333333333)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 44.375)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.0)"
07-12-2022 19:26:51.532536,"(4.4, 9.8, 6.585714285714285)","(26.0, 200.0, 63.33333333333333)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.318181818181817)"
07-12-2022 19:26:52.861777,"(4.4, 9.8, 6.585714285714285)","(26.0, 240.0, 70.0)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.318181818181817)"
07-12-2022 19:26:53.851999,"(4.4, 9.8, 6.585714285714285)","(26.0, 240.0, 70.0)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 26.5)"
07-12-2022 19:26:54.889444,"(4.4, 9.8, 6.585714285714285)","(26.0, 240.0, 70.0)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 23.9375)"
07-12-2022 19:26:56.008342,"(4.4, 9.6, 6.2555555555555555)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 23.9375)"
07-12-2022 19:26:57.039252,"(4.4, 9.6, 6.2555555555555555)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.0)"
07-12-2022 19:26:58.077653,"(4.4, 9.6, 6.2555555555555555)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.0)"
07-12-2022 19:26:59.276038,"(4.4, 9.6, 6.2555555555555555)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.0)"
07-12-2022 19:27:00.529000,"(4.4, 9.6, 6.2555555555555555)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.0)"
07-12-2022 19:27:01.594205,"(4.4, 9.6, 6.2555555555555555)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 24.5625)"
07-12-2022 19:27:02.674206,"(4.4, 9.6, 6.2555555555555555)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 24.5625)"
07-12-2022 19:27:03.726399,"(4.4, 9.6, 6.2555555555555555)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.5)"
07-12-2022 19:27:04.794887,"(4.4, 9.4, 6.211111111111111)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.5)"
07-12-2022 19:27:05.847191,"(4.4, 9.4, 6.211111111111111)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.318181818181817)"
07-12-2022 19:27:06.861408,"(4.4, 9.4, 6.211111111111111)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.318181818181817)"
07-12-2022 19:27:07.846616,"(4.4, 9.4, 6.211111111111111)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.318181818181817)"
07-12-2022 19:27:08.876040,"(4.4, 9.4, 6.211111111111111)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 26.5)"
07-12-2022 19:27:10.016262,"(4.4, 9.4, 6.211111111111111)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 23.9375)"
07-12-2022 19:27:11.036177,"(4.4, 9.4, 6.211111111111111)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 23.9375)"
07-12-2022 19:27:12.096159,"(4.4, 9.4, 6.211111111111111)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 23.9375)"
07-12-2022 19:27:13.464842,"(4.4, 10.5, 6.166666666666666)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 23.9375)"
07-12-2022 19:27:14.528968,"(4.4, 9.2, 6.166666666666666)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 23.9375)"
07-12-2022 19:27:15.585050,"(4.4, 9.2, 6.166666666666666)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 23.9375)"
07-12-2022 19:27:16.707765,"(4.4, 9.2, 6.166666666666666)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.0)"
07-12-2022 19:27:17.786075,"(4.4, 9.2, 6.166666666666666)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.0)"
07-12-2022 19:27:18.840174,"(4.4, 9.0, 6.357142857142857)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.0)"
07-12-2022 19:27:19.932633,"(4.4, 8.8, 7.633333333333334)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.0)"
07-12-2022 19:27:20.977738,"(4.4, 8.8, 7.633333333333334)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.0)"
07-12-2022 19:27:22.107730,"(4.4, 8.8, 7.633333333333334)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 24.5625)"
07-12-2022 19:27:23.320382,"(4.4, 9.2, 6.166666666666666)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.5)"
07-12-2022 19:27:24.600091,"(4.4, 9.2, 6.166666666666666)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 31.0)"
07-12-2022 19:27:25.888804,"(4.4, 9.0, 6.122222222222222)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 31.0)"
07-12-2022 19:27:27.048038,"(4.4, 9.0, 6.122222222222222)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.5)"
07-12-2022 19:27:28.067279,"(4.4, 9.0, 6.122222222222222)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.318181818181817)"
07-12-2022 19:27:29.087309,"(4.4, 9.0, 6.122222222222222)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.318181818181817)"
07-12-2022 19:27:30.264451,"(4.4, 9.0, 6.122222222222222)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 26.5)"
07-12-2022 19:27:31.441652,"(4.4, 9.0, 6.122222222222222)","(26.0, 240.0, 58.66666666666667)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 30.333333333333336)"
07-12-2022 19:27:32.567450,"(4.4, 9.0, 6.122222222222222)","(26.0, 230.0, 68.33333333333334)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 23.9375)"
07-12-2022 19:27:33.734344,"(4.4, 9.0, 6.122222222222222)","(26.0, 230.0, 57.55555555555556)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 23.9375)"
07-12-2022 19:27:34.940372,"(4.4, 8.8, 6.0777777777777775)","(26.0, 230.0, 57.55555555555556)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 23.9375)"
07-12-2022 19:27:36.274890,"(4.4, 8.8, 6.0777777777777775)","(26.0, 230.0, 57.55555555555556)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 23.9375)"
07-12-2022 19:27:37.419027,"(4.4, 8.8, 6.0777777777777775)","(26.0, 230.0, 57.55555555555556)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.0)"
07-12-2022 19:27:38.526900,"(4.4, 8.8, 6.0777777777777775)","(26.0, 230.0, 57.55555555555556)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.0)"
07-12-2022 19:27:39.753255,"(4.4, 8.8, 6.0777777777777775)","(26.0, 230.0, 57.55555555555556)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.318181818181817)"
07-12-2022 19:27:40.835831,"(4.4, 8.8, 6.0777777777777775)","(26.0, 230.0, 57.55555555555556)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.318181818181817)"
07-12-2022 19:27:41.963810,"(4.4, 8.8, 6.0777777777777775)","(26.0, 230.0, 74.8)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 26.5)"
07-12-2022 19:27:43.286025,"(4.4, 10.5, 8.766666666666666)","(26.0, 230.0, 74.8)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 30.333333333333336)"
07-12-2022 19:27:44.465742,"(4.4, 10.5, 8.766666666666666)","(26.0, 230.0, 74.8)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 23.9375)"
07-12-2022 19:27:45.675457,"(4.4, 9.8, 8.3)","(26.0, 230.0, 74.8)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 23.9375)"
07-12-2022 19:27:46.801506,"(4.4, 9.8, 8.3)","(26.0, 230.0, 74.8)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 24.25)"
07-12-2022 19:27:47.963903,"(4.4, 9.8, 8.3)","(26.0, 230.0, 74.8)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 24.25)"
07-12-2022 19:27:49.084154,"(4.4, 9.8, 8.3)","(26.0, 230.0, 74.8)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.25)"
07-12-2022 19:27:50.196135,"(4.4, 9.8, 8.3)","(26.0, 230.0, 74.8)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.25)"
07-12-2022 19:27:51.310610,"(4.4, 9.8, 8.3)","(26.0, 230.0, 74.8)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.25)"
07-12-2022 19:27:52.387886,"(4.4, 9.8, 8.3)","(26.0, 230.0, 80.18181818181819)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.25)"
07-12-2022 19:27:53.454674,"(4.4, 9.8, 8.3)","(26.0, 230.0, 66.0)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.318181818181817)"
07-12-2022 19:27:54.626960,"(4.4, 9.8, 8.3)","(26.0, 230.0, 103.84615384615385)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 27.318181818181817)"
07-12-2022 19:27:55.737105,"(4.4, 9.8, 8.3)","(26.0, 230.0, 103.84615384615385)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 26.5)"
07-12-2022 19:27:57.010965,"(4.4, 9.8, 6.585714285714285)","(26.0, 230.0, 67.6)","(3.6, 4.3, 3.7375)","(26.0, 80.0, 45.0)","(11.0, 26.0, 21.2)","(3.8, 5.7, 5.553571428571429)","(3.0, 4.4, 4.261111111111111)","(16.0, 38.0, 30.333333333333336)"
