,Sasha,Oratoria,Some Change Nz,Blazing Banner Nz,Rocknroll Times,Scared Stiff Nz,The Banker Nz,Lifeinthebalance,Im In Trouble,Are Doubleyou
06-01-2023 16:27:44.140004,"(7.0, 12.0, 10.76923076923077)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 10.5)","(14.0, 32.0, 19.333333333333332)"
06-01-2023 16:27:45.536526,"(7.0, 12.0, 10.76923076923077)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 10.5)","(14.0, 32.0, 27.666666666666664)"
06-01-2023 16:27:47.047184,"(7.0, 12.0, 10.76923076923077)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 10.5)","(14.0, 32.0, 28.833333333333332)"
06-01-2023 16:27:48.534520,"(7.0, 12.0, 10.6)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 10.5)","(14.0, 32.0, 28.833333333333332)"
06-01-2023 16:27:50.043791,"(7.0, 11.5, 10.15)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 10.5)","(14.0, 32.0, 28.833333333333332)"
06-01-2023 16:27:51.459785,"(7.0, 11.5, 10.15)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 10.5)","(14.0, 32.0, 28.833333333333332)"
06-01-2023 16:27:52.825806,"(7.0, 11.5, 10.15)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 10.5)","(14.0, 32.0, 28.833333333333332)"
06-01-2023 16:27:54.164938,"(7.0, 11.5, 10.15)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 10.5)","(14.0, 32.0, 28.833333333333332)"
06-01-2023 16:27:55.463499,"(7.0, 11.5, 10.15)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 10.5)","(14.0, 32.0, 28.833333333333332)"
06-01-2023 16:27:56.821974,"(7.0, 11.5, 9.700000000000001)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 10.5)","(14.0, 32.0, 28.833333333333332)"
06-01-2023 16:27:58.169698,"(7.0, 11.5, 10.42)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 10.5)","(14.0, 32.0, 28.833333333333332)"
06-01-2023 16:27:59.510517,"(7.0, 11.5, 11.454545454545455)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 10.5)","(14.0, 32.0, 28.833333333333332)"
06-01-2023 16:28:00.886306,"(7.0, 11.5, 11.454545454545455)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 10.5)","(14.0, 32.0, 28.833333333333332)"
06-01-2023 16:28:02.295165,"(7.0, 11.5, 9.433333333333334)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 10.5)","(14.0, 32.0, 19.666666666666668)"
06-01-2023 16:28:03.645804,"(7.0, 11.5, 10.75)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.5, 9.166666666666666)","(14.0, 32.0, 19.666666666666668)"
06-01-2023 16:28:05.014118,"(7.0, 12.0, 8.666666666666666)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 27.392857142857142)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 41.0)","(7.5, 15.0, 9.166666666666666)","(14.0, 32.0, 19.666666666666668)"
06-01-2023 16:28:06.342361,"(7.0, 11.5, 11.05)","(12.0, 28.0, 17.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 60.0, 40.4)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 55.0, 38.0)","(7.5, 15.0, 9.166666666666666)","(14.0, 32.0, 16.25)"
06-01-2023 16:28:07.848636,"(7.0, 11.5, 8.7)","(12.0, 27.0, 14.5)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 55.0, 40.4)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 50.0, 38.0)","(7.5, 15.0, 10.5)","(14.0, 30.0, 16.25)"
06-01-2023 16:28:09.397291,"(7.0, 11.5, 11.277777777777779)","(12.0, 27.0, 14.5)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 55.0, 40.4)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 50.0, 38.0)","(7.5, 15.5, 10.5)","(14.0, 30.0, 16.25)"
06-01-2023 16:28:10.977029,"(7.0, 11.5, 11.277777777777779)","(12.0, 27.0, 14.5)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 55.0, 40.4)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 50.0, 38.0)","(7.5, 15.5, 10.5)","(14.0, 30.0, 16.25)"
06-01-2023 16:28:12.501340,"(7.0, 11.5, 11.277777777777779)","(12.0, 27.0, 14.5)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 55.0, 40.4)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 50.0, 38.0)","(7.5, 15.5, 10.5)","(14.0, 30.0, 16.25)"
06-01-2023 16:28:14.138069,"(7.0, 11.5, 9.75)","(12.0, 27.0, 16.666666666666668)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 55.0, 30.3125)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 50.0, 38.0)","(7.5, 15.5, 10.5)","(14.0, 30.0, 16.25)"
06-01-2023 16:28:15.603441,"(7.0, 11.5, 10.033333333333333)","(12.0, 26.0, 16.666666666666668)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 50.0, 30.3125)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 50.0, 38.0)","(7.5, 15.5, 10.5)","(14.0, 30.0, 16.25)"
06-01-2023 16:28:17.046982,"(7.0, 11.5, 10.033333333333333)","(12.0, 26.0, 16.666666666666668)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 50.0, 36.2)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 50.0, 38.0)","(7.5, 15.5, 10.5)","(14.0, 30.0, 16.25)"
06-01-2023 16:28:18.471918,"(7.0, 10.5, 10.38888888888889)","(12.0, 26.0, 16.666666666666668)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 36.2)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 50.0, 38.0)","(7.5, 15.5, 10.5)","(14.0, 30.0, 16.25)"
06-01-2023 16:28:19.841163,"(7.0, 11.5, 10.033333333333333)","(12.0, 26.0, 16.666666666666668)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 36.2)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 50.0, 38.0)","(7.5, 15.5, 10.5)","(14.0, 30.0, 16.25)"
06-01-2023 16:28:21.159939,"(7.0, 11.5, 11.277777777777779)","(12.0, 26.0, 16.666666666666668)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 36.2)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 50.0, 38.0)","(7.5, 15.5, 10.5)","(14.0, 30.0, 16.25)"
06-01-2023 16:28:22.436047,"(7.0, 11.5, 11.25)","(12.0, 26.0, 16.666666666666668)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 36.2)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 50.0, 38.0)","(7.5, 15.5, 10.5)","(14.0, 30.0, 16.25)"
06-01-2023 16:28:23.759495,"(7.0, 11.5, 8.7)","(12.0, 26.0, 16.666666666666668)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 36.2)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 50.0, 38.0)","(7.5, 15.5, 10.5)","(14.0, 30.0, 16.25)"
06-01-2023 16:28:25.096223,"(7.0, 11.5, 8.7)","(12.0, 26.0, 16.666666666666668)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 36.2)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 50.0, 38.0)","(7.5, 15.5, 10.5)","(14.0, 30.0, 16.25)"
06-01-2023 16:28:26.521479,"(7.0, 11.5, 8.7)","(12.0, 26.0, 16.666666666666668)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 36.2)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 50.0, 38.0)","(7.5, 15.5, 10.5)","(14.0, 30.0, 16.25)"
06-01-2023 16:28:27.953967,"(7.0, 11.5, 11.077777777777778)","(12.0, 26.0, 16.666666666666668)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 36.2)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 50.0, 38.0)","(7.5, 15.5, 10.5)","(14.0, 30.0, 16.25)"
06-01-2023 16:28:29.311556,"(7.0, 11.5, 11.077777777777778)","(12.0, 26.0, 16.666666666666668)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 36.2)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 50.0, 38.0)","(7.5, 15.5, 10.5)","(14.0, 30.0, 16.25)"
06-01-2023 16:28:30.760627,"(7.0, 11.5, 10.3)","(12.0, 26.0, 16.666666666666668)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 36.2)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 50.0, 38.0)","(7.5, 15.5, 10.5)","(14.0, 30.0, 16.25)"
06-01-2023 16:28:32.132565,"(7.0, 11.5, 10.642857142857142)","(12.0, 26.0, 14.166666666666666)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 36.2)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 50.0, 36.8)","(7.5, 15.5, 9.166666666666666)","(14.0, 30.0, 18.666666666666668)"
06-01-2023 16:28:33.559639,"(7.0, 11.5, 11.077777777777778)","(12.0, 25.0, 14.166666666666666)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 36.2)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 36.8)","(7.5, 15.0, 9.166666666666666)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:28:34.855002,"(7.0, 11.5, 11.071428571428571)","(12.0, 25.0, 14.166666666666666)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 36.2)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 36.8)","(7.5, 15.0, 9.166666666666666)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:28:36.143830,"(7.0, 11.5, 11.233333333333333)","(12.0, 25.0, 14.166666666666666)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 36.2)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 36.8)","(7.5, 15.0, 9.166666666666666)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:28:37.420251,"(7.0, 12.0, 11.368421052631579)","(12.0, 25.0, 14.166666666666666)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 36.2)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 36.8)","(7.5, 15.0, 9.166666666666666)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:28:38.771059,"(7.0, 12.0, 11.368421052631579)","(12.0, 25.0, 14.166666666666666)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 36.2)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 36.8)","(7.5, 15.0, 9.166666666666666)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:28:40.079321,"(7.0, 12.0, 11.368421052631579)","(12.0, 25.0, 14.166666666666666)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 36.2)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 36.8)","(7.5, 15.0, 9.166666666666666)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:28:41.440420,"(7.0, 12.0, 11.368421052631579)","(12.0, 25.0, 14.166666666666666)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 36.2)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 36.8)","(7.5, 15.0, 11.0)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:28:42.760512,"(7.0, 12.0, 11.368421052631579)","(12.0, 25.0, 14.166666666666666)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 36.2)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 36.8)","(7.5, 15.0, 11.0)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:28:44.048356,"(7.0, 11.5, 11.2625)","(12.0, 25.0, 14.166666666666666)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 36.2)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 36.8)","(7.5, 15.0, 11.0)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:28:45.327994,"(7.0, 11.5, 11.2625)","(12.0, 25.0, 14.166666666666666)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 36.2)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 36.8)","(7.5, 15.0, 11.0)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:28:46.587810,"(7.0, 11.5, 11.2625)","(12.0, 25.0, 14.166666666666666)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 36.2)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 36.8)","(7.5, 15.0, 11.0)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:28:47.810379,"(7.0, 11.5, 11.3)","(12.0, 25.0, 14.166666666666666)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 36.2)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 36.8)","(7.5, 15.0, 11.0)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:28:49.044243,"(7.0, 11.5, 11.3)","(12.0, 25.0, 14.166666666666666)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 42.09090909090909)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 41.666666666666664)","(7.5, 15.0, 11.0)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:28:50.376355,"(7.0, 11.5, 11.3)","(12.0, 25.0, 16.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 42.09090909090909)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 41.666666666666664)","(7.5, 15.0, 11.0)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:28:51.724727,"(7.0, 11.5, 11.3)","(12.0, 25.0, 16.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 42.09090909090909)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 41.666666666666664)","(7.5, 15.0, 11.0)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:28:53.088183,"(7.0, 11.0, 10.852631578947369)","(12.0, 25.0, 16.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 42.09090909090909)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 41.666666666666664)","(7.5, 15.0, 11.0)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:28:54.406272,"(7.0, 11.0, 10.852631578947369)","(12.0, 25.0, 16.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 42.09090909090909)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 41.666666666666664)","(7.5, 15.0, 11.0)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:28:55.700282,"(7.0, 11.0, 10.52)","(12.0, 25.0, 16.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 42.09090909090909)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 41.666666666666664)","(7.5, 15.0, 11.0)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:28:56.967388,"(7.0, 11.0, 10.52)","(12.0, 25.0, 16.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 42.09090909090909)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 41.666666666666664)","(7.5, 15.0, 10.48)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:28:58.222615,"(7.0, 11.0, 10.52)","(12.0, 25.0, 16.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 42.09090909090909)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 41.666666666666664)","(7.5, 14.5, 11.933333333333334)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:28:59.436162,"(7.0, 11.0, 10.52)","(12.0, 25.0, 16.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 42.09090909090909)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 41.666666666666664)","(7.5, 14.0, 11.933333333333334)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:29:00.657811,"(7.0, 11.0, 10.52)","(12.0, 25.0, 16.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 42.09090909090909)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 41.666666666666664)","(7.5, 14.0, 11.933333333333334)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:29:01.847829,"(7.0, 11.0, 10.52)","(12.0, 25.0, 16.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 42.09090909090909)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 41.666666666666664)","(7.5, 14.0, 11.933333333333334)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:29:03.099958,"(7.0, 11.0, 9.0)","(12.0, 25.0, 16.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 42.09090909090909)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 41.666666666666664)","(7.5, 14.0, 9.833333333333334)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:29:04.364224,"(7.0, 10.5, 8.833333333333334)","(12.0, 25.0, 16.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 42.09090909090909)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 41.666666666666664)","(7.5, 13.5, 9.833333333333334)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:29:05.613515,"(7.0, 10.5, 8.833333333333334)","(12.0, 25.0, 16.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 42.09090909090909)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 41.666666666666664)","(7.5, 13.5, 9.833333333333334)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:29:06.844638,"(7.0, 10.5, 10.4125)","(12.0, 25.0, 16.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 42.09090909090909)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 41.666666666666664)","(7.5, 13.5, 9.833333333333334)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:29:08.093670,"(7.0, 11.0, 10.928571428571429)","(12.0, 25.0, 16.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 42.09090909090909)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 41.666666666666664)","(7.5, 13.5, 9.833333333333334)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:29:09.384135,"(7.0, 11.0, 10.928571428571429)","(12.0, 25.0, 16.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 42.09090909090909)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 41.666666666666664)","(7.5, 13.5, 9.833333333333334)","(14.0, 29.0, 18.666666666666668)"
06-01-2023 16:29:10.639930,"(7.0, 11.0, 9.0)","(12.0, 25.0, 16.333333333333332)","(51.0, 99999, 99990)","(1.55, 99999, 99990)","(21.0, 48.0, 42.09090909090909)","(10.0, 99999, 99990)","(101.0, 99999, 99990)","(21.0, 48.0, 41.666666666666664)","(7.5, 13.5, 9.833333333333334)","(14.0, 29.0, 18.666666666666668)"
