,Zabellsareringing,Poppie Socks,Pride Of Dixie,Sharp Pride,Side Cash,Cellar Champ,Driving Ambition,Emmjay,Les Goh,Iron Ruler,Lonhro Lily,Military Manoeuver,Siasha Jewel,Grosses Plain
05-01-2023 13:33:30.638450,"(9.0, 11.0, 10.76)","(81.0, 150.0, 190.0)","(21.0, 36.0, 34.69565217391305)","(31.0, 60.0, 58.18181818181818)","(26.0, 40.0, 38.75)","(12.0, 13.5, 13.477272727272727)","(101.0, 230.0, 217.5)","(10.0, 12.0, 11.71111111111111)","(5.0, 5.9, 5.779166666666667)","(12.0, 17.0, 16.5)","(11.0, 15.5, 15.423076923076923)","(5.0, 6.8, 6.48)","(4.4, 5.3, 5.352054794520548)","(71.0, 100.0, 91.42857142857143)"
05-01-2023 13:33:32.604136,"(9.0, 11.0, 10.76)","(81.0, 230.0, 208.0)","(21.0, 36.0, 35.75757575757576)","(31.0, 60.0, 58.18181818181818)","(26.0, 40.0, 38.75)","(12.0, 13.5, 13.469696969696969)","(101.0, 230.0, 220.0)","(10.0, 12.0, 11.71111111111111)","(5.0, 5.8, 5.779166666666667)","(12.0, 17.0, 16.5)","(11.0, 15.5, 15.423076923076923)","(5.0, 6.8, 6.379411764705882)","(4.4, 5.5, 5.29247311827957)","(71.0, 100.0, 98.0952380952381)"
05-01-2023 13:33:34.607570,"(9.0, 11.0, 10.89090909090909)","(81.0, 230.0, 208.0)","(21.0, 36.0, 35.78378378378378)","(31.0, 60.0, 58.18181818181818)","(26.0, 40.0, 38.75)","(12.0, 13.5, 13.3875)","(101.0, 230.0, 220.0)","(10.0, 12.0, 11.551724137931034)","(5.0, 5.8, 5.774358974358974)","(12.0, 17.0, 15.941176470588236)","(11.0, 15.5, 15.441176470588236)","(5.0, 6.6, 6.434)","(4.4, 5.4, 5.344444444444444)","(71.0, 100.0, 96.78571428571428)"
05-01-2023 13:33:36.875980,"(9.0, 11.0, 10.89090909090909)","(81.0, 230.0, 208.0)","(21.0, 36.0, 35.78947368421053)","(31.0, 60.0, 58.18181818181818)","(26.0, 40.0, 38.75)","(12.0, 13.5, 13.346153846153847)","(101.0, 230.0, 220.0)","(10.0, 12.0, 11.551724137931034)","(5.0, 5.8, 5.776190476190476)","(12.0, 17.0, 16.2)","(11.0, 15.5, 15.441176470588236)","(5.0, 6.6, 6.433333333333334)","(4.4, 5.4, 5.289887640449439)","(71.0, 100.0, 96.78571428571428)"
05-01-2023 13:33:39.094426,"(9.0, 11.0, 10.904)","(81.0, 230.0, 208.0)","(21.0, 36.0, 35.78947368421053)","(31.0, 60.0, 58.18181818181818)","(26.0, 40.0, 38.75)","(12.0, 13.5, 13.318181818181818)","(101.0, 230.0, 220.0)","(10.0, 12.0, 11.551724137931034)","(5.0, 5.8, 5.730283911671925)","(12.0, 17.0, 15.514285714285714)","(11.0, 15.5, 15.441176470588236)","(5.0, 6.6, 6.351824817518248)","(4.8, 5.4, 5.281927710843374)","(71.0, 110.0, 98.0952380952381)"
05-01-2023 13:33:40.990511,"(9.0, 11.0, 10.36326530612245)","(81.0, 230.0, 208.0)","(21.0, 36.0, 35.794871794871796)","(31.0, 60.0, 57.5)","(26.0, 40.0, 38.57142857142857)","(12.0, 13.5, 13.423076923076923)","(101.0, 230.0, 220.0)","(10.0, 12.0, 11.551724137931034)","(5.0, 6.0, 5.730283911671925)","(12.0, 17.0, 16.227272727272727)","(11.0, 15.5, 15.45)","(5.0, 6.6, 6.362237762237762)","(4.8, 5.4, 5.317006802721089)","(71.0, 110.0, 96.78571428571428)"
05-01-2023 13:33:42.819945,"(9.0, 11.0, 10.36326530612245)","(91.0, 230.0, 208.0)","(26.0, 36.0, 35.794871794871796)","(41.0, 60.0, 57.5)","(31.0, 40.0, 38.57142857142857)","(12.0, 13.5, 13.464285714285714)","(101.0, 230.0, 220.0)","(10.0, 12.0, 11.380952380952381)","(5.0, 6.0, 5.730283911671925)","(12.0, 16.5, 14.993333333333334)","(12.0, 15.5, 15.38888888888889)","(5.0, 6.6, 6.362237762237762)","(4.8, 5.4, 5.317006802721089)","(71.0, 100.0, 96.78571428571428)"
05-01-2023 13:33:44.675100,"(9.0, 11.0, 10.071428571428571)","(91.0, 230.0, 208.0)","(26.0, 36.0, 35.74468085106383)","(41.0, 60.0, 57.142857142857146)","(31.0, 40.0, 38.57142857142857)","(12.0, 13.5, 13.45)","(101.0, 230.0, 220.0)","(10.0, 12.0, 11.31578947368421)","(5.0, 6.0, 5.737730061349693)","(12.0, 15.0, 15.25)","(12.0, 15.5, 15.38888888888889)","(5.5, 6.6, 6.3462686567164175)","(4.8, 5.4, 5.315862068965518)","(71.0, 100.0, 96.78571428571428)"
05-01-2023 13:33:46.638340,"(9.0, 11.0, 10.346)","(91.0, 230.0, 213.0769230769231)","(26.0, 36.0, 35.793103448275865)","(41.0, 60.0, 57.142857142857146)","(31.0, 40.0, 38.57142857142857)","(12.0, 13.5, 14.166666666666666)","(101.0, 230.0, 222.22222222222223)","(10.0, 12.0, 11.307692307692308)","(5.0, 6.0, 5.735294117647059)","(12.0, 16.0, 15.428571428571429)","(12.0, 15.5, 15.277777777777779)","(5.5, 6.6, 6.430000000000001)","(4.8, 5.4, 5.298245614035088)","(71.0, 100.0, 97.63157894736842)"
05-01-2023 13:33:48.597128,"(9.0, 10.5, 9.858333333333334)","(91.0, 230.0, 213.0769230769231)","(26.0, 36.0, 35.806451612903224)","(41.0, 60.0, 57.142857142857146)","(31.0, 40.0, 38.57142857142857)","(12.0, 14.5, 14.166666666666666)","(101.0, 230.0, 222.22222222222223)","(10.0, 12.0, 11.307692307692308)","(5.0, 6.0, 5.816129032258065)","(12.0, 16.0, 15.470588235294118)","(12.0, 15.5, 15.277777777777779)","(5.5, 6.6, 6.430000000000001)","(4.8, 5.4, 5.29764705882353)","(71.0, 110.0, 93.33333333333333)"
05-01-2023 13:33:50.688900,"(9.0, 10.5, 9.075)","(91.0, 230.0, 213.0769230769231)","(26.0, 36.0, 35.806451612903224)","(41.0, 60.0, 57.142857142857146)","(31.0, 40.0, 38.57142857142857)","(12.0, 14.5, 14.727272727272727)","(101.0, 230.0, 222.22222222222223)","(10.0, 12.0, 11.25)","(5.0, 6.0, 5.7382550335570475)","(12.0, 17.0, 16.2)","(12.0, 15.5, 15.277777777777779)","(5.5, 6.6, 6.430000000000001)","(4.8, 5.4, 5.29764705882353)","(71.0, 100.0, 95.71428571428571)"
05-01-2023 13:33:52.725502,"(9.0, 10.5, 9.257142857142856)","(91.0, 230.0, 180.0)","(26.0, 36.0, 35.80327868852459)","(41.0, 60.0, 57.142857142857146)","(31.0, 40.0, 39.2)","(12.0, 15.0, 14.318181818181818)","(101.0, 230.0, 222.22222222222223)","(10.0, 12.0, 11.25)","(5.0, 6.0, 5.7550724637681165)","(12.0, 16.5, 15.607142857142858)","(12.0, 15.0, 14.85)","(5.5, 6.6, 6.353623188405797)","(4.8, 5.4, 5.307792207792208)","(71.0, 100.0, 95.71428571428571)"
05-01-2023 13:33:55.332264,"(9.0, 10.0, 9.282758620689654)","(91.0, 230.0, 200.0)","(26.0, 36.0, 35.42857142857143)","(41.0, 60.0, 57.142857142857146)","(31.0, 40.0, 39.2)","(12.0, 14.5, 13.333333333333334)","(101.0, 230.0, 206.66666666666666)","(10.0, 12.0, 11.25)","(5.0, 5.9, 5.7550724637681165)","(12.0, 17.0, 15.607142857142858)","(12.0, 15.0, 14.785714285714286)","(5.5, 6.6, 6.559090909090909)","(4.8, 5.4, 5.314)","(71.0, 85.0, 83.92857142857143)"
05-01-2023 13:33:57.229721,"(9.0, 10.0, 9.496774193548388)","(91.0, 220.0, 200.0)","(26.0, 36.0, 35.904761904761905)","(41.0, 60.0, 56.666666666666664)","(31.0, 40.0, 39.36)","(12.0, 13.5, 12.704761904761904)","(101.0, 230.0, 206.66666666666666)","(10.0, 12.0, 11.25)","(5.0, 5.9, 5.7550724637681165)","(13.0, 17.0, 16.34375)","(13.0, 15.0, 15.214285714285714)","(5.5, 6.6, 6.584)","(4.8, 5.4, 5.233333333333333)","(71.0, 110.0, 93.33333333333334)"
05-01-2023 13:33:59.142781,"(9.0, 10.0, 9.593103448275862)","(91.0, 210.0, 180.9090909090909)","(26.0, 36.0, 35.904761904761905)","(41.0, 60.0, 56.666666666666664)","(31.0, 40.0, 39.36)","(12.0, 13.0, 12.673913043478262)","(101.0, 230.0, 206.66666666666666)","(10.0, 12.0, 11.135135135135135)","(5.0, 5.9, 5.7550724637681165)","(13.0, 17.0, 16.25)","(13.0, 15.5, 15.392857142857142)","(5.5, 6.6, 6.588235294117647)","(4.8, 5.2, 5.126470588235294)","(71.0, 100.0, 94.64285714285714)"
05-01-2023 13:34:01.013827,"(9.0, 9.8, 9.5)","(91.0, 210.0, 183.33333333333334)","(26.0, 36.0, 35.904761904761905)","(41.0, 60.0, 56.666666666666664)","(31.0, 40.0, 39.36)","(12.0, 13.0, 12.673913043478262)","(101.0, 230.0, 220.0)","(10.0, 12.0, 11.135135135135135)","(5.0, 5.9, 5.765753424657534)","(13.0, 17.0, 16.38235294117647)","(13.0, 15.5, 15.285714285714286)","(5.5, 6.6, 6.588235294117647)","(4.8, 5.2, 5.127083333333333)","(71.0, 100.0, 91.0)"
05-01-2023 13:34:02.856201,"(9.0, 9.8, 9.730434782608697)","(91.0, 210.0, 186.66666666666666)","(26.0, 36.0, 37.172413793103445)","(41.0, 60.0, 56.666666666666664)","(31.0, 40.0, 39.36)","(12.0, 13.0, 12.6875)","(101.0, 230.0, 220.0)","(10.0, 12.0, 11.128205128205128)","(5.0, 5.9, 5.771052631578947)","(13.0, 17.0, 16.5)","(13.0, 15.5, 15.2)","(5.5, 6.6, 6.590909090909091)","(4.8, 5.2, 5.116363636363636)","(71.0, 110.0, 95.29411764705883)"
05-01-2023 13:34:04.738138,"(9.0, 9.8, 9.711111111111112)","(91.0, 210.0, 195.0)","(26.0, 38.0, 35.58620689655172)","(41.0, 60.0, 58.125)","(31.0, 40.0, 39.61538461538461)","(12.0, 13.0, 12.495)","(101.0, 230.0, 365.7142857142857)","(10.0, 12.0, 11.564102564102564)","(5.0, 5.9, 5.831944444444445)","(13.0, 17.0, 16.681818181818183)","(13.0, 15.5, 15.342105263157894)","(5.5, 6.6, 6.761290322580645)","(4.8, 5.2, 5.165354330708661)","(71.0, 110.0, 96.25)"
05-01-2023 13:34:06.621757,"(9.0, 9.8, 9.755555555555556)","(91.0, 210.0, 195.0)","(26.0, 36.0, 35.65714285714286)","(41.0, 65.0, 60.476190476190474)","(31.0, 40.0, 39.61538461538461)","(12.0, 12.5, 12.923076923076923)","(101.0, 400.0, 357.1428571428571)","(10.0, 12.0, 11.46875)","(5.0, 5.9, 5.831944444444445)","(13.0, 17.0, 16.681818181818183)","(13.0, 15.5, 15.342105263157894)","(5.5, 6.8, 6.770731707317073)","(4.8, 5.2, 5.179807692307692)","(71.0, 100.0, 96.875)"
05-01-2023 13:34:08.446627,"(9.0, 9.8, 9.755555555555556)","(91.0, 210.0, 195.0)","(26.0, 36.0, 35.7)","(41.0, 65.0, 60.476190476190474)","(31.0, 40.0, 39.61538461538461)","(12.0, 13.0, 12.920454545454545)","(101.0, 390.0, 357.1428571428571)","(10.0, 12.0, 11.46875)","(5.0, 5.9, 5.831944444444445)","(13.0, 17.0, 16.681818181818183)","(13.0, 15.5, 15.342105263157894)","(5.5, 6.8, 6.768421052631579)","(4.8, 5.2, 4.9147169811320754)","(71.0, 100.0, 87.5)"
05-01-2023 13:34:10.184999,"(9.0, 10.5, 9.845161290322581)","(91.0, 210.0, 172.5)","(26.0, 36.0, 35.53846153846154)","(41.0, 65.0, 60.476190476190474)","(31.0, 40.0, 39.61538461538461)","(12.0, 13.0, 12.925925925925926)","(101.0, 390.0, 357.1428571428571)","(10.0, 12.0, 11.46875)","(5.0, 5.9, 5.7558823529411764)","(13.0, 17.0, 16.681818181818183)","(13.0, 15.5, 15.342105263157894)","(5.5, 6.8, 6.795604395604395)","(4.6, 5.0, 4.914068441064639)","(71.0, 95.0, 89.78260869565217)"
05-01-2023 13:34:11.935616,"(9.0, 10.5, 9.958666666666668)","(91.0, 210.0, 172.5)","(26.0, 36.0, 35.72727272727273)","(41.0, 65.0, 60.476190476190474)","(31.0, 40.0, 39.61538461538461)","(12.0, 13.0, 12.925)","(101.0, 390.0, 357.1428571428571)","(10.0, 12.0, 11.527777777777779)","(5.0, 5.9, 5.7558823529411764)","(13.0, 17.0, 16.681818181818183)","(13.0, 15.5, 15.375)","(5.5, 6.8, 6.797777777777777)","(4.6, 5.0, 4.914068441064639)","(71.0, 95.0, 89.78260869565217)"
05-01-2023 13:34:13.710832,"(9.0, 10.5, 9.991578947368422)","(91.0, 210.0, 172.5)","(26.0, 36.0, 37.225806451612904)","(41.0, 65.0, 60.55555555555556)","(31.0, 40.0, 39.35294117647059)","(12.0, 13.0, 12.931034482758621)","(101.0, 390.0, 357.1428571428571)","(10.0, 12.0, 11.585365853658537)","(5.0, 5.9, 5.82027027027027)","(13.0, 17.0, 16.03846153846154)","(13.0, 15.5, 15.453488372093023)","(5.5, 6.8, 6.316923076923077)","(4.6, 5.0, 4.919642857142858)","(71.0, 95.0, 90.0)"
05-01-2023 13:34:15.510010,"(9.0, 10.5, 10.292207792207792)","(91.0, 210.0, 196.66666666666669)","(26.0, 38.0, 36.666666666666664)","(41.0, 65.0, 61.36363636363637)","(31.0, 40.0, 39.76)","(12.0, 13.0, 13.207446808510639)","(101.0, 390.0, 310.0)","(10.0, 12.0, 11.75)","(5.0, 5.9, 5.855384615384615)","(13.0, 16.5, 16.434782608695652)","(13.0, 15.5, 15.742424242424242)","(5.5, 6.6, 6.497087378640777)","(4.6, 5.0, 5.075)","(71.0, 95.0, 92.05882352941177)"
05-01-2023 13:34:17.404125,"(9.0, 10.5, 10.387931034482758)","(91.0, 210.0, 195.71428571428572)","(26.0, 38.0, 37.142857142857146)","(41.0, 65.0, 61.36363636363637)","(31.0, 40.0, 39.42857142857143)","(12.0, 13.5, 13.319672131147541)","(101.0, 410.0, 365.7142857142857)","(10.0, 12.0, 11.488095238095237)","(5.0, 5.9, 5.834090909090909)","(13.0, 16.5, 16.375)","(13.0, 16.0, 15.742424242424242)","(5.5, 6.6, 6.570526315789474)","(4.6, 5.2, 5.040909090909091)","(71.0, 95.0, 85.9090909090909)"
05-01-2023 13:34:19.237303,"(9.0, 10.5, 10.4375)","(91.0, 210.0, 198.88888888888889)","(26.0, 38.0, 37.142857142857146)","(41.0, 65.0, 61.36363636363637)","(31.0, 40.0, 39.4)","(12.0, 13.5, 13.319672131147541)","(101.0, 400.0, 365.7142857142857)","(10.0, 11.5, 10.938775510204081)","(5.0, 5.9, 5.826086956521739)","(13.0, 16.5, 16.25)","(13.0, 16.0, 15.82)","(5.5, 6.6, 6.56056338028169)","(4.6, 5.2, 5.054166666666667)","(71.0, 95.0, 85.9090909090909)"
05-01-2023 13:34:21.234721,"(8.5, 10.5, 10.482758620689655)","(101.0, 210.0, 190.0)","(26.0, 38.0, 37.6)","(41.0, 65.0, 61.470588235294116)","(31.0, 40.0, 39.64705882352941)","(12.0, 13.5, 13.288461538461538)","(101.0, 400.0, 368.0)","(10.0, 11.0, 10.655172413793103)","(5.0, 5.9, 5.772093023255814)","(13.0, 16.0, 15.407407407407407)","(13.0, 17.5, 16.914634146341463)","(5.5, 6.6, 6.57910447761194)","(4.6, 5.1, 5.030232558139534)","(71.0, 90.0, 86.25)"
05-01-2023 13:34:23.121952,"(8.5, 10.5, 10.565217391304348)","(101.0, 210.0, 200.0)","(26.0, 38.0, 37.6)","(41.0, 65.0, 61.470588235294116)","(31.0, 40.0, 39.64705882352941)","(12.0, 13.5, 13.288461538461538)","(101.0, 390.0, 341.8181818181818)","(10.0, 11.0, 10.622641509433961)","(5.0, 5.9, 5.75531914893617)","(13.0, 16.0, 15.819548872180452)","(13.0, 17.5, 17.112903225806452)","(5.5, 6.4, 6.388888888888889)","(4.6, 5.1, 4.99645390070922)","(71.0, 90.0, 86.25)"
05-01-2023 13:34:24.799239,"(9.0, 11.0, 10.585585585585585)","(101.0, 210.0, 190.0)","(26.0, 38.0, 37.6)","(41.0, 65.0, 61.470588235294116)","(31.0, 40.0, 38.36363636363636)","(12.0, 13.5, 13.288461538461538)","(101.0, 380.0, 341.8181818181818)","(10.0, 11.0, 10.622641509433961)","(5.0, 5.9, 5.772222222222222)","(13.0, 16.0, 15.717647058823529)","(13.0, 17.5, 16.833333333333332)","(5.5, 6.4, 6.394520547945206)","(4.6, 5.1, 5.052666666666666)","(71.0, 90.0, 86.25)"
05-01-2023 13:34:26.509470,"(9.0, 11.0, 10.61344537815126)","(101.0, 210.0, 198.0)","(26.0, 38.0, 39.15151515151515)","(41.0, 65.0, 61.666666666666664)","(31.0, 40.0, 38.285714285714285)","(12.0, 13.5, 12.897058823529411)","(101.0, 380.0, 336.6666666666667)","(10.0, 11.0, 10.672131147540984)","(5.0, 5.8, 5.78)","(12.0, 16.0, 15.724137931034482)","(13.0, 17.5, 16.9375)","(5.5, 6.4, 6.395238095238096)","(4.6, 5.1, 5.062032085561497)","(71.0, 90.0, 86.25)"
05-01-2023 13:34:28.163550,"(9.0, 11.0, 10.658227848101266)","(101.0, 210.0, 183.33333333333334)","(26.0, 40.0, 39.22222222222222)","(41.0, 65.0, 61.75675675675676)","(31.0, 40.0, 38.0)","(12.0, 13.0, 12.977272727272727)","(101.0, 370.0, 336.6666666666667)","(10.0, 11.0, 10.311688311688311)","(5.0, 5.8, 5.801694915254237)","(12.0, 16.0, 15.2)","(13.0, 17.5, 17.36842105263158)","(5.5, 6.4, 6.3971631205673765)","(4.6, 5.1, 5.074222222222222)","(71.0, 90.0, 86.25)"
05-01-2023 13:34:29.867323,"(9.0, 11.0, 10.398058252427184)","(101.0, 210.0, 188.1818181818182)","(26.0, 40.0, 39.22222222222222)","(41.0, 65.0, 61.75675675675676)","(31.0, 40.0, 36.0)","(12.0, 13.0, 12.977272727272727)","(101.0, 370.0, 296.9230769230769)","(10.0, 11.0, 10.235294117647058)","(5.0, 5.9, 5.800854700854702)","(12.0, 16.0, 15.470588235294118)","(13.0, 17.5, 17.38888888888889)","(5.5, 6.4, 6.377435897435897)","(4.6, 5.1, 5.073891625615763)","(71.0, 85.0, 82.85714285714286)"
05-01-2023 13:34:31.480614,"(9.0, 11.0, 10.487603305785123)","(101.0, 210.0, 197.14285714285714)","(26.0, 40.0, 39.26315789473684)","(41.0, 65.0, 61.92307692307692)","(31.0, 38.0, 36.5)","(12.0, 13.0, 12.677215189873417)","(101.0, 370.0, 351.0)","(10.0, 10.5, 10.292682926829269)","(5.0, 5.9, 5.796103896103896)","(12.0, 16.0, 15.608695652173914)","(13.0, 17.5, 17.357142857142858)","(5.5, 6.4, 6.378536585365854)","(4.6, 5.1, 5.078602620087336)","(71.0, 85.0, 81.25)"
05-01-2023 13:34:33.119589,"(9.0, 11.0, 10.479674796747968)","(101.0, 210.0, 204.0)","(26.0, 40.0, 39.17948717948718)","(41.0, 65.0, 62.4468085106383)","(31.0, 38.0, 35.473684210526315)","(12.0, 13.0, 12.655844155844155)","(101.0, 370.0, 302.1428571428571)","(10.0, 10.5, 10.272727272727273)","(5.0, 5.9, 5.786301369863014)","(12.0, 16.0, 15.4375)","(13.0, 17.5, 17.857142857142858)","(5.5, 6.4, 6.378536585365854)","(4.6, 5.1, 5.079831932773109)","(71.0, 85.0, 81.0)"
05-01-2023 13:34:34.835123,"(9.0, 11.0, 10.526785714285714)","(101.0, 210.0, 195.0)","(26.0, 40.0, 39.673469387755105)","(41.0, 65.0, 62.94871794871795)","(31.0, 38.0, 34.4)","(12.0, 13.0, 12.629032258064516)","(101.0, 370.0, 351.0)","(10.0, 10.5, 10.236842105263158)","(5.0, 5.9, 5.812631578947368)","(12.0, 16.0, 15.166666666666666)","(13.0, 20.0, 18.666666666666668)","(5.5, 6.4, 6.388659793814433)","(4.6, 5.0, 4.915544041450778)","(71.0, 85.0, 81.0)"
05-01-2023 13:34:36.428253,"(9.0, 11.0, 10.526785714285714)","(101.0, 210.0, 205.0)","(26.0, 40.0, 41.09090909090909)","(41.0, 65.0, 64.07894736842105)","(31.0, 38.0, 37.53846153846154)","(11.0, 13.0, 12.789634146341463)","(101.0, 370.0, 280.0)","(10.0, 10.5, 10.40983606557377)","(5.0, 5.9, 5.8629310344827585)","(13.0, 16.0, 15.857142857142858)","(13.0, 19.0, 18.5)","(5.5, 6.4, 6.466666666666667)","(4.6, 5.0, 4.932513661202186)","(71.0, 85.0, 84.0909090909091)"
05-01-2023 13:34:38.105504,"(9.0, 11.0, 10.77310924369748)","(101.0, 210.0, 205.71428571428572)","(26.0, 42.0, 41.81818181818182)","(41.0, 65.0, 64.07894736842105)","(31.0, 38.0, 36.833333333333336)","(11.0, 13.0, 12.784375)","(101.0, 370.0, 290.0)","(9.0, 10.5, 10.40983606557377)","(5.0, 5.9, 5.85981308411215)","(13.0, 16.0, 15.84)","(13.0, 19.5, 19.38157894736842)","(5.5, 6.6, 6.4682352941176475)","(4.6, 5.0, 4.932458563535912)","(71.0, 85.0, 82.14285714285714)"
05-01-2023 13:34:39.652508,"(9.0, 11.0, 10.644736842105264)","(101.0, 210.0, 212.5)","(26.0, 42.0, 41.888888888888886)","(41.0, 65.0, 64.125)","(31.0, 38.0, 37.0)","(11.0, 13.0, 12.793413173652695)","(101.0, 380.0, 316.6666666666667)","(9.0, 10.5, 10.416030534351146)","(5.0, 5.9, 5.878453038674033)","(13.0, 16.0, 15.818181818181818)","(13.0, 19.5, 19.38888888888889)","(5.5, 6.6, 6.4775956284153)","(4.6, 5.0, 4.950151975683891)","(71.0, 85.0, 81.0)"
