,Allegro Love,Claws In Cobra,Big Time Violet,Adobe Underworld,Claws In Creed,Mad World,Elusive Alibi
06-01-2023 14:38:13.105024,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 44.0, 30.136363636363637)"
06-01-2023 14:38:14.117671,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 44.0, 30.136363636363637)"
06-01-2023 14:38:15.090394,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 44.0, 30.136363636363637)"
06-01-2023 14:38:16.125483,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 44.0, 30.136363636363637)"
06-01-2023 14:38:17.085884,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 44.0, 53.35714285714286)"
06-01-2023 14:38:18.054152,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:19.015115,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:20.033245,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:21.288510,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:22.233624,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:23.132038,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:24.122702,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:25.331029,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:26.521986,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:27.603022,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:28.686850,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:29.713674,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:30.694431,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:31.694322,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:32.681158,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:33.689390,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:34.669089,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:35.627711,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:36.564554,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:37.467522,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:38.391512,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:39.312355,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:40.372146,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 24.450000000000003)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:41.294794,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 22.0, 20.727272727272727)","(8.0, 26.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:42.559743,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:43.761354,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:44.789846,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:45.791776,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:46.756523,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:47.721581,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:48.745274,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:49.814740,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:50.784314,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:51.868024,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:52.938744,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:54.036303,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:55.029245,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:55.995607,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:56.983039,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:57.980974,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:38:59.003080,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:39:00.091497,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:39:01.089343,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:39:02.028301,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:39:02.988595,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:39:03.918870,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:39:04.867529,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:39:05.842402,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:39:06.870552,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:39:07.858024,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 4.450731707317073)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:39:08.936172,"(6.0, 10.0, 9.283333333333333)","(4.2, 13.5, 8.8)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 7.0, 5.4228571428571435)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:39:10.017651,"(6.0, 10.0, 9.283333333333333)","(4.2, 9.6, 7.6)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 6.4, 5.4228571428571435)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:39:11.021156,"(6.0, 10.0, 9.283333333333333)","(4.2, 9.6, 7.6)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 6.4, 5.4228571428571435)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:39:12.062452,"(6.0, 10.0, 9.283333333333333)","(4.2, 9.6, 7.6)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 6.4, 5.4228571428571435)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:39:13.088332,"(6.0, 10.0, 9.283333333333333)","(4.2, 9.6, 7.6)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 6.4, 5.4228571428571435)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:39:14.182004,"(6.0, 10.0, 9.283333333333333)","(4.2, 9.6, 7.6)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 6.4, 5.4228571428571435)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:39:15.131607,"(6.0, 10.0, 9.283333333333333)","(4.2, 9.6, 7.6)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 6.4, 5.4228571428571435)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:39:16.061595,"(6.0, 10.0, 9.283333333333333)","(4.2, 9.6, 7.6)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 6.4, 5.4228571428571435)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:39:17.004369,"(6.0, 10.0, 9.283333333333333)","(4.2, 9.6, 7.6)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 6.4, 5.4228571428571435)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:39:18.121874,"(6.0, 10.0, 9.283333333333333)","(4.2, 9.6, 7.6)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 6.4, 5.4228571428571435)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:39:19.333096,"(6.0, 10.0, 9.283333333333333)","(4.2, 9.6, 7.6)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 6.4, 5.4228571428571435)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:39:20.293045,"(6.0, 10.0, 9.283333333333333)","(4.2, 9.6, 7.6)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 6.4, 5.4228571428571435)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:39:21.345225,"(6.0, 10.0, 9.283333333333333)","(4.2, 9.6, 7.6)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 6.4, 5.4228571428571435)","(15.0, 60.0, 53.35714285714286)"
06-01-2023 14:39:22.407100,"(6.0, 10.0, 9.283333333333333)","(4.2, 9.6, 7.6)","(4.0, 5.7, 4.75)","(8.5, 23.0, 21.636363636363633)","(8.0, 27.0, 22.800000000000004)","(2.9, 6.4, 5.4228571428571435)","(15.0, 60.0, 53.35714285714286)"
