,Mr Blue Sky,Moth Rocks,Impress Browning,Claretown Ryan,Explosive Debt,Swift Robert,Roxy Ouzo,Fabs Udon
11-01-2023 19:23:20.414452,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.5)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:21.703867,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.5)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:22.977419,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.5)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:24.305793,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.5)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:25.628495,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.5)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:27.188946,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.5)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:28.957511,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 54.75)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:30.429521,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 54.75)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:31.925066,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 54.07142857142857)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:33.708089,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 54.07142857142857)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:35.209171,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 54.07142857142857)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:36.770371,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.75)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:38.166498,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.75)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:39.548118,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.75)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:40.894841,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.75)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:42.214990,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.75)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:43.565797,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.75)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:44.901348,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.75)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:46.171307,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.75)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:47.479453,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.875)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 48.57142857142857)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:48.934814,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.875)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 100.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:50.301261,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.875)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:51.593801,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.875)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:52.907999,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 49.875)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:54.203351,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 50.0)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:55.546326,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 50.0)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:56.811997,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 50.0)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:58.134351,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 50.0)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:23:59.525443,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 50.0)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:00.854827,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 50.0)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:02.152863,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 50.0)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:03.462866,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 60.0, 31.75)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:04.826464,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 36.0, 31.75)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:06.144191,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 36.0, 31.75)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:07.510942,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 36.0, 31.75)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:08.812076,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 36.0, 32.22857142857143)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:10.180408,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 36.0, 32.22857142857143)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:11.502594,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 36.0, 32.22857142857143)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:12.786274,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 36.0, 30.76)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:14.160115,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 36.0, 30.76)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:15.450621,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 36.0, 30.76)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:16.779622,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 36.0, 30.8)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:18.110728,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 36.0, 30.8)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:19.385826,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 36.0, 30.8)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:20.722945,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 36.0, 30.8)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:22.021687,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 36.0, 28.200000000000003)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:23.350791,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 40.0, 37.125)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:24.647232,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 46.0, 37.125)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:26.112263,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 46.0, 37.125)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:28.261196,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 46.0, 37.125)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:29.659169,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 46.0, 37.125)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:31.065987,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 46.0, 37.125)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:32.428288,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 46.0, 34.125)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:33.789644,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 42.0, 34.125)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:35.114776,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 42.0, 34.125)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:36.519284,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 42.0, 34.125)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:37.921821,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 42.0, 34.125)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:39.217927,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 42.0, 35.8)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:40.504143,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 11.08)","(9.0, 20.0, 14.0625)","(10.0, 42.0, 35.8)","(10.0, 22.0, 15.222222222222221)","(21.0, 55.0, 32.8125)","(31.0, 110.0, 51.42857142857143)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:41.796192,"(1.65, 1.98, 1.6591666666666667)","(8.0, 16.0, 12.2)","(9.0, 20.0, 14.0625)","(10.0, 42.0, 33.8)","(10.0, 22.0, 17.307692307692307)","(21.0, 55.0, 36.06666666666666)","(31.0, 110.0, 63.14285714285714)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:43.131733,"(1.65, 1.98, 1.6591666666666667)","(8.0, 15.5, 13.575)","(9.0, 20.0, 13.09090909090909)","(10.0, 42.0, 34.375)","(10.0, 22.0, 16.771428571428572)","(21.0, 55.0, 36.06666666666666)","(31.0, 110.0, 63.14285714285714)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:44.469914,"(1.65, 1.98, 1.6591666666666667)","(8.0, 15.5, 13.575)","(9.0, 20.0, 13.09090909090909)","(10.0, 42.0, 34.375)","(10.0, 22.0, 16.771428571428572)","(21.0, 55.0, 36.06666666666666)","(31.0, 110.0, 63.14285714285714)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:45.757469,"(1.65, 1.98, 1.6591666666666667)","(8.0, 15.5, 13.575)","(9.0, 20.0, 13.09090909090909)","(10.0, 42.0, 34.375)","(10.0, 22.0, 16.771428571428572)","(21.0, 55.0, 36.06666666666666)","(31.0, 110.0, 63.14285714285714)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:47.041888,"(1.65, 1.98, 1.6591666666666667)","(8.0, 15.5, 13.575)","(9.0, 20.0, 13.09090909090909)","(10.0, 42.0, 34.375)","(10.0, 22.0, 16.771428571428572)","(21.0, 55.0, 36.06666666666666)","(31.0, 110.0, 63.14285714285714)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:48.340797,"(1.65, 1.98, 1.6591666666666667)","(8.0, 15.5, 13.575)","(9.0, 20.0, 13.09090909090909)","(10.0, 42.0, 34.375)","(10.0, 22.0, 16.771428571428572)","(21.0, 55.0, 36.06666666666666)","(31.0, 110.0, 63.14285714285714)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:49.621899,"(1.65, 1.98, 1.6591666666666667)","(8.0, 15.5, 13.575)","(9.0, 20.0, 13.09090909090909)","(10.0, 42.0, 34.375)","(10.0, 22.0, 16.771428571428572)","(21.0, 55.0, 36.06666666666666)","(31.0, 110.0, 63.14285714285714)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:50.887148,"(1.65, 1.98, 1.9168852459016392)","(8.0, 15.5, 13.575)","(9.0, 20.0, 13.09090909090909)","(10.0, 42.0, 34.375)","(10.0, 22.0, 16.771428571428572)","(21.0, 55.0, 36.06666666666666)","(31.0, 110.0, 63.14285714285714)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:52.192868,"(1.65, 1.98, 1.9469135802469135)","(8.0, 15.5, 13.575)","(9.0, 20.0, 13.09090909090909)","(10.0, 42.0, 38.1875)","(10.0, 22.0, 16.771428571428572)","(21.0, 55.0, 36.06666666666666)","(31.0, 110.0, 63.14285714285714)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:53.520033,"(1.65, 2.1, 1.9469135802469135)","(8.0, 15.5, 13.575)","(9.0, 20.0, 13.09090909090909)","(10.0, 42.0, 38.1875)","(10.0, 22.0, 16.771428571428572)","(21.0, 55.0, 36.06666666666666)","(31.0, 110.0, 63.14285714285714)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:54.750765,"(1.65, 2.1, 1.7415625)","(8.0, 15.5, 13.575)","(9.0, 20.0, 13.09090909090909)","(10.0, 42.0, 38.1875)","(10.0, 22.0, 16.771428571428572)","(21.0, 55.0, 36.06666666666666)","(31.0, 110.0, 63.14285714285714)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:56.104685,"(1.65, 2.1, 1.7415625)","(8.0, 15.5, 13.575)","(9.0, 20.0, 13.09090909090909)","(10.0, 42.0, 38.1875)","(10.0, 22.0, 16.771428571428572)","(21.0, 55.0, 36.06666666666666)","(31.0, 110.0, 63.14285714285714)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:57.412541,"(1.65, 2.1, 1.7591666666666668)","(8.0, 15.5, 13.575)","(9.0, 20.0, 13.09090909090909)","(10.0, 42.0, 38.1875)","(10.0, 22.0, 16.771428571428572)","(21.0, 55.0, 36.06666666666666)","(31.0, 110.0, 63.14285714285714)","(5.0, 10.5, 8.545714285714286)"
11-01-2023 19:24:58.766969,"(1.65, 2.08, 1.7591666666666668)","(8.0, 15.5, 13.575)","(9.0, 20.0, 13.09090909090909)","(10.0, 42.0, 38.1875)","(10.0, 22.0, 16.771428571428572)","(21.0, 55.0, 36.06666666666666)","(31.0, 110.0, 63.14285714285714)","(5.0, 10.5, 8.545714285714286)"
