,Chloes China,Seriously Fly,Mr Bean,Little Winnie,Juice,Angry Betty,Sekola,My Names Judy
12-01-2023 10:25:05.969187,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:07.159590,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:08.365577,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:09.510586,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:10.597989,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:11.664603,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:12.762849,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:13.913240,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:15.090754,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:16.239513,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:17.292784,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:18.315832,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:19.427374,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:20.540855,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:21.609478,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:22.632601,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:23.669447,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:24.787824,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:25.866916,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:26.977573,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:28.049160,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:29.220991,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:30.383070,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:31.598816,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:32.726422,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:33.900369,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:35.034580,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:36.164287,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:37.336424,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:38.538761,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:39.611125,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:40.717616,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:41.792889,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:42.935721,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:44.091762,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:45.234879,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:46.290189,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:47.377342,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:48.453901,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:49.552614,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:50.632064,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:51.665310,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:52.777566,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:53.915124,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:55.081277,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:56.141999,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:57.238506,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:58.375899,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:25:59.571911,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:26:00.755718,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:26:01.894610,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:26:03.001846,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:26:04.124558,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:26:05.357709,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:26:06.530124,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:26:07.682512,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:26:08.756622,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:26:09.876081,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:26:11.032855,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:26:12.191153,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:26:13.268481,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:26:14.318668,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:26:15.457902,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:26:16.502070,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:26:17.562891,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:26:18.559820,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:26:19.647024,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:26:20.779039,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:26:21.920315,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:26:23.069969,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
12-01-2023 10:26:24.143749,"(10.0, 21.0, 14.9)","(3.1, 4.8, 3.6805555555555554)","(5.0, 9.0, 6.213333333333333)","(12.0, 26.0, 23.0)","(6.5, 13.0, 9.181818181818182)","(4.6, 8.0, 5.476470588235294)","(4.6, 7.4, 4.988888888888889)","(31.0, 340.0, 91.66666666666666)"
