,Confusion,Tolkowsky,Valley Of Dreams,Gold Lunar,Silesian,Jumeirah Triangle
15-12-2022 13:42:04.229505,"(2.6, 3.05, 3.0436363636363635)","(5.0, 6.0, 5.828571428571428)","(2.6, 3.15, 3.048)","(9.0, 14.0, 13.071428571428571)","(10.0, 14.5, 13.857142857142858)","(31.0, 65.0, 63.333333333333336)"
15-12-2022 13:42:05.183410,"(2.6, 3.05, 2.9554545454545456)","(5.0, 6.0, 5.828571428571428)","(2.6, 3.15, 3.0727272727272728)","(9.0, 14.0, 13.071428571428571)","(10.0, 14.5, 13.857142857142858)","(31.0, 65.0, 63.333333333333336)"
15-12-2022 13:42:06.096355,"(2.6, 3.05, 2.9554545454545456)","(5.0, 6.0, 5.828571428571428)","(2.6, 3.15, 3.0727272727272728)","(9.0, 14.0, 13.071428571428571)","(10.0, 14.5, 13.857142857142858)","(31.0, 65.0, 63.333333333333336)"
15-12-2022 13:42:07.012261,"(2.6, 3.05, 2.9554545454545456)","(5.0, 6.0, 5.828571428571428)","(2.6, 3.15, 3.0727272727272728)","(9.0, 14.0, 13.071428571428571)","(10.0, 14.5, 13.857142857142858)","(31.0, 65.0, 63.37837837837838)"
15-12-2022 13:42:07.984617,"(2.6, 3.05, 2.9554545454545456)","(5.0, 6.0, 5.828571428571428)","(2.6, 3.15, 3.0727272727272728)","(9.0, 14.0, 13.071428571428571)","(10.0, 14.5, 13.857142857142858)","(31.0, 65.0, 63.37837837837838)"
15-12-2022 13:42:08.991352,"(2.6, 3.05, 2.9554545454545456)","(5.0, 6.0, 5.828571428571428)","(2.6, 3.15, 3.0727272727272728)","(9.0, 14.0, 13.071428571428571)","(10.0, 14.5, 13.857142857142858)","(31.0, 65.0, 63.37837837837838)"
15-12-2022 13:42:09.941862,"(2.6, 3.05, 2.985)","(5.0, 6.0, 5.828571428571428)","(2.6, 3.15, 3.082)","(9.0, 14.0, 13.071428571428571)","(10.0, 14.5, 13.857142857142858)","(31.0, 65.0, 63.23529411764706)"
15-12-2022 13:42:10.860083,"(2.6, 3.05, 2.9524999999999997)","(5.0, 6.0, 5.85)","(2.6, 3.2, 3.0742857142857143)","(9.0, 14.0, 13.071428571428571)","(10.0, 14.5, 14.125)","(31.0, 65.0, 63.57142857142857)"
15-12-2022 13:42:11.814812,"(2.6, 3.05, 3.041290322580645)","(5.0, 6.0, 5.85)","(2.6, 3.05, 2.9927272727272727)","(9.0, 12.5, 12.147058823529411)","(10.0, 13.5, 13.225)","(31.0, 65.0, 60.55555555555556)"
15-12-2022 13:42:12.746392,"(2.6, 3.05, 3.031428571428571)","(5.0, 6.0, 5.8545454545454545)","(2.6, 3.2, 3.1609756097560977)","(9.0, 12.5, 12.147058823529411)","(10.0, 13.5, 13.176470588235293)","(31.0, 65.0, 60.55555555555556)"
15-12-2022 13:42:13.696379,"(2.6, 3.05, 3.013333333333333)","(5.0, 6.0, 5.8545454545454545)","(2.6, 3.2, 3.1609756097560977)","(9.0, 12.5, 12.147058823529411)","(10.0, 13.5, 13.482142857142858)","(31.0, 65.0, 60.55555555555556)"
15-12-2022 13:42:14.597637,"(2.6, 3.1, 2.9584615384615383)","(5.0, 6.0, 5.8545454545454545)","(2.6, 3.2, 3.1609756097560977)","(9.0, 12.5, 12.147058823529411)","(10.0, 13.5, 13.482142857142858)","(31.0, 65.0, 60.55555555555556)"
15-12-2022 13:42:15.581315,"(2.6, 3.1, 2.9514285714285715)","(5.0, 6.0, 5.8545454545454545)","(2.6, 3.2, 3.1609756097560977)","(9.0, 12.5, 11.978260869565217)","(10.0, 13.5, 13.482142857142858)","(31.0, 65.0, 60.55555555555556)"
15-12-2022 13:42:16.582845,"(2.6, 3.1, 2.945925925925926)","(5.0, 6.0, 5.8545454545454545)","(2.6, 3.2, 3.153846153846154)","(9.0, 12.5, 11.978260869565217)","(10.0, 13.5, 13.482142857142858)","(31.0, 65.0, 60.55555555555556)"
15-12-2022 13:42:17.514046,"(2.6, 3.1, 2.945925925925926)","(5.0, 6.0, 5.8545454545454545)","(2.6, 3.2, 3.153846153846154)","(9.0, 12.5, 11.978260869565217)","(10.0, 13.5, 13.245454545454546)","(31.0, 65.0, 60.55555555555556)"
15-12-2022 13:42:18.404447,"(2.6, 3.1, 2.945925925925926)","(5.0, 6.0, 5.8545454545454545)","(2.6, 3.2, 3.153846153846154)","(9.0, 12.5, 11.978260869565217)","(10.0, 13.5, 13.245454545454546)","(31.0, 65.0, 60.55555555555556)"
15-12-2022 13:42:19.390899,"(2.6, 3.1, 2.945925925925926)","(5.0, 6.0, 5.8545454545454545)","(2.6, 3.2, 3.166666666666667)","(9.0, 12.5, 11.978260869565217)","(10.0, 13.5, 13.355263157894736)","(31.0, 65.0, 60.55555555555556)"
15-12-2022 13:42:20.376417,"(2.6, 3.1, 2.945925925925926)","(5.0, 6.0, 5.8545454545454545)","(2.6, 3.2, 3.166666666666667)","(9.0, 12.5, 12.233333333333333)","(10.0, 13.5, 13.328125)","(31.0, 65.0, 60.55555555555556)"
15-12-2022 13:42:21.243679,"(2.6, 3.05, 2.9619999999999997)","(5.0, 6.0, 5.8545454545454545)","(2.6, 3.2, 3.166666666666667)","(9.0, 12.5, 12.166666666666666)","(10.0, 13.5, 13.328125)","(31.0, 65.0, 60.55555555555556)"
15-12-2022 13:42:22.182549,"(2.6, 3.05, 2.9619999999999997)","(5.0, 6.0, 5.8545454545454545)","(2.6, 3.2, 3.166666666666667)","(9.0, 12.5, 12.233333333333333)","(10.0, 13.5, 13.328125)","(31.0, 65.0, 60.55555555555556)"
15-12-2022 13:42:23.215463,"(2.6, 3.05, 3.025)","(5.0, 6.0, 5.8545454545454545)","(2.6, 3.2, 3.1692307692307695)","(9.0, 12.5, 12.233333333333333)","(10.0, 13.5, 13.328125)","(31.0, 65.0, 60.55555555555556)"
15-12-2022 13:42:24.222166,"(2.6, 3.05, 3.007142857142857)","(5.0, 6.0, 5.8545454545454545)","(2.6, 3.2, 3.1076923076923078)","(9.0, 12.5, 12.233333333333333)","(10.0, 13.5, 13.328125)","(31.0, 65.0, 60.55555555555556)"
15-12-2022 13:42:25.122516,"(2.6, 3.05, 3.007142857142857)","(5.0, 6.0, 5.8545454545454545)","(2.6, 3.2, 3.1076923076923078)","(9.0, 12.5, 12.233333333333333)","(10.0, 13.5, 13.328125)","(31.0, 65.0, 60.55555555555556)"
15-12-2022 13:42:26.114601,"(2.6, 3.05, 3.007142857142857)","(5.0, 6.0, 5.8545454545454545)","(2.6, 3.2, 3.1076923076923078)","(9.0, 12.5, 12.233333333333333)","(10.0, 13.5, 13.328125)","(31.0, 65.0, 60.55555555555556)"
15-12-2022 13:42:27.165265,"(2.6, 3.05, 3.007142857142857)","(5.0, 6.0, 5.8315789473684205)","(2.6, 3.2, 3.1076923076923078)","(9.0, 12.5, 12.233333333333333)","(10.0, 13.5, 13.328125)","(31.0, 65.0, 60.55555555555556)"
15-12-2022 13:42:28.132052,"(2.6, 3.05, 2.988235294117647)","(5.0, 6.0, 5.84390243902439)","(2.6, 3.2, 3.15)","(9.0, 12.5, 12.1875)","(10.0, 13.5, 13.32258064516129)","(31.0, 65.0, 61.0)"
15-12-2022 13:42:29.043123,"(2.6, 3.05, 2.988235294117647)","(5.0, 6.2, 6.011764705882353)","(2.6, 3.2, 3.15)","(9.0, 12.5, 12.1875)","(10.0, 13.5, 13.32258064516129)","(31.0, 65.0, 61.0)"
15-12-2022 13:42:29.973047,"(2.6, 3.05, 2.988235294117647)","(5.0, 6.2, 6.011764705882353)","(2.6, 3.2, 3.15)","(9.0, 12.5, 12.1875)","(10.0, 13.5, 13.32258064516129)","(31.0, 65.0, 61.0)"
15-12-2022 13:42:30.963466,"(2.6, 3.05, 2.9789473684210526)","(5.0, 6.2, 6.088888888888889)","(2.6, 3.2, 3.25)","(9.0, 12.5, 12.115384615384615)","(10.0, 13.5, 13.32258064516129)","(31.0, 65.0, 62.77777777777778)"
15-12-2022 13:42:31.999247,"(2.6, 3.0, 2.9714285714285715)","(5.0, 6.2, 6.026086956521739)","(2.6, 3.3, 3.267741935483871)","(9.0, 12.5, 12.1875)","(10.0, 13.5, 13.32258064516129)","(31.0, 65.0, 62.77777777777778)"
15-12-2022 13:42:32.967051,"(2.6, 3.0, 2.9714285714285715)","(5.0, 6.2, 6.026086956521739)","(2.6, 3.3, 3.275)","(9.0, 12.5, 12.1875)","(10.0, 13.5, 13.32258064516129)","(31.0, 65.0, 62.77777777777778)"
15-12-2022 13:42:33.845098,"(2.6, 3.0, 2.9714285714285715)","(5.0, 6.2, 6.026086956521739)","(2.6, 3.3, 3.2469696969696966)","(9.0, 12.5, 12.1875)","(10.0, 13.5, 13.32258064516129)","(31.0, 65.0, 62.77777777777778)"
15-12-2022 13:42:34.815049,"(2.6, 3.0, 2.9714285714285715)","(5.0, 6.2, 6.026086956521739)","(2.6, 3.3, 3.2469696969696966)","(9.0, 12.5, 12.115384615384615)","(10.0, 13.5, 13.32258064516129)","(31.0, 65.0, 62.77777777777778)"
15-12-2022 13:42:35.781682,"(2.6, 3.0, 2.9714285714285715)","(5.0, 6.2, 6.026086956521739)","(2.6, 3.3, 3.2469696969696966)","(9.0, 12.5, 12.115384615384615)","(10.0, 13.5, 13.32258064516129)","(31.0, 65.0, 62.77777777777778)"
15-12-2022 13:42:36.737040,"(2.6, 2.96, 2.9171428571428573)","(5.0, 6.2, 6.026086956521739)","(2.6, 3.3, 3.2469696969696966)","(9.0, 12.5, 12.115384615384615)","(10.0, 13.5, 13.32258064516129)","(31.0, 65.0, 62.77777777777778)"
15-12-2022 13:42:37.667371,"(2.6, 2.96, 2.9171428571428573)","(5.0, 6.2, 6.026086956521739)","(2.6, 3.3, 3.2469696969696966)","(9.0, 12.5, 12.115384615384615)","(10.0, 13.5, 13.32258064516129)","(31.0, 65.0, 62.77777777777778)"
15-12-2022 13:42:38.548040,"(2.6, 2.96, 2.9171428571428573)","(5.0, 6.2, 6.057142857142857)","(2.6, 3.3, 3.2669811320754714)","(9.0, 12.5, 12.1875)","(10.0, 13.5, 13.32258064516129)","(31.0, 65.0, 62.77777777777778)"
15-12-2022 13:42:39.467326,"(2.6, 2.96, 2.9171428571428573)","(5.0, 6.2, 6.057142857142857)","(2.6, 3.3, 3.2669811320754714)","(9.0, 12.5, 12.1875)","(10.0, 13.5, 13.32258064516129)","(31.0, 65.0, 62.64705882352941)"
15-12-2022 13:42:40.531330,"(2.6, 2.96, 2.9171428571428573)","(5.0, 6.2, 6.076923076923077)","(2.6, 3.3, 3.2669811320754714)","(9.0, 12.5, 12.1875)","(10.0, 13.5, 13.32258064516129)","(31.0, 65.0, 62.64705882352941)"
15-12-2022 13:42:41.555012,"(2.6, 2.96, 2.9171428571428573)","(4.8, 6.2, 6.031578947368421)","(2.6, 3.3, 3.2669811320754714)","(9.0, 12.5, 12.1875)","(11.0, 13.5, 13.32258064516129)","(31.0, 65.0, 62.64705882352941)"
15-12-2022 13:42:42.497181,"(2.6, 2.96, 2.9171428571428573)","(4.8, 6.2, 6.066666666666666)","(2.6, 3.3, 3.2669811320754714)","(9.0, 12.5, 12.1875)","(11.0, 13.5, 13.32258064516129)","(31.0, 65.0, 62.64705882352941)"
15-12-2022 13:42:43.430546,"(2.6, 2.96, 2.9171428571428573)","(4.8, 6.2, 6.066666666666666)","(2.6, 3.3, 3.2669811320754714)","(9.0, 12.5, 12.1875)","(11.0, 13.5, 13.32258064516129)","(31.0, 65.0, 62.64705882352941)"
15-12-2022 13:42:44.438846,"(2.6, 2.96, 2.9171428571428573)","(4.8, 6.2, 6.085714285714285)","(2.6, 3.3, 3.2)","(9.0, 12.5, 12.1875)","(11.0, 13.5, 13.32258064516129)","(31.0, 65.0, 68.92857142857143)"
15-12-2022 13:42:45.394733,"(2.6, 2.96, 2.916216216216216)","(4.8, 6.2, 6.066666666666666)","(2.6, 3.3, 3.2)","(9.0, 12.5, 12.1875)","(11.0, 13.5, 13.384615384615385)","(31.0, 70.0, 68.92857142857143)"
15-12-2022 13:42:46.307591,"(2.6, 2.96, 2.916216216216216)","(4.8, 6.2, 6.0285714285714285)","(2.6, 3.3, 3.2)","(9.0, 12.5, 12.115384615384615)","(11.0, 13.5, 13.384615384615385)","(31.0, 70.0, 68.92857142857143)"
15-12-2022 13:42:47.219176,"(2.6, 2.96, 2.916216216216216)","(4.8, 6.2, 6.08)","(2.6, 3.3, 3.2)","(9.0, 12.5, 12.115384615384615)","(11.0, 13.5, 13.384615384615385)","(31.0, 70.0, 68.92857142857143)"
15-12-2022 13:42:48.179405,"(2.6, 2.96, 2.916216216216216)","(4.8, 6.2, 6.08)","(2.6, 3.3, 3.2)","(9.0, 12.5, 12.115384615384615)","(11.0, 13.5, 13.384615384615385)","(31.0, 70.0, 68.92857142857143)"
15-12-2022 13:42:49.137165,"(2.6, 2.96, 2.916216216216216)","(4.8, 6.2, 6.076923076923077)","(2.6, 3.3, 3.2)","(9.0, 12.5, 12.115384615384615)","(11.0, 13.5, 13.384615384615385)","(31.0, 70.0, 68.92857142857143)"
15-12-2022 13:42:49.973789,"(2.6, 2.96, 2.916216216216216)","(4.8, 6.2, 6.076923076923077)","(2.6, 3.3, 3.2)","(9.0, 12.5, 12.115384615384615)","(11.0, 13.5, 13.384615384615385)","(31.0, 70.0, 68.92857142857143)"
15-12-2022 13:42:50.904594,"(2.6, 2.96, 2.918139534883721)","(4.8, 6.2, 5.918181818181818)","(2.6, 3.3, 3.2)","(9.0, 12.5, 12.071428571428571)","(11.0, 13.5, 13.4)","(31.0, 70.0, 69.28571428571428)"
15-12-2022 13:42:51.964547,"(2.6, 2.96, 2.918139534883721)","(4.8, 6.0, 5.918181818181818)","(2.6, 3.25, 3.1807692307692306)","(9.0, 12.5, 12.153846153846153)","(11.0, 13.5, 13.4)","(31.0, 70.0, 65.0)"
15-12-2022 13:42:52.954812,"(2.6, 2.96, 2.918139534883721)","(4.8, 6.0, 5.95)","(2.6, 3.25, 3.194444444444444)","(9.0, 12.5, 12.272727272727273)","(11.0, 13.5, 13.4)","(31.0, 70.0, 65.0)"
15-12-2022 13:42:53.821927,"(2.6, 2.96, 2.918139534883721)","(4.8, 6.0, 5.95)","(2.6, 3.25, 3.21875)","(9.0, 12.5, 12.272727272727273)","(11.0, 13.5, 13.4)","(31.0, 70.0, 65.0)"
15-12-2022 13:42:54.708110,"(2.6, 2.94, 2.9296296296296296)","(4.8, 6.0, 5.914285714285715)","(2.6, 3.25, 3.21875)","(9.0, 13.5, 12.576923076923077)","(11.0, 13.5, 13.4)","(31.0, 70.0, 65.0)"
15-12-2022 13:42:55.640330,"(2.6, 2.94, 2.9296296296296296)","(4.8, 6.0, 5.914285714285715)","(2.6, 3.25, 3.21875)","(9.0, 13.5, 13.313953488372093)","(11.0, 13.5, 13.4)","(31.0, 70.0, 65.0)"
15-12-2022 13:42:56.679984,"(2.6, 2.92, 2.9153846153846152)","(4.8, 6.0, 5.8875)","(2.6, 3.25, 3.185714285714286)","(9.0, 13.5, 13.313953488372093)","(11.0, 13.5, 13.4)","(31.0, 70.0, 65.0)"
15-12-2022 13:42:57.684767,"(2.6, 2.96, 2.923934426229508)","(4.8, 5.8, 5.7912408759124085)","(2.6, 3.2, 3.170588235294118)","(9.0, 13.5, 13.313953488372093)","(11.0, 13.5, 13.4)","(31.0, 70.0, 65.0)"
15-12-2022 13:42:58.563333,"(2.6, 2.96, 2.923934426229508)","(4.8, 5.9, 5.883333333333334)","(2.6, 3.2, 3.170588235294118)","(9.0, 13.5, 13.313953488372093)","(11.0, 13.5, 13.4)","(31.0, 70.0, 65.0)"
15-12-2022 13:42:59.685315,"(2.6, 2.88, 2.868333333333333)","(4.8, 6.0, 5.977310924369748)","(2.6, 3.3, 3.2727272727272725)","(9.0, 13.5, 13.313953488372093)","(11.0, 13.5, 13.444444444444445)","(31.0, 70.0, 65.0)"
15-12-2022 13:43:00.702825,"(2.6, 2.82, 2.8145454545454545)","(4.8, 5.9, 5.881818181818182)","(2.6, 3.35, 3.2928571428571427)","(9.0, 13.5, 13.313953488372093)","(11.0, 14.0, 13.833333333333334)","(31.0, 70.0, 65.0)"
15-12-2022 13:43:01.733361,"(2.6, 2.8, 2.793333333333333)","(4.8, 5.9, 5.881818181818182)","(2.6, 3.35, 3.2954545454545454)","(9.0, 13.5, 13.313953488372093)","(11.0, 14.0, 13.766666666666667)","(31.0, 70.0, 65.0)"
15-12-2022 13:43:02.693340,"(2.6, 2.8, 2.7866666666666666)","(4.8, 5.9, 5.881818181818182)","(2.6, 3.35, 3.2928571428571427)","(9.0, 13.5, 13.313953488372093)","(11.0, 14.5, 13.710526315789474)","(31.0, 70.0, 65.0)"
15-12-2022 13:43:03.614628,"(2.6, 2.8, 2.7866666666666666)","(4.8, 5.9, 5.881818181818182)","(2.6, 3.35, 3.2928571428571427)","(9.0, 13.5, 13.313953488372093)","(11.0, 14.5, 13.347222222222221)","(31.0, 70.0, 70.71428571428571)"
15-12-2022 13:43:04.700691,"(2.6, 2.8, 2.799647577092511)","(4.8, 5.9, 5.852173913043479)","(2.6, 3.35, 3.238888888888889)","(9.0, 13.0, 12.596774193548388)","(11.0, 14.0, 12.736842105263158)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:05.726995,"(2.6, 2.82, 2.8186147186147186)","(4.8, 6.0, 5.872727272727273)","(2.6, 3.5, 3.3125)","(9.0, 13.0, 12.596774193548388)","(11.0, 13.0, 12.666666666666666)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:06.643467,"(2.6, 2.82, 2.8186147186147186)","(4.8, 6.0, 5.877419354838709)","(2.6, 3.5, 3.3000000000000003)","(9.0, 13.0, 12.625)","(11.0, 13.0, 12.666666666666666)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:07.567600,"(2.6, 2.82, 2.8186147186147186)","(4.8, 6.0, 5.877419354838709)","(2.6, 3.45, 3.3041666666666667)","(9.0, 13.0, 12.625)","(11.0, 13.0, 12.772727272727273)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:08.515749,"(2.6, 2.82, 2.8186147186147186)","(4.8, 6.0, 5.877419354838709)","(2.6, 3.5, 3.3421052631578947)","(9.0, 12.5, 12.03968253968254)","(11.0, 13.0, 12.6)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:09.539522,"(2.6, 2.82, 2.8186147186147186)","(4.8, 6.0, 5.877419354838709)","(2.6, 3.5, 3.3666666666666667)","(9.0, 12.5, 11.829896907216495)","(11.0, 13.0, 12.772727272727273)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:10.457347,"(2.6, 2.82, 2.8186147186147186)","(4.8, 6.0, 5.870588235294117)","(2.6, 3.5, 3.3666666666666667)","(9.0, 12.5, 11.829896907216495)","(11.0, 13.0, 12.772727272727273)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:11.479574,"(2.6, 2.82, 2.8186147186147186)","(4.8, 6.0, 5.870588235294117)","(2.6, 3.5, 3.3666666666666667)","(9.0, 12.5, 11.793478260869565)","(11.0, 13.0, 12.772727272727273)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:12.474293,"(2.6, 2.82, 2.8185714285714285)","(4.8, 6.0, 5.870588235294117)","(2.6, 3.5, 3.4047619047619047)","(9.0, 12.5, 11.75287356321839)","(11.0, 13.0, 12.772727272727273)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:13.404427,"(2.6, 2.82, 2.816190476190476)","(4.8, 6.0, 5.861538461538461)","(2.6, 3.5, 3.3666666666666667)","(9.0, 12.5, 11.75287356321839)","(11.0, 13.0, 12.772727272727273)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:14.326796,"(2.6, 2.82, 2.816190476190476)","(4.8, 6.0, 5.911111111111111)","(2.6, 3.5, 3.3666666666666667)","(9.0, 12.5, 11.75287356321839)","(11.0, 13.0, 12.772727272727273)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:15.275363,"(2.6, 2.82, 2.816190476190476)","(4.8, 6.0, 5.911111111111111)","(2.6, 3.5, 3.3666666666666667)","(9.0, 12.5, 11.75287356321839)","(11.0, 13.0, 12.772727272727273)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:16.520125,"(2.6, 2.82, 2.817064220183486)","(4.8, 6.0, 5.911111111111111)","(2.6, 3.5, 3.388059701492537)","(9.0, 12.5, 11.892857142857142)","(11.0, 13.0, 12.772727272727273)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:17.436604,"(2.6, 2.82, 2.816)","(4.8, 6.0, 5.911111111111111)","(2.6, 3.5, 3.388059701492537)","(9.0, 12.0, 11.892857142857142)","(11.0, 13.0, 12.772727272727273)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:18.351336,"(2.6, 2.84, 2.833333333333333)","(4.8, 6.0, 5.890909090909091)","(2.6, 3.5, 3.377049180327869)","(9.0, 12.0, 11.892857142857142)","(11.0, 13.0, 12.772727272727273)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:19.485739,"(2.6, 2.9, 2.86)","(4.8, 6.0, 5.890909090909091)","(2.6, 3.45, 3.3333333333333335)","(9.0, 12.0, 11.892857142857142)","(11.0, 13.0, 12.416666666666666)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:20.558842,"(2.6, 2.9, 2.85578947368421)","(4.8, 6.0, 5.890909090909091)","(2.6, 3.5, 3.3029411764705885)","(9.0, 12.0, 11.892857142857142)","(11.0, 12.5, 12.416666666666666)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:21.766007,"(2.6, 2.88, 2.8766666666666665)","(4.8, 6.0, 5.871428571428571)","(2.6, 3.45, 3.3029411764705885)","(9.0, 12.0, 11.892857142857142)","(11.0, 12.5, 12.882352941176471)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:22.769047,"(2.6, 2.88, 2.875)","(4.8, 6.0, 5.871428571428571)","(2.6, 3.45, 3.3029411764705885)","(9.0, 12.0, 11.892857142857142)","(11.0, 13.0, 12.882352941176471)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:23.793698,"(2.6, 2.88, 2.87)","(4.8, 6.0, 5.871428571428571)","(2.6, 3.5, 3.3125)","(9.0, 12.0, 11.892857142857142)","(11.0, 13.0, 12.647058823529411)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:24.869037,"(2.6, 2.86, 2.857142857142857)","(4.8, 6.0, 5.871428571428571)","(2.6, 3.5, 3.3238636363636362)","(9.0, 12.0, 11.892857142857142)","(11.0, 13.0, 12.8125)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:25.823402,"(2.6, 2.86, 2.857142857142857)","(4.8, 6.0, 5.851851851851852)","(2.6, 3.5, 3.317647058823529)","(9.0, 12.0, 11.892857142857142)","(11.0, 13.0, 12.8125)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:26.746005,"(2.6, 2.88, 2.8499999999999996)","(4.8, 6.0, 5.851851851851852)","(2.6, 3.5, 3.331578947368421)","(9.0, 12.0, 11.892857142857142)","(11.0, 13.0, 12.8125)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:27.841660,"(2.6, 2.88, 2.8466666666666667)","(4.8, 6.0, 5.851851851851852)","(2.6, 3.5, 3.4147058823529415)","(9.0, 12.0, 11.892857142857142)","(11.0, 13.0, 12.8125)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:28.833802,"(2.6, 2.88, 2.8466666666666667)","(4.8, 6.0, 5.851851851851852)","(2.6, 3.45, 3.4147058823529415)","(9.0, 12.0, 11.892857142857142)","(11.0, 13.0, 12.8125)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:29.919752,"(2.6, 2.88, 2.856470588235294)","(4.8, 6.0, 5.851851851851852)","(2.6, 3.4, 3.376)","(9.0, 12.0, 11.892857142857142)","(11.0, 13.0, 12.8125)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:30.936388,"(2.6, 2.88, 2.8615384615384616)","(4.8, 6.0, 5.851851851851852)","(2.6, 3.4, 3.376)","(9.0, 12.0, 11.892857142857142)","(11.0, 13.0, 12.8125)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:32.002205,"(2.6, 2.88, 2.8615384615384616)","(4.8, 6.0, 5.851851851851852)","(2.6, 3.4, 3.376)","(9.0, 12.0, 11.892857142857142)","(11.0, 13.0, 12.8125)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:32.902694,"(2.6, 2.88, 2.8615384615384616)","(4.8, 6.0, 5.851851851851852)","(2.6, 3.4, 3.376)","(9.0, 12.0, 11.892857142857142)","(11.0, 13.0, 12.8125)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:33.957925,"(2.6, 2.88, 2.8615384615384616)","(4.8, 6.0, 5.869230769230769)","(2.6, 3.4, 3.35)","(9.0, 12.0, 11.892857142857142)","(11.0, 13.0, 12.928571428571429)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:34.988735,"(2.6, 2.88, 2.8615384615384616)","(4.8, 6.0, 5.869230769230769)","(2.6, 3.4, 3.35)","(9.0, 12.0, 11.741758241758241)","(11.0, 13.0, 12.928571428571429)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:36.037544,"(2.6, 2.88, 2.8615384615384616)","(4.8, 6.0, 5.805714285714285)","(2.6, 3.4, 3.3666666666666667)","(9.0, 12.5, 11.741758241758241)","(11.0, 13.0, 12.928571428571429)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:37.067016,"(2.6, 2.88, 2.8615384615384616)","(4.8, 6.0, 5.931081081081081)","(2.6, 3.4, 3.3666666666666667)","(9.0, 12.5, 11.833333333333334)","(11.0, 13.0, 12.928571428571429)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:37.959641,"(2.6, 2.88, 2.8499999999999996)","(4.8, 5.9, 5.875384615384616)","(2.6, 3.45, 3.440909090909091)","(9.0, 12.0, 11.833333333333334)","(11.0, 13.0, 12.8125)","(31.0, 75.0, 70.71428571428571)"
15-12-2022 13:43:38.923295,"(2.6, 2.88, 2.847272727272727)","(4.8, 5.9, 5.874045801526718)","(2.6, 3.45, 3.440909090909091)","(9.0, 12.0, 11.833333333333334)","(11.0, 13.0, 12.8125)","(31.0, 75.0, 69.66666666666667)"
15-12-2022 13:43:39.928539,"(2.6, 2.88, 2.847272727272727)","(4.8, 5.9, 5.870149253731344)","(2.6, 3.45, 3.43)","(9.0, 12.0, 11.880434782608695)","(11.0, 13.0, 12.951219512195122)","(31.0, 75.0, 69.66666666666667)"
15-12-2022 13:43:40.957348,"(2.6, 2.88, 2.856)","(4.8, 5.9, 5.870149253731344)","(2.6, 3.45, 3.43)","(9.0, 12.0, 11.880434782608695)","(11.0, 13.0, 12.866666666666667)","(31.0, 75.0, 67.0)"
15-12-2022 13:43:41.945116,"(2.6, 2.88, 2.847272727272727)","(4.8, 5.9, 5.870149253731344)","(2.6, 3.45, 3.43)","(9.0, 12.0, 11.880434782608695)","(11.0, 13.0, 12.866666666666667)","(31.0, 75.0, 67.0)"
15-12-2022 13:43:43.128428,"(2.6, 2.9, 2.853846153846154)","(4.8, 5.9, 5.864028776978418)","(2.6, 3.45, 3.43)","(9.0, 12.0, 11.880434782608695)","(11.0, 13.0, 12.866666666666667)","(31.0, 75.0, 67.0)"
15-12-2022 13:43:44.621505,"(2.6, 2.9, 2.893103448275862)","(4.8, 5.8, 5.7779527559055115)","(2.6, 3.45, 3.43)","(9.0, 12.0, 11.880434782608695)","(11.0, 13.0, 12.8125)","(31.0, 75.0, 67.0)"
