,Confusion,Tolkowsky,Valley Of Dreams,Gold Lunar,Silesian,Jumeirah Triangle
15-12-2022 13:33:17.562284,"(2.6, 3.45, 3.271428571428572)","(4.8, 5.8, 5.55)","(2.5, 2.9, 2.855)","(9.0, 14.5, 14.0)","(10.0, 19.5, 17.884615384615383)","(31.0, 85.0, 51.25)"
15-12-2022 13:33:18.660103,"(2.6, 3.45, 3.271428571428572)","(4.8, 5.8, 5.55)","(2.5, 2.9, 2.855)","(9.0, 14.5, 14.0)","(10.0, 19.5, 17.884615384615383)","(31.0, 85.0, 51.25)"
15-12-2022 13:33:19.648803,"(2.6, 3.45, 3.271428571428572)","(4.8, 5.8, 5.55)","(2.5, 2.9, 2.855)","(9.0, 14.5, 14.0)","(10.0, 19.5, 17.884615384615383)","(31.0, 80.0, 48.0)"
15-12-2022 13:33:20.572513,"(2.6, 3.45, 3.271428571428572)","(4.8, 5.8, 5.55)","(2.5, 2.9, 2.8957894736842102)","(9.0, 14.5, 14.0)","(10.0, 19.5, 17.884615384615383)","(31.0, 80.0, 48.0)"
15-12-2022 13:33:21.574666,"(2.6, 3.45, 3.271428571428572)","(4.8, 5.8, 5.55)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 14.0)","(10.0, 19.5, 17.884615384615383)","(31.0, 80.0, 48.0)"
15-12-2022 13:33:22.604768,"(2.6, 3.4, 3.32)","(4.8, 5.8, 5.635294117647058)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 14.0)","(10.0, 19.5, 17.884615384615383)","(31.0, 80.0, 48.0)"
15-12-2022 13:33:23.586256,"(2.6, 3.4, 3.32)","(4.8, 5.8, 5.635294117647058)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 14.0)","(10.0, 19.5, 17.916666666666664)","(31.0, 80.0, 48.0)"
15-12-2022 13:33:24.560079,"(2.6, 3.4, 3.32)","(4.8, 5.8, 5.635294117647058)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 14.0)","(10.0, 19.0, 17.916666666666664)","(31.0, 80.0, 48.0)"
15-12-2022 13:33:25.601106,"(2.6, 3.4, 3.32)","(4.8, 5.8, 5.635294117647058)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 14.0)","(10.0, 19.0, 17.916666666666664)","(31.0, 80.0, 48.0)"
15-12-2022 13:33:26.713460,"(2.6, 3.4, 3.32)","(4.8, 5.8, 5.668749999999999)","(2.5, 2.88, 2.8716666666666666)","(9.0, 14.5, 14.0)","(10.0, 19.0, 17.916666666666664)","(31.0, 80.0, 48.0)"
