,Hello Gorgeous Nz,Abbee Bee,Fleet Of Foot,Justfollowmehome,Ee Jay Why,Krafty Louise,Debrenika,Carmela Domenica,Bettor Be Bucks,My Precious Mama
11-01-2023 20:00:04.862640,"(1.75, 99999, 99990)","(6.5, 9.2, 8.54)","(81.0, 170.0, 122.5)","(4.0, 4.9, 4.62)","(8.0, 14.0, 12.333333333333334)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.0, 12.833333333333334)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:06.483417,"(1.75, 99999, 99990)","(6.5, 9.2, 8.533333333333333)","(81.0, 170.0, 122.5)","(4.0, 4.9, 4.5)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.0, 13.0)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:08.109617,"(1.75, 99999, 99990)","(6.5, 9.2, 8.911111111111111)","(81.0, 170.0, 122.5)","(4.0, 4.9, 4.530769230769231)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.0, 13.227272727272727)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:09.764757,"(1.75, 99999, 99990)","(6.5, 9.4, 8.911111111111111)","(81.0, 170.0, 122.5)","(4.0, 4.9, 4.530769230769231)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.227272727272727)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:11.438282,"(1.75, 99999, 99990)","(6.5, 9.4, 8.911111111111111)","(81.0, 170.0, 122.5)","(4.0, 4.9, 4.530769230769231)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.227272727272727)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:13.010028,"(1.75, 99999, 99990)","(6.5, 9.4, 7.8)","(81.0, 170.0, 122.5)","(4.0, 4.9, 4.530769230769231)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.227272727272727)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:14.562873,"(1.75, 99999, 99990)","(6.5, 9.4, 7.8)","(81.0, 170.0, 122.5)","(4.0, 4.9, 4.530769230769231)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.227272727272727)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:16.151705,"(1.75, 99999, 99990)","(6.5, 9.4, 7.8)","(81.0, 170.0, 122.5)","(4.0, 4.9, 4.530769230769231)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.227272727272727)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:17.644032,"(1.75, 99999, 99990)","(6.5, 9.4, 7.8)","(81.0, 170.0, 122.5)","(4.0, 4.9, 4.530769230769231)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.227272727272727)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:19.205270,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(81.0, 170.0, 122.5)","(4.0, 4.9, 4.530769230769231)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.227272727272727)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:20.742360,"(1.75, 99999, 99990)","(6.5, 9.4, 8.911111111111111)","(81.0, 170.0, 122.5)","(4.0, 4.9, 4.530769230769231)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.227272727272727)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:22.301829,"(1.75, 99999, 99990)","(6.5, 9.4, 8.911111111111111)","(81.0, 170.0, 122.5)","(4.0, 4.9, 4.530769230769231)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.227272727272727)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:23.801570,"(1.75, 99999, 99990)","(6.5, 9.4, 8.911111111111111)","(81.0, 170.0, 122.5)","(4.0, 4.9, 4.530769230769231)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.227272727272727)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:25.346345,"(1.75, 99999, 99990)","(6.5, 9.4, 7.8)","(81.0, 170.0, 122.5)","(4.0, 4.9, 4.530769230769231)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.227272727272727)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:27.013673,"(1.75, 99999, 99990)","(6.5, 9.4, 7.8)","(81.0, 170.0, 122.5)","(4.0, 4.9, 4.530769230769231)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.227272727272727)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:28.576171,"(1.75, 99999, 99990)","(6.5, 9.4, 7.8)","(81.0, 170.0, 122.5)","(4.0, 4.9, 4.530769230769231)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.227272727272727)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:30.185911,"(1.75, 99999, 99990)","(6.5, 9.4, 7.8)","(81.0, 170.0, 122.5)","(4.0, 4.9, 4.5)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.576923076923077)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:31.787744,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(81.0, 170.0, 122.5)","(4.0, 4.8, 4.5)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:33.426843,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(81.0, 170.0, 122.5)","(4.0, 4.8, 4.5)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:34.989102,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(81.0, 170.0, 122.5)","(4.0, 4.8, 4.5)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:36.595517,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(81.0, 170.0, 122.5)","(4.0, 4.8, 4.5)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:38.280469,"(1.75, 99999, 99990)","(6.5, 9.4, 7.8)","(81.0, 170.0, 122.5)","(4.0, 4.8, 4.5)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:39.897399,"(1.75, 99999, 99990)","(6.5, 9.4, 7.8)","(81.0, 170.0, 122.5)","(4.0, 4.8, 4.5)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:41.480868,"(1.75, 99999, 99990)","(6.5, 9.4, 9.16)","(81.0, 170.0, 122.5)","(4.0, 4.8, 4.5)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:43.123965,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(81.0, 170.0, 122.5)","(4.0, 4.8, 4.5)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:44.681153,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(81.0, 170.0, 122.5)","(4.0, 4.8, 4.5)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:46.258841,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(81.0, 170.0, 122.5)","(4.0, 4.8, 4.5)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:47.830516,"(1.75, 99999, 99990)","(6.5, 9.4, 8.82857142857143)","(81.0, 170.0, 122.5)","(4.0, 4.8, 4.5)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:49.443250,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(81.0, 170.0, 122.5)","(4.0, 4.8, 4.5)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:51.039900,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(81.0, 170.0, 122.5)","(4.0, 4.8, 4.5)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:52.662549,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(81.0, 170.0, 122.5)","(4.0, 4.8, 4.5)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:54.222964,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(81.0, 170.0, 122.5)","(4.0, 4.8, 4.5)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:55.803176,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(81.0, 170.0, 122.5)","(4.0, 4.8, 4.5)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:57.373696,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(81.0, 170.0, 122.5)","(4.0, 4.8, 4.477777777777778)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:00:58.945775,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(81.0, 170.0, 122.5)","(4.0, 4.7, 4.477777777777778)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:00.838168,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(81.0, 170.0, 122.5)","(4.0, 4.7, 4.477777777777778)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:02.580135,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(81.0, 170.0, 122.5)","(4.0, 4.7, 4.477777777777778)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:04.333948,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(81.0, 170.0, 122.5)","(4.0, 4.7, 4.477777777777778)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:06.008503,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(81.0, 170.0, 122.5)","(4.0, 4.7, 4.477777777777778)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:07.678935,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(81.0, 170.0, 122.5)","(4.0, 4.7, 4.477777777777778)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:09.305169,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(81.0, 170.0, 125.0)","(4.0, 4.7, 4.477777777777778)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:10.888457,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(71.0, 170.0, 125.0)","(4.0, 4.7, 4.477777777777778)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:12.479061,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(71.0, 170.0, 125.0)","(4.0, 4.7, 4.477777777777778)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:14.046017,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(71.0, 170.0, 125.0)","(4.0, 4.7, 4.477777777777778)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 13.642857142857142)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:15.611274,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(71.0, 170.0, 125.0)","(4.0, 4.7, 4.477777777777778)","(8.0, 14.0, 12.4)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 14.5, 14.681818181818182)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:17.248887,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(71.0, 170.0, 125.0)","(4.0, 4.7, 4.477777777777778)","(8.0, 14.0, 12.666666666666666)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:18.797022,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(71.0, 170.0, 125.0)","(4.0, 4.7, 4.477777777777778)","(8.0, 14.0, 12.666666666666666)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:20.410402,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(71.0, 170.0, 125.0)","(4.0, 4.7, 4.477777777777778)","(8.0, 14.0, 12.666666666666666)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:22.022542,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(71.0, 170.0, 125.0)","(4.0, 4.7, 4.477777777777778)","(8.0, 14.0, 12.666666666666666)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:23.567764,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(71.0, 170.0, 125.0)","(4.0, 4.7, 4.477777777777778)","(8.0, 14.0, 12.666666666666666)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:25.134605,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(71.0, 170.0, 125.0)","(4.0, 4.7, 4.409090909090909)","(8.0, 14.0, 12.666666666666666)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:26.789180,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(71.0, 170.0, 125.0)","(4.0, 4.6, 4.25)","(8.0, 14.0, 12.666666666666666)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:28.449176,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(71.0, 170.0, 125.0)","(4.0, 4.6, 4.25)","(8.0, 14.0, 12.666666666666666)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:30.085576,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.25)","(8.0, 14.0, 12.666666666666666)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:31.688401,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.25)","(8.0, 14.0, 12.666666666666666)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:33.320280,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.25)","(8.0, 14.0, 12.666666666666666)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:34.969994,"(1.75, 99999, 99990)","(6.5, 9.4, 8.666666666666668)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.25)","(8.0, 14.0, 12.666666666666666)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:36.678076,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.25)","(8.0, 14.0, 12.666666666666666)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:38.492445,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.25)","(8.0, 14.0, 12.666666666666666)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
11-01-2023 20:01:40.110275,"(1.75, 99999, 99990)","(6.5, 9.4, 9.033333333333333)","(71.0, 170.0, 120.0)","(4.0, 4.6, 4.25)","(8.0, 14.0, 12.666666666666666)","(71.0, 170.0, 120.0)","(19.0, 36.0, 30.8)","(11.0, 15.0, 14.192307692307692)","(21.0, 50.0, 33.333333333333336)","(101.0, 200.0, 164.0)"
