,Bonnies Cam,Three Rivers Nz,King Of Trumps Nz,Arnold Street,Yep Got Chooks,Williewa Lightning,Shadow Minister Nz,Might As Well Nz,Be Rock Hard Nz
06-01-2023 16:04:30.476097,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:31.833780,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:33.262701,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:34.570220,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:35.821350,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:37.095051,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:38.264830,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:39.447636,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:40.676701,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:41.890453,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:43.175416,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:44.454183,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:45.725915,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:46.983714,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:48.216704,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:49.450287,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:50.626598,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:51.797332,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:53.005600,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:54.330300,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:55.743649,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:57.064035,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:58.450496,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:04:59.748215,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:01.064418,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.966666666666667)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:02.356237,"(2.7, 5.0, 4.728571428571429)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 64.33333333333334)","(6.0, 10.5, 8.66)","(61.0, 220.0, 204.5)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:03.599643,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 70.5)","(6.0, 10.5, 8.66)","(61.0, 220.0, 204.5)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:04.868512,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 8.66)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:05.991840,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 8.66)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:07.136177,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 8.66)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:08.361160,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 8.66)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:09.500851,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 9.375)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:10.651839,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 9.375)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:11.900519,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 9.375)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:13.193523,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 9.375)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:14.448693,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 9.375)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:15.737385,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 9.375)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:17.056172,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 9.375)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:18.221071,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 73.4)","(6.0, 10.5, 9.375)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:19.409081,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 73.4)","(6.0, 10.5, 9.375)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:20.541359,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 9.375)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:21.624311,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 9.375)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:22.701723,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 9.375)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:23.889719,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(61.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 9.375)","(61.0, 220.0, 194.16666666666666)","(4.4, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:25.023163,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(81.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 9.375)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:26.203829,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(81.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 9.375)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:27.348146,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(81.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 9.375)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:28.460537,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(81.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 9.375)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:29.623449,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(81.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 9.375)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:30.745466,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(81.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 9.375)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:31.844417,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(81.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 9.375)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:33.009516,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(81.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 8.780000000000001)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:34.145353,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(81.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 8.780000000000001)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:35.415261,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(81.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 7.633333333333334)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:36.653187,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(81.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 7.633333333333334)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:37.892717,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(81.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 7.633333333333334)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:39.163722,"(2.7, 5.0, 4.5777777777777775)","(3.0, 99999, 99990)","(81.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 7.633333333333334)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:40.359691,"(2.7, 5.0, 4.5777777777777775)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 7.633333333333334)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:41.580314,"(2.7, 5.0, 4.5777777777777775)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 7.633333333333334)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:42.746497,"(2.7, 5.0, 4.5777777777777775)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 7.633333333333334)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:43.871220,"(2.7, 5.0, 4.5777777777777775)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 7.633333333333334)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:44.966040,"(2.7, 5.0, 4.5777777777777775)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 7.633333333333334)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:46.062012,"(2.7, 5.0, 4.5777777777777775)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 7.633333333333334)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:47.174888,"(2.7, 5.0, 4.5777777777777775)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 7.633333333333334)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:48.264399,"(2.7, 5.0, 4.5777777777777775)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 7.633333333333334)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:49.397604,"(2.7, 5.0, 4.5777777777777775)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 7.633333333333334)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:50.583568,"(2.7, 5.0, 4.5777777777777775)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 7.633333333333334)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:51.710788,"(2.7, 5.0, 4.5777777777777775)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 7.633333333333334)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:52.860502,"(2.7, 5.0, 4.5777777777777775)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 7.633333333333334)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:54.067656,"(2.7, 5.0, 4.5777777777777775)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 7.633333333333334)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:55.197820,"(2.7, 5.0, 4.5777777777777775)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 7.633333333333334)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
06-01-2023 16:05:56.362709,"(2.7, 5.0, 4.5777777777777775)","(3.1, 99999, 99990)","(91.0, 99999, 99990)","(31.0, 85.0, 52.77777777777778)","(6.0, 10.5, 7.633333333333334)","(71.0, 220.0, 194.16666666666666)","(4.6, 99999, 99990)","(6.5, 99999, 99990)","(31.0, 99999, 99990)"
