,Brienne,Faith In Manchester,Romeo Foxtrot,Emma Frost,Errol D,Kiwitrix,Aldebaran Flame
16-12-2022 15:26:54.682103,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.2, 4.9)","(7.0, 11.0, 8.257142857142856)","(10.0, 22.0, 17.75)","(9.0, 12.0, 11.384615384615385)","(2.8, 4.0, 3.8333333333333335)","(3.5, 4.8, 4.5600000000000005)"
16-12-2022 15:26:55.988534,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.2, 4.9)","(7.0, 11.0, 8.257142857142856)","(10.0, 22.0, 17.75)","(9.0, 12.0, 11.384615384615385)","(2.8, 4.0, 3.8333333333333335)","(3.5, 4.8, 4.5600000000000005)"
16-12-2022 15:26:57.030305,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.2, 4.9)","(7.0, 11.0, 8.257142857142856)","(10.0, 22.0, 17.75)","(9.0, 12.0, 11.384615384615385)","(2.8, 4.0, 3.7750000000000004)","(3.5, 4.8, 4.5600000000000005)"
16-12-2022 15:26:58.056005,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.2, 4.9)","(7.0, 11.0, 8.257142857142856)","(10.0, 22.0, 17.75)","(9.0, 12.0, 11.384615384615385)","(2.8, 4.0, 3.8000000000000003)","(3.5, 4.8, 4.5600000000000005)"
16-12-2022 15:26:59.090316,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.1, 4.736363636363636)","(7.0, 11.0, 8.257142857142856)","(10.0, 22.0, 17.75)","(9.0, 11.5, 11.071428571428571)","(2.8, 3.95, 3.725)","(3.5, 4.8, 4.663636363636363)"
16-12-2022 15:27:00.163303,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.1, 5.0249999999999995)","(7.0, 11.0, 9.254545454545454)","(10.0, 22.0, 17.75)","(9.0, 11.5, 11.071428571428571)","(2.8, 3.95, 3.8642857142857143)","(3.5, 4.8, 4.663636363636363)"
16-12-2022 15:27:01.195679,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.1, 5.0249999999999995)","(7.0, 11.0, 9.254545454545454)","(10.0, 22.0, 17.75)","(9.0, 11.5, 11.071428571428571)","(2.8, 3.95, 3.8642857142857143)","(3.5, 4.8, 4.5600000000000005)"
16-12-2022 15:27:02.213538,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.1, 5.0249999999999995)","(7.0, 11.0, 8.257142857142856)","(10.0, 23.0, 14.857142857142858)","(9.0, 11.5, 11.071428571428571)","(2.8, 3.95, 3.8642857142857143)","(3.5, 4.8, 4.5600000000000005)"
16-12-2022 15:27:03.314114,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.1, 5.0249999999999995)","(7.0, 11.0, 8.257142857142856)","(10.0, 23.0, 14.857142857142858)","(9.0, 12.0, 11.25)","(2.8, 3.95, 3.8642857142857143)","(3.5, 4.8, 4.5600000000000005)"
16-12-2022 15:27:04.477319,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.1, 5.0249999999999995)","(7.0, 11.0, 8.257142857142856)","(10.0, 23.0, 14.857142857142858)","(9.0, 12.5, 11.428571428571429)","(2.8, 3.95, 3.8642857142857143)","(3.5, 4.8, 4.663636363636363)"
16-12-2022 15:27:05.446142,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.1, 5.0249999999999995)","(7.0, 11.0, 9.4)","(10.0, 23.0, 14.857142857142858)","(9.0, 12.0, 11.428571428571429)","(2.8, 3.95, 3.8642857142857143)","(3.5, 4.8, 4.663636363636363)"
16-12-2022 15:27:06.632368,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.1, 4.85)","(7.0, 11.0, 9.4)","(10.0, 23.0, 14.857142857142858)","(9.0, 12.0, 11.7)","(2.8, 3.95, 3.9)","(3.5, 4.8, 4.663636363636363)"
16-12-2022 15:27:07.655017,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.1, 4.85)","(7.0, 11.0, 9.4)","(10.0, 23.0, 14.857142857142858)","(9.0, 12.0, 11.7)","(2.8, 3.95, 3.9)","(3.5, 4.8, 4.663636363636363)"
16-12-2022 15:27:08.714888,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.1, 4.85)","(7.0, 11.0, 9.276923076923076)","(10.0, 23.0, 14.857142857142858)","(9.0, 12.0, 11.533333333333333)","(2.8, 4.0, 3.914285714285714)","(3.5, 4.8, 4.5600000000000005)"
16-12-2022 15:27:09.721352,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.1, 4.85)","(7.0, 11.0, 9.276923076923076)","(10.0, 23.0, 14.857142857142858)","(9.0, 12.0, 11.615384615384615)","(2.8, 4.0, 3.914285714285714)","(3.5, 4.8, 4.5600000000000005)"
16-12-2022 15:27:10.773936,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.1, 4.85)","(7.0, 11.0, 9.276923076923076)","(10.0, 23.0, 14.857142857142858)","(9.0, 12.0, 11.615384615384615)","(2.8, 4.0, 3.9076923076923076)","(3.5, 4.8, 4.5600000000000005)"
16-12-2022 15:27:11.821474,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.1, 4.85)","(7.0, 11.0, 9.276923076923076)","(10.0, 23.0, 14.857142857142858)","(9.0, 12.5, 11.461538461538462)","(2.8, 4.0, 3.8941176470588235)","(3.5, 4.8, 4.5600000000000005)"
16-12-2022 15:27:12.970301,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.1, 4.85)","(7.0, 10.5, 9.15)","(10.0, 23.0, 14.857142857142858)","(9.0, 12.5, 11.461538461538462)","(2.8, 4.0, 3.97)","(3.5, 4.8, 4.663636363636363)"
16-12-2022 15:27:14.016275,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.1, 4.85)","(7.0, 10.5, 9.15)","(10.0, 23.0, 14.857142857142858)","(9.0, 12.5, 11.461538461538462)","(2.8, 4.0, 3.97)","(3.5, 4.8, 4.663636363636363)"
16-12-2022 15:27:15.077783,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.1, 5.007692307692308)","(7.0, 10.5, 9.15)","(10.0, 23.0, 14.857142857142858)","(9.0, 12.0, 9.899999999999999)","(2.8, 4.0, 3.9657142857142857)","(3.5, 4.8, 4.663636363636363)"
16-12-2022 15:27:16.204421,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.1, 5.007692307692308)","(7.0, 10.5, 9.15)","(10.0, 23.0, 14.857142857142858)","(9.0, 12.0, 10.4)","(2.8, 4.0, 3.9657142857142857)","(3.5, 4.8, 4.663636363636363)"
16-12-2022 15:27:17.308061,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.1, 5.007692307692308)","(7.0, 10.5, 8.357142857142858)","(10.0, 22.0, 17.75)","(9.0, 11.0, 10.714285714285714)","(2.8, 4.0, 3.9657142857142857)","(3.5, 4.8, 4.5600000000000005)"
16-12-2022 15:27:18.321152,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.1, 5.007692307692308)","(7.0, 10.5, 8.357142857142858)","(10.0, 22.0, 17.75)","(9.0, 11.0, 10.714285714285714)","(2.8, 4.0, 3.9657142857142857)","(3.5, 4.8, 4.5600000000000005)"
16-12-2022 15:27:19.407301,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.1, 4.85)","(7.0, 10.5, 8.3125)","(10.0, 22.0, 17.75)","(9.0, 11.0, 10.714285714285714)","(2.8, 4.0, 3.9657142857142857)","(3.5, 4.8, 4.5600000000000005)"
16-12-2022 15:27:20.489209,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.1, 4.85)","(7.0, 10.5, 8.3125)","(10.0, 22.0, 17.75)","(9.0, 11.0, 10.714285714285714)","(2.8, 4.6, 4.321428571428571)","(3.5, 4.8, 4.7625)"
16-12-2022 15:27:21.585454,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.8)","(7.0, 10.5, 8.3125)","(10.0, 22.0, 17.75)","(9.0, 11.5, 10.75)","(2.8, 4.5, 4.0875)","(3.5, 4.8, 4.7625)"
16-12-2022 15:27:22.597569,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.8)","(7.0, 10.5, 8.3125)","(10.0, 22.0, 17.75)","(9.0, 11.5, 10.9375)","(2.8, 4.5, 4.17)","(3.5, 4.8, 4.76)"
16-12-2022 15:27:23.707025,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.8)","(7.0, 10.5, 8.3125)","(10.0, 22.0, 17.75)","(9.0, 11.5, 10.833333333333334)","(2.8, 4.4, 4.13)","(3.5, 4.8, 4.76)"
16-12-2022 15:27:24.860450,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.930769230769231)","(7.0, 10.5, 8.3125)","(10.0, 22.0, 17.75)","(9.0, 12.5, 10.657894736842104)","(2.8, 4.4, 4.09)","(3.5, 4.8, 4.67)"
16-12-2022 15:27:25.870933,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.930769230769231)","(7.0, 10.5, 8.3125)","(10.0, 22.0, 17.75)","(9.0, 12.5, 11.428571428571429)","(2.9, 4.3, 3.9916666666666667)","(3.5, 4.7, 4.67)"
16-12-2022 15:27:26.860927,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.8)","(7.0, 10.5, 8.3125)","(10.0, 22.0, 17.75)","(9.0, 12.0, 11.428571428571429)","(2.9, 4.2, 4.05)","(3.5, 4.7, 4.67)"
16-12-2022 15:27:27.956725,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.8)","(7.0, 10.5, 8.3125)","(10.0, 22.0, 17.75)","(9.0, 12.0, 11.428571428571429)","(2.9, 4.2, 4.05)","(3.5, 4.7, 4.67)"
16-12-2022 15:27:29.087798,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.8)","(7.0, 10.5, 8.3125)","(10.0, 22.0, 17.75)","(9.0, 12.0, 10.9375)","(2.9, 4.2, 4.133333333333334)","(3.5, 4.7, 4.67)"
16-12-2022 15:27:30.114810,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.8)","(7.0, 10.5, 8.3125)","(10.0, 22.0, 17.75)","(9.0, 11.5, 10.9375)","(2.9, 4.2, 4.133333333333334)","(3.5, 4.7, 4.67)"
16-12-2022 15:27:31.175627,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.8)","(7.0, 10.5, 8.3125)","(10.0, 22.0, 17.75)","(9.0, 11.5, 10.9375)","(2.9, 4.2, 4.133333333333334)","(3.5, 4.7, 4.67)"
16-12-2022 15:27:32.305276,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.8)","(7.0, 8.6, 7.945454545454545)","(10.0, 23.0, 14.857142857142858)","(8.5, 12.0, 11.11111111111111)","(2.9, 4.2, 4.133333333333334)","(3.5, 4.7, 4.67)"
16-12-2022 15:27:33.393668,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.930769230769231)","(7.0, 8.6, 7.828571428571428)","(10.0, 23.0, 14.857142857142858)","(8.5, 12.0, 11.5)","(2.9, 4.2, 4.133333333333334)","(3.5, 4.7, 4.67)"
16-12-2022 15:27:34.428530,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.930769230769231)","(7.0, 8.6, 8.336585365853658)","(10.0, 23.0, 14.857142857142858)","(8.5, 12.0, 11.5)","(2.9, 4.2, 4.114285714285715)","(3.5, 4.7, 4.67)"
16-12-2022 15:27:35.438814,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.930769230769231)","(7.0, 8.6, 8.336585365853658)","(10.0, 23.0, 14.857142857142858)","(8.5, 12.5, 11.38888888888889)","(2.9, 4.2, 4.114285714285715)","(3.5, 4.7, 4.67)"
16-12-2022 15:27:36.515658,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.930769230769231)","(7.0, 8.6, 8.336585365853658)","(10.0, 23.0, 14.857142857142858)","(8.5, 12.0, 11.7)","(2.9, 4.2, 4.114285714285715)","(3.5, 4.7, 4.67)"
16-12-2022 15:27:37.604085,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.930769230769231)","(7.0, 8.6, 8.336585365853658)","(10.0, 23.0, 14.857142857142858)","(8.5, 12.0, 11.7)","(2.9, 4.2, 4.114285714285715)","(3.5, 4.7, 4.67)"
16-12-2022 15:27:38.606848,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.930769230769231)","(7.0, 8.6, 8.336585365853658)","(10.0, 23.0, 14.857142857142858)","(8.5, 12.0, 11.7)","(3.0, 4.2, 4.114285714285715)","(3.5, 4.7, 4.67)"
16-12-2022 15:27:39.594630,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.930769230769231)","(7.0, 8.6, 8.497142857142856)","(10.0, 23.0, 14.23076923076923)","(8.5, 12.0, 11.7)","(3.0, 4.2, 4.114285714285715)","(3.5, 4.7, 4.67)"
16-12-2022 15:27:40.650311,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.930769230769231)","(7.0, 8.6, 8.497142857142856)","(10.0, 23.0, 14.23076923076923)","(8.5, 12.5, 11.38888888888889)","(3.0, 4.2, 4.114285714285715)","(3.5, 4.7, 4.67)"
16-12-2022 15:27:41.726745,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.980327868852459)","(7.0, 8.6, 8.497142857142856)","(10.0, 23.0, 14.23076923076923)","(8.5, 12.5, 10.833333333333334)","(3.0, 4.7, 4.5)","(3.5, 4.7, 4.67)"
16-12-2022 15:27:42.704232,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.980327868852459)","(7.0, 8.6, 8.497142857142856)","(10.0, 23.0, 14.23076923076923)","(8.5, 12.5, 10.694444444444445)","(3.0, 4.9, 4.633333333333334)","(3.5, 4.7, 4.67)"
16-12-2022 15:27:43.741496,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.980327868852459)","(7.0, 8.6, 8.497142857142856)","(10.0, 23.0, 14.23076923076923)","(8.5, 12.5, 10.694444444444445)","(3.0, 4.9, 4.633333333333334)","(3.5, 4.7, 4.67)"
16-12-2022 15:27:44.759812,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.8)","(7.0, 8.6, 8.497142857142856)","(10.0, 23.0, 14.23076923076923)","(8.5, 12.5, 10.694444444444445)","(3.0, 4.9, 4.7)","(3.5, 4.7, 4.67)"
16-12-2022 15:27:45.766349,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.75)","(7.0, 8.6, 8.497142857142856)","(10.0, 23.0, 14.23076923076923)","(8.5, 12.5, 10.694444444444445)","(3.0, 5.0, 4.2105263157894735)","(3.5, 4.7, 4.67)"
16-12-2022 15:27:46.775228,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.75)","(7.0, 8.6, 8.497142857142856)","(10.0, 23.0, 14.23076923076923)","(8.5, 12.5, 10.694444444444445)","(3.0, 5.0, 4.333333333333333)","(3.5, 4.7, 4.67)"
16-12-2022 15:27:47.892683,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.979310344827586)","(7.0, 8.6, 8.0)","(10.0, 23.0, 14.23076923076923)","(8.5, 12.5, 10.694444444444445)","(3.0, 4.6, 4.3999999999999995)","(3.5, 4.7, 4.67)"
16-12-2022 15:27:48.939753,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.979310344827586)","(7.0, 8.6, 8.0)","(10.0, 23.0, 14.23076923076923)","(8.5, 12.0, 11.428571428571429)","(3.0, 4.5, 4.222222222222222)","(3.5, 4.7, 4.67)"
16-12-2022 15:27:49.968299,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.930769230769231)","(7.0, 8.6, 8.0)","(10.0, 23.0, 14.178571428571429)","(8.5, 12.0, 11.727272727272727)","(3.0, 4.5, 4.222222222222222)","(3.5, 4.7, 4.67)"
16-12-2022 15:27:50.995451,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.930769230769231)","(7.0, 8.6, 8.0)","(10.0, 23.0, 14.23076923076923)","(8.5, 12.5, 11.447368421052632)","(3.0, 3.95, 3.8535714285714286)","(3.6, 4.7, 4.67)"
16-12-2022 15:27:52.088490,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.930769230769231)","(7.0, 8.6, 8.497142857142856)","(10.0, 23.0, 14.23076923076923)","(8.5, 12.5, 11.447368421052632)","(3.0, 3.95, 3.8136363636363635)","(3.6, 4.7, 4.67)"
16-12-2022 15:27:53.246277,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.930769230769231)","(7.0, 8.6, 8.0)","(10.0, 23.0, 14.23076923076923)","(8.5, 12.5, 11.447368421052632)","(3.0, 4.1, 4.0562499999999995)","(3.6, 4.7, 4.67)"
16-12-2022 15:27:54.355044,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.930769230769231)","(7.0, 8.6, 8.0)","(10.0, 23.0, 14.23076923076923)","(8.5, 12.5, 11.447368421052632)","(3.0, 4.1, 4.0562499999999995)","(3.6, 4.7, 4.67)"
16-12-2022 15:27:55.353261,"(21.0, 27.0, 26.46153846153846)","(4.4, 5.0, 4.979310344827586)","(7.0, 8.6, 8.0)","(10.0, 23.0, 14.23076923076923)","(8.5, 12.0, 11.428571428571429)","(3.0, 4.1, 4.0562499999999995)","(3.6, 4.7, 4.67)"
16-12-2022 15:27:56.376225,"(21.0, 36.0, 34.90243902439025)","(4.4, 5.0, 4.979310344827586)","(7.0, 8.6, 8.12)","(10.0, 23.0, 14.23076923076923)","(8.5, 12.0, 11.428571428571429)","(3.0, 4.1, 4.0562499999999995)","(3.6, 4.7, 4.67)"
16-12-2022 15:27:57.543702,"(21.0, 36.0, 32.0)","(4.4, 5.0, 4.979310344827586)","(7.0, 8.6, 8.12)","(10.0, 23.0, 14.23076923076923)","(8.5, 12.0, 11.428571428571429)","(3.0, 4.1, 4.0562499999999995)","(3.6, 4.7, 4.67)"
16-12-2022 15:27:58.610214,"(21.0, 36.0, 32.0)","(4.4, 5.0, 4.979310344827586)","(7.0, 8.6, 8.12)","(10.0, 23.0, 14.23076923076923)","(8.5, 12.0, 11.428571428571429)","(3.0, 4.1, 4.0562499999999995)","(3.6, 4.7, 4.67)"
16-12-2022 15:27:59.606777,"(21.0, 36.0, 31.0)","(4.4, 5.0, 4.979310344827586)","(7.0, 8.6, 8.12)","(10.0, 23.0, 14.23076923076923)","(8.5, 12.0, 11.428571428571429)","(3.0, 4.1, 4.0562499999999995)","(3.6, 4.7, 4.67)"
16-12-2022 15:28:00.647935,"(21.0, 36.0, 32.5)","(4.4, 5.0, 4.979310344827586)","(7.0, 8.6, 8.12)","(10.0, 23.0, 14.291666666666666)","(8.5, 12.0, 11.428571428571429)","(3.0, 4.1, 4.0562499999999995)","(3.6, 4.7, 4.67)"
16-12-2022 15:28:01.807453,"(21.0, 36.0, 32.5)","(4.4, 5.2, 5.1689655172413795)","(7.0, 8.6, 8.12)","(10.0, 23.0, 14.291666666666666)","(8.5, 12.0, 10.576923076923077)","(3.0, 4.3, 4.025)","(3.6, 4.7, 4.671875)"
16-12-2022 15:28:02.894954,"(21.0, 36.0, 32.5)","(4.4, 5.2, 4.811111111111111)","(7.0, 8.6, 8.12)","(10.0, 23.0, 14.23076923076923)","(8.5, 11.5, 10.576923076923077)","(3.0, 4.3, 3.9923076923076923)","(3.6, 4.7, 4.671875)"
16-12-2022 15:28:03.851922,"(21.0, 36.0, 32.5)","(4.4, 5.2, 4.908333333333333)","(7.0, 8.6, 8.12)","(10.0, 23.0, 14.23076923076923)","(8.5, 11.5, 10.576923076923077)","(3.0, 4.2, 3.946875)","(3.6, 4.7, 4.671875)"
16-12-2022 15:28:04.926527,"(21.0, 36.0, 32.81818181818182)","(4.4, 5.2, 5.040909090909091)","(7.0, 8.6, 8.12)","(10.0, 23.0, 14.23076923076923)","(8.5, 11.5, 11.029411764705882)","(3.0, 4.2, 4.003125)","(3.6, 4.7, 4.671875)"
16-12-2022 15:28:06.000235,"(21.0, 36.0, 32.81818181818182)","(4.4, 5.2, 5.040909090909091)","(7.0, 8.6, 8.12)","(10.0, 23.0, 14.23076923076923)","(8.5, 11.5, 11.029411764705882)","(3.0, 4.2, 4.003125)","(3.6, 4.7, 4.671875)"
16-12-2022 15:28:07.016302,"(21.0, 36.0, 32.111111111111114)","(4.4, 5.2, 5.025)","(7.0, 8.6, 8.497142857142856)","(10.0, 23.0, 14.23076923076923)","(8.5, 11.5, 11.029411764705882)","(3.0, 4.2, 4.003125)","(3.6, 4.7, 4.671875)"
16-12-2022 15:28:08.109317,"(21.0, 36.0, 32.111111111111114)","(4.4, 5.2, 5.065384615384616)","(7.0, 8.6, 8.225)","(10.0, 23.0, 14.23076923076923)","(8.5, 11.5, 10.576923076923077)","(3.0, 4.2, 3.875)","(3.6, 4.7, 4.671875)"
16-12-2022 15:28:09.242240,"(21.0, 36.0, 33.0)","(4.4, 5.2, 4.98125)","(7.0, 8.6, 8.225)","(10.0, 23.0, 14.23076923076923)","(8.5, 11.5, 10.576923076923077)","(3.0, 4.0, 3.875)","(3.6, 4.7, 4.671875)"
16-12-2022 15:28:10.283861,"(21.0, 36.0, 33.0)","(4.4, 5.2, 4.98125)","(7.0, 8.6, 8.225)","(10.0, 23.0, 14.23076923076923)","(8.5, 11.5, 10.576923076923077)","(3.0, 4.0, 3.875)","(3.6, 4.7, 4.671875)"
16-12-2022 15:28:11.322556,"(21.0, 36.0, 33.0)","(4.4, 5.2, 4.98125)","(7.0, 8.6, 8.225)","(10.0, 23.0, 14.23076923076923)","(8.5, 11.5, 10.576923076923077)","(3.0, 4.0, 3.875)","(3.6, 4.7, 4.671875)"
16-12-2022 15:28:12.363210,"(21.0, 36.0, 33.0)","(4.4, 5.2, 4.98125)","(7.0, 8.6, 8.225)","(10.0, 23.0, 14.23076923076923)","(8.5, 11.5, 10.576923076923077)","(3.0, 4.0, 3.875)","(3.6, 4.7, 4.671875)"
16-12-2022 15:28:13.480427,"(21.0, 36.0, 33.0)","(4.4, 5.2, 4.98125)","(7.0, 8.6, 8.225)","(10.0, 23.0, 14.23076923076923)","(8.5, 11.5, 10.576923076923077)","(3.0, 4.0, 3.89)","(3.6, 4.7, 4.518367346938775)"
16-12-2022 15:28:14.615875,"(21.0, 36.0, 33.0)","(4.4, 5.2, 5.035294117647059)","(7.0, 8.4, 8.0)","(10.0, 23.0, 14.178571428571429)","(8.5, 11.5, 10.928571428571429)","(3.0, 3.95, 3.89)","(3.6, 4.6, 4.518367346938775)"
16-12-2022 15:28:15.621865,"(21.0, 36.0, 33.0)","(4.4, 5.2, 5.035294117647059)","(7.0, 8.4, 8.1)","(10.0, 23.0, 14.178571428571429)","(8.5, 11.5, 10.928571428571429)","(3.0, 3.95, 3.89)","(3.6, 4.6, 4.518367346938775)"
16-12-2022 15:28:16.581032,"(21.0, 36.0, 33.0)","(4.4, 5.2, 5.035294117647059)","(7.0, 8.4, 8.1)","(10.0, 21.0, 16.0)","(8.5, 11.5, 10.928571428571429)","(3.0, 3.95, 3.89)","(3.6, 4.6, 4.518367346938775)"
