,A Lot Of Booty,Gold Flash,Granite Prince,Red Deception,Time To Star,Zephalong,Sightseer,Worthy Essgee,Alcamo Beach,Serigala,Better Off Single
08-01-2023 13:08:37.966751,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.82, 2.612941176470588)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:39.486734,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.82, 2.612941176470588)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:41.075766,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.82, 2.612941176470588)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:42.627068,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.82, 2.612941176470588)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:44.109557,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.82, 2.612941176470588)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:45.592292,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.82, 2.644)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:47.020561,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.82, 2.6153846153846154)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:48.561859,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.8, 2.6153846153846154)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:50.135503,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.8, 2.6153846153846154)","(20.0, 48.0, 35.0)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:51.878433,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.8, 2.6153846153846154)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:53.576195,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.8, 2.6153846153846154)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:55.106665,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.8, 2.6153846153846154)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:56.560122,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.8, 2.6153846153846154)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:58.020932,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.8, 2.6153846153846154)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:08:59.607583,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.8, 2.6153846153846154)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:09:01.094675,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.8, 2.6153846153846154)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:09:02.549169,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.8, 2.6153846153846154)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:09:04.023972,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.8, 2.6153846153846154)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:09:05.461933,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.8, 2.6153846153846154)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:09:07.099897,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.8, 2.6153846153846154)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:09:08.737686,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.8, 2.6153846153846154)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:09:10.510281,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.8, 2.6133333333333333)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:09:12.217301,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.8, 2.6133333333333333)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:09:13.704383,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.8, 2.6133333333333333)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:09:15.148274,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.8, 2.6133333333333333)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:09:16.561059,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.8, 2.6138461538461537)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:09:18.022656,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.78, 2.6138461538461537)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:09:19.530682,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.78, 2.6138461538461537)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:09:21.036278,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.78, 2.6138461538461537)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:09:22.493857,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.78, 2.6138461538461537)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:09:23.885471,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.78, 2.6138461538461537)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:09:25.326927,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.78, 2.6138461538461537)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:09:26.763084,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.78, 2.6138461538461537)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:09:28.168951,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.78, 2.6138461538461537)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:09:29.517293,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.78, 2.6138461538461537)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:09:30.816608,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.78, 2.6138461538461537)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:09:32.125629,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.78, 2.6138461538461537)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
08-01-2023 13:09:33.443674,"(4.2, 5.0, 4.527777777777778)","(16.0, 36.0, 23.333333333333332)","(51.0, 140.0, 95.0)","(12.0, 24.0, 18.5)","(21.0, 44.0, 35.2)","(31.0, 85.0, 55.0)","(2.25, 2.78, 2.6138461538461537)","(20.0, 48.0, 40.57142857142857)","(31.0, 110.0, 96.66666666666667)","(4.2, 5.3, 5.0)","(21.0, 40.0, 34.57142857142857)"
