,Jaziah,The Casual Goose,Mon Bel Ange,Recipe For Dreaming Nz,Purple Shades,Roclea Ruler,True Grit Shadow,Whata Terror,Bettor Getta Lover
05-01-2023 16:49:00.922399,"(1.6, 1.66, 1.6433333333333333)","(6.0, 10.5, 9.75)","(41.0, 90.0, 76.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.0)","(26.0, 50.0, 45.0)","(21.0, 44.0, 34.5)","(4.6, 8.0, 7.6)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:02.134202,"(1.6, 1.66, 1.6433333333333333)","(6.0, 10.5, 9.75)","(41.0, 90.0, 76.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.333333333333334)","(26.0, 50.0, 45.0)","(21.0, 44.0, 34.5)","(4.6, 8.0, 7.6)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:03.337230,"(1.6, 1.66, 1.6433333333333333)","(6.0, 10.5, 9.85)","(41.0, 90.0, 68.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.333333333333334)","(26.0, 50.0, 45.0)","(21.0, 44.0, 34.5)","(4.6, 8.0, 7.6)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:04.599315,"(1.6, 1.66, 1.6433333333333333)","(6.0, 10.5, 9.85)","(41.0, 90.0, 68.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.333333333333334)","(26.0, 50.0, 45.0)","(21.0, 44.0, 34.5)","(4.6, 8.0, 7.6)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:05.797137,"(1.6, 1.66, 1.6433333333333333)","(6.0, 10.5, 9.85)","(41.0, 90.0, 68.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.333333333333334)","(26.0, 50.0, 45.0)","(21.0, 44.0, 34.5)","(4.6, 8.0, 7.6)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:07.012195,"(1.6, 1.66, 1.6433333333333333)","(6.0, 10.5, 9.85)","(41.0, 90.0, 68.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.333333333333334)","(26.0, 50.0, 45.0)","(21.0, 44.0, 34.5)","(4.6, 8.0, 7.6)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:08.147529,"(1.6, 1.66, 1.6433333333333333)","(6.0, 10.5, 9.85)","(41.0, 90.0, 68.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.333333333333334)","(26.0, 50.0, 45.0)","(21.0, 44.0, 34.5)","(4.6, 8.0, 7.6)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:09.261423,"(1.6, 1.66, 1.6433333333333333)","(6.0, 10.5, 9.85)","(41.0, 90.0, 68.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.333333333333334)","(26.0, 50.0, 45.0)","(21.0, 44.0, 39.25)","(4.6, 8.0, 7.6)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:10.401499,"(1.6, 1.66, 1.6433333333333333)","(6.0, 10.5, 9.85)","(41.0, 90.0, 68.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.333333333333334)","(26.0, 50.0, 45.0)","(21.0, 44.0, 39.25)","(4.6, 8.0, 7.6)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:11.545939,"(1.6, 1.66, 1.6433333333333333)","(6.0, 10.5, 9.85)","(41.0, 90.0, 68.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.666666666666666)","(26.0, 50.0, 45.0)","(21.0, 44.0, 39.25)","(4.6, 8.0, 7.733333333333333)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:12.586118,"(1.6, 1.66, 1.620958904109589)","(6.0, 10.5, 9.85)","(41.0, 90.0, 68.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.666666666666666)","(26.0, 50.0, 45.0)","(21.0, 44.0, 39.25)","(4.6, 8.0, 7.733333333333333)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:13.637393,"(1.6, 1.66, 1.620958904109589)","(6.0, 10.5, 9.85)","(41.0, 90.0, 68.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.666666666666666)","(26.0, 50.0, 45.0)","(21.0, 44.0, 39.25)","(4.6, 8.0, 7.733333333333333)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:14.737999,"(1.6, 1.66, 1.620958904109589)","(6.0, 10.5, 9.85)","(41.0, 90.0, 68.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.666666666666666)","(26.0, 50.0, 45.0)","(21.0, 44.0, 39.25)","(4.6, 8.0, 7.733333333333333)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:15.854229,"(1.6, 1.66, 1.620958904109589)","(6.0, 10.5, 9.85)","(41.0, 90.0, 68.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.666666666666666)","(26.0, 50.0, 45.0)","(21.0, 44.0, 39.25)","(4.6, 8.0, 7.733333333333333)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:16.985912,"(1.6, 1.66, 1.620958904109589)","(6.0, 10.5, 9.85)","(41.0, 90.0, 68.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.666666666666666)","(26.0, 50.0, 45.0)","(21.0, 44.0, 41.0)","(4.6, 8.0, 7.733333333333333)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:18.220658,"(1.6, 1.66, 1.620958904109589)","(6.0, 10.5, 9.85)","(41.0, 90.0, 68.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.666666666666666)","(26.0, 50.0, 45.0)","(21.0, 44.0, 35.5)","(4.6, 8.0, 7.733333333333333)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:19.384902,"(1.6, 1.66, 1.620958904109589)","(6.0, 10.5, 9.85)","(41.0, 90.0, 68.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.333333333333334)","(26.0, 50.0, 45.0)","(21.0, 44.0, 35.5)","(4.6, 8.0, 7.733333333333333)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:20.541580,"(1.6, 1.66, 1.620958904109589)","(6.0, 10.5, 9.85)","(41.0, 90.0, 68.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.333333333333334)","(26.0, 50.0, 45.0)","(21.0, 44.0, 35.5)","(4.6, 8.0, 7.733333333333333)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:21.730822,"(1.6, 1.66, 1.620958904109589)","(6.0, 10.5, 9.85)","(41.0, 90.0, 68.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.333333333333334)","(26.0, 50.0, 45.0)","(21.0, 44.0, 35.5)","(4.6, 8.0, 7.733333333333333)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:22.988304,"(1.6, 1.66, 1.620958904109589)","(6.0, 10.5, 9.85)","(41.0, 90.0, 68.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.333333333333334)","(26.0, 50.0, 45.0)","(21.0, 44.0, 35.5)","(4.6, 8.0, 7.733333333333333)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:24.260188,"(1.6, 1.66, 1.620958904109589)","(6.0, 10.5, 9.85)","(41.0, 90.0, 76.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.333333333333334)","(26.0, 50.0, 45.0)","(21.0, 44.0, 35.5)","(4.6, 8.0, 7.733333333333333)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:25.462643,"(1.6, 1.66, 1.620958904109589)","(6.0, 10.5, 9.85)","(41.0, 90.0, 76.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.333333333333334)","(26.0, 50.0, 45.0)","(21.0, 44.0, 35.5)","(4.6, 8.0, 7.733333333333333)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:26.599689,"(1.6, 1.66, 1.620958904109589)","(6.0, 10.5, 9.85)","(41.0, 90.0, 76.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.333333333333334)","(26.0, 50.0, 45.0)","(21.0, 44.0, 35.5)","(4.6, 8.0, 7.733333333333333)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:27.717572,"(1.6, 1.66, 1.620958904109589)","(6.0, 10.5, 9.85)","(41.0, 90.0, 76.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.333333333333334)","(26.0, 50.0, 45.0)","(21.0, 44.0, 35.5)","(4.6, 8.0, 7.733333333333333)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:28.856777,"(1.6, 1.66, 1.620958904109589)","(6.0, 10.5, 9.85)","(41.0, 90.0, 76.0)","(16.0, 99999, 99990)","(10.0, 18.0, 14.333333333333334)","(26.0, 50.0, 45.0)","(21.0, 44.0, 41.42857142857143)","(4.6, 8.0, 7.733333333333333)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:29.948653,"(1.6, 1.65, 1.6453846153846152)","(6.0, 10.5, 10.08)","(41.0, 90.0, 76.0)","(16.0, 99999, 99990)","(10.0, 18.0, 15.0)","(26.0, 50.0, 45.0)","(21.0, 44.0, 41.42857142857143)","(4.6, 8.8, 8.0)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:31.092423,"(1.6, 1.65, 1.6285714285714286)","(6.0, 10.5, 9.65)","(41.0, 90.0, 76.0)","(16.0, 99999, 99990)","(10.0, 18.0, 15.0)","(26.0, 50.0, 45.0)","(21.0, 44.0, 35.5)","(4.6, 8.8, 8.133333333333333)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:32.347051,"(1.6, 1.64, 1.6184615384615384)","(6.0, 10.5, 10.0)","(41.0, 90.0, 76.0)","(16.0, 99999, 99990)","(10.0, 18.0, 15.333333333333334)","(26.0, 50.0, 45.0)","(21.0, 44.0, 35.5)","(4.6, 8.8, 8.133333333333333)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:33.557975,"(1.6, 1.64, 1.6184615384615384)","(6.0, 10.5, 10.0)","(41.0, 90.0, 76.0)","(16.0, 99999, 99990)","(10.0, 18.0, 15.333333333333334)","(26.0, 50.0, 45.0)","(21.0, 44.0, 35.5)","(4.6, 8.8, 8.133333333333333)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:34.747010,"(1.6, 1.64, 1.6184615384615384)","(6.0, 10.5, 10.0)","(41.0, 90.0, 76.0)","(16.0, 99999, 99990)","(10.0, 18.0, 15.0)","(26.0, 50.0, 45.0)","(21.0, 44.0, 41.42857142857143)","(4.6, 8.8, 8.0)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:35.951458,"(1.6, 1.65, 1.6285714285714286)","(6.0, 10.5, 9.65)","(41.0, 90.0, 62.0)","(16.0, 99999, 99990)","(10.0, 18.0, 15.333333333333334)","(26.0, 50.0, 45.0)","(21.0, 44.0, 41.42857142857143)","(4.6, 8.8, 8.0)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:37.202220,"(1.6, 1.65, 1.6285714285714286)","(6.0, 10.5, 9.75)","(41.0, 90.0, 62.0)","(16.0, 99999, 99990)","(10.0, 18.0, 15.333333333333334)","(26.0, 50.0, 45.0)","(21.0, 44.0, 41.42857142857143)","(4.6, 8.8, 8.0)","(31.0, 80.0, 70.5)"
05-01-2023 16:49:38.352881,"(1.6, 1.65, 1.6285714285714286)","(6.0, 10.5, 9.75)","(41.0, 90.0, 62.0)","(16.0, 99999, 99990)","(10.0, 18.0, 15.333333333333334)","(26.0, 50.0, 40.0)","(21.0, 44.0, 41.42857142857143)","(4.6, 8.8, 8.0)","(31.0, 80.0, 69.14285714285714)"
05-01-2023 16:49:39.480951,"(1.6, 1.65, 1.6285714285714286)","(6.0, 10.5, 9.75)","(41.0, 90.0, 62.0)","(16.0, 99999, 99990)","(10.0, 18.0, 15.333333333333334)","(26.0, 50.0, 40.0)","(21.0, 44.0, 39.5)","(4.6, 8.8, 8.0)","(31.0, 80.0, 69.14285714285714)"
05-01-2023 16:49:40.584309,"(1.6, 1.65, 1.6285714285714286)","(6.0, 10.5, 9.75)","(41.0, 90.0, 62.0)","(16.0, 99999, 99990)","(10.0, 18.0, 15.333333333333334)","(26.0, 50.0, 40.0)","(21.0, 44.0, 39.5)","(4.6, 8.8, 8.0)","(31.0, 80.0, 69.14285714285714)"
05-01-2023 16:49:41.658461,"(1.6, 1.65, 1.6285714285714286)","(6.0, 10.5, 9.75)","(41.0, 120.0, 60.0)","(16.0, 99999, 99990)","(10.0, 18.0, 15.333333333333334)","(26.0, 50.0, 40.0)","(21.0, 44.0, 32.0)","(4.6, 8.8, 8.0)","(31.0, 80.0, 69.14285714285714)"
05-01-2023 16:49:42.742767,"(1.6, 1.65, 1.6285714285714286)","(6.0, 10.5, 9.75)","(41.0, 120.0, 60.0)","(16.0, 99999, 99990)","(10.0, 18.0, 15.333333333333334)","(26.0, 50.0, 40.0)","(21.0, 44.0, 32.0)","(4.6, 8.8, 8.0)","(31.0, 80.0, 69.14285714285714)"
05-01-2023 16:49:43.829214,"(1.6, 1.65, 1.6285714285714286)","(6.0, 10.5, 9.75)","(41.0, 120.0, 60.0)","(16.0, 99999, 99990)","(10.0, 18.0, 15.333333333333334)","(26.0, 50.0, 40.0)","(21.0, 44.0, 32.0)","(4.6, 8.8, 8.0)","(31.0, 80.0, 69.14285714285714)"
05-01-2023 16:49:44.888467,"(1.6, 1.65, 1.6285714285714286)","(6.0, 10.5, 9.75)","(41.0, 120.0, 60.0)","(16.0, 99999, 99990)","(10.0, 18.0, 15.333333333333334)","(26.0, 50.0, 40.0)","(21.0, 44.0, 32.0)","(4.6, 8.8, 8.0)","(31.0, 80.0, 69.14285714285714)"
05-01-2023 16:49:46.072556,"(1.6, 1.65, 1.6285714285714286)","(6.0, 10.5, 9.75)","(41.0, 120.0, 60.0)","(16.0, 99999, 99990)","(10.0, 18.0, 15.333333333333334)","(26.0, 50.0, 40.0)","(21.0, 44.0, 35.5)","(4.6, 8.8, 8.0)","(31.0, 80.0, 69.14285714285714)"
05-01-2023 16:49:47.285910,"(1.6, 1.65, 1.6285714285714286)","(6.0, 10.5, 9.75)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 15.333333333333334)","(26.0, 50.0, 40.0)","(21.0, 44.0, 39.14285714285714)","(4.6, 8.8, 8.0)","(31.0, 80.0, 69.14285714285714)"
05-01-2023 16:49:48.501590,"(1.6, 1.65, 1.6285714285714286)","(6.0, 10.5, 9.75)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 15.333333333333334)","(26.0, 50.0, 40.0)","(21.0, 44.0, 39.14285714285714)","(4.6, 8.8, 8.0)","(31.0, 80.0, 69.14285714285714)"
05-01-2023 16:49:49.720303,"(1.6, 1.65, 1.6285714285714286)","(6.0, 10.5, 9.75)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 16.0)","(26.0, 50.0, 43.333333333333336)","(21.0, 44.0, 39.75)","(4.6, 8.8, 8.0)","(31.0, 80.0, 56.0)"
05-01-2023 16:49:50.879320,"(1.6, 1.65, 1.6371428571428572)","(6.0, 10.5, 9.95)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 16.0)","(26.0, 50.0, 43.333333333333336)","(21.0, 44.0, 39.75)","(4.6, 8.4, 8.0)","(31.0, 80.0, 56.0)"
05-01-2023 16:49:52.002841,"(1.6, 1.65, 1.6371428571428572)","(6.0, 10.5, 9.95)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 16.0)","(26.0, 50.0, 43.333333333333336)","(21.0, 44.0, 39.75)","(4.6, 8.4, 8.0)","(31.0, 80.0, 56.0)"
05-01-2023 16:49:53.168386,"(1.6, 1.65, 1.6371428571428572)","(6.0, 10.5, 9.95)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 16.0)","(26.0, 50.0, 43.333333333333336)","(21.0, 44.0, 39.75)","(4.6, 8.4, 8.0)","(31.0, 80.0, 56.0)"
05-01-2023 16:49:54.383296,"(1.6, 1.65, 1.6371428571428572)","(6.0, 10.5, 9.95)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 16.0)","(26.0, 50.0, 43.333333333333336)","(21.0, 44.0, 39.75)","(4.6, 8.4, 8.0)","(31.0, 80.0, 56.0)"
05-01-2023 16:49:55.580693,"(1.6, 1.65, 1.6371428571428572)","(6.0, 10.5, 9.95)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 16.0)","(26.0, 50.0, 43.333333333333336)","(21.0, 44.0, 38.333333333333336)","(4.6, 8.4, 7.866666666666666)","(31.0, 80.0, 56.0)"
05-01-2023 16:49:56.792289,"(1.6, 1.65, 1.6371428571428572)","(6.0, 10.5, 9.95)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 16.0)","(26.0, 50.0, 43.333333333333336)","(21.0, 44.0, 35.5)","(4.6, 8.4, 7.866666666666666)","(31.0, 80.0, 56.0)"
05-01-2023 16:49:57.907808,"(1.6, 1.65, 1.6371428571428572)","(6.0, 10.5, 9.95)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 16.0)","(26.0, 50.0, 43.333333333333336)","(21.0, 44.0, 35.5)","(4.6, 8.4, 7.866666666666666)","(31.0, 80.0, 56.0)"
05-01-2023 16:49:58.996936,"(1.6, 1.65, 1.6371428571428572)","(6.0, 10.5, 9.95)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 16.0)","(26.0, 50.0, 46.66666666666667)","(21.0, 44.0, 35.5)","(4.6, 8.4, 7.866666666666666)","(31.0, 80.0, 56.0)"
05-01-2023 16:50:00.136422,"(1.6, 1.65, 1.635)","(6.0, 10.5, 9.95)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 16.0)","(26.0, 50.0, 46.66666666666667)","(21.0, 44.0, 35.5)","(4.6, 8.4, 7.866666666666666)","(31.0, 80.0, 56.0)"
05-01-2023 16:50:01.245995,"(1.6, 1.65, 1.635)","(6.0, 10.5, 9.95)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 16.0)","(26.0, 50.0, 46.66666666666667)","(21.0, 44.0, 32.666666666666664)","(4.6, 8.4, 7.866666666666666)","(31.0, 80.0, 56.0)"
05-01-2023 16:50:02.604338,"(1.6, 1.65, 1.635)","(6.0, 10.5, 9.95)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 16.0)","(26.0, 50.0, 46.66666666666667)","(21.0, 44.0, 32.666666666666664)","(4.6, 8.4, 7.866666666666666)","(31.0, 80.0, 56.0)"
05-01-2023 16:50:03.711479,"(1.6, 1.65, 1.635)","(6.0, 10.5, 9.95)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 16.0)","(26.0, 50.0, 46.66666666666667)","(21.0, 44.0, 32.666666666666664)","(4.6, 8.4, 7.866666666666666)","(31.0, 80.0, 56.0)"
05-01-2023 16:50:04.799487,"(1.6, 1.65, 1.635)","(6.0, 10.5, 9.95)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 16.0)","(26.0, 50.0, 46.66666666666667)","(21.0, 44.0, 32.666666666666664)","(4.6, 8.4, 7.866666666666666)","(31.0, 80.0, 56.0)"
05-01-2023 16:50:05.879131,"(1.6, 1.65, 1.635)","(6.0, 10.5, 9.95)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 16.0)","(26.0, 50.0, 46.66666666666667)","(21.0, 44.0, 32.666666666666664)","(4.6, 8.4, 7.866666666666666)","(31.0, 80.0, 56.0)"
05-01-2023 16:50:07.025311,"(1.6, 1.65, 1.64)","(6.0, 10.5, 10.05)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 16.333333333333332)","(26.0, 50.0, 46.66666666666667)","(21.0, 44.0, 32.666666666666664)","(4.6, 8.2, 7.8999999999999995)","(31.0, 80.0, 56.0)"
05-01-2023 16:50:08.199706,"(1.6, 1.65, 1.64)","(6.0, 10.5, 10.05)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 16.333333333333332)","(26.0, 50.0, 46.66666666666667)","(21.0, 44.0, 32.666666666666664)","(4.6, 8.2, 7.8999999999999995)","(31.0, 80.0, 56.0)"
05-01-2023 16:50:09.363330,"(1.6, 1.65, 1.64)","(6.0, 10.5, 10.05)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 16.333333333333332)","(26.0, 50.0, 46.66666666666667)","(21.0, 44.0, 32.666666666666664)","(4.6, 8.2, 7.8999999999999995)","(31.0, 80.0, 56.0)"
05-01-2023 16:50:10.523060,"(1.6, 1.65, 1.64)","(6.0, 10.5, 10.05)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 16.333333333333332)","(26.0, 50.0, 46.66666666666667)","(21.0, 44.0, 32.666666666666664)","(4.6, 8.2, 7.8999999999999995)","(31.0, 80.0, 56.0)"
05-01-2023 16:50:11.648835,"(1.6, 1.65, 1.64)","(6.0, 10.5, 10.05)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 16.333333333333332)","(26.0, 50.0, 46.66666666666667)","(21.0, 44.0, 32.666666666666664)","(4.6, 8.2, 7.8999999999999995)","(31.0, 80.0, 56.0)"
05-01-2023 16:50:12.784378,"(1.6, 1.65, 1.64)","(6.0, 10.5, 10.05)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 16.333333333333332)","(26.0, 50.0, 46.66666666666667)","(21.0, 44.0, 32.666666666666664)","(4.6, 8.2, 7.8999999999999995)","(31.0, 80.0, 56.0)"
05-01-2023 16:50:13.862502,"(1.6, 1.65, 1.64)","(6.0, 10.5, 10.05)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 16.333333333333332)","(26.0, 50.0, 43.333333333333336)","(21.0, 44.0, 32.666666666666664)","(4.6, 8.2, 7.8999999999999995)","(31.0, 80.0, 56.0)"
05-01-2023 16:50:15.020031,"(1.6, 1.65, 1.64)","(6.0, 10.5, 10.05)","(41.0, 110.0, 63.5)","(16.0, 99999, 99990)","(10.0, 18.0, 16.333333333333332)","(26.0, 50.0, 43.333333333333336)","(21.0, 44.0, 35.5)","(4.6, 8.2, 8.0)","(31.0, 80.0, 69.14285714285714)"
