,Almighty Virtue,Katzenjammer,Puma,Rockierro,Gotchagood,Kreglinger,Gee Gees Flyby
11-01-2023 11:07:59.483634,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.368888888888889)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.8)","(26.0, 65.0, 47.5)","(3.9, 5.4, 4.95)","(13.0, 22.0, 20.75)"
11-01-2023 11:08:00.518407,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.368888888888889)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.8)","(26.0, 65.0, 47.5)","(3.9, 5.4, 4.95)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:01.551904,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.368888888888889)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.8)","(26.0, 65.0, 47.5)","(3.9, 5.4, 4.7700000000000005)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:02.608584,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.368888888888889)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.8)","(26.0, 65.0, 47.5)","(3.9, 5.4, 4.95)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:03.681927,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.368888888888889)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.8)","(26.0, 65.0, 47.5)","(3.9, 5.4, 4.95)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:04.790716,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.368888888888889)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.66)","(26.0, 65.0, 47.5)","(3.9, 5.4, 4.628571428571429)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:05.869361,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.368888888888889)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.66)","(26.0, 65.0, 47.5)","(3.9, 5.7, 4.671428571428572)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:06.968073,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.368888888888889)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.66)","(26.0, 65.0, 47.5)","(3.9, 5.6, 4.9125)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:08.003200,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.368888888888889)","(6.5, 9.6, 8.899999999999999)","(4.4, 5.9, 5.66)","(26.0, 65.0, 47.5)","(3.9, 5.6, 4.775)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:09.256834,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.368888888888889)","(6.5, 9.8, 9.75)","(4.4, 5.9, 5.66)","(26.0, 65.0, 47.5)","(3.9, 5.6, 4.8999999999999995)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:10.368993,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.368888888888889)","(6.5, 9.8, 9.75)","(4.4, 5.9, 5.66)","(26.0, 65.0, 54.5)","(3.9, 5.5, 4.84)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:11.365947,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.368888888888889)","(6.5, 9.8, 9.75)","(4.4, 5.9, 5.66)","(26.0, 65.0, 54.5)","(3.9, 5.5, 4.84)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:12.390635,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.373333333333333)","(6.5, 9.8, 9.75)","(4.4, 5.9, 5.66)","(26.0, 65.0, 54.5)","(3.9, 5.5, 4.84)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:13.384005,"(21.0, 150.0, 75.8)","(2.1, 2.4, 2.36)","(6.5, 9.8, 9.75)","(4.4, 5.9, 5.66)","(26.0, 65.0, 49.5)","(3.9, 5.5, 4.890909090909091)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:14.392247,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.4, 2.3666666666666667)","(6.5, 9.8, 9.721739130434784)","(4.4, 5.9, 5.66)","(26.0, 65.0, 49.5)","(3.9, 5.4, 4.890909090909091)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:15.410657,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.4, 2.3777777777777778)","(6.5, 9.8, 9.266666666666667)","(4.4, 5.9, 5.66)","(26.0, 65.0, 49.5)","(3.9, 5.4, 4.890909090909091)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:16.461938,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.4, 2.3777777777777778)","(6.5, 9.8, 9.571428571428573)","(4.4, 5.9, 5.66)","(26.0, 65.0, 49.5)","(3.9, 5.4, 4.890909090909091)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:17.581406,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.54, 2.4527272727272726)","(6.5, 9.8, 9.571428571428573)","(4.4, 5.9, 5.66)","(26.0, 65.0, 49.5)","(3.9, 5.4, 4.890909090909091)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:18.642948,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.54, 2.387272727272727)","(6.5, 9.8, 9.571428571428573)","(4.4, 5.9, 5.66)","(26.0, 65.0, 49.5)","(3.9, 5.4, 4.890909090909091)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:19.726570,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.52, 2.3352)","(6.5, 9.8, 9.571428571428573)","(4.4, 5.9, 5.66)","(26.0, 65.0, 49.5)","(3.9, 5.4, 4.890909090909091)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:20.776987,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.52, 2.3352)","(6.5, 9.8, 9.571428571428573)","(4.4, 5.9, 5.66)","(26.0, 65.0, 49.5)","(3.9, 5.4, 4.890909090909091)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:21.868679,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.52, 2.3352)","(6.5, 9.8, 9.571428571428573)","(4.4, 5.9, 5.66)","(26.0, 65.0, 49.5)","(3.9, 5.4, 4.890909090909091)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:22.935514,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.52, 2.3352)","(6.5, 9.8, 9.571428571428573)","(4.4, 5.9, 5.666666666666666)","(26.0, 65.0, 49.5)","(3.9, 5.4, 4.890909090909091)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:24.052596,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.52, 2.3352)","(6.5, 9.8, 9.4)","(4.4, 5.9, 5.666666666666666)","(26.0, 65.0, 49.5)","(3.9, 5.4, 4.890909090909091)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:25.129594,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.52, 2.2776923076923077)","(6.5, 9.8, 9.4)","(4.4, 5.9, 5.666666666666666)","(26.0, 65.0, 49.5)","(3.9, 5.4, 5.057142857142857)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:26.104205,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.48, 2.3283333333333336)","(6.5, 9.8, 9.4)","(4.4, 5.9, 5.666666666666666)","(26.0, 65.0, 49.5)","(3.9, 5.4, 5.057142857142857)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:27.053155,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.48, 2.3283333333333336)","(6.5, 9.8, 9.4)","(4.4, 5.9, 5.666666666666666)","(26.0, 65.0, 49.5)","(3.9, 5.4, 5.057142857142857)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:27.957670,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.48, 2.3283333333333336)","(6.5, 9.8, 9.4)","(4.4, 5.9, 5.666666666666666)","(26.0, 65.0, 49.5)","(3.9, 5.4, 5.057142857142857)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:28.905088,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.48, 2.453235294117647)","(6.5, 9.8, 9.4)","(4.4, 5.9, 5.666666666666666)","(26.0, 65.0, 49.5)","(3.9, 5.4, 5.057142857142857)","(13.0, 22.0, 20.8)"
11-01-2023 11:08:29.935757,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.48, 2.3120000000000003)","(6.5, 9.8, 9.4)","(4.4, 5.9, 5.6899999999999995)","(26.0, 65.0, 54.66666666666667)","(3.9, 5.4, 5.133333333333334)","(13.0, 22.0, 16.4)"
11-01-2023 11:08:30.943552,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.48, 2.3120000000000003)","(6.5, 9.8, 9.48)","(4.4, 5.9, 5.6899999999999995)","(26.0, 65.0, 54.66666666666667)","(3.9, 5.4, 5.133333333333334)","(13.0, 22.0, 16.4)"
11-01-2023 11:08:32.034082,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.48, 2.3120000000000003)","(6.5, 9.8, 9.48)","(4.4, 5.9, 5.6899999999999995)","(26.0, 65.0, 54.66666666666667)","(3.9, 5.4, 5.133333333333334)","(13.0, 22.0, 16.4)"
11-01-2023 11:08:33.095443,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.48, 2.3120000000000003)","(6.5, 9.8, 9.48)","(4.4, 5.9, 5.6899999999999995)","(26.0, 65.0, 54.66666666666667)","(3.9, 5.4, 5.133333333333334)","(13.0, 22.0, 16.4)"
11-01-2023 11:08:34.054430,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.48, 2.3120000000000003)","(6.5, 9.8, 9.48)","(4.4, 5.9, 5.6899999999999995)","(26.0, 65.0, 54.66666666666667)","(3.9, 5.4, 5.133333333333334)","(13.0, 22.0, 16.4)"
11-01-2023 11:08:35.104930,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.48, 2.3120000000000003)","(6.5, 9.8, 9.48)","(4.4, 5.9, 5.825)","(26.0, 65.0, 54.66666666666667)","(3.9, 5.4, 5.133333333333334)","(13.0, 22.0, 16.4)"
11-01-2023 11:08:36.132239,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.48, 2.3120000000000003)","(6.5, 9.8, 9.48)","(4.4, 5.9, 5.825)","(26.0, 65.0, 54.66666666666667)","(3.9, 5.4, 5.133333333333334)","(13.0, 22.0, 16.4)"
11-01-2023 11:08:37.091921,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.48, 2.3120000000000003)","(6.5, 9.8, 9.48)","(4.4, 5.9, 5.825)","(26.0, 65.0, 54.66666666666667)","(3.9, 5.4, 5.133333333333334)","(13.0, 22.0, 16.4)"
11-01-2023 11:08:38.057303,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.48, 2.3120000000000003)","(6.5, 9.8, 9.48)","(4.4, 5.9, 5.825)","(26.0, 65.0, 54.66666666666667)","(3.9, 5.4, 5.133333333333334)","(13.0, 22.0, 16.4)"
11-01-2023 11:08:39.001009,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.48, 2.3120000000000003)","(6.5, 9.8, 9.48)","(4.4, 5.9, 5.825)","(26.0, 65.0, 54.66666666666667)","(3.9, 5.4, 4.969230769230769)","(13.0, 22.0, 16.4)"
11-01-2023 11:08:40.008775,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.48, 2.3120000000000003)","(6.5, 9.8, 9.48)","(4.4, 5.9, 5.825)","(26.0, 65.0, 54.66666666666667)","(3.9, 5.4, 4.88)","(13.0, 22.0, 20.352941176470587)"
11-01-2023 11:08:40.979910,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.48, 2.3120000000000003)","(6.5, 9.8, 9.48)","(4.4, 5.9, 5.825)","(26.0, 65.0, 60.57142857142857)","(3.9, 5.3, 4.88)","(13.0, 22.0, 20.352941176470587)"
11-01-2023 11:08:41.975653,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.48, 2.3120000000000003)","(6.5, 9.8, 9.48)","(4.4, 5.9, 5.7125)","(26.0, 65.0, 60.57142857142857)","(3.9, 5.3, 4.88)","(13.0, 22.0, 20.352941176470587)"
11-01-2023 11:08:42.989932,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.48, 2.3120000000000003)","(6.5, 9.8, 9.48)","(4.4, 5.9, 5.7125)","(26.0, 65.0, 60.57142857142857)","(3.9, 5.3, 4.88)","(13.0, 22.0, 20.352941176470587)"
11-01-2023 11:08:44.047846,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.48, 2.3120000000000003)","(6.5, 9.8, 9.48)","(4.4, 5.9, 5.7125)","(26.0, 65.0, 60.57142857142857)","(3.9, 5.3, 4.88)","(13.0, 22.0, 20.352941176470587)"
11-01-2023 11:08:45.022321,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.48, 2.3120000000000003)","(6.5, 9.8, 9.48)","(4.4, 5.9, 5.7125)","(26.0, 65.0, 60.57142857142857)","(3.9, 5.3, 4.88)","(13.0, 22.0, 20.352941176470587)"
11-01-2023 11:08:45.994904,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.48, 2.3120000000000003)","(6.5, 9.8, 9.48)","(4.4, 5.9, 5.7125)","(26.0, 65.0, 60.57142857142857)","(3.9, 5.3, 4.88)","(13.0, 22.0, 20.352941176470587)"
11-01-2023 11:08:47.023579,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.48, 2.3120000000000003)","(6.5, 9.8, 9.48)","(4.4, 5.9, 5.7125)","(26.0, 65.0, 60.57142857142857)","(3.9, 5.3, 4.88)","(13.0, 22.0, 20.352941176470587)"
11-01-2023 11:08:48.105621,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.48, 2.3120000000000003)","(6.5, 9.8, 9.48)","(4.4, 5.9, 5.7125)","(26.0, 65.0, 60.57142857142857)","(3.9, 5.3, 5.1)","(13.0, 22.0, 20.352941176470587)"
11-01-2023 11:08:49.150729,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.48, 2.3120000000000003)","(6.5, 9.8, 9.48)","(4.4, 5.9, 5.7125)","(26.0, 65.0, 60.57142857142857)","(3.9, 5.6, 4.885714285714285)","(13.0, 22.0, 20.352941176470587)"
11-01-2023 11:08:50.153625,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.46, 2.349473684210526)","(6.5, 9.8, 9.48)","(4.4, 5.9, 5.7125)","(26.0, 65.0, 60.57142857142857)","(3.9, 5.6, 4.885714285714285)","(13.0, 22.0, 20.352941176470587)"
11-01-2023 11:08:51.220313,"(21.0, 150.0, 89.42857142857143)","(2.1, 2.46, 2.337272727272727)","(6.5, 9.8, 9.48)","(4.4, 5.9, 5.7125)","(26.0, 65.0, 60.57142857142857)","(3.9, 5.6, 4.885714285714285)","(13.0, 22.0, 18.5)"
