,Lycallegro,Move Like Jagger,Flying Billie,Angeli,Depasser,Gee Gees Choris,Bellasario,Elmajay,Royal Molly
11-01-2023 12:16:28.080533,"(10.0, 15.5, 15.25)","(3.0, 4.2, 3.6666666666666665)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(7.5, 11.5, 9.566666666666666)","(4.2, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:29.766842,"(10.0, 15.5, 14.75)","(3.0, 4.2, 3.6166666666666667)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(7.5, 11.5, 9.566666666666666)","(4.2, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:31.288144,"(10.0, 15.5, 14.75)","(3.0, 4.2, 3.575)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 11.5, 9.566666666666666)","(4.0, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:32.857074,"(10.0, 15.5, 15.166666666666666)","(3.0, 4.2, 3.575)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 11.5, 9.566666666666666)","(4.0, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:34.363074,"(10.0, 15.5, 15.166666666666666)","(3.0, 4.2, 3.575)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 11.5, 11.8)","(4.0, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:35.809925,"(10.0, 15.5, 15.166666666666666)","(3.0, 4.2, 3.575)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 15.0, 10.8125)","(4.0, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:37.199924,"(10.0, 15.5, 15.166666666666666)","(3.0, 4.2, 3.575)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 9.961538461538462)","(4.0, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:38.737219,"(10.0, 15.5, 15.166666666666666)","(3.0, 4.2, 3.575)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 9.961538461538462)","(4.0, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:40.252751,"(10.0, 15.5, 15.166666666666666)","(3.0, 4.2, 3.575)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 9.961538461538462)","(4.0, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:41.753863,"(10.0, 15.5, 15.166666666666666)","(3.0, 4.2, 3.575)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 9.961538461538462)","(4.0, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:43.268725,"(10.0, 15.5, 15.166666666666666)","(3.0, 4.2, 3.575)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 9.961538461538462)","(4.0, 5.9, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:44.786351,"(10.0, 15.5, 15.166666666666666)","(3.0, 4.2, 3.575)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 9.961538461538462)","(4.0, 5.9, 5.133333333333333)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:46.428078,"(10.0, 15.5, 15.166666666666666)","(3.0, 4.2, 3.575)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 9.961538461538462)","(4.0, 5.9, 5.133333333333333)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:47.866266,"(10.0, 15.5, 15.166666666666666)","(3.0, 4.2, 3.575)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 9.961538461538462)","(4.0, 5.9, 5.133333333333333)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:49.215620,"(10.0, 15.5, 15.166666666666666)","(3.0, 4.2, 3.575)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 9.961538461538462)","(4.0, 5.9, 5.133333333333333)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:50.623900,"(10.0, 15.5, 15.166666666666666)","(3.0, 4.2, 3.575)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 9.961538461538462)","(4.0, 5.9, 5.133333333333333)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:52.150750,"(10.0, 15.5, 15.166666666666666)","(3.0, 4.2, 3.575)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 9.961538461538462)","(4.0, 5.9, 5.239999999999999)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:53.666173,"(10.0, 15.5, 15.166666666666666)","(3.0, 4.2, 3.575)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 9.961538461538462)","(4.0, 5.8, 5.239999999999999)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:55.171807,"(10.0, 15.5, 15.11111111111111)","(3.0, 4.2, 3.575)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 9.961538461538462)","(4.0, 5.8, 5.239999999999999)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:56.664731,"(10.0, 15.5, 15.11111111111111)","(3.0, 4.2, 3.575)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 10.428571428571429)","(4.0, 5.8, 5.239999999999999)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:58.073843,"(10.0, 15.5, 15.071428571428571)","(3.0, 4.2, 3.575)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 10.428571428571429)","(4.0, 5.8, 5.239999999999999)","(4.4, 6.0, 5.6)"
11-01-2023 12:16:59.534983,"(10.0, 15.5, 15.2)","(3.0, 4.2, 3.6)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 10.428571428571429)","(4.0, 5.8, 5.138095238095238)","(4.4, 6.0, 5.6)"
11-01-2023 12:17:01.028153,"(10.0, 15.5, 15.2)","(3.0, 4.2, 3.6333333333333333)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 10.428571428571429)","(4.0, 5.9, 5.314634146341463)","(4.4, 6.0, 5.6)"
11-01-2023 12:17:02.508669,"(10.0, 15.5, 15.2)","(3.0, 4.2, 3.6333333333333333)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 10.428571428571429)","(4.0, 5.9, 5.277083333333334)","(4.4, 6.0, 5.6)"
11-01-2023 12:17:04.026743,"(10.0, 15.5, 15.2)","(3.0, 4.2, 3.6333333333333333)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 10.428571428571429)","(4.0, 5.9, 5.220454545454546)","(4.4, 6.0, 5.428571428571429)"
11-01-2023 12:17:05.541297,"(10.0, 15.5, 15.2)","(3.0, 4.2, 3.6333333333333333)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 10.428571428571429)","(4.0, 5.9, 5.263157894736842)","(4.4, 6.0, 5.428571428571429)"
11-01-2023 12:17:06.973290,"(10.0, 15.5, 15.2)","(3.0, 4.2, 3.533333333333333)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 10.428571428571429)","(4.0, 5.8, 5.281081081081081)","(4.4, 6.0, 5.3999999999999995)"
11-01-2023 12:17:08.531386,"(10.0, 15.5, 15.2)","(3.0, 4.2, 3.533333333333333)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 10.428571428571429)","(4.0, 5.8, 5.281081081081081)","(4.4, 6.0, 5.3999999999999995)"
11-01-2023 12:17:09.987901,"(10.0, 15.5, 15.2)","(3.0, 4.1, 3.5555555555555554)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 10.428571428571429)","(4.0, 5.8, 5.281081081081081)","(4.4, 6.0, 5.3999999999999995)"
11-01-2023 12:17:11.513289,"(10.0, 15.5, 15.2)","(3.0, 4.1, 3.6799999999999997)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 10.428571428571429)","(4.0, 5.8, 4.977777777777778)","(4.4, 6.0, 5.3999999999999995)"
11-01-2023 12:17:12.985288,"(10.0, 15.5, 15.2)","(3.0, 4.1, 3.6799999999999997)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 10.428571428571429)","(4.0, 5.7, 5.2272727272727275)","(4.4, 6.0, 5.3999999999999995)"
11-01-2023 12:17:14.479202,"(10.0, 15.5, 15.2)","(3.0, 4.1, 3.6799999999999997)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.5)","(8.0, 14.5, 10.428571428571429)","(4.0, 5.7, 5.006666666666667)","(4.4, 6.0, 5.3999999999999995)"
11-01-2023 12:17:15.922743,"(10.0, 15.5, 15.2)","(3.0, 4.1, 3.6799999999999997)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 16.5, 13.1)","(8.0, 14.5, 10.50909090909091)","(4.0, 5.7, 5.1)","(4.4, 6.0, 5.3999999999999995)"
11-01-2023 12:17:17.316105,"(10.0, 15.5, 15.2)","(3.0, 4.1, 3.6799999999999997)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 15.5, 14.0)","(8.0, 13.5, 11.266666666666667)","(4.0, 5.6, 4.96)","(4.4, 6.0, 5.64)"
11-01-2023 12:17:18.794894,"(10.0, 15.5, 15.2)","(3.0, 4.1, 3.6799999999999997)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 15.0, 14.0)","(8.0, 12.5, 11.76)","(4.0, 5.6, 4.96)","(4.4, 6.0, 5.64)"
11-01-2023 12:17:20.261039,"(10.0, 15.5, 15.2)","(3.0, 4.1, 3.6799999999999997)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 15.0, 14.0)","(8.0, 12.5, 10.914285714285715)","(4.0, 5.6, 4.96)","(4.4, 6.0, 5.64)"
11-01-2023 12:17:21.680348,"(10.0, 15.5, 15.2)","(3.0, 4.1, 3.6799999999999997)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 15.0, 14.0)","(8.0, 12.5, 10.914285714285715)","(4.0, 5.6, 4.96)","(4.4, 6.0, 5.64)"
11-01-2023 12:17:23.122118,"(10.0, 15.5, 15.2)","(3.0, 4.1, 3.6799999999999997)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 15.0, 14.0)","(8.0, 12.5, 10.914285714285715)","(4.0, 5.6, 4.96)","(4.4, 6.0, 5.64)"
11-01-2023 12:17:24.565044,"(10.0, 15.5, 15.2)","(3.0, 4.1, 3.6799999999999997)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 15.0, 14.0)","(8.0, 12.5, 10.914285714285715)","(4.0, 5.6, 4.96)","(4.4, 6.0, 5.64)"
11-01-2023 12:17:26.103891,"(10.0, 15.5, 15.2)","(3.0, 4.1, 3.6799999999999997)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 15.0, 14.0)","(8.0, 12.5, 10.914285714285715)","(4.0, 5.6, 4.96)","(4.4, 6.0, 6.042857142857143)"
11-01-2023 12:17:27.591718,"(10.0, 15.5, 15.2)","(3.0, 4.1, 3.6799999999999997)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 15.0, 14.0)","(8.0, 12.5, 10.914285714285715)","(4.0, 5.6, 4.96)","(4.4, 6.2, 6.042857142857143)"
11-01-2023 12:17:29.200298,"(10.0, 15.5, 15.2)","(3.0, 4.1, 3.6799999999999997)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 15.0, 14.0)","(8.0, 12.5, 10.914285714285715)","(4.0, 5.6, 4.96)","(4.4, 6.2, 6.042857142857143)"
11-01-2023 12:17:30.831469,"(10.0, 15.5, 15.2)","(3.0, 4.1, 3.6799999999999997)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 15.0, 14.0)","(8.0, 12.5, 10.914285714285715)","(4.0, 5.6, 4.685185185185185)","(4.4, 6.2, 6.042857142857143)"
11-01-2023 12:17:32.370068,"(10.0, 15.5, 15.2)","(3.0, 4.1, 3.6799999999999997)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 15.0, 15.5)","(8.0, 12.5, 10.444444444444445)","(4.0, 5.5, 4.656666666666667)","(4.4, 6.2, 6.042857142857143)"
11-01-2023 12:17:33.896107,"(10.0, 15.5, 15.2)","(3.0, 4.1, 3.6799999999999997)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 19.5, 14.178571428571429)","(8.0, 12.5, 10.444444444444445)","(4.0, 5.5, 4.656666666666667)","(4.4, 6.2, 6.042857142857143)"
11-01-2023 12:17:35.429661,"(10.0, 15.5, 15.2)","(3.0, 4.1, 3.5)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 40.666666666666664)","(11.0, 19.0, 14.178571428571429)","(8.0, 12.5, 10.444444444444445)","(4.0, 5.5, 4.656666666666667)","(4.4, 6.2, 6.042857142857143)"
11-01-2023 12:17:37.015574,"(10.0, 15.5, 15.2)","(3.0, 4.1, 3.5)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 57.42857142857143)","(11.0, 19.0, 13.833333333333334)","(8.0, 12.5, 10.914285714285715)","(4.0, 5.5, 4.656666666666667)","(4.4, 6.2, 5.95)"
11-01-2023 12:17:38.528947,"(10.0, 15.5, 15.2)","(3.0, 4.1, 3.5)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 57.42857142857143)","(11.0, 18.5, 14.5)","(8.0, 12.5, 10.914285714285715)","(4.0, 5.5, 4.656666666666667)","(4.4, 6.2, 5.95)"
11-01-2023 12:17:40.079774,"(10.0, 15.5, 15.2)","(3.0, 4.1, 3.5)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 57.42857142857143)","(11.0, 17.5, 13.333333333333334)","(8.0, 12.5, 10.914285714285715)","(4.0, 5.5, 4.656666666666667)","(4.4, 6.2, 5.9)"
11-01-2023 12:17:42.007680,"(10.0, 15.5, 15.2)","(3.0, 4.1, 3.5)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 57.42857142857143)","(11.0, 17.0, 12.6)","(8.0, 12.5, 10.914285714285715)","(4.0, 5.5, 4.656666666666667)","(4.4, 6.2, 5.9)"
11-01-2023 12:17:43.830120,"(10.0, 15.5, 15.071428571428571)","(3.0, 4.1, 3.5)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 57.42857142857143)","(11.0, 17.0, 13.6)","(8.0, 12.5, 10.738095238095239)","(4.0, 5.5, 4.656666666666667)","(4.4, 6.2, 5.9)"
11-01-2023 12:17:45.624903,"(10.0, 15.5, 15.071428571428571)","(3.0, 4.1, 3.5)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 57.42857142857143)","(11.0, 15.0, 13.6)","(8.0, 12.5, 10.738095238095239)","(4.0, 5.5, 4.656666666666667)","(4.4, 6.2, 5.9)"
11-01-2023 12:17:47.292571,"(10.0, 15.5, 15.071428571428571)","(3.0, 4.1, 3.5)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 48.5)","(11.0, 15.0, 13.6)","(8.0, 12.5, 10.166666666666666)","(4.0, 5.5, 4.8)","(4.4, 6.2, 5.9)"
11-01-2023 12:17:48.913726,"(10.0, 15.5, 15.071428571428571)","(3.0, 4.1, 3.5)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 48.5)","(11.0, 15.0, 13.6)","(8.0, 12.5, 10.657894736842104)","(4.0, 5.4, 4.95)","(4.4, 6.2, 5.9)"
11-01-2023 12:17:50.592363,"(10.0, 15.5, 15.071428571428571)","(3.0, 4.1, 3.5)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 48.5)","(11.0, 15.0, 13.6)","(8.0, 12.5, 10.657894736842104)","(4.0, 5.4, 4.95)","(4.4, 6.2, 5.9)"
11-01-2023 12:17:52.361291,"(10.0, 15.5, 15.071428571428571)","(3.0, 4.1, 3.414285714285714)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 48.5)","(11.0, 15.0, 13.6)","(8.0, 12.5, 10.657894736842104)","(4.0, 5.4, 4.95)","(4.4, 6.2, 5.9)"
11-01-2023 12:17:54.077982,"(10.0, 15.5, 15.071428571428571)","(3.0, 4.1, 3.414285714285714)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 48.5)","(11.0, 15.0, 13.6)","(8.0, 12.5, 10.657894736842104)","(4.0, 5.4, 4.95)","(4.4, 6.2, 5.9)"
11-01-2023 12:17:55.712307,"(10.0, 15.5, 15.071428571428571)","(3.0, 4.1, 3.8)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 57.714285714285715)","(11.0, 15.0, 13.6)","(8.0, 12.5, 10.657894736842104)","(4.0, 5.4, 4.95)","(4.4, 6.2, 5.9)"
11-01-2023 12:17:57.255271,"(10.0, 15.5, 15.071428571428571)","(3.0, 4.1, 4.3)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 57.714285714285715)","(11.0, 15.0, 13.6)","(8.0, 12.5, 10.657894736842104)","(4.0, 5.4, 4.95)","(4.4, 6.2, 5.9)"
11-01-2023 12:17:58.966476,"(10.0, 15.5, 15.071428571428571)","(3.0, 4.5, 4.125)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 57.714285714285715)","(11.0, 15.0, 13.6)","(8.0, 12.5, 10.657894736842104)","(4.0, 5.4, 4.8)","(4.4, 6.2, 5.9)"
11-01-2023 12:18:00.569204,"(10.0, 15.5, 15.071428571428571)","(3.0, 4.4, 3.922727272727273)","(11.0, 18.0, 16.78846153846154)","(26.0, 65.0, 47.5)","(21.0, 70.0, 57.714285714285715)","(11.0, 15.0, 13.6)","(8.0, 12.5, 10.657894736842104)","(4.0, 5.4, 4.8)","(4.4, 6.2, 5.9)"
