,Hopes Girl,Weblec Breeze,Nova Cascade,Beautiful Bounty,Follow You,Shrinking
07-12-2022 13:39:56.958659,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:39:58.086947,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:39:59.185027,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:00.399930,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:01.414665,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:02.536777,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:03.748864,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:04.896504,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:06.103160,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:07.394684,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:08.556304,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:09.684475,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:10.948303,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:12.228293,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:13.483814,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:14.612470,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:15.760017,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:16.824420,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:18.049887,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:19.206392,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:20.370341,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:21.543057,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:22.729809,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:23.835198,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:24.936296,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:26.153599,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:27.311533,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:28.479588,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:29.657493,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:30.898177,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:31.974856,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:33.074806,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:34.478209,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:35.782189,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:37.037079,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:38.268546,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:39.491029,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:40.534564,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:41.887204,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:43.130417,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:44.265421,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:45.839991,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:46.983484,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:48.234334,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:49.415562,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:50.534983,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:51.713446,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:52.773344,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:53.895067,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:55.189661,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:56.581005,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:57.828190,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:40:59.068264,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:00.286910,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:01.442879,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:02.684134,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:03.899121,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:05.237942,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:06.494362,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:07.824077,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:09.040709,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:10.132497,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:11.286872,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:12.480226,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:13.619421,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:14.852707,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:16.069820,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:17.385054,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:18.620945,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:19.836581,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:21.139251,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:22.401066,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:23.688953,"(26.0, 130.0, 77.0)","(20.0, 65.0, 35.9375)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:25.013720,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:26.199635,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:27.607447,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:28.806687,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:30.022882,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:31.281924,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:32.675469,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:33.799939,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:34.966389,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:36.067514,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:37.187105,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:38.337931,"(26.0, 130.0, 77.0)","(20.0, 65.0, 31.181818181818183)","(7.5, 14.0, 11.120000000000001)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
07-12-2022 13:41:39.427649,"(26.0, 130.0, 77.0)","(20.0, 65.0, 46.92307692307692)","(7.5, 14.0, 13.383333333333333)","(2.2, 3.1, 2.578666666666667)","(2.9, 4.9, 3.5933333333333333)","(4.0, 7.0, 5.630434782608695)"
