,Screaming Izzy,Echo Chamber,Blue Ability,Wood Carrier,Blazin Fury,Dr Cinny,Tinker Dan,Mekong Tash
07-01-2023 09:35:01.227660,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.3, 2.985)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:02.387696,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.3, 2.985)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:03.652741,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.3, 2.985)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:04.897088,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.3, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:06.075110,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:07.242873,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:08.408175,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:09.755142,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:11.188100,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:12.563664,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:13.812000,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:15.111041,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:16.376976,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:17.641645,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:18.991428,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:20.334804,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:21.537100,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:22.785458,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:24.018840,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:25.174061,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:26.483290,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:27.794196,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:29.094129,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:30.309440,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:31.503277,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:32.613553,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:33.873667,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:35.112292,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:36.338421,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:37.602083,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:38.806590,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:39.972653,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:41.108353,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:42.337896,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:43.474995,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:44.700131,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:46.041842,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:47.194607,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:48.453774,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:49.938774,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:51.252531,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:52.558891,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:53.732068,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:54.904167,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:56.053655,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:57.265164,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:58.441045,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:35:59.664639,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:00.860883,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:02.004988,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:03.142091,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:04.325869,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:05.544132,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:06.766515,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:07.998266,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:09.140622,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:10.319373,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:11.525839,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:12.666623,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:13.871692,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:15.135372,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:16.333875,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:17.588091,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:18.736088,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:19.826985,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:20.938252,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:22.117516,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:23.407195,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:24.869293,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:26.131518,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:27.354277,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:28.564044,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
07-01-2023 09:36:29.727673,"(20.0, 60.0, 36.388888888888886)","(51.0, 390.0, 137.14285714285714)","(17.0, 42.0, 29.5)","(2.6, 5.3, 4.133333333333333)","(41.0, 340.0, 187.0)","(3.9, 6.0, 4.5)","(2.9, 3.25, 2.9842857142857144)","(5.5, 11.0, 6.418181818181818)"
